"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e34c2fa150dba4fa6e9460439f6c30adeea48225","2017-08-11T06:28:19Z","1","1","1","2","1","0","0"
"1b2a7edd092b7dedf321a2c5911a3e132db82d9b","2017-07-21T15:36:09Z","1","1","1","2","1","0","0"
"8ba44f230938e814a958da573a01e8a454d8405c","2017-07-21T10:04:36Z","1","1","1","2","1","0","0"
"fd626334b1241254571689d2bd534db1e43213c2","2017-07-17T06:47:39Z","0","0","0","0","0","1","0"
"3209986705a8fe3e8adcbe49f79771c1b183b218","2017-07-17T04:54:06Z","0","0","0","0","0","1","0"
"e6b42e3d690e16eaf4aec8f5a8d11e0806a5c531","2017-07-17T04:41:32Z","0","0","0","0","0","1","0"
"0526a32fad5d1ac8ad4798332b35f508c165021c","2017-07-14T07:12:11Z","1","4","1","5","1","0","0"
"e2ffb0832b7cb26ec54a5909887aead5725f25e1","2017-07-13T02:19:08Z","3","17","9","26","1","0","0"
"41c80e8c1c39cdd3befe9b23c84da8e43ed1dfee","2017-07-12T08:03:01Z","1","4","0","4","1","0","0"
"b0d9cf12432846817f79d1e1af6c783f661473cc","2017-07-12T02:38:34Z","7","12","7","19","1","0","0"
"837d1f51dbeceb3ea931903bdaa13505bb4bd512","2017-07-11T08:42:19Z","0","0","0","0","0","1","0"
"e5eba6e57197cabe9861c08124d416a7ead4e873","2017-07-11T08:23:38Z","0","0","0","0","0","0","0"
"44ceb0e9cecd4f58351c73e3a90fffe807a6fe03","2017-07-11T08:23:25Z","7","40","36","76","1","0","0"
"1717d6523b7f451cf067b4bb2f92d60069269ab5","2017-07-05T06:02:47Z","0","0","0","0","0","0","0"
"7ec27dba71240bcdf9458e5cb8889d95a838c372","2017-07-05T04:17:59Z","1","34","15","49","1","0","0"
"ea666fbc7662dacb57ae6a2bbe8f924dac8095f3","2017-07-04T02:51:35Z","0","0","0","0","0","0","0"
"7479dc10d1fe6f806c58401a4db0cdf612bcb2ab","2017-07-03T08:43:13Z","3","9","3","12","1","0","0"
"4bb3211d35844f4af751704b278461ce0edb0335","2017-07-01T04:18:29Z","0","0","0","0","0","0","0"
"3ff632737ba686b8f558d3dbb316286fab30dd82","2017-06-29T07:02:27Z","0","0","0","0","0","1","0"
"e9a8096978349df7b2f8b091d0aea686a364ccf3","2017-06-29T04:24:59Z","4","14","37","51","1","0","0"
"050801b101f2ca95df75cddbd703670e397341c3","2017-06-28T12:01:00Z","2","6","6","12","1","0","0"
"e854793df1713800d43a0618d501eaa24165d4de","2017-06-28T11:29:12Z","2","21","1","22","1","0","0"
"bf8e7c048aa1582384b636a03dcb846ff170c2e3","2017-06-28T11:09:34Z","1","6","0","6","1","0","0"
"a186126c0539cada86a01bbd7aee526d20d15305","2017-06-28T10:55:58Z","4","20","22","42","1","1","0"
"875427e745ff35f3dbc4ab2294b76cdddc9b36b2","2017-06-21T04:21:00Z","42","114","150","264","1","0","0"
"3c633bd4e5faa74d795a896f5d24f43c319153ef","2017-06-16T11:43:22Z","6","143","7","150","1","0","0"
"9a115f58ee26a567e4c779ba6edebe36f1b410ed","2017-06-14T09:06:05Z","1","15","0","15","1","1","0"
"28d102b537194c0a2a775a5beb4cabef649cb3c1","2017-06-14T08:44:41Z","10","172","9","181","1","0","0"
"d04c338f447e48098708120a7209c71450b282ec","2017-06-14T08:01:03Z","4","83","9","92","1","0","0"
"499b9374e166ea1fa0071366a6e8234329e799a0","2017-06-14T04:32:19Z","2","7","4","11","1","0","0"
"c6ce2ca1ddde3a7f851f7505bcdcae93aca54bd8","2017-06-14T04:01:05Z","9","45","38","83","1","0","0"
"e6923c6e2ed27c84d3a137f797a188efa71e9709","2017-06-14T02:44:15Z","2","9","14","23","1","0","0"
"4560e1df44715047e4b2ed58b92d684692f1a643","2017-06-13T10:43:31Z","2","23","6","29","1","0","0"
"94d3577b2246b49da6c7bc7dd76fa454f4f2aee2","2017-06-13T10:13:23Z","1","3","3","6","1","0","0"
"babbfa4a2b4aabe74be7b16b57c27ea698976151","2017-06-13T09:22:37Z","9","67","67","134","1","0","0"
"c38c1e7d3a5c225bf431956a26f532362fca08bd","2017-06-13T08:40:24Z","4","44","20","64","1","1","0"
"ccd92763f8061317d6c2b5cb734c40f587c107e4","2017-06-12T12:14:35Z","0","0","0","0","0","0","0"
"dd3fb4cd49b4912a7c57d0c933900ef7b1582a7f","2017-06-12T12:14:05Z","5","20","8","28","1","0","0"
"fc30d4d44c707f1d9f1150bbfec3b2e987665dcc","2017-06-12T12:02:56Z","5","20","8","28","1","0","0"
"30532dc0b85c47d9571a856355372d805fd45254","2017-06-12T10:31:34Z","0","0","0","0","0","1","0"
"8b0505d3a2b2c25e66ec294b1bbf3cfaaa65343b","2017-06-12T08:39:43Z","1","0","1","1","1","0","0"
"0866eeae91fa755c303767c2476627a0333bfbfa","2017-06-12T07:32:33Z","4","126","1","127","1","1","0"
"55917055a5f5d414fc07d43aaa5a5f37881bfc1e","2017-06-10T16:04:26Z","0","0","0","0","0","0","0"
"fc532340c59c07390e4381f593356d0c17577061","2017-06-10T14:04:33Z","10","278","216","494","1","1","0"
"2ef04bc8bcad6533f3e3d4946cf040ee083f54a3","2017-06-09T17:29:18Z","8","106","1","107","1","0","0"
"db179a98086ceb3160d8df4358a4cb5389520ece","2017-06-09T17:26:05Z","15","556","146","702","1","0","0"
"87476d826bec6486a83783562f05a1c583fc5f41","2017-06-09T15:25:52Z","11","265","36","301","1","0","0"
"17016ab8227bff3e54c2d141335c95e70f079b19","2017-06-09T11:02:28Z","2","16","11","27","1","0","0"
"d1cd74443f88c34eacaac7ba405f52fbde9fbbc3","2017-06-09T10:50:11Z","13","125","229","354","1","0","0"
