"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4058607bd00bd94c4f6dc45c2115154a5e059381","2018-07-20T16:35:33Z","0","0","0","0","0","0","0"
"6e23504813c257b2df2a051e89c40844276b2137","2018-06-29T01:01:10Z","0","0","0","0","0","0","0"
"f7312d61041ff6dca9f7a7db28eddcaa55d69994","2018-06-29T00:56:34Z","0","0","0","0","0","1","0"
"1a600ee3496054bf5312290bcd3742077bc49ba5","2018-06-29T00:56:28Z","0","0","0","0","0","1","0"
"f57c3c281f8547dc42eaa54074389b59a07781ea","2018-06-29T00:52:22Z","0","0","0","0","0","1","0"
"a93fb6e781f4df3f348d547e85368701e762472c","2018-06-26T19:16:13Z","0","0","0","0","0","0","0"
"6331d281b6ba5f3ed28af865910a8351b28022db","2018-06-26T19:10:55Z","1","8","5","13","1","1","0"
"d52aeb4dd8b8fd92fcfd800c9dab5e8ef9081892","2018-06-26T19:06:47Z","1","8","5","13","1","1","0"
"480ad6400512fb3d35d1c0fb7ba9b2c29b58039d","2018-06-01T01:49:22Z","0","0","0","0","0","1","0"
"1f51ab63ab5101ea7eea141b27ae0b981357ab50","2018-06-01T01:49:15Z","0","0","0","0","0","0","0"
"6caa00d3aa5a2f5c402a29f001bb7e1343be0179","2018-03-19T21:20:50Z","0","0","0","0","0","0","0"
"4cc3a1786fe2c3b4714bc878ef20fc96e4e5a86b","2018-01-09T02:52:42Z","1","4","3","7","1","0","0"
"005a9268da1315a563dcebc9149e52ed55693052","2018-01-08T04:56:15Z","1","4","3","7","1","0","0"
"37fbe3c3d2491e716c809ffd069d0bae0947f589","2017-12-30T21:02:08Z","0","0","0","0","0","1","0"
"d6aed9106aa59ea876616f79aedcafb6af2b81ca","2017-12-30T21:02:01Z","0","0","0","0","0","1","0"
"266e18d0af8beebd9314a057c7ddaa393532cf8a","2017-12-30T20:51:33Z","0","0","0","0","0","1","0"
"47752759b85fe25f60c5d250633d13a1926cd004","2017-12-30T20:17:20Z","2","17","1","18","1","0","0"
"a286d507d05cb31db88e6327df2c218745e9c9a4","2017-12-30T20:16:21Z","2","17","1","18","1","0","0"
"967ff9c44d57fb4914d9d3893aee36f59395f34e","2017-10-31T16:15:52Z","0","0","0","0","0","0","0"
"a65e6fcc0c1ed2c2a72c64e80e7847e3c85dbf32","2017-10-01T03:20:18Z","3","99","0","99","1","0","0"
"9826ce0484c8ccdf6658f58263652e8d16285e75","2017-09-24T21:03:41Z","0","0","0","0","0","0","0"
"193acd39ff58d5c02d995ba7bf874ca756c099f1","2017-08-15T02:32:08Z","0","0","0","0","0","1","0"
"453e3a998ac0321734eaf3b8d9f14cd39f98f944","2017-08-15T02:25:23Z","0","0","0","0","0","1","0"
"a70a0dc997c2076eca488108fe42351ba4f6cc20","2017-07-26T11:47:57Z","0","0","0","0","0","0","0"
"d3cd47efee301fce9350851983d824d418e7f8a6","2017-06-28T03:30:30Z","0","0","0","0","0","0","0"
"f7797cd887a19b3e21430a4bb6cdf5e20370ace3","2017-06-28T03:28:42Z","0","0","0","0","0","0","0"
"367ab1132ca1bc59f53e2ef3d67ee8f0dbea51d4","2017-06-28T03:14:09Z","0","0","0","0","0","1","0"
"0b5726388e403cfb2c655863becb4595c1a5958d","2017-06-28T03:14:03Z","0","0","0","0","0","1","0"
"8d9338f8ad053c516bdbd50e21619c0c74360ec2","2017-06-26T19:54:25Z","5","150","0","150","1","0","0"
"9d49d9c35ec6f0509d870d61e0c984fae1e79332","2017-06-26T19:50:25Z","0","0","0","0","0","0","0"
"8dcb0664f626b63bf8eee0c6924dc22aba997f22","2017-06-26T02:30:58Z","0","0","0","0","0","0","0"
"8ffc190a11c3bd5a9e4a31624cedc62daa142cc0","2017-06-18T07:05:48Z","1","1","1","2","1","0","0"
"33cfb047c314067743b424a0ba1bff73ac245089","2017-06-17T20:39:52Z","5","150","0","150","1","0","0"
"cd40ed804d0d3f6e4f0d96382784ec14af827aa6","2017-06-03T16:08:05Z","2","29","7","36","1","1","0"
"bc0617f687bfe04fa56b6741dc0c497b3eaf4550","2017-06-03T16:06:42Z","0","0","0","0","0","0","0"
"d1b1de7d3ad818c2af9446bcc5cdb2aea24865fb","2017-06-03T16:04:47Z","0","0","0","0","0","0","0"
"4a3347da51ca0d91264a21609950450af22f13b5","2017-06-03T16:02:02Z","2","29","7","36","1","1","0"
"68431c14fb6cca058dc378891a4ede97cb9100af","2017-05-25T04:22:04Z","0","0","0","0","0","0","0"
"252b6ba213503e4e2058c5f1d3d0c2498c4906cc","2017-05-25T01:32:28Z","0","0","0","0","0","0","0"
"6ea605f463529870800cb9cf3a52a2270679ab2c","2017-05-14T12:47:37Z","0","0","0","0","0","0","0"
"f05d7e13a281a3986c542379b363ccba93867f40","2017-05-10T01:24:28Z","0","0","0","0","0","0","0"
"8fa4085f8e84e452519e54425e4305de9c4fabbe","2017-05-09T04:04:43Z","0","0","0","0","0","1","0"
"aef07767480a0d5b7a58067222f8ad41e5370f35","2017-05-09T04:04:38Z","0","0","0","0","0","1","0"
"d2b27ccf3c28665389517d6b3ce5026e59bead86","2017-05-09T04:03:04Z","1","1","1","2","1","0","0"
"e3d2c6b4a71bdaa9e94d0b8880615d432ca40b5c","2017-05-08T23:12:39Z","0","0","0","0","0","1","0"
"a171f2dbecc1f3f324503ff4d518c61d43aacf59","2017-05-07T20:20:35Z","0","0","0","0","0","0","0"
"67497aa3e010d0df7df5c21afe7a5e3a582d6565","2017-05-07T20:13:06Z","0","0","0","0","0","1","0"
"4a9196351007719bacd6341f4c9c12b6e83d3abe","2017-05-07T20:13:00Z","0","0","0","0","0","1","0"
"b64a41a849d9ba15fc4335af1a85d3cd663675f6","2017-05-07T20:05:31Z","0","0","0","0","0","1","0"
"04766c8403d3e82b3bc8ab2b05df9726975e8869","2017-04-30T21:24:11Z","0","0","0","0","0","0","0"
"f44deb5206d03adf20d83a905dcfd3bc735e585b","2017-03-11T16:34:26Z","1","3","0","3","1","0","0"
"a76b66f35350d14ebc0a79615dea343e4f3e185c","2017-03-11T15:40:53Z","1","3","0","3","1","0","0"
"534155668262d3c9fcd5b4741bed4f8b50a90949","2017-02-07T02:02:37Z","16","218","125","343","1","1","0"
"a8bc72d1801840869f76aa1578afb9702e21f79e","2017-02-04T21:53:20Z","4","69","29","98","1","0","0"
"698d7a63f2218356492777fe83b9501e22755a8d","2017-02-04T21:53:20Z","1","22","1","23","1","0","0"
"b5958c85092cad8332e6c3e5d414db10e970c3ac","2017-02-04T21:53:20Z","1","32","32","64","1","0","0"
"87fd5d59772f20ae2a48c5e04c5eae59ac4e54f5","2017-02-04T21:53:20Z","7","22","22","44","1","0","0"
"c2997ae9fd46ef7bfb3340afdfc69fa95f6cf9be","2017-02-04T21:53:20Z","2","50","0","50","1","0","0"
"0064fd2ce97cad633b2ce1996ef4b1f79d048372","2017-02-04T21:53:20Z","0","0","0","0","0","1","0"
"0a5cefad40659798a646b4d5e6006707f861af57","2017-02-04T21:53:20Z","4","4","4","8","1","0","0"
"d3d349674afb8e7cc63ec56902cff8e966dfad2e","2017-02-04T21:53:20Z","1","1","4","5","1","1","0"
"e3bf47443d84bc4a0e488c23b1627a01f867a456","2017-02-04T21:53:19Z","4","23","38","61","1","1","0"
"010c10e1d76887563d5ed55e069ea201c6afdc80","2017-02-04T18:04:00Z","3","75","10","85","1","1","0"
"a6275fd19a20d25865cc74cb91a8a65410ebfd61","2017-01-29T17:05:05Z","3","75","10","85","1","1","0"
"fac4ae173a106a81ee0e6d43821acbefd8df52ca","2017-01-20T15:15:29Z","0","0","0","0","0","0","0"
"e218812276784cfd69ff645cf636556e0ac0b5db","2016-10-22T16:31:42Z","0","0","0","0","0","0","0"
"ed35a1c04cba6fe0f89a6a4aee589ca2af3c8c4c","2016-10-22T16:31:09Z","0","0","0","0","0","0","0"
"5f30b47b8223b6523f371e47aee9ef1bc74c9152","2016-10-22T16:22:54Z","0","0","0","0","0","1","0"
"998004d4ac9034825eb83cc22c6f5a04e4d0c009","2016-10-22T16:22:49Z","0","0","0","0","0","1","0"
"63ab30cfb58c54290060cb573a0f20a5fdbb6173","2016-10-22T16:19:59Z","0","0","0","0","0","0","0"
