"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"12604319e99b6d6dff451fc5a58a13a271f1dc7a","2017-07-18T17:21:27Z","0","0","0","0","0","0","0"
"02623543d7c2ae9245e111aa612c683b1a534943","2017-07-11T20:21:30Z","0","0","0","0","0","0","0"
"33f5c94dac2e748e9167a11219cf41c5bf13fe12","2017-04-19T17:28:25Z","0","0","0","0","0","0","0"
"2524e70a8199d59a8fccf3ab8b73688e9466f9ca","2017-04-18T08:15:37Z","0","0","0","0","0","0","0"
"065773a6f9dd502ef03335ce6f6f9951fe1eb0c0","2017-04-14T17:39:47Z","0","0","0","0","0","0","0"
"5432b305e65b7a6154ba713d9973036f7b413b95","2017-04-10T14:17:26Z","0","0","0","0","0","0","0"
"eaf73617137e1dd8b837e51cec79e68ec8da8aaa","2017-01-23T19:04:08Z","0","0","0","0","0","0","0"
"6a27a430fca0a0d0ac8da4e821547b4fe8f686a5","2017-01-23T18:57:47Z","0","0","0","0","0","0","0"
"037a48ce0d8ed6019e12af19622d2ace86e5e063","2017-01-21T01:39:45Z","0","0","0","0","0","0","0"
"b0d937fb42d9683c362e379b9b687547a359d474","2017-01-21T00:19:34Z","0","0","0","0","0","0","0"
"45b3892fb8fc3f865cd8f159f1c0130454641d72","2017-01-20T23:42:41Z","0","0","0","0","0","0","0"
"94cb9a89c1dbcecf82f139b25d7243b16eaa54b2","2017-01-20T23:33:37Z","0","0","0","0","0","0","0"
"cb852f9cc2ac63c093fc616c04aedb197ba32e28","2017-01-20T22:49:48Z","0","0","0","0","0","0","0"
"64ded7398fe9a94d0ac4d144749ac62dd4b0c42c","2017-01-19T23:26:35Z","1","42","46","88","1","0","0"
"384bc289b354d10fb9e37f99fd4cc6ca0100cabc","2017-01-19T21:43:11Z","0","0","0","0","0","0","0"
"d6aeef66510c4a93bd4212c7bfc563c45747035b","2017-01-19T20:06:18Z","0","0","0","0","0","0","0"
"e914e244142329ec077db9b82eeb94a19cd127aa","2017-01-19T19:41:24Z","1","42","46","88","1","0","0"
"1b2b880cc22270e0f0a299b0ec2aa522fd1463c4","2017-01-13T22:50:49Z","2","73","0","73","1","0","0"
"6bf6a1ca277ab38bb8bdc53b88351960ce22eff8","2017-01-13T22:41:25Z","2","73","0","73","1","0","0"
"fa38299db74c1fdfc0a75a7fa6b8a88e1f0cc536","2017-01-11T18:25:53Z","1","16","20","36","1","0","0"
"e46828afc71c6ee972cc3d697bdb5e67a5eab7c9","2017-01-10T18:55:11Z","1","16","20","36","1","0","0"
"4dbb4805d051b2b9b6fb843f11da8c6e220e140d","2016-12-15T19:21:47Z","0","0","0","0","0","1","0"
"f8d6995e225a21d9aafc1f673011422a7d22cab3","2016-12-15T19:00:11Z","0","0","0","0","0","1","0"
"294f3b0a3f9d07667fc062eed687f97b8344d994","2016-12-14T23:47:19Z","0","0","0","0","0","1","0"
"82148f05fc5c7ac6bbcc9b9056b625b5274ac480","2016-12-14T00:58:08Z","1","23","7","30","1","0","0"
"56cf9468aff3cccc12cea3a210bf8d0254f943d2","2016-12-14T00:20:08Z","1","23","7","30","1","0","0"
"79eac723beb301257010817ed6f727516d1154cd","2016-11-30T00:26:59Z","1","11","9","20","1","0","0"
"8065269aeb689086fb6ce44de69bd001e64e5bc5","2016-11-30T00:24:26Z","1","11","9","20","1","0","0"
