"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f7ab6499c0ae35ae063d7fbb155027443d458b3a","2018-09-28T12:49:21Z","0","0","0","0","0","1","0"
"3300952e4d2ffb310566e65ab8e966145724babc","2018-09-26T17:55:08Z","9","51","52","103","1","0","0"
"b232c1ffb40934fe1ed3ff66e4787ba9ceb8c4a7","2018-09-14T07:10:30Z","0","0","0","0","0","1","0"
"c877035cccb2fb9d0f73e090206acd743dd42350","2018-09-14T07:10:30Z","1","73","0","73","1","1","0"
"1c571140d0fd06bca0644026f5f497ddf1f2d8c1","2018-09-11T19:18:32Z","3","11","7","18","1","0","0"
"b42f3a7bddfb353049cc55defcc2062e7e90b68f","2018-09-10T20:26:45Z","21","28","34","62","1","0","0"
"0dbd5f86a2a7a5d6214aac739c940011f6d48355","2018-09-10T20:26:45Z","3","25","12","37","1","0","0"
"c070d17f2b2de1710bb323faa625e10fc28acd51","2018-09-10T16:36:15Z","4","19","9","28","1","0","0"
"0b879b0559963f6b014c198f610d31fdd7d86c64","2018-09-10T16:36:15Z","1","8","3","11","1","0","0"
"9310b6d4f100adff4e639456f58ac802b57d4b39","2018-09-10T16:36:15Z","8","158","14","172","1","1","0"
"7fa7adb21cf36f34f56ad3db13f5ce43891c8b7a","2018-09-10T16:36:15Z","0","0","0","0","0","1","0"
"1e0f630fc3acc0e3436c1067ac18fa982dbabf55","2018-09-10T15:24:42Z","1","1","1","2","1","0","0"
"854c802f4fb1478e8623c334367bb31d447420a8","2018-09-10T15:24:42Z","5","36","50","86","1","0","0"
"189e7433e5ed37c98b59dcb7ac63b4a53ebeb662","2018-09-10T15:24:42Z","5","73","13","86","1","0","0"
"4c49ea0e19210ce75ada522c971283903adc0a38","2018-09-10T15:24:42Z","12","54","36","90","1","0","0"
"a3471daba8a1073a7475571556ad68ea2c482411","2018-09-10T15:24:42Z","4","60","30","90","1","0","0"
"b2d4ca2c4fa2f466e527e589a3d0b1a64a41a817","2018-09-08T15:27:00Z","8","39","103","142","1","0","0"
"03fa7ed56a3aad890d9f2f5d6fe6b93bc2ac97c8","2018-09-07T11:08:49Z","1","1","0","1","1","0","0"
"4b025b19483bc8e3d6decbfaefdd5c55b7be4981","2018-09-07T11:08:36Z","1","5","5","10","1","0","0"
"fe378713cc04d04ac306c0f7d7fd1d2c72820a0b","2018-09-07T11:08:12Z","1","2","2","4","1","0","0"
"04e7e8564ed75d536b488baf2a1d4bb1a2b055a1","2018-09-07T11:07:44Z","0","0","0","0","0","0","0"
"3b6e8b4eca64effcc757a1450d1948b31f2bb3de","2018-09-06T16:54:53Z","0","0","0","0","0","1","0"
"3b3b90c5a21afcb21bda7f1a03469698f81c618d","2018-09-06T09:57:39Z","1","3","5","8","1","0","0"
"a5faeee58426e43b47050f8c175175f25367f2fd","2018-09-05T14:30:59Z","1","3","1","4","1","0","0"
