"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"98f5a005d49a8cf0563d1f77b390eef2add72174","2018-09-28T09:21:30Z","2","19","0","19","1","0","0"
"dadd45d1c3428085e961c8f53444c6c4ad3df15a","2018-09-28T09:20:09Z","1","4","0","4","1","0","0"
"b08e6565e64b1cc5b8ba15e71f303dffd02a1edc","2018-09-27T12:58:57Z","0","0","0","0","0","0","0"
"aef066494efb100456a73ade6947d27a97595158","2018-09-27T11:56:15Z","2","5","2","7","1","0","0"
"7831116e62d0f055b93dbf372f6b3d50122482fa","2018-09-27T10:58:04Z","1","6","1","7","1","0","0"
"058117ca2409bc0bf01b87366ef58a86b2f867e1","2018-09-27T09:29:58Z","0","0","0","0","0","0","0"
"eb2975e2403c90696410ddc6d53863ad9310d077","2018-09-27T08:48:01Z","0","0","0","0","0","0","0"
"d43c76ebdbb6a28f808b0cae56b7bda8b11a664c","2018-09-26T16:40:16Z","2","7","0","7","1","0","0"
"d00ebe423474700c1ead7c27ba813d35161dc84b","2018-09-26T16:40:16Z","13","51","41","92","1","0","0"
"2cd264ec839f25b2be65dee42821adb6913f98c0","2018-09-26T12:58:56Z","0","0","0","0","0","0","0"
"51c71ecafb5d0236ce63ca836fa1e3bd59648f92","2018-09-26T12:13:14Z","4","24","0","24","1","0","1"
"a7d7f21a7e4ab99a2194845838ac21fc5e7eb1e1","2018-09-26T07:52:45Z","1","6","1","7","1","0","0"
"f9bdc786a804f00b1aa783a18bf90854dbf0e90a","2018-09-26T07:50:47Z","4","6","68","74","1","0","0"
"527d851f7fbe02bbb9ec91a24f1d691cf67c5bb0","2018-09-25T12:34:36Z","1","10","8","18","1","0","0"
"f684c1ddd2e44c139f7e231045112e517b755833","2018-09-25T11:28:11Z","2","10","0","10","1","0","0"
"c4cf61d318e859fa708c0ec5b4101663e4bf64d3","2018-09-25T11:14:37Z","0","0","0","0","0","0","0"
"110fb0773f2f93a29562f9b69ec89032b16c87d6","2018-09-25T10:42:41Z","1","1","1","2","1","0","0"
"7db7f0833c2dfa1f109dddd9fdce561fb4225f10","2018-09-25T09:02:59Z","0","0","0","0","0","0","0"
"11e2306573bfa1ffc6bbafcfccf2518ac2f1855d","2018-09-25T06:23:46Z","0","0","0","0","0","0","0"
"fe2ca84500f09e4f4e9aa514acf226045cd4bbd8","2018-09-18T22:25:47Z","0","0","0","0","0","0","0"
"f2635f11160a0ca997dbd11fede1b9ce1f2cd092","2018-09-18T14:02:18Z","0","0","0","0","0","0","0"
"cbcdda075f8025455fc8be1e505b859a0abc76f5","2018-09-17T14:23:32Z","15","107","74","181","1","0","0"
"64de774571ba783c62e403eb2eeefb550b27458f","2018-09-16T14:51:39Z","1","16","3","19","1","0","0"
"24610cc8ebca3ab10de745673f49644db8b5772d","2018-09-16T14:36:04Z","1","14","14","28","1","0","0"
"6388421331fa60a772d50203dadbf486d3e2bc1f","2018-09-16T14:33:34Z","5","85","14","99","1","0","0"
"d0e610d2909f3ed382f3e552c502de0ce171876e","2018-09-16T13:19:27Z","0","0","0","0","0","0","0"
"079b1272a506515bf01cdbd3cfd4fef2d0345bde","2018-09-16T13:15:00Z","10","188","33","221","1","0","0"
"b732226d7bd763ea0bcb2db15233e54843a37dfb","2018-09-16T13:15:00Z","3","8","7","15","1","0","0"
"c266041b8543db3b0e2f61659af3e62ae6c4b9cf","2018-09-16T09:33:08Z","0","0","0","0","0","0","0"
"005f039f7c0a91ed31a68a834c5d01d3c4af9a81","2018-09-16T09:33:03Z","0","0","0","0","0","0","0"
"be09cb0e9affab9080f3958814221f7a347a8537","2018-09-16T09:31:24Z","0","0","0","0","0","0","0"
"199cebd22139e338a9bcd50f6882e383216bc577","2018-09-16T09:31:09Z","0","0","0","0","0","0","0"
"40a590bdddf7ce620c013d915f3a5e463b04646e","2018-09-16T09:10:31Z","0","0","0","0","0","0","0"
"69c3e0dea8f36011e1ca75a131f006462d1e38ab","2018-09-16T08:14:17Z","0","0","0","0","0","0","0"
"549f15fdb10d56011ddcd6ab74c61df9e967b5e6","2018-09-16T07:28:38Z","0","0","0","0","0","0","0"
"058873c1edf74faecd38d4ae2a082a3738be6878","2018-09-15T13:37:41Z","0","0","0","0","0","0","0"
"29faa36ddf01c842c9c5181ec7f3eb488beccd71","2018-09-14T19:13:04Z","0","0","0","0","0","0","0"
"86046eaa5f83c922308591b4213c8d347efd11c8","2018-09-13T15:24:57Z","0","0","0","0","0","0","0"
