"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5f9ff918a0345d538ae0565dfc390af13a66a0d0","2018-09-21T18:48:41Z","0","0","0","0","0","0","0"
"83dc15d452aa4ee9f503ad047632995ec7f8ff0a","2018-09-13T17:12:24Z","0","0","0","0","0","0","0"
"aaf2d19925db4666d6018c0ab1ff0d7d4c90a21d","2018-09-06T08:15:04Z","1","79","3","82","1","0","0"
"3bd0b6f7bab35e074f374e5c19b67dbae16b4fed","2018-09-06T08:04:53Z","1","138","0","138","1","0","0"
"82544256b63c5cb0793b590ce5d60a298f4ee658","2018-09-06T08:02:41Z","0","0","0","0","0","0","0"
"7b7e18b64080fb9f8d6bc35e8ba89233c461b7be","2018-08-31T14:43:29Z","1","13","11","24","1","0","0"
"b482ab7cd8678a5a3e35390d40ee3448be4c92bd","2018-08-29T18:26:29Z","0","0","0","0","0","0","0"
"f885bb533e223a62decf89294c9f7270f6a3429b","2018-08-29T18:24:36Z","0","0","0","0","0","0","0"
"b1bd55609c8be30d342a339429fe1aac766e0a0f","2018-08-29T18:18:51Z","0","0","0","0","0","0","0"
"a8fc7630e7b607dfd4c67ad1160d781713cd6b9f","2018-08-29T17:59:46Z","1","31","1","32","1","0","0"
"0b9ca841692783e0f46944dfd81b3e8676557991","2018-08-29T17:58:38Z","1","21","1","22","1","0","0"
"5f63c66e1b33cc32674512cd9cf299bd85e4e574","2018-08-29T17:55:40Z","1","25","1","26","1","0","0"
"97084450f90d30a0c6b63efa09f3f6dd3f5f8ea9","2018-08-27T07:31:51Z","0","0","0","0","0","0","0"
"0f25d9e746bb479e918edacf2c48477affd05e00","2018-08-22T20:44:36Z","0","0","0","0","0","0","0"
"fe4ba12d1f0cb3e5a2208c57267e8af70495228c","2018-08-21T10:27:06Z","1","138","0","138","1","0","0"
"6b732623c62f3b4fdbcc47aa786556ae23da17a7","2018-08-21T09:56:35Z","1","5","2","7","1","0","0"
"975198c3d1ecb0d92b317f05e60e4df3260a0495","2018-08-21T08:45:12Z","0","0","0","0","0","0","0"
"aa2e894dab5f7b72ce07e743dfdbc05debb49d49","2018-08-21T08:44:50Z","0","0","0","0","0","0","0"
"a95af7452d141c81d36c2ae527ad9fe983fb2762","2018-08-20T17:16:08Z","0","0","0","0","0","0","0"
"f7b47597a4547f0bcdfd7ca589dfbd3795b2300c","2018-08-20T17:14:31Z","3","69","3","72","1","0","0"
"8718e618872705a97c0df92e672b62831e37abdf","2018-08-20T17:14:06Z","0","0","0","0","0","1","0"
"6d510728f4e8928d7502f8ae3fbed30c171fe3d5","2018-08-16T13:37:32Z","0","0","0","0","0","0","0"
"eec2c3ee91b1c4193ac9eae858717595e318c3c7","2018-08-13T13:29:29Z","0","0","0","0","0","1","0"
"feada0c1ee2e7d2d5d9f1b69a0b9fc03812d7384","2018-08-10T14:20:05Z","1","8","2","10","1","0","0"
"dc03edceb0c94b0f4a689db191b6eb273654a79d","2018-08-10T14:19:06Z","1","2","0","2","1","0","0"
"beedb1683782d030e08a4079d14aa276735676fa","2018-08-10T14:17:28Z","0","0","0","0","0","0","0"
"51f55e771feaacc1a1efba5dd794b78754c452bf","2018-08-08T17:12:48Z","1","5","5","10","1","0","0"
"1169bfe8b85b4bc9fd31c2bd089a3e50920f6cb6","2018-08-08T13:24:51Z","1","5","1","6","1","0","0"
"882653d2e9e2b7d1e8df4ea4ea20e74b0ccaf34d","2018-08-08T13:06:25Z","2","13","0","13","1","0","0"
"de426bbf33049e1d657abde3b1c3e510113f5e0f","2018-08-08T12:40:16Z","2","3","4","7","1","0","0"
"4843b39e60911158cd04bc8ed5b3c07f92aade19","2018-08-08T12:40:03Z","1","10","8","18","1","0","0"
"bc8e24ff1ec89fe146af3b10649280970824da5d","2018-08-08T10:41:28Z","0","0","0","0","0","0","0"
"b0bb4a6548a855f9a7ac81a555bb55ece2e364e8","2018-08-08T10:39:25Z","3","53","5","58","1","0","0"
"143289c1af90ea88197ccf3137a2f2c1253004e3","2018-08-06T03:57:31Z","0","0","0","0","0","0","0"
"2c4fcc9cb6d19e9ece1888a9bbbbc61b9bcd81b1","2018-08-02T19:28:19Z","1","2","0","2","1","0","0"
"a529d013603893a6f3e331678bd402948ab82b5e","2018-08-01T21:22:29Z","1","6","2","8","1","0","0"
"ccd9edcb1c4b66f4cabd7e13335f798f2b00b3b8","2018-08-01T21:00:58Z","1","9","0","9","1","0","0"
"b61ce08c35a821c223d5ce8cb8db31395c741948","2018-08-01T16:59:52Z","1","18","10","28","1","0","0"
"150efb0c1372e13955acbbe00bf458616f87c07d","2018-08-01T03:50:12Z","1","5","2","7","1","0","0"
"a071458feafc80a7a23cc43258d43f645833c0e9","2018-07-31T09:03:45Z","0","0","0","0","0","0","0"
"1510612fd3015e2452b5fdfdbb5a47165cd82a9f","2018-07-31T02:48:02Z","1","18","10","28","1","0","0"
"d22e07c9dabbeda5f41036fbec8bbe00da55deb1","2018-07-31T00:20:29Z","1","6","0","6","1","0","0"
"9cf51a52d4ae821bfb1ec76d3355f8e4dc158924","2018-07-23T18:32:43Z","0","0","0","0","0","0","0"
"e6de9117a85e6486c781eba8d6e0c9c80f1d5f93","2018-07-23T14:03:35Z","0","0","0","0","0","0","0"
"0d19d1fff23e5f15db56d65d48b0f245608d1484","2018-07-23T14:03:27Z","0","0","0","0","0","0","0"
"6be5ed4762ed89780dd40864a3272f885d813a17","2018-07-23T13:43:12Z","0","0","0","0","0","0","0"
"dd8b140a2085d62a7ee3091d82e2d084803a4859","2018-07-23T13:40:36Z","0","0","0","0","0","0","0"
"75626799c233295028d41c0fb5ace26ed63e0890","2018-07-23T13:38:50Z","2","62","0","62","1","1","0"
"1c6d7b0e10756c17ac16f51abb0fd6f6803e8770","2018-07-23T13:38:41Z","0","0","0","0","0","0","0"
