"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f3cab430237b4097aba21e9eb032a81d85febf2d","2018-10-01T12:09:45Z","0","0","0","0","0","0","0"
"3071cdf380c14298df6e8134506bd1a2d352029c","2018-10-01T12:05:15Z","0","0","0","0","0","0","0"
"5cfac7fe03530d14081827d9358a6ab3fc15221d","2018-09-25T12:08:06Z","0","0","0","0","0","1","0"
"8a047475132d33a748ac78ecec3ce3090d44c07c","2018-09-25T12:07:59Z","0","0","0","0","0","1","0"
"c7ef26eacf8ffb0ef980be9b783f46a98bb1acef","2018-09-24T18:27:23Z","0","0","0","0","0","0","0"
"eaa0cd395f781aa36d23815a3a1cd39039f289a7","2018-09-24T16:11:29Z","0","0","0","0","0","0","0"
"8bd6ff775087b2710c58230115db90e6756b3e29","2018-09-24T15:28:55Z","0","0","0","0","0","0","0"
"41523d999addbeef0b484d2f638690a4194d71ea","2018-09-24T15:28:55Z","0","0","0","0","0","0","0"
"6e1abf49a9ee8b12cea5471112a97efa92db45c1","2018-09-24T15:27:40Z","0","0","0","0","0","0","0"
"9592fe89f63d9257e05c657278d5d08f7f87c482","2018-09-24T15:26:13Z","0","0","0","0","0","0","0"
"b1512e1dcd4a09ae071ca2aa8f24b273103efd95","2018-09-24T15:25:34Z","0","0","0","0","0","0","1"
"dcf950a92970f47b66e388d1f9d31bb6cd323a03","2018-09-24T14:25:57Z","0","0","0","0","0","0","0"
"d7ea88646eaaae0f9e6421c7a22d9c91379d812a","2018-09-24T11:02:07Z","0","0","0","0","0","0","0"
"a1dcb2ba68ebf0e9651d8420178d88ee9f0c278f","2018-09-24T10:44:27Z","0","0","0","0","0","0","0"
"30b587ec9c14609ddc3e218cfe983d96c1e3769e","2018-09-24T10:44:27Z","0","0","0","0","0","0","0"
"57e535064cb0c752909f2567f2b9e1d058f31bc7","2018-09-24T10:39:27Z","0","0","0","0","0","0","0"
"40ba594fad2652d6bd93bdcd46c703ceb814bfce","2018-09-24T10:39:16Z","0","0","0","0","0","0","0"
"f9b665a19251ef152220ebab8032a5fabcb41dfa","2018-09-24T10:26:03Z","4","224","0","224","1","0","0"
"e3cb81cf5707e5fc8ad1bd83729bc80f901ebde4","2018-09-24T10:10:51Z","18","519","130","649","1","0","0"
"8dfff25ab5712b7b516e7d8feb81b2550ac14e03","2018-09-21T11:39:46Z","0","0","0","0","0","1","0"
"768d6f49924e977c7b210ec18120b1c5233242e1","2018-09-21T11:39:39Z","0","0","0","0","0","1","0"
"a635c03c3f36182cfc5224f346d8b483c4e720b6","2018-09-20T09:59:55Z","4","42","15","57","1","1","1"
"5824835c3861fde7d5d47ee12b63bf2c8eb49fe8","2018-09-20T09:59:45Z","4","42","15","57","1","1","1"
"87a609d584938bdc21f1613ce367f46aad8fc4a2","2018-09-19T11:35:30Z","0","0","0","0","0","0","0"
"ed6b6c26c723612bd4847971ee3ba559e934349a","2018-09-19T11:35:25Z","0","0","0","0","0","0","0"
"c3f354aa5ed9cdccdda3137b8366d7a4839a2883","2018-09-16T21:24:26Z","2","4","4","8","1","1","1"
"a1cbe18982052cc04766b32af9ce1c0c8ecbb239","2018-09-16T21:24:19Z","2","4","4","8","1","1","1"
"3e74309f9a9e9995e2f6f35b41f2048c5298d96a","2018-09-13T09:18:40Z","0","0","0","0","0","1","0"
"0388c781ab30822e006bf47242278ca1a5deb84f","2018-09-13T05:21:45Z","15","118","26","144","1","0","1"
"b32b8004b708136f2143ef020d7b3272b9fa02b4","2018-09-12T12:21:27Z","0","0","0","0","0","0","0"
