"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5f5d7236430e47aea5036f1595940f404c2557aa","2018-08-06T08:09:46Z","4","13","11","24","1","0","0"
"5a44ad0fb4af6b16518a364143f9597f988d5cb3","2018-08-01T07:12:49Z","1","16","16","32","1","0","0"
"24ee3b9afe0d834603f345d7eacafe8aee82533e","2018-08-01T07:11:27Z","2","7","3","10","1","0","0"
"643b41eccde11333edd0cc3fc4bf1c95fbb08658","2018-07-30T07:07:25Z","0","0","0","0","0","1","0"
"d27655c36b08c552f1cfc40c454f9fc285b2dbd5","2018-07-23T06:27:48Z","1","13","0","13","1","0","0"
"c5eafad515eeb4a1d8f3f11ccca756d9e54a45d9","2018-07-19T15:30:35Z","6","43","4","47","1","0","0"
"1d6fac733abf5a63a1bfcebd63b1e03674a9f9e3","2018-07-18T06:19:32Z","1","18","0","18","1","0","1"
"3a122fe086662f887e2f97f53a88fdf57b8bbdda","2018-07-12T08:18:19Z","2","295","332","627","1","0","0"
"94cbf8836b7d5899db7e4972fcab8caad61ac977","2018-07-12T08:07:16Z","0","0","0","0","0","1","0"
"35619f8a14291d4541e02604fc8db613f3fd778e","2018-06-27T06:17:14Z","4","333","372","705","1","0","0"
"d325639b4b14485d6375dd64c8931fac5088687b","2018-06-27T06:11:01Z","2","9","23","32","1","0","0"
"da929ec73782958a3c2be708eb2986b3ad0fd0ed","2018-06-03T04:10:29Z","1","17","4","21","1","0","0"
"ec15eb63469f60890850da6e64b91c324f071d27","2018-06-03T04:08:42Z","1","6","3","9","1","0","0"
"db7063628f4dd02da8e04dd27fed5259fc9ce6bf","2018-05-29T07:56:44Z","2","2","141","143","1","0","0"
"9255a2b52dcb11c808fe0151a7c16412560490f5","2018-05-29T06:44:28Z","0","0","0","0","0","1","0"
"7c348af099dbd48d2bad1fca895e6a08c1967818","2018-05-29T06:10:07Z","0","0","0","0","0","0","0"
"eeaee1eb74596e673932a5edf432ca090b863ba3","2018-05-29T05:07:54Z","0","0","0","0","0","0","0"
"d65eecaf7643754f3a9f1d02b7a29650b05de27d","2018-05-29T04:40:04Z","0","0","0","0","0","0","0"
"659945b8676b5cceade2ff4c81b5d9548f7a9ddc","2018-05-28T08:30:52Z","0","0","0","0","0","0","0"
"65d54997f87dc60bc7244ff3d6960ec39e7bc07d","2018-05-28T08:20:55Z","0","0","0","0","0","0","0"
"5e14883674352c0ae401d595f40d15b084032aac","2018-05-28T08:05:10Z","0","0","0","0","0","0","0"
"ebdfdfb61bc4a0e31ce832a2aeb2c3fc830bb7d0","2018-05-28T08:00:49Z","0","0","0","0","0","0","0"
"81475cc9a8e339a4010701cfdb0b66f09c836d90","2018-05-28T07:55:53Z","0","0","0","0","0","0","0"
"2ac2b469713f7f481b983d5885752b253f580d48","2018-05-28T07:46:32Z","0","0","0","0","0","0","0"
"47fc668f2c8d697c24e68e5c64abd9244ed60fb7","2018-05-28T07:40:16Z","0","0","0","0","0","0","0"
"e4f9d45125d47906baaf2ee8dbae1bc3e5d73706","2018-05-28T07:35:41Z","0","0","0","0","0","0","0"
"a7157f54074160c31b786d6a9adbf70cd7ca2412","2018-05-28T07:25:27Z","0","0","0","0","0","0","0"
"a6a09f2532f73fef9bb2691522e170848fa776a5","2018-05-28T07:12:41Z","0","0","0","0","0","0","0"
"9be0121387fdfa1beed8bc872a7ee19b0629f357","2018-05-28T06:52:00Z","0","0","0","0","0","0","0"
"3490d6202f3cad3b1c16b042bd9567988e545ed3","2018-05-28T06:28:42Z","0","0","0","0","0","0","0"
"9363972048350f933d2b0f3c3d7a9660147a4890","2018-05-28T06:00:35Z","0","0","0","0","0","0","0"
"4d93261b15ed6820ad90b8f2c8d0f8881f8c3458","2018-05-20T05:10:36Z","1","7","7","14","1","0","0"
"9be5d5180d427d102951180b53883ec2c165ffad","2018-05-20T04:14:23Z","20","2261","3407","5668","1","0","0"
"2b1088b997cfb9b6a6556187b4f10d83561545fb","2018-05-20T01:03:31Z","10","563","611","1174","1","0","0"
"cfd48f6e1e2f384379b67a76b239a10f14385c8c","2018-05-18T06:12:34Z","10","573","638","1211","1","0","0"
"bf52d61e7d446c2f26a5d248a51a6854ff012c34","2018-05-18T05:17:15Z","1","2","2","4","1","0","0"
"991e600002e1f0e7a905b2ca8d143c648eefc6c5","2018-05-17T07:39:35Z","9","539","627","1166","1","0","0"
