"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b5185b944b4bf960c19fac2ffc92b75d404650df","2018-09-27T18:24:17Z","77","10304","2770","13074","1","0","0"
"9b5eb59f5fbc1b445b7cb73a7b2b358e2f61446c","2018-09-27T18:24:07Z","2","24","5","29","1","0","0"
"54dbc22ffa40758ae41e9cf055145b535dcd3147","2018-09-27T18:23:57Z","3","55","1","56","1","0","0"
"5d741744ddf4b0541acc254a43083c21633b23ce","2018-09-27T18:23:47Z","2","5","10","15","1","0","0"
"3052d0ef4df842ecadcc7c9b882ecb3db5ce8d6c","2018-09-27T18:23:37Z","2","10","5","15","1","0","0"
"63663f2c5e34781fb144c301a897637b2452a8b2","2018-09-27T18:23:27Z","1","10","0","10","1","0","0"
"c024a06d433f3dd5aff0d463bdb6d526f5f16a89","2018-09-27T18:23:17Z","2","6","37","43","1","0","0"
"ab3a66857ca4b98a7a2146632af88ce03556f930","2018-09-27T18:23:07Z","2","189","68","257","1","0","0"
"8b534bb57262395e7fcf589c8370fae240debbba","2018-09-27T18:22:58Z","1","20","1","21","1","0","0"
"23464f2c4d919bab1dadf384926834ec89d96642","2018-09-27T18:22:48Z","2","74","3","77","1","0","0"
"f082ea48ffa60cf677ac1cb7eb6cecab0c5e48f6","2018-09-27T18:22:39Z","2","30","0","30","1","0","0"
"97d87a55c8a479965a7d24882580d0512886e2a7","2018-09-27T18:22:29Z","2","120","45","165","1","0","0"
"fe8230eca079d2f596dd5ab8a71a76b2be4bb52f","2018-09-27T18:22:19Z","1","21","0","21","1","0","0"
"85086d7258c331e171cc37ddda8ad339de68bfbe","2018-09-27T18:22:08Z","1","4","0","4","1","0","0"
"6cd0b8f8e75c74e3f576e4539a2630ce970650f1","2018-09-27T18:21:58Z","3","2","107","109","1","0","0"
"3e2d79f65ecace029db7f1397e447a8674b9b63b","2018-09-27T18:21:48Z","0","0","0","0","0","0","0"
"41fb86a222abef8191ccd38759a532e3effeb563","2018-09-27T18:21:38Z","3","107","2","109","1","0","0"
"47a81b89647b7a0b72b6ae76e50d5b81e0136ffe","2018-09-27T18:21:27Z","2","1","42","43","1","0","0"
"534569cdfaf6988b7619f5260d709411b07d33d5","2018-09-27T18:21:17Z","2","5","2","7","1","0","0"
"bba0749afc93cd31943f72bf07a7b26d8dac271f","2018-09-27T18:21:07Z","2","42","1","43","1","0","0"
"cfe335f72ed1a3cd87ee86685c383f579c1bcdda","2018-09-27T18:20:57Z","2","5","80","85","1","0","0"
"c7e14b7846d8d399e8198874747a739b59522c7f","2018-09-27T18:20:47Z","2","80","5","85","1","0","0"
"20c29a5fc3fad6b7598b830cef4fb13d2c93f5f5","2018-09-27T18:20:37Z","2","147","0","147","1","0","0"
"44738044d5092f11ad862e4d23292b8c20371adf","2018-09-27T18:20:26Z","2","130","0","130","1","0","1"
"628ae71854cbb6e61dbff2ec06894f49c4d55ddb","2018-09-27T18:20:15Z","2","83","0","83","1","0","0"
"22b0be90e6d409b5b8c7fd30a28229e7144c8c75","2018-09-27T18:20:03Z","2","76","36","112","1","0","0"
"01b3105b42979c737129ea59cafb0cf98cfc56e4","2018-09-27T18:19:53Z","2","15","3","18","1","0","0"
"5cbb6d86c56d776ac18d1b21b0a3344b206931ad","2018-09-27T18:19:00Z","2","52","12","64","1","0","0"
"11e2070ee3147677177fbc561e0023377db56984","2018-09-27T18:18:49Z","1","2","2","4","1","0","0"
"ebba774e0f7c695aa676823d3d011a2f68748e4a","2018-09-27T18:18:38Z","2","24","2","26","1","0","0"
"a9fe3ac12870629600301644c0ce0c2e46ec90cf","2018-09-27T18:18:26Z","2","308","10","318","1","0","0"
"0272833e5e83cf1a67e592f61f9f278814f135b4","2018-09-27T18:18:14Z","2","25","0","25","1","0","0"
"0008d60f1fdae393bea24c06ef81b07d6cf85632","2018-09-27T18:18:03Z","2","8","20","28","1","0","0"
"3ef48ed6ffd8cea172d4d2a6338ff8db4e89cfb4","2018-09-27T18:17:46Z","2","22","1","23","1","0","0"
"1ed765cdd51dd6f643e22d305232fe54dcd65e14","2018-09-27T18:17:36Z","2","21","9","30","1","0","0"
"1ab96006da565a5b6f98d50a979c88a189ff49bd","2018-09-27T18:17:24Z","2","7","2","9","1","0","0"
"006c1e2892ec894ddf7b0be625431689ab24733c","2018-09-27T18:17:14Z","4","251","0","251","1","0","0"
"662e4d3c151e5829a8cdf9056ad4c1d246b6a92b","2018-09-27T18:17:04Z","2","197","20","217","1","0","0"
"be622505620e4371eb1ad07b7acbdc7c4dfdd90a","2018-09-27T18:16:53Z","2","184","43","227","1","0","0"
"8385be4507e4d085d8264a62a3caf5f49cd2a3e3","2018-09-27T18:16:43Z","2","27","0","27","1","0","0"
"a21282183ce8a5d29491197bb2fc8fdca629063b","2018-09-27T18:16:32Z","2","58","29","87","1","0","0"
"b6cb7c3d1f22293cb753fda5bca263c081b40339","2018-09-27T18:16:22Z","2","92","0","92","1","0","0"
"29b558901487bf5270a82e8bd9a29114d54de09a","2018-09-27T18:16:11Z","2","19","0","19","1","0","0"
"e71bae4b8e9f6f3d84528d0adab7642b20e88bed","2018-09-27T18:16:00Z","79","2771","10326","13097","1","0","0"
"a2fed5d05586e1ebdc87059689ab3fd280cd6f35","2018-09-26T20:11:40Z","77","10304","2770","13074","1","0","0"
"2dfc82c55a94b6779968d3bdfca2ee2522e76207","2018-09-26T19:28:42Z","1","9","7","16","1","0","0"
"d4b5fe751b93df6c216c1a8e10e4a6db8d4e9aff","2018-09-26T19:28:38Z","2","2","7","9","1","0","0"
"6aa765842c8de49100e5a02d62c7142744adaf51","2018-09-26T19:28:32Z","3","50","8","58","1","0","0"
"b66800d07e1c216c6725798aae43c2cad1c73512","2018-09-26T19:28:22Z","1","7","8","15","1","0","0"
"686370129239b02146467b9ad0d4dc6930f22f29","2018-09-26T19:28:16Z","1","0","6","6","1","0","0"
"68f395b58dfe7fb52f36ab43b96f1a138b3a336f","2018-09-26T19:26:56Z","18","358","202","560","1","0","0"
"4310c6d9593bfe00a44b9e5d62fc2167f3d82264","2018-09-24T21:38:36Z","0","0","0","0","0","0","0"
"ab6d848775e4bfef87763124c0a20978acdf91a1","2018-09-20T21:50:32Z","2","0","2","2","1","0","0"
"00c136bba142adda541e0f1e7a6650b7e2e86058","2018-09-20T21:27:14Z","2","7","12","19","1","0","0"
"f4cd160de90b7df8936333096b36761651af7a8c","2018-09-20T19:59:13Z","1","3","3","6","1","0","0"
"e43034db741609ae4f0c7d812012c906eb850f92","2018-09-20T19:59:07Z","15","146","51","197","1","0","0"
"3943114ba7572f486f31fe92cc03ccb690bc2e98","2018-09-20T19:03:50Z","0","0","0","0","0","0","0"
"08cbb7e7477f31c39e4fccea7a2d855f45f4144b","2018-09-20T18:55:01Z","0","0","0","0","0","0","0"
"0da2caa3b8ad09422dc98327c5f8b91bf58a32e0","2018-09-16T03:19:08Z","0","0","0","0","0","0","0"
"8d28b36ae81f44c78ae8d81a4d2819eb7775510b","2018-09-12T21:03:28Z","3","302","43","345","1","0","0"
"fb6ff8970c5ea63b78b2e6595d1924f1214b7f28","2018-09-12T18:54:33Z","3","91","50","141","1","0","0"
"6a86d7f5486ce5d9c7a9124410791a5ada14ebcc","2018-09-11T23:21:40Z","0","0","0","0","0","0","0"
"60d6c40cae8dd690749bfe813918f7134f79aa61","2018-09-11T23:20:19Z","0","0","0","0","0","0","0"
"4ed0ee2b173ca2a1a15942f6b075d4c7864f6532","2018-09-11T23:02:15Z","9","177","39","216","1","0","0"
"75a484ffddf9aae23af200b9fdd60086f12396ee","2018-09-11T23:02:08Z","3","59","66","125","1","0","0"
"e40a05fac38f04a2e04f3932bf40c5cad1a9e029","2018-09-11T18:02:49Z","2","22","1","23","1","0","0"
"cb7c2984074b2213fb1ec1d60ee499c33efdb7e5","2018-09-11T17:02:36Z","0","0","0","0","0","0","0"
"5ab2c94a69f99c238eb163a72d2fb5c178590eb0","2018-09-11T02:19:17Z","0","0","0","0","0","0","0"
"d2704494ecc8ce6c5c0cc6ad37097a2cf4d5af90","2018-09-10T21:52:53Z","1","1","1","2","1","0","0"
"4acc7cda68ff2dcbd03791a1e0e9556176cf7e38","2018-09-10T21:24:00Z","1","21","0","21","1","0","0"
"7577498a14c7ae1a3921897b3b0640bef47d8db8","2018-09-10T21:03:52Z","1","1","1","2","1","0","0"
"1aee473ca5a2ad403e9f6fe77bf80708fafaaa18","2018-09-06T21:10:12Z","0","0","0","0","0","0","0"
"4d9e0bbe898b193d95b1f75461a38d7581157425","2018-09-06T21:09:44Z","0","0","0","0","0","0","0"
"3996aef8319cc9dbf4cf51066ba21bfd058f5c01","2018-09-06T21:06:04Z","0","0","0","0","0","0","0"
"31135c520ecfa478b8226d1f82fc0b7a68894da0","2018-09-06T21:02:59Z","0","0","0","0","0","0","0"
"4534b8a15c7226fe3324c470ed9048b02f390b08","2018-09-06T20:58:17Z","0","0","0","0","0","0","0"
"db275cb8dd627245607aee30f9d547180aa822af","2018-09-06T16:47:50Z","9","281","12","293","1","1","1"
"cdf086b602207775c38599e909ffd5257a266ce8","2018-09-05T23:37:43Z","0","0","0","0","0","0","1"
"ed9cb58483a6d587c2bed28f27e3f8677b2c1d52","2018-09-05T21:04:36Z","0","0","0","0","0","1","1"
"acaed5fdac1c8bfd7095976470b30df793ce8575","2018-09-05T21:04:27Z","0","0","0","0","0","0","0"
"ab1155b7bab150a81079f703792de3976b4b8832","2018-09-05T21:04:17Z","2","147","5","152","1","0","0"
"ff8ed8b8a6a04b617d8a97ab7172349cf3bc79f5","2018-09-05T21:04:08Z","2","54","0","54","1","0","0"
"ae0bf2773fe578b02680009c0c7c4c8f77ef0808","2018-09-05T21:03:58Z","2","22","0","22","1","0","0"
"b854b71acdf8455a81e303b83c3deb9195ebdfa7","2018-09-05T21:03:49Z","1","18","0","18","1","0","0"
"a85b6c2559f42a4c0042a6ac8c2537dbf854cf11","2018-09-05T21:03:39Z","2","40","7","47","1","0","0"
"1baf7c2dcec13322f768a6a28ad9d371534d0a97","2018-09-05T21:03:29Z","2","5","108","113","1","0","0"
"8325df1713b420e7da5a3d9e2ced742c81b4e2fe","2018-09-05T21:03:17Z","2","108","5","113","1","1","1"
"a3ed8c83e3aada8ad5b9c3b58c57c9bd96e1f5c7","2018-09-05T20:12:40Z","103","5050","1019","6069","1","1","1"
"2d5a8a456a0ce535372c1f96c65b518d2ce861b5","2018-09-05T17:10:22Z","0","0","0","0","0","1","0"
"0bc468e0daa7a229ef652065bc92f85e362428de","2018-08-29T23:00:27Z","0","0","0","0","0","1","0"
"0e717db8773f01e50fa4e81e4964125b8148fd1d","2018-08-29T21:05:48Z","0","0","0","0","0","0","1"
"526835146f3881b428ea6f637faf314f6bbd1b5e","2018-08-29T20:11:18Z","0","0","0","0","0","0","1"
"b380af09d748771858c43d1ce62f5835296e64a3","2018-08-29T18:31:17Z","0","0","0","0","0","1","0"
"ec53a305f30c30d2a7ffde32de4242bfebdc8a6f","2018-08-29T18:02:06Z","0","0","0","0","0","0","0"
"abf74bee073689cb4cf84963a7b3af5a8d66e730","2018-08-29T17:42:22Z","1","1","0","1","1","0","0"
"85c954e42e3726f1e2b7821e5d6f66cd66b92f39","2018-08-29T17:42:13Z","3","41","7","48","1","0","0"
"34fc803b7170885a1383d0e24d5075b00861c7a5","2018-08-29T17:42:01Z","1","6","5","11","1","0","0"
"98d45c43d198061a596f1580d09c9b7a31fecd7b","2018-08-29T17:41:52Z","2","35","2","37","1","0","0"
"89533804983e35a4ee7da9dba2e478ecbc30a439","2018-08-29T17:41:43Z","2","63","0","63","1","0","0"
"31b534c2cd2805a61a409f89e7111af4e9ca681b","2018-08-29T17:41:33Z","2","32","1","33","1","0","0"
"14b085a8c38b8a36eace0555c2b64a694843e730","2018-08-29T17:41:24Z","2","131","0","131","1","0","0"
"30ac4161d593a00b15960ff6d2628adea462f90a","2018-08-29T17:41:15Z","2","214","69","283","1","0","0"
"e77ad350c28dc684f6b8256e97441edc2808bab6","2018-08-29T17:41:05Z","2","15","0","15","1","0","0"
"faf97f282c46a898695e9d8142aca9fd531b8a63","2018-08-29T17:40:56Z","6","75","91","166","1","0","0"
"caa22075c587faf2033b2924440e7f9d4b87ef3c","2018-08-29T17:40:46Z","2","224","0","224","1","0","0"
"16ec8ddde1c5bcf5f5e6975900f0bcac618db36c","2018-08-29T17:40:37Z","1","1","1","2","1","0","0"
"295821c78df21b93fa40bf7f4ff4b2e74170401d","2018-08-29T17:40:28Z","2","77","0","77","1","0","0"
"1d461d0fe6570d82f7a6fad15dcc6ed063ea3cf5","2018-08-29T17:40:19Z","4","235","13","248","1","0","1"
"6db01c16418806cfdc563ccce6b8251f0632a0b4","2018-08-29T17:40:10Z","4","53","5","58","1","0","0"
"79e9f874cde760b9cd2597a0a9ee8a66b6689c61","2018-08-29T17:40:00Z","2","83","0","83","1","0","0"
"c6a8908c85010e4f9b8043ce7efc29d024a788a0","2018-08-29T17:39:50Z","1","228","4","232","1","0","0"
"b04c16570855e16a6d4ce7e16d3aa77b05cac74d","2018-08-29T17:39:41Z","2","63","0","63","1","0","0"
"23ea49414f5d5ea7a0033839aa74a1a69caece67","2018-08-29T17:39:31Z","19","638","356","994","1","0","0"
