"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"42a0ef7827109b44279f6e2276e19bc134b15628","2018-07-09T22:18:01Z","0","0","0","0","0","0","0"
"3e83e29d411bf6e2ed298282f6b993e1e81d3934","2018-07-09T22:17:00Z","0","0","0","0","0","0","0"
"e235fde6e2aa9c8813605dc73cead37c7dd9f3f2","2018-03-05T16:56:29Z","0","0","0","0","0","0","0"
"2b6d8728a11365bb9e316085f5e1020bb1c8f980","2018-03-05T16:56:11Z","0","0","0","0","0","0","0"
"317ee2d8ad980102cdbce463f64c582ca241861b","2018-02-21T02:27:56Z","2","55","0","55","1","0","0"
"1e2f1c0e6a00772390afae9abcaba44b9e91abd3","2018-02-20T15:11:10Z","2","55","0","55","1","0","0"
"7a45c856db699bc8ee2992504e44e6ef7eed7370","2018-02-12T21:34:18Z","0","0","0","0","0","0","0"
"a9fd949c4514c5b31cf1c72beb68a68f7869dd97","2018-02-12T21:30:15Z","0","0","0","0","0","0","0"
"ed88b15586a56574e475fbd16eefe87cb0f00466","2018-02-12T21:25:54Z","0","0","0","0","0","1","0"
"52b3856dcccd2334dba4e2c5cafa9324014ccdbd","2018-02-12T01:31:55Z","0","0","0","0","0","1","0"
"eff60d26ca7c07f49e76589cca810e497e9a7c18","2018-02-12T01:30:14Z","0","0","0","0","0","1","0"
"ee0ea96c70731fa3440b7e1735cebdacf95cb245","2018-01-27T19:56:45Z","0","0","0","0","0","0","0"
"c7cbb344eedcd7ea71dfc462bc5b268112f92e2e","2018-01-11T03:34:41Z","0","0","0","0","0","0","0"
"dae34762ca41f532094433c3ac1e515865e74754","2017-12-18T14:57:37Z","0","0","0","0","0","0","0"
"222966bad6c523edf0aba255bfb5a7da10bb1f2d","2017-12-18T14:57:19Z","0","0","0","0","0","0","0"
"9ba06a90d2790ab0d282efb947ca479874f5a849","2017-12-18T14:52:13Z","3","309","0","309","1","1","0"
"7abcba4eb39bdaf5ae77d21b06df9574e1a7f4ab","2017-12-18T14:44:28Z","2","48","12","60","1","0","0"
"129eb3d0bcecbf563f9cf0b24fe5b8d594a4ca50","2017-12-18T14:29:02Z","1","23","0","23","1","0","0"
"c90ecee4182ae0b98b391977e6bcd192c2644f32","2017-12-16T03:02:35Z","2","48","12","60","1","0","0"
"5cd7e263873d8a92fdc8f3ae85a693879df12e9b","2017-12-16T00:47:40Z","1","21","0","21","1","0","0"
"44d833bd08e808784d6a7a8a2d7b669e65adeb31","2017-12-16T00:41:27Z","1","2","0","2","1","0","0"
"20a537e4a73d980c3e7bd827500ffe56f343bac7","2017-12-10T05:56:32Z","0","0","0","0","0","0","0"
"f7a049b8c8a0ebbb54cf9c3188ebfc49afa19d05","2017-12-09T23:57:23Z","0","0","0","0","0","0","0"
"d6ae8b549330a298cbb9d0a3a59a402591e3f013","2017-11-29T16:04:08Z","0","0","0","0","0","1","0"
"8bb23ec9dd35c50a7a8c86b89e9458d64ac5a8eb","2017-11-29T03:49:02Z","0","0","0","0","0","0","0"
"5da4b76708eec38fad1ab1b56bdd0bc9a5690db3","2017-11-29T03:44:40Z","0","0","0","0","0","0","0"
"ce880b0322d99187629243f816046c3083e6a6b4","2017-11-21T20:56:41Z","5","9","5","14","1","1","0"
"2d1db48d21bc284da09006d1444e1092a4476078","2017-11-21T20:42:12Z","5","9","5","14","1","1","0"
"dbd1cb92043b93a73f4a2f7bf03b10571ce85716","2017-11-21T20:28:11Z","0","0","0","0","0","0","0"
"0f4318b44bb32700fdf28e0121cbca7f9b5e542f","2017-11-21T20:14:37Z","0","0","0","0","0","0","0"
"95b16e952a6acd2947a7346f4d729cbc02749a82","2017-10-02T14:07:18Z","1","1","1","2","1","0","0"
"936ea4ff640f8713654a1c50acd88193a1781b34","2017-10-02T06:33:30Z","1","1","1","2","1","0","0"
"11595cdb14f4d70ffb93b5fa9501d7e98d917f21","2017-09-15T02:17:35Z","0","0","0","0","0","1","0"
"eec485fb8282c6c4814cd1dc020d4adce1834931","2017-09-15T00:59:41Z","0","0","0","0","0","1","0"
"c0ef51a41b5018ac17b35dfcd87c25e580eef4fb","2017-09-15T00:57:22Z","0","0","0","0","0","1","0"
"a1864197ac740031752fa7ec4a2c62bfcad0faf7","2017-09-14T21:32:54Z","0","0","0","0","0","1","0"
"8b03596b2f9b72bb0b61f3ebc545315331a138a1","2017-09-14T21:03:00Z","0","0","0","0","0","1","0"
"7f3013cd7af31ff0667174b9edf1f1cffda8069f","2017-09-14T12:23:32Z","1","2","3","5","1","0","0"
"acc9292b8de3cfcd84386064f88a00489183d3aa","2017-09-14T10:47:07Z","1","2","3","5","1","0","0"
"5b42c5ea37093c210832ccaa56b1595e9516d4c7","2017-09-14T04:07:56Z","0","0","0","0","0","1","0"
"9de0c83830413bbc05734ebd15da8c587ffd23ff","2017-09-14T03:59:17Z","6","80","116","196","1","0","0"
"428e3570a9eaf94b97044679fbd74438abfab344","2017-09-14T03:43:38Z","6","80","116","196","1","0","0"
"bd05a410c194cdb4f58187ca3063307805cb47f5","2017-09-14T03:41:29Z","2","86","42","128","1","0","0"
"82caef0668054c06d6cde20a8a30d6f81fe634ef","2017-09-14T03:34:56Z","0","0","0","0","0","1","0"
"255e9aeae61ffee84939c1765e2dbc62c5465180","2017-09-13T23:36:40Z","2","86","42","128","1","0","0"
"cf31b25e992136dac4f2bb989b457a0047f71315","2017-09-13T22:42:57Z","0","0","0","0","0","1","0"
"e35ab3c4cba2104aa5d6ebe611ea8698945f516b","2017-09-13T22:34:09Z","0","0","0","0","0","1","0"
"c9f2af748d9cacde453b37b1872de48fa9613858","2017-09-13T12:03:37Z","28","199","563","762","1","1","0"
"cc42743fff940ac66c076f71533735549a3ee94a","2017-09-13T04:08:39Z","28","199","563","762","1","1","0"
