"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b12beef2e010992da2fcc8e6fc1e68593b659708","2018-01-05T12:16:44Z","0","0","0","0","0","1","0"
"aeb49d1acc6a2dc55636ca7924e0317e4fcd9518","2018-01-05T12:06:23Z","1","1","0","1","1","1","0"
"41e4d45056834f1298d250452cd0223885f4985c","2018-01-05T11:15:32Z","0","0","0","0","0","1","0"
"82e76d589d3c8480bbd2b2ea1590cbdd04f0ac20","2018-01-05T10:19:21Z","0","0","0","0","0","1","0"
"01b9b8dd043738fd3391b3084640e6b518e08410","2018-01-04T11:26:26Z","6","44","2","46","1","0","0"
"e65a48ea736265c499641bc59ea81054baf81861","2018-01-03T09:29:43Z","0","0","0","0","0","0","0"
"86550b7752dfdd40646ac8144fdb7b8d186e5bb3","2017-12-31T15:53:58Z","0","0","0","0","0","0","0"
"2559bcfd51e297ef36f45cfddea95c7cf0644b9a","2017-12-21T11:49:39Z","0","0","0","0","0","1","0"
"b9f5ed7edb5c458d9f3b56714e6477ae7cbf23e3","2017-12-20T10:32:53Z","0","0","0","0","0","0","0"
"86582fd0ea9a30535bca158c71d478af8de34dca","2017-12-20T09:49:08Z","27","63","63","126","1","0","0"
"268b517d8005697e798c796594b712aaeab20d89","2017-12-18T16:09:28Z","0","0","0","0","0","0","0"
"ccc976085f7d7fb0ec6d6853127445936061281f","2017-12-12T10:01:31Z","0","0","0","0","0","1","0"
"18bb9004417b5e4b82e3799f96fe04b76a6e2fc4","2017-12-12T09:48:49Z","0","0","0","0","0","1","0"
"4fcba20393c288051e2f19a4a9afabe9e4e2329c","2017-12-12T09:29:20Z","0","0","0","0","0","1","0"
"184fb8e7f4c61f057e1d2cc9a46481601afcc7d2","2017-12-12T09:15:57Z","64","1035","458","1493","1","1","0"
"544ee5bcec1c6da9c787267c291e17a2e5ca6343","2017-12-03T10:35:40Z","7","39","17","56","1","1","0"
"675a8f6e78f29dad137f83d27fe696c8ad4f1db8","2017-12-01T09:34:36Z","0","0","0","0","0","0","0"
"d968a579c0094179dc26747c2ea01a08d9a36286","2017-11-28T07:46:51Z","268","937","935","1872","1","0","1"
"cce25b0014ea8b60eea9b8b5ac0601662646ea2d","2017-11-27T20:47:24Z","26","688","27","715","1","0","0"
"835ff7fa0a9d9a21dc48addee5ece051a32c30fb","2017-11-18T14:43:28Z","58","842","157","999","1","0","0"
"0643752d8839332c61b4ac3ed12e7b18cae2644a","2017-11-18T14:22:13Z","3","123","16","139","1","0","0"
"04145e22f7a3dd0880869dad42735bd6dae29778","2017-11-15T09:53:37Z","12","379","57","436","1","0","0"
"80db4b97299b52f550b385f23ac31858e4c35f60","2017-11-13T08:48:25Z","6","68","66","134","1","0","0"
"5850b7e450b5d58498fbc5acf23076cb055b578b","2017-11-13T08:48:02Z","23","303","122","425","1","0","0"
"18a6c2bde8082ee60a8bd47e56ea0e2fb3a01a0b","2017-11-09T10:20:54Z","134","3074","3131","6205","1","1","0"
"776160022233b52d41b553bb27958531f0ef0d74","2017-10-30T06:18:31Z","0","0","0","0","0","0","0"
"2d83b8a0fc2a132b6f371f8f2a86459fb307b160","2017-10-29T10:41:34Z","0","0","0","0","0","0","0"
"6f178bf67e52ebdbd589d7c78854307c1fe8bbca","2017-10-29T10:02:07Z","0","0","0","0","0","0","0"
"f7fba3021426e19d623febb81fd551d6c04c992d","2017-10-29T09:34:48Z","0","0","0","0","0","1","0"
"0e22f67616e5a5d3a9284c22f6414986a2e0ce58","2017-10-28T21:36:04Z","21","246","165","411","1","1","1"
"56e678a15e137239b00270d99346dddd0a93de33","2017-10-17T12:11:20Z","0","0","0","0","0","0","0"
"5b6f31ab3ecc5ebd96db453a72f473c27e504649","2017-10-16T21:44:51Z","3","100","8","108","1","0","0"
"f11669d5c607bbee0ba36ed7129f0a70a96e833e","2017-10-16T16:13:38Z","0","0","0","0","0","0","0"
"46e0456aac0a8644d942bbe7beffe4e6f827ff11","2017-10-16T13:05:07Z","0","0","0","0","0","0","0"
"3c33219959d012f6369511c1befaf7696e979618","2017-10-16T12:49:51Z","0","0","0","0","0","1","0"
"46ac214066591b94e695f03c642bf924cc99de75","2017-10-16T06:52:25Z","0","0","0","0","0","1","0"
"a978d979e2b7c83e9213b0f4a22070e4b4bcc12e","2017-10-16T05:28:53Z","1","2","2","4","1","1","0"
"a50b2f3747a261104b4aede2677479b2bf81b8a4","2017-10-15T22:35:15Z","0","0","0","0","0","0","0"
"110335be4bad050447193833f46884ab59a12e05","2017-10-15T10:15:24Z","0","0","0","0","0","0","0"
"61202296ef678efd53f20e248795615d32b5ee4a","2017-10-15T09:58:55Z","0","0","0","0","0","0","0"
"9e53b4590370112fbac55a13533d17f788c59ca3","2017-10-15T09:28:09Z","8","204","15","219","1","1","0"
"6af1d42db82ede54731966f21853680126101475","2017-10-09T11:59:32Z","0","0","0","0","0","0","0"
"4ba8528a5acdc1721bd8a1a0566a8d86bc78ca28","2017-09-29T07:13:22Z","0","0","0","0","0","0","0"
"bdd6f04864da90a95d747a94ca617fc2cc07cd38","2017-09-11T20:34:02Z","29","132","34","166","1","0","0"
"c02e1fc9c0458ab0b2c981479ad3d666e82c9feb","2017-09-04T22:59:31Z","11","402","18","420","1","1","0"
"2f10dc538128eb63ae085f87b885813f76b526ec","2017-08-27T09:57:31Z","36","182","134","316","1","0","0"
"cc1490f4b37ab0d3fc5ca00612cf4de86dc272c9","2017-08-23T07:09:41Z","2","1","34","35","1","0","0"
"e104f3115a83984fed771d89946a9d6a372d3a9b","2017-08-22T08:10:55Z","0","0","0","0","0","1","0"
"c4c7aa4c0b3c22b169a89ae1eaeda87f758cfcd2","2017-08-20T09:32:39Z","49","312","1271","1583","1","0","0"
"04e3c59162f752d2acca1841bab9a9cb22fee204","2017-07-27T08:32:11Z","267","917","921","1838","1","0","1"
"a53413cfd75b01c455a2df467d8275bc0d456620","2017-07-26T02:10:42Z","1","8","22","30","1","1","0"
"85a0c38f92a75e4c37849012af8053d86d63b893","2017-07-11T09:46:21Z","0","0","0","0","0","0","0"
"39b0a22bbe56e3d333167c64e12e9c8bf69fa1e3","2017-07-11T07:10:24Z","0","0","0","0","0","1","0"
"be69efd02e7b7a1080134c3ef56dc583c67ad6b1","2017-07-08T19:55:42Z","28","393","331","724","1","1","1"
"700b891faff48a4c8b0d379be99d6f9a6e70f50d","2017-07-07T07:13:58Z","1","62","6","68","1","0","0"
"884277957ebfb08a3ab0935f3fe7477dc13c7a5e","2017-07-06T12:53:41Z","19","1067","0","1067","1","0","0"
"9907616b2e55b8e646096242ca0084d1544b0282","2017-07-06T12:33:46Z","80","2741","881","3622","1","0","0"
"13a5386ffebfa849763fa5fdd26e0a4cd9e0c284","2017-06-13T15:15:35Z","6","63","4","67","1","0","0"
"fce21913f7d86c2618174261c76c852934f27f5e","2017-05-23T20:54:27Z","2","2","103","105","1","1","0"
"417b372df40b7819e849f8bf1729d7682b443cfb","2017-05-19T15:08:59Z","0","0","0","0","0","0","0"
"fb423619f23a50e206ee5a4c233efc9b347e9cb2","2017-05-19T14:37:48Z","0","0","0","0","0","0","0"
"4fac539a647e279b633c846f3034e88d5c4c8628","2017-05-19T03:00:16Z","0","0","0","0","0","1","0"
"cc08e3f1fb381a8ee596a97a16bd6ba1b06876d3","2017-05-18T07:28:08Z","5","6","17","23","1","1","0"
"2baa074d873ddac9de8ed31f4c4549e4c82c7f28","2017-05-15T14:38:47Z","0","0","0","0","0","1","0"
"da016dbd87443d0e062e7c3c470b3c8e718e6c9e","2017-05-14T23:09:29Z","0","0","0","0","0","0","0"
"b9347eeed3247eef4ebae898d794edfafc3bd49a","2017-04-27T22:46:32Z","0","0","0","0","0","0","0"
"6d92d70b76b4071f2b7167aa1610b68dccaff9f0","2017-04-18T10:38:19Z","45","1678","13","1691","1","0","1"
"da7a1f541369e072214d39ec57ffd6ca69d85ccf","2017-04-03T20:52:03Z","181","328","3271","3599","1","1","1"
"8575ad9bd10c2229ce33f5add5e6c03a51971090","2017-03-29T11:54:26Z","94","174","176","350","1","1","0"
"f6f35fed1678af522a9c379a1b0f9175bdf2acc9","2017-03-28T05:46:42Z","70","3590","651","4241","1","0","0"
"2218a194da8a0615de107c6eddb3d657e630bfe4","2017-03-27T07:25:34Z","0","0","0","0","0","0","0"
"0779c972bbe7c23b669936fdc98bb5993ca3f0b3","2017-02-19T16:17:37Z","0","0","0","0","0","0","0"
"6eb798d4191d345b0bef8278c73ecdb20a565d23","2017-02-18T16:34:23Z","86","2649","1142","3791","1","1","1"
"91ef8961461561a1f569f76a3d5f1603b12a2921","2017-02-18T16:21:44Z","0","0","0","0","0","1","1"
"13916c8471abc88f662b0b447b02b5c1443547c5","2017-02-18T11:29:46Z","0","0","0","0","0","0","0"
"796cfc9bd23ff4008ee09d1643440387557aa747","2017-02-18T11:29:46Z","86","2649","1142","3791","1","1","1"
"ee9abf8a81590abdb3328b37b24751082e19d739","2017-02-17T10:25:35Z","0","0","0","0","0","1","0"
"2c1fd0e3a9bbee9c34077accd3587c5c0f115c44","2017-02-17T07:38:30Z","6","34","41","75","1","1","1"
"d1e5ac03c4977d7a8920ed29c14b39dd48354415","2017-02-17T06:55:16Z","6","34","41","75","1","1","1"
"554d14b3405171952ee686bd1a06bd50ab20fa4c","2017-02-13T09:00:31Z","92","2667","1326","3993","1","1","1"
"b9523f40a94c95ccbe20c5fc36a46820b69a4398","2017-02-09T11:21:04Z","4","43","0","43","1","0","0"
"885d1d7a811d5a260274b4b7a989f4b7b0ac1df2","2017-02-08T12:35:58Z","64","1223","375","1598","1","1","0"
"d637f03cf56b99c84676f9566d4a8582f0a7fc15","2017-01-26T14:12:06Z","2","3","3","6","1","0","0"
"184e12dfb19cda58a9c5bc1cc02b236e29cd487b","2017-01-22T15:14:47Z","0","0","0","0","0","0","0"
"5033788708aef8e12e05b5a7342e240b96ac3d39","2017-01-21T22:30:32Z","8","24","22","46","1","0","0"
"d7528e79b1b91ba985499e72a11f874462f9b09a","2017-01-21T21:41:37Z","0","0","0","0","0","0","0"
"a5d3fdb0ba5b959ddfc48508bbab436ed4efc114","2017-01-13T12:45:04Z","0","0","0","0","0","1","0"
"17a1b68033cebc4e019de6562d5ed77fe619a1cf","2017-01-05T07:04:44Z","0","0","0","0","0","0","0"
"65c0837873ac0207c453b1bd2a804feae265f701","2017-01-02T23:06:46Z","27","60","56","116","1","1","0"
"224bcb9ec4d2cbbed86bdcb55e9b751b90c7a333","2016-12-29T12:28:13Z","0","0","0","0","0","0","0"
"12349eb8e39a8eb3adb4880057724527140d920b","2016-12-29T09:54:28Z","0","0","0","0","0","0","0"
"d60401fc0d6ecc6bc41330a667f438cbc6cced8e","2016-12-29T09:54:01Z","0","0","0","0","0","0","0"
"26710e9987c9a67ada569c3459de7ec3c698ed9d","2016-12-28T19:48:30Z","5","122","23","145","1","0","0"
"8069fa4c6e45edce67bf5e509d4c9a0c8b99bbc5","2016-12-23T06:15:30Z","7","120","128","248","1","0","0"
"e143fc78b9d12503d83f81937838fdfc85b03fcc","2016-12-10T08:38:24Z","0","0","0","0","0","0","0"
"acf231479f6767b62cb9c5976a9a085ecc3b0d5a","2016-12-06T09:41:18Z","0","0","0","0","0","0","0"
"1c55bdb5e0aee36caa29cfa7d354e6d086a4b435","2016-12-05T05:27:25Z","19","290","147","437","1","0","0"
"b62d8555d6708de473f092e460d99d18170ad8e8","2016-12-04T17:27:26Z","2","2","2","4","1","0","0"
"7dbfbea7fa062a0c2f96d7b77923a831903a303a","2016-12-02T07:46:58Z","1","1","2","3","1","0","0"
"ecd359e34bd42b388418ac524dc00fcda4d1c73d","2016-12-01T18:52:58Z","4","12","24","36","1","0","0"
"6cb6ec13335cdf5179173bb04a1e1c52b028aa5d","2016-12-01T18:11:55Z","15","278","122","400","1","0","0"
"ba86d14b750ecd08ed9ec3f642a0d443135f3bd9","2016-11-29T23:33:19Z","30","670","173","843","1","0","0"
"8a7d6aa4db6dfeece669dfefc3ed3e56f19df965","2016-11-19T23:47:08Z","2","118","7","125","1","0","0"
"9cd8d34b1ef25d21ca4407d476214ca59a8ab702","2016-11-01T06:15:28Z","4","43","0","43","1","0","0"
"2aeaea6c18f289ee2908e7604c5d062eada2cd17","2016-10-23T10:28:18Z","2","124","8","132","1","0","0"
"f714f7076211314b74a483090cbc15d426821835","2016-10-23T10:22:04Z","14","100","11","111","1","0","0"
"a035337cd28453f97dba7c66ecb9fc2ec5eedc9d","2016-10-10T19:34:24Z","0","0","0","0","0","0","0"
"9df389b2ba5a665bad971f0c72e05280f11e0d58","2016-10-10T07:07:10Z","1","4","3","7","1","1","0"
"ce83d80d59c6a408e774dc2d6876e0e2ebd542e8","2016-10-08T12:18:38Z","5","306","0","306","1","1","0"
"ac36253a6dc47488f0f6ed68780808a42016ea49","2016-10-06T17:43:24Z","2","10","11","21","1","0","0"
"781fb66ed0667123327c64898d93dfbe22d976e1","2016-10-06T17:41:40Z","8","19","23","42","1","0","0"
