"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b61c59eb6681f53a412db42aa62d401973c6abcc","2018-03-15T06:49:29Z","34","229","148","377","1","0","0"
"6b81b87e703e2e594e96af2421e79dbcebae38f2","2018-03-15T06:47:20Z","0","0","0","0","0","1","0"
"dcb152f6a07600ff8e303a706030e882721fd231","2018-03-14T06:46:10Z","0","0","0","0","0","0","0"
"759e50d71a77cda4447b2515fc1beb86fb8ed167","2018-03-13T18:33:31Z","0","0","0","0","0","0","0"
"c4438c0e23e73dbcd68538dd1a989fb88c4c271e","2018-03-13T07:08:56Z","0","0","0","0","0","0","0"
"fd11a99ce1a71396430b42ce9e5052ef23f5051c","2018-03-13T06:58:37Z","0","0","0","0","0","1","0"
"b8cd7d00257742006b93ca685798316d2baf41ba","2018-03-09T13:36:24Z","10","106","38","144","1","0","0"
"f3df88d9ab18d207e9a668e3ddac48fc4814b893","2018-03-08T11:33:03Z","10","106","38","144","1","0","0"
"cf027602c6a767904959012c9b65a8fcdeabd628","2018-01-28T15:08:18Z","0","0","0","0","0","0","0"
"c3beda0f946581cbaeee9b30cf1752769a2f7bca","2018-01-28T15:07:41Z","0","0","0","0","0","0","0"
"2f84c2aa87b4a684b5d65639db32c036577aec5d","2018-01-28T12:04:29Z","0","0","0","0","0","0","0"
"cb93ba0b35cf4c48f86a8d0af599b8baaf008973","2018-01-19T08:20:05Z","0","0","0","0","0","0","0"
"dd61ffa000dda73ee0d3b467ae8fad6816f36db9","2017-12-17T09:43:12Z","0","0","0","0","0","0","0"
"4aababf6b2914ada07bb3a79f2dc243fdc4a9a67","2017-12-17T09:41:33Z","0","0","0","0","0","0","0"
"4888c502671fdd3987a72d90616926649fe85175","2017-12-15T08:50:04Z","0","0","0","0","0","0","0"
"cb946bb21ae94717166cf7b9b2d8003e206c9e7e","2017-12-15T08:47:39Z","6","42","24","66","1","0","0"
"9a3dc7df6814c53d8958ffe567a39fa6333c4d65","2017-12-15T08:34:05Z","8","17","9","26","1","0","0"
"ab56d7cced1662f6e428dcb27b904ef34a484f45","2017-12-13T08:14:12Z","1","7","2","9","1","0","0"
"81814504d56a6582782af3ebb243f200354071f8","2017-12-12T08:36:25Z","0","0","0","0","0","0","0"
"51605f69e9d061e076a99d71a2f1edf862fba375","2017-12-12T08:01:19Z","4","14","14","28","1","0","0"
"4856a41ac837ad5df1adc01c219c04780c0c32ef","2017-12-12T07:54:58Z","3","3","3","6","1","0","0"
"43bf80b88c9ba45dc74b0bad2de3f6db762f167c","2017-12-12T07:51:54Z","4","43","39","82","1","0","0"
"58a21f0fd77d5a160a64f9fc9b728b077ec51562","2017-12-11T09:22:19Z","0","0","0","0","0","0","0"
"8174d45810b8242b34d55e72f1744cab42964f11","2017-12-11T09:11:41Z","0","0","0","0","0","0","0"
