"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b61da23be761a874ccd610835946f0b9b352b22f","2018-09-28T22:49:05Z","10","194","345","539","1","1","0"
"35df3f72c9f6b6aebfe57f2780157fc279868f9a","2018-09-28T22:32:43Z","0","0","0","0","0","0","0"
"d584502fef2f6b1fa5c21363811e4383b0f6c0b6","2018-09-28T22:27:25Z","0","0","0","0","0","0","0"
"a691333c5ea982a3f554f7e21a6143df45bb4e70","2018-09-28T22:25:24Z","0","0","0","0","0","0","0"
"e053cf82ca231f9c06d020d26c1a6295dfdf9934","2018-09-28T22:22:44Z","0","0","0","0","0","1","0"
"076176a5f64d085172030118c9b6ec8dc336929f","2018-09-28T22:22:22Z","0","0","0","0","0","0","0"
"08c72f9a655993e01d95b28d8e39166b7f65d606","2018-09-28T22:17:25Z","0","0","0","0","0","0","0"
"7593ddde38c5b95700eacbea8981373bba9596ac","2018-09-23T14:57:58Z","0","0","0","0","0","0","0"
"6dce32aecec0881e73cd99ed64680669e149806e","2018-08-30T11:51:24Z","0","0","0","0","0","0","0"
"5ff801c914f041e905be4398bda0b2194ac4d411","2018-08-29T11:54:09Z","0","0","0","0","0","0","0"
"221046732ba3d1ee6423037011e4e2377ab95b8b","2018-08-29T11:54:09Z","0","0","0","0","0","0","0"
"07d6c9bd5ec1360911b44b47e05cc40f3d2890a8","2018-08-28T00:51:11Z","1","0","1","1","1","0","0"
"a9eddce672b6c98bc4ea9a97da5a3fcbe295577a","2018-08-28T00:50:52Z","0","0","0","0","0","1","0"
"26c95f1397e308b3c54cf1aae85d50102656d037","2018-08-28T00:39:41Z","0","0","0","0","0","0","0"
"4eca639212e44ec7b42e4f2503d6308a3c7ff588","2018-08-28T00:39:41Z","0","0","0","0","0","0","0"
"beb8a004e6ea64e2b3795fc9320da8c8b2e0a871","2018-08-28T00:37:03Z","2","21","0","21","1","0","0"
"3693e3c1b6da04398cbd73a28b44a764abc9bc3e","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"99e8ffcf9003f6ecefa78519f0fc6e3a6996a232","2018-08-28T00:34:36Z","1","6","1","7","1","0","0"
"0807600a2db2e825c17ce1ac2607493cf0cb556a","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"f74293e8fb4eca823c5aaf75699008af9b8f42d3","2018-08-28T00:34:36Z","1","9","2","11","1","0","0"
"b99d09230569293825f83824cf56eaf653544c70","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"af7515247bbd0c66f4c25bf17f26b7337f77af3d","2018-08-28T00:34:36Z","1","7","7","14","1","0","0"
"ec77be00dc5d6aafd0f51868e825a8d5ba1a1656","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"a854960476839c863f31e84bc6940a451e710979","2018-08-28T00:34:36Z","1","1","6","7","1","0","0"
"9db8948f23f4c7606705f5050dd977918c84ddc9","2018-08-28T00:34:36Z","1","7","6","13","1","0","0"
"c24167f6a51d0f0dec32f30917de20160f2ea1e3","2018-08-28T00:34:36Z","3","10","6","16","1","0","0"
"49c051c8b730c4a0cc0340ec35bb32a167688909","2018-08-28T00:34:36Z","1","6","3","9","1","0","0"
"55efdb2f56e5ae435a8642e606cffc9b3c422a66","2018-08-28T00:34:36Z","1","66","77","143","1","0","0"
"d03e420e75cb25aca57478a0323a6675b36ade23","2018-08-28T00:34:36Z","1","211","73","284","1","0","0"
"06968a929591a6f77389053b31f8a634042c70cb","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"244248b1a055455198ae00109abf449a60f1e314","2018-08-28T00:34:36Z","1","2","2","4","1","0","0"
"7187ed6950b427761dcb05be08230d600d7aebcd","2018-08-28T00:34:36Z","1","2","2","4","1","0","0"
"b3eabd9bad5f0eb771ff4304cf618b0494d5435f","2018-08-28T00:34:36Z","1","31","16","47","1","0","0"
"b51dd4f55899c1871b17bd0439cf33c977a9b031","2018-08-28T00:34:36Z","1","1","1","2","1","0","0"
"f88b9c4629ec6342c06ed4e68f0ae88337505640","2018-08-28T00:34:36Z","1","12","0","12","1","0","0"
"f0eeb4781b8da0bd6b20ff37ab48c93031b4dc0b","2018-08-28T00:34:36Z","3","28","11","39","1","0","0"
"57a3a9b111f7f27a725557413aabf415e55286bd","2018-08-25T23:07:33Z","0","0","0","0","0","0","0"
"8df73a30064393b7ee20ef6bbef38675b5a506f7","2018-08-13T23:07:51Z","0","0","0","0","0","1","0"
"963663e0cdce1fa3f240ac5f622e5578920ab67e","2018-08-11T21:09:16Z","1","5","0","5","1","0","0"
"68a83ccf37d2214cd913dac36e95678528b80746","2018-08-06T19:53:30Z","0","0","0","0","0","0","0"
"db13ea02b623e85459face97ad956ab144f3ed3d","2018-08-01T22:41:18Z","0","0","0","0","0","0","0"
"61a44dbfa8052127c5de14fe2dd1924c587f49dc","2018-08-01T22:41:18Z","0","0","0","0","0","0","0"
"aaa92279ca6382ae23769b52ad2c2959313815ff","2018-08-01T22:38:21Z","0","0","0","0","0","1","0"
