"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d956074d76fd861d0e2bb9d0c211aa7e0ecdf110","2018-09-04T17:36:24Z","1","11","1","12","1","0","0"
"2467f267210ce2ad6ccb7e0ad730a3f317b8ae78","2018-09-02T21:25:18Z","2","6","4","10","1","1","0"
"3e1de49f5020fb647629a1468dbd26de603e8ff2","2018-08-21T19:03:37Z","1","1","1","2","1","0","0"
"5469e293b95546ecefc93acf67ea24e66ada48f1","2018-04-20T17:58:05Z","0","0","0","0","0","0","0"
"ee3ed9edfee729eb33f346f75252272007c3d501","2018-04-19T22:51:19Z","0","0","0","0","0","0","0"
"4c6b6cbc4580cd4a958f650ec3c82bbbfa2e816d","2018-04-19T22:49:35Z","1","1","1","2","1","1","0"
"65fcb603193be59a02b12d63f0c130e6257cb7f9","2018-04-19T22:45:44Z","7","245","99","344","1","1","0"
"d6971c006682d1c7454ea007c6b3f8874dd98357","2018-03-14T21:53:53Z","1","19","0","19","1","0","0"
"a9dd5d35801463d176a1c103522bb37925c7a128","2018-02-18T06:48:48Z","2","13","0","13","1","0","0"
"e4fcb42adc85cd99359938524b3674f224ce2586","2018-01-16T18:15:18Z","11","295","176","471","1","0","0"
"bfd3257ed68cca1a2157ea59baac2dd803964735","2018-01-03T19:12:07Z","0","0","0","0","0","1","0"
"a8c05cd163190d1fadaf191b29f99e51fd847a4f","2018-01-03T19:11:28Z","1","2","26","28","1","0","0"
"44d4d5aa10c7bc35650987132b43bbe22e79d268","2017-12-18T22:25:53Z","1","1","1","2","1","0","0"
"c14ffac5300cd580de2d822863dbd8b186b8f4c8","2017-12-18T22:25:04Z","0","0","0","0","0","1","0"
"1a32be6b8536f89a485c76f0677a4a44c10b2c46","2017-12-18T20:33:47Z","1","15","15","30","1","0","0"
"6212cc26fadbc915b97a90415c40b271dd41fc56","2017-12-18T18:48:45Z","1","1","1","2","1","0","0"
"b9f88ead000069a6b8a9108f1f5f72e7443b4b5d","2017-12-18T18:48:34Z","0","0","0","0","0","0","0"
"a02c4910367afecab75a52660480f250bc623c1a","2017-12-11T21:37:09Z","0","0","0","0","0","1","0"
"005fd99a0af1c711e04998be7b4068915e507fa3","2017-12-01T19:21:32Z","2","13","0","13","1","0","0"
"8db4420da1dc384896c1ca6cc1afc266088529fa","2017-12-01T19:20:42Z","1","4","0","4","1","0","0"
"44f3606f7bc8b9d140d61a4cbe0187a77bb387c5","2017-12-01T00:41:43Z","0","0","0","0","0","1","0"
"15f1021c863de2e9a3d6ba14b355bc4c3dd57aa1","2017-09-28T18:08:19Z","3","5","30","35","1","0","0"
"3c7e5fecebc9ec7066411c0845b6cd76609cb40f","2017-09-21T01:03:55Z","0","0","0","0","0","0","0"
"4127488e7d1f640110a0ea4922dbc7c3656fc8e9","2017-09-21T00:59:26Z","5","30","18","48","1","0","0"
"70e4cb2a42951b31d1c404741a93f311959d13bd","2017-09-21T00:58:31Z","1","14","1","15","1","0","0"
"3c20c04dd832825be18cbbab8c71293d7f4fc521","2017-09-21T00:36:20Z","0","0","0","0","0","1","0"
"9573d1bd43b1e442d1eca4545f02010281582b50","2017-09-21T00:08:23Z","0","0","0","0","0","1","0"
"f2da542951c9cbfbd72fee3f30ac3fe2fcd76746","2017-04-28T18:29:30Z","0","0","0","0","0","0","0"
"976e77628ea8a7610e2555574812a1de2b2752df","2017-04-28T18:19:44Z","1","17","2","19","1","0","0"
"1e399cd9a5c8aa25db5263b945d4ee87533540c5","2017-04-27T23:19:47Z","1","42","21","63","1","0","0"
"1946d6b6818d0027b5d110b3394ec576697ac7d4","2017-04-26T21:06:19Z","0","0","0","0","0","1","0"
"7323115103f58e73df27d939f3bb662443a93d85","2017-04-16T20:51:19Z","2","44","26","70","1","1","0"
"93def31053e18d84d8a9cc414fd19f8f7a79d848","2016-11-08T18:15:42Z","0","0","0","0","0","1","0"
