"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5e5f0bd98f940344b2ef023bc0e8e7475bdd17f8","2018-07-09T15:01:54Z","0","0","0","0","0","1","0"
"b13cdf995720b047dd2165c59ad77c8d2b923c4b","2018-06-28T18:52:32Z","9","112","73","185","1","1","1"
"755fdfd9f38b5332f5fb33bba35f01dbe36d191c","2018-06-28T15:14:08Z","0","0","0","0","0","0","0"
"84b157605552e7b30f0d20e105d383b48ce8a030","2018-06-28T15:12:10Z","0","0","0","0","0","0","0"
"f3ca7125dc44a8d029f527d2804da76f97e479c0","2018-06-02T01:05:39Z","0","0","0","0","0","1","0"
"addc77f44c13722b4f5477a9c5ee2240ed1ce1b8","2018-06-02T01:01:06Z","0","0","0","0","0","1","0"
"7da94f0230aec28cb1e4d9035012c68185e3a651","2018-06-02T01:00:43Z","1","98","0","98","1","1","0"
"c9daba2046a7beaa57728b27be3441f40e3d49f9","2018-06-01T17:01:00Z","8","14","73","87","1","1","1"
"f8f06265d48724547882e13b490e67fb2e2a2608","2018-04-18T22:53:33Z","2","69","4","73","1","0","0"
"8e5d5a92030102d7e293dc4b8362cf1cda5a737f","2018-04-16T19:29:35Z","1","2","3","5","1","0","0"
"d8ddad657644663897b746866900100a06cf821f","2018-04-16T16:06:36Z","1","2","3","5","1","0","0"
"e4a44f0ce314c880821faec9b81a36a14e375253","2018-04-16T15:01:15Z","2","69","4","73","1","0","0"
"e057bfee89f77d3b523af8f55a8c76043498180b","2018-04-15T17:55:11Z","0","0","0","0","0","1","0"
"14b1cdf640556dcbb5d060b7bfe9a101d21bf328","2018-04-15T17:49:53Z","0","0","0","0","0","1","0"
"d5310fb44aaa12172db8a245e1dc5d89424e0445","2018-04-15T16:41:33Z","0","0","0","0","0","1","0"
"3fc01a4e317b73c1e5c1c932a0d8e1568693a1e5","2018-03-27T15:55:18Z","0","0","0","0","0","0","0"
"f452f121d4615f74d3242a13116b79d7081ac207","2018-03-27T15:45:26Z","0","0","0","0","0","0","0"
"28aa40af827686bb5d4b8c481d582e9e3a04a7f9","2018-03-26T22:00:29Z","0","0","0","0","0","1","0"
"a0081c6d392636c0b076d45e0b815eef35fc866d","2018-03-26T21:53:35Z","0","0","0","0","0","1","0"
"253d90b0713a5778a4b2340e3902ec3b86e1e9c8","2018-03-20T21:16:00Z","0","0","0","0","0","1","0"
"8ca30dbea6dabbade1f90ea9564c1d00c8a31f08","2018-03-08T18:52:53Z","1","44","66","110","1","0","0"
"88741fa503c31f9eac2f156fe40baeb129695ce2","2018-03-08T18:46:02Z","2","52","5","57","1","0","0"
"3d62b0333cce140dbdd24fdb5823a38603cf10f4","2018-03-08T18:46:02Z","3","77","20","97","1","0","0"
"9d75f81ca166ccc7421f20527d9b3932dac3c398","2018-03-08T18:46:02Z","1","12","7","19","1","0","0"
"ccfddd1879e519f2b0bf9f88f44789a6857751d6","2018-03-08T18:46:02Z","0","0","0","0","0","1","0"
"1fb43ea0ea30b7deceb742b2a1b5a221bf5efc2c","2018-03-08T18:46:02Z","0","0","0","0","0","1","0"
"44085adb858bd4ff354e3325383bc3338d1d4aa2","2018-03-08T18:46:02Z","1","130","130","260","1","0","0"
"3c9e5aef28146e7e90e5d89759356be18c23d2de","2018-03-08T18:46:02Z","2","829","807","1636","1","1","0"
"9408d7a53333faee8a6fc719f14f39d216e016f9","2018-03-05T09:28:59Z","0","0","0","0","0","1","0"
"5a043ee577dd3196a1164b89e1e631c3b4e213ae","2018-03-03T04:44:28Z","2","52","5","57","1","0","0"
"b7e3049aff4fe916b7dbee9382716c5796201688","2018-03-03T04:40:09Z","2","52","5","57","1","0","0"
"82829c22b840a0a472b7d2251b9632adc0c34566","2018-03-02T23:43:23Z","3","77","20","97","1","0","0"
"50e24b49c6b8530c308f8ecf0bf95c93823ff024","2018-03-02T23:13:27Z","3","77","20","97","1","0","0"
"c60b677eb5a588124130359d994ca5fb6f4de0cf","2018-03-01T23:08:54Z","0","0","0","0","0","1","0"
"681643e7ff9915aa52c1313fab18fb85dbdf5e8e","2018-03-01T23:08:30Z","1","12","7","19","1","0","0"
"6b1ab3ef8961ab0801b0e122a59b66fb23ed6f85","2018-03-01T22:36:29Z","1","12","7","19","1","0","0"
"4b2cd036cb480cb353fef9b3afcbd252d9d3598a","2018-03-01T22:36:16Z","0","0","0","0","0","1","0"
"8587ff5e73631b5463fea5ace8dee7b142cbc08c","2018-03-01T22:17:38Z","0","0","0","0","0","1","0"
"2e241a3f3642a2db957bd40a61125f5ecd050da2","2018-02-15T16:04:18Z","2","829","807","1636","1","1","0"
"16a769833958679461044d1713f7f2bf6e162735","2018-02-15T15:50:43Z","1","44","66","110","1","0","0"
"590369edee8af9489b57269ea7acfd26885af0c5","2018-02-15T13:45:52Z","2","30","25","55","1","1","0"
"f2fae33560d2004249e5c41da019dc0f8417ddbd","2018-02-15T13:44:50Z","1","130","130","260","1","0","0"
"1dd4e35786299e37746f5e955101b2a121b868db","2018-02-13T19:57:18Z","2","30","25","55","1","1","0"
"2b9ef6331d0000f415ec97c7676f337bdeb5a5ff","2018-02-13T18:36:40Z","1","2","1","3","1","1","0"
"56cee66957326d3bf55c3ea612db16408a552947","2018-02-13T18:36:40Z","2","28","24","52","1","0","0"
"fb6c58088e01a0676a016f230ef755fd8f101807","2018-02-13T06:59:47Z","0","0","0","0","0","1","0"
"e3fec4d2e38ac7a16ff432f6be1019b97646ee6b","2018-02-13T06:59:47Z","0","0","0","0","0","0","0"
"39046850c92042cd3dab98a9cd8f5c462da43198","2018-02-12T18:14:36Z","0","0","0","0","0","0","0"
"a69a447fa86cf3b6d8e2a8de9d15abe7f83e6722","2018-02-12T18:04:15Z","0","0","0","0","0","0","0"
"4de2e6a5f2c0c0bc4244ac50d78c2dd252abec64","2018-02-12T01:25:44Z","0","0","0","0","0","1","0"
"eec62dc7ed744f9f63d471523401cb8cebe566e0","2018-02-12T01:20:39Z","0","0","0","0","0","1","0"
"229ec6a6c90139c8ea54401ce5def4911f0f16b7","2018-01-26T22:53:38Z","2","829","807","1636","1","1","0"
"c8da8c87a379b20c093dfcedd0f73271ed4cf013","2018-01-26T16:23:17Z","0","0","0","0","0","0","0"
"2932e78085800da470929d03885e3d125b613f38","2018-01-26T16:15:07Z","0","0","0","0","0","0","0"
"42891a8468ca92d3f40d1b2f3c6df429c98f7dd6","2017-12-30T00:48:59Z","2","50","0","50","1","0","0"
"92d8849d81f36770458f1fb123d30d7306109894","2017-12-30T00:33:31Z","2","50","0","50","1","0","0"
"91dbae0f3cccae58e52d0f4d47d085ce42b6661f","2017-12-29T04:42:29Z","2","4","4","8","1","0","0"
"a30220a7370879ba52ea894aaab8e1c788851e6a","2017-12-29T03:44:23Z","2","4","4","8","1","0","0"
"e49de3fe481ae066f24c7e4ded3259da47dd177f","2017-12-26T16:42:52Z","2","17","1","18","1","0","0"
"d9eecc7662dc6f99d316ca03bb412ca977653eb6","2017-12-15T23:25:59Z","0","0","0","0","0","0","0"
"f49c378e69c71d2b9a2e610cd4a5320fe2f1606a","2017-12-15T23:10:37Z","0","0","0","0","0","0","0"
"b566f41af65de253aee54ff0da16092ffe972ab7","2017-10-30T21:57:25Z","0","0","0","0","0","0","0"
"7475bdff5e1b3a4714ce331cc497e3b08a165a56","2017-10-30T21:54:44Z","0","0","0","0","0","0","0"
"b0c1944f47a53c9dac8500093f2869ab65b6519d","2017-10-30T15:08:34Z","0","0","0","0","0","0","0"
"85f7288083d892807e409f62fec43fc90fe8aa92","2017-10-30T15:03:30Z","0","0","0","0","0","0","0"
"5661b90c4d9003a4303d7a05513ab5d9962f9c8d","2017-10-30T14:48:58Z","2","9","1","10","1","0","0"
"f6623e2bdcb46bef7109f151a70c3d910cccc6df","2017-10-30T14:43:39Z","2","9","1","10","1","0","0"
"cdf13ba013a4d94bee159267d5af10c72d658efa","2017-10-30T14:17:11Z","3","30","19","49","1","1","0"
"667b9e530157213a0fd6199eb300c4fcb39fe25a","2017-10-30T14:05:33Z","3","30","19","49","1","1","0"
"e56948b2fafa27678be3f98f214330d984edd708","2017-10-30T13:49:26Z","0","0","0","0","0","1","0"
"8f3121611f7880fceba73065a9e09daa06e46837","2017-10-30T13:49:13Z","0","0","0","0","0","1","0"
"73d849018dca9412c80028801d9463e83e313a4e","2017-10-30T13:42:42Z","1","20","13","33","1","1","0"
"98390c5da717d2f1e7dd2964b50817000a282394","2017-10-30T13:37:23Z","1","20","13","33","1","1","0"
"44711644a3997a37d1bcdaa3eb3b889ff8cd4e6f","2017-10-25T23:34:12Z","0","0","0","0","0","1","0"
"4dca5c0ea964b55c365ea812f5c6406ae8aea07e","2017-10-25T20:05:20Z","0","0","0","0","0","1","0"
"a69776572a184016190127ce6e165f5bebf97287","2017-10-18T16:18:29Z","2","19","2","21","1","0","0"
"e1fc57941316f2dbde1aa4539616ae26a199a7e0","2017-10-18T16:11:17Z","2","19","2","21","1","0","0"
"e8d93e3b02670e7d18137a4f7d5daa00292d2598","2017-10-18T16:09:37Z","0","0","0","0","0","0","0"
