"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c622a8d0a9683b9ab1363b0adc78f3cfc81ece15","2018-10-01T16:26:14Z","0","0","0","0","0","0","0"
"912e6dd86edf34f1719a31cf6dd7404d576af586","2018-09-26T22:58:58Z","1","1","1","2","1","0","0"
"4fabfb3e8deb588e3535f29adce5115f5069f124","2018-09-26T22:58:49Z","0","0","0","0","0","0","1"
"e0049372f9da26de94f440f40b8456e611078547","2018-09-26T21:17:35Z","1","2","2","4","1","0","0"
"0da3ef831191df82214426a88aebb2965954cac5","2018-09-26T21:17:25Z","0","0","0","0","0","0","1"
"a7d64338a9193aa6f2b2088d9eaf680f66794873","2018-09-26T21:17:16Z","0","0","0","0","0","0","1"
"5d28c4c5658782423e42d20011c70b979333da8b","2018-09-26T21:17:03Z","0","0","0","0","0","0","1"
"7f975774d7bd86ece031c4db17727d4a60d0b8bd","2018-09-26T21:16:53Z","7","599","50","649","1","0","0"
"6e6fae511636255f3be8f488fad732dff3e417cf","2018-09-26T21:16:43Z","0","0","0","0","0","0","0"
"e0b27fd6204d707eea2efc6c0d07bb31e757da01","2018-09-26T21:16:34Z","0","0","0","0","0","0","0"
"b0f7ce48c1afde876f4f1276db5a4488301ba393","2018-09-26T21:16:24Z","0","0","0","0","0","0","0"
"02bf4905d1b670d1273d73dc28d182345ef24003","2018-09-26T21:16:15Z","0","0","0","0","0","0","0"
"76d1f101ce944baab92785a6ff36ca93fa322865","2018-09-25T22:01:35Z","0","0","0","0","0","0","1"
"57616aaeca8a8005720cb36b43d4976c0a2ac417","2018-09-25T22:01:25Z","0","0","0","0","0","0","1"
"17dd243c13fd682e928543f51bad50614404fe14","2018-09-25T22:01:15Z","0","0","0","0","0","0","0"
"e94b8d037d0ff01a12dcff05302ab98c84a0d41e","2018-09-25T22:01:02Z","0","0","0","0","0","0","1"
"f2ff87c1ea16470e20bf7e6d3ff20efaaa380f7c","2018-09-25T22:00:53Z","0","0","0","0","0","0","1"
"38d70116eddf9697b2fd8e1212e8ef901dd2ab5a","2018-09-25T22:00:43Z","0","0","0","0","0","0","0"
"8d7c988f51ba854490e40eb76f019f6ade4b4971","2018-09-25T22:00:33Z","0","0","0","0","0","0","0"
"41ea2b27dafb81ffc7f43d618fc9ca401b963866","2018-09-25T22:00:23Z","0","0","0","0","0","0","0"
"c5a44bdbf74463ac2c21aec14937ee197fb6154d","2018-09-20T23:21:09Z","0","0","0","0","0","0","1"
"bb65f29cee3d296fe1b265b08b7f1b7ea66e2661","2018-09-20T23:20:56Z","0","0","0","0","0","0","1"
"1742fd6ddbc9ad189a515c8ac761ee2743566433","2018-09-20T23:20:47Z","0","0","0","0","0","0","0"
"826f4cf18740cd70756c5abc505469afafd9f7ff","2018-09-20T23:20:36Z","11","477","21","498","1","0","0"
"7adb3419deff879080dfd346f7048fbf149d9c3f","2018-09-20T23:20:27Z","0","0","0","0","0","0","0"
"6a4c9498f5f4ca81812a4ea8916ee617a45863ac","2018-09-20T23:20:17Z","0","0","0","0","0","0","1"
"d3baf8181d91d073c475ddbfa962674fc6a639af","2018-09-20T23:20:01Z","0","0","0","0","0","0","1"
"4afc29f3375dfde7bf50fed0491947fa11334b08","2018-09-20T23:19:51Z","8","282","7","289","1","0","0"
"614495b384bbe1ce5ad10509a68b70c666495a6f","2018-09-20T23:19:41Z","0","0","0","0","0","0","0"
"82a73ab705e81682e3f2a562f3cf2e9099a46890","2018-09-20T23:19:32Z","0","0","0","0","0","0","1"
"7827455cdc54ae95c5cd6f071285de884c19e873","2018-09-20T23:19:22Z","0","0","0","0","0","0","1"
"30f9a0f0fc8f43fd4ee3f5f40b45187118f5aee5","2018-09-20T23:19:11Z","4","113","8","121","1","0","1"
"61aa4191d8f4f4efbdadb02ce20456d9bf4aa66c","2018-09-20T23:18:59Z","0","0","0","0","0","0","1"
"7fca248b5253abf484b377519e771cb8125f837e","2018-09-20T23:18:49Z","0","0","0","0","0","0","0"
"f3231a2488d8c1691fe476f037959ceb6417cf69","2018-09-12T20:55:47Z","0","0","0","0","0","0","0"
"ce999c0f5ac1ad30044f892f25b99e359f37b18a","2018-09-12T20:46:02Z","0","0","0","0","0","0","0"
"066cc0e04f88b74b2676fce6574cf289c9d3cabb","2018-09-12T20:43:34Z","0","0","0","0","0","0","0"
"57488101deb39ca6e8373555f61846e3c76c0cb6","2018-09-12T20:29:18Z","4","28","23","51","1","0","1"
"f1ecd25da3cd4c705bf6ea8629b76afa51fc7c0a","2018-09-12T18:00:48Z","0","0","0","0","0","0","0"
"edb5618092b8d95afde6d6cb5ccc1ac04451e64a","2018-09-12T18:00:38Z","0","0","0","0","0","0","1"
"80fa89131ae34aecd924d38f40061dcf88ae746b","2018-09-11T23:27:39Z","0","0","0","0","0","0","0"
"0dda36fe2d0086b5d6fcc8ee142bc18175f2bfbd","2018-09-11T23:27:30Z","0","0","0","0","0","0","0"
"b32d402e8293fda7fb56d7fcdf36813a9e9fbec8","2018-09-11T23:27:20Z","0","0","0","0","0","0","0"
"c799854d6b743f5ec3c0bdb8ad2a5d82748288bd","2018-09-11T23:27:10Z","0","0","0","0","0","0","1"
"67270c6c56a4053558d1515641a50d88bee1fe92","2018-09-11T23:26:59Z","3","27","22","49","1","0","1"
"f048e88e747b0ba2d0e442ff1c801dc0e4706e13","2018-09-11T23:26:49Z","0","0","0","0","0","0","1"
"e6ac0433f7862ed14364da74ef5bc567c931c0f4","2018-09-11T23:26:40Z","0","0","0","0","0","0","1"
"c62749112c4f70705e25e9403db62cd5ebd23a8b","2018-09-06T20:25:53Z","0","0","0","0","0","0","0"
"8b518a423937088a4f466aa35daf8f48069cf977","2018-09-06T07:33:47Z","0","0","0","0","0","0","0"
"75413fa4448dbd327c9060c5a7e4ab55dc0e9173","2018-09-06T06:32:41Z","1","1","1","2","1","0","1"
"41cf62abd48ec15df53db725be65f1dc6db04b58","2018-09-05T22:35:04Z","1","1","1","2","1","0","0"
"5b1ad077dc475fc25f0a87d242598de80045c9b3","2018-09-05T22:04:11Z","0","0","0","0","0","0","1"
"9bf08acc2f7e38bf3afeda836e4c56da695a65a4","2018-09-05T22:01:48Z","0","0","0","0","0","0","0"
"ad6c05c7236127404a404d291364c3d7b9efb1ab","2018-09-05T22:01:38Z","0","0","0","0","0","0","0"
"a75e193b52fb552a7982fb4b10e65185aa74ed4a","2018-09-05T22:00:44Z","0","0","0","0","0","0","1"
"48d066cdffbaf291392bfa8f3e19303285a59fa6","2018-09-05T22:00:31Z","0","0","0","0","0","0","0"
"14e0a4d87c7d0d04ba1bcb70249838a4b084593f","2018-09-05T21:17:07Z","0","0","0","0","0","0","0"
"4314b1c3c4b27ea598edcdebf6d56ea690049685","2018-09-05T09:12:51Z","0","0","0","0","0","0","0"
"f88b2384c42ca892b95669ba30939500c6ce28e0","2018-09-02T16:30:06Z","1","1","1","2","1","0","0"
"e699fe174212ba5a1d43d4681a251245decdaeff","2018-08-30T16:06:36Z","0","0","0","0","0","0","1"
"e7840d83d177441f068cb06146e7649c85e3bd9e","2018-08-30T15:31:43Z","1","1","2","3","1","0","1"
"87467f146b6baf60c351d2a5e698cb11a19cc534","2018-08-30T15:31:29Z","0","0","0","0","0","0","1"
"a4f9cf3888ed67c9b6d0f0bbb9fba1d2ab73a6a4","2018-08-30T15:31:14Z","0","0","0","0","0","0","0"
"caf52dddc631c7b5590bafcc979bc6c55fbdf388","2018-08-30T15:30:59Z","0","0","0","0","0","0","1"
"0ae711911f3dbeb8a0497b44c28d707007a8b6cc","2018-08-30T15:30:45Z","0","0","0","0","0","0","1"
"47e228c48b6848b646c3d287e1a9b0d61372ddc1","2018-08-30T15:30:31Z","0","0","0","0","0","0","1"
"ccb8650205c0b9823396b3cf32038805e33f9844","2018-08-30T15:30:17Z","1","1","1","2","1","0","0"
"ff68d1eb348056e49e48dd027e78c9d75669c75a","2018-08-30T15:30:03Z","0","0","0","0","0","0","0"
"16abc9ead48299a0ff4ac656d96c03e547baa27a","2018-08-30T15:29:48Z","1","99","0","99","1","0","1"
"af3113a4d4e5af9c0fb40644d5d7110ddd8e3875","2018-08-30T15:29:34Z","0","0","0","0","0","0","1"
"4828a81a144b1c12f38919bdb6a6d4bf6443fefc","2018-08-30T15:29:18Z","1","113","14","127","1","0","0"
"a6b016c5800d3924fac35a197afbb6be903ad6df","2018-08-30T15:29:04Z","0","0","0","0","0","0","1"
"6d78a4dd95f8a786c89cea3c5b526bb354b8d71a","2018-08-30T15:28:49Z","0","0","0","0","0","0","1"
"8f7594d3870efc1b3fcc44e4da6bff02823cd542","2018-08-30T15:28:35Z","0","0","0","0","0","0","1"
"7e83266ef1a03e2b66028ebab187d5abae5942f0","2018-08-30T15:28:21Z","0","0","0","0","0","0","1"
