"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"57a78c116fe9c8773e888d7ba0950be937f4e89a","2017-04-04T21:15:02Z","0","0","0","0","0","0","0"
"fddf8bfc991feb152ac4c2717bdc75931aea954f","2017-04-04T21:09:23Z","0","0","0","0","0","0","0"
"6841f72e98d35af7e1a07120c4171480c77059bc","2017-04-04T21:02:34Z","2","8","156","164","1","1","0"
"5f5de76319c36d1123b8d5a00bd29e06635a5523","2017-03-24T19:41:08Z","1","1","1","2","1","0","0"
"0673008e6708051b91bec68c20acc5627dd93dc9","2017-03-23T19:25:57Z","0","0","0","0","0","1","0"
"87e51ef17e913640d7c0d1ade1df250139ec2930","2017-03-23T18:35:32Z","0","0","0","0","0","1","0"
"bf71caa8174c728346b3f9c1c603b4bc173037a0","2017-03-23T17:20:40Z","2","7","6","13","1","0","0"
"de396d0f7fe256bff97598ca0f42633f87932994","2017-03-23T17:13:15Z","4","31","13","44","1","0","0"
"c10ff09438e5bece42cf693c30e67aec2fe34505","2017-03-19T05:06:26Z","1","1","1","2","1","0","0"
"65fe797b9fdf9e9d6fbb5811e2989206464087db","2017-03-19T05:04:04Z","0","0","0","0","0","0","0"
"9f63ebf3fabb8bedc292828d21c9ac4b22080aac","2017-03-19T04:52:58Z","0","0","0","0","0","1","0"
"1c142a28b8dd96cd1c820ecb3465330e7e3646da","2017-03-19T04:38:05Z","0","0","0","0","0","0","0"
"9d82db66d888728dc95d60802be0f507f0d0d954","2017-03-19T04:17:58Z","2","8","8","16","1","0","0"
"cc25f47c29a60db1b0c84681163cce9ed46f5dea","2017-02-26T11:07:21Z","0","0","0","0","0","1","0"
"91383c36bd9b16351107a25ade2d690d186f106d","2017-02-26T11:01:38Z","1","2","2","4","1","0","0"
"d28075af1c8098c705a0aa9d70aa69112abbf00b","2017-02-26T10:55:02Z","1","20","12","32","1","0","0"
"8f223b2257ac847aac32d7dc95769de50333f817","2017-02-13T12:37:59Z","1","9","1","10","1","0","0"
"631e0b9a4ae49203cd14aff16c05b2ac20b86058","2017-02-13T12:31:22Z","2","10","1","11","1","0","0"
"0e29f2c30df235b7b99747a17ee20c3788efe144","2017-02-13T12:26:30Z","1","1","1","2","1","0","0"
"6610d0123cbef0d0c34c92ad3e92d900b83f49a4","2016-12-11T03:49:08Z","0","0","0","0","0","1","0"
"f9ad4c87f8bb28056a7260b40f1ff4074d38fb13","2016-12-11T03:44:56Z","2","13","15","28","1","0","0"
"2037e320746376a6d0ee60752b1c1d0cd960614e","2016-11-12T19:20:22Z","0","0","0","0","0","1","0"
"bec3ad341fc1cf4b6bc8f11c14cfc0310b1bc8a3","2016-11-12T19:11:02Z","0","0","0","0","0","0","0"
"6dd78bd1c120697c6db5a92a91d06910b04af60d","2016-11-12T19:10:39Z","4","10","10","20","1","0","0"
"d36b0e3027172b2ba26da0d0d06b4135b84d82f5","2016-10-19T03:58:27Z","1","9","1","10","1","0","0"
"128adbfbdfc9143fbceb3cc391768d4d7e300f25","2016-10-19T03:55:21Z","2","10","1","11","1","0","0"
