"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c7c016a20fd2c3a6948e0479710e86459c07c4c7","2018-09-24T12:54:10Z","1","1","1","2","1","0","0"
"e6937d25e8364c38cfcba6c84b42c712f707789a","2018-09-24T12:53:11Z","1","1","1","2","1","0","0"
"e9b9fa23fd477fc3b45a218f3809bd3e578a99e8","2018-09-22T16:49:46Z","1","5","5","10","1","0","0"
"5a282c5e0506035f77f36b983cb1200341021c06","2018-09-22T00:55:15Z","1","2","2","4","1","0","0"
"ea0a9a670fd52d1367201e0d3b88488010b07d2e","2018-09-11T13:59:25Z","0","0","0","0","0","1","0"
"36f38c5beb3a782baa34f7c98386d6b910c0450a","2018-09-03T20:18:54Z","28","77","67","144","1","0","0"
"431ae9e06ebb9181531a93c37a5f53394d3b8172","2018-08-30T21:47:18Z","2","8","22","30","1","0","0"
"ab4ebad3051dcebde3327ab000916e197559dd00","2018-08-30T20:12:06Z","1","2","0","2","1","0","0"
"4fbcadfd37d5d48a184bc5b4f25afeb2b8e772f6","2018-08-30T16:37:50Z","0","0","0","0","0","1","0"
"65992d408c79f7bd84562268ae2783d294084fa8","2018-08-30T16:24:10Z","0","0","0","0","0","1","0"
"a010db7fe20287a4b79382688001be7d3bc2fc27","2018-08-30T16:13:55Z","2","6","3","9","1","1","0"
"0b9b39a74fb3d7b010fb2979c14666258d255789","2018-08-08T00:28:06Z","8","8","17","25","1","0","0"
"2179c52ee3e18ddc7e3fc2e9cd8237a60315ea28","2018-08-06T00:07:19Z","5","34","17","51","1","0","0"
"45d89bce807bad8ce5b3c6b11826a0530463d37a","2018-07-29T22:07:39Z","1","1","1","2","1","0","0"
"96d974f44dc13ab3927402732bde1987160afcf2","2018-07-24T23:16:34Z","2","6","0","6","1","0","0"
"a0a4d8ff8082d09c237b0b7f906f71356cac02f9","2018-07-24T22:59:52Z","4","90","3","93","1","0","0"
"9065c4daee77f7c59a2d6c2cbb29736d715f4d95","2018-07-24T13:20:41Z","1","9","5","14","1","0","0"
"d907537c051212c4f87f2acc2bdb3738ecd0dba7","2018-07-24T02:14:47Z","12","290","9","299","1","0","0"
"e1b127c13a37ca28c3708318c26e3cba40c42ac7","2018-07-23T13:59:35Z","2","55","7","62","1","0","0"
"48bb5fd86031d70807f374be4f77e26b989b6b54","2018-07-10T18:05:37Z","9","35","0","35","1","0","0"
"0cf3b9be71680f50c90a71ca26ce0d33664b0dd6","2018-06-20T17:52:44Z","2","14","1","15","1","0","0"
"15b09aeda5c3b6e6446936ff5e44215d45643749","2018-06-19T17:53:30Z","2","9","3","12","1","0","0"
"fc057169cd8f87f04ddff6689f61b734f623f791","2018-06-14T01:38:29Z","0","0","0","0","0","0","0"
"50baa8afe344c3d017b6efe4ccd48d4d5126c2be","2018-06-13T14:26:33Z","0","0","0","0","0","1","0"
"087f8a727c1e3178168e310a32a8b4d0bddea8f4","2018-06-13T14:11:31Z","2","69","1","70","1","1","0"
"d258efbed006e5959417bb0fc85b166d0cd82372","2018-06-03T04:07:13Z","1","3","0","3","1","0","0"
"7ff131b3cc8af909aa19d02f01856e89d89dfe9a","2018-06-03T03:51:28Z","3","47","9","56","1","0","0"
"3778715156fac37e82fb7f2c4b604e3909a42ac7","2018-06-03T03:32:30Z","2","11","1","12","1","0","0"
"4d39673d67ddaac3df71e61a51429ec94f687495","2018-05-30T17:55:44Z","8","27","23","50","1","0","0"
"ccb8293a04317ebed12e7c7944e934c8888f8973","2018-05-29T15:44:42Z","0","0","0","0","0","0","0"
"db5f3ac62cb7965ff323efb1688b0f5f5f152ab3","2018-05-29T15:31:42Z","0","0","0","0","0","1","0"
"ebb206df3a6e98a1b00a25ce4fa454bd2b15d617","2018-05-29T15:18:14Z","0","0","0","0","0","1","0"
"463d1ea7ed44f2fd6f46e234af1dba9616512e66","2018-05-29T15:18:05Z","0","0","0","0","0","1","0"
"ba91ad5b05b07b63e56ecfc703cad35812d6fa40","2018-05-29T15:15:31Z","0","0","0","0","0","1","0"
"71b4ecf914c18a19392d947b3b498b235259be05","2018-05-29T15:15:15Z","0","0","0","0","0","1","0"
"dba220280e8aba63eb2052e1faa6ac1e401475af","2018-05-29T15:12:48Z","0","0","0","0","0","1","0"
"d6d72f2aab7e1161accd908fcb5cccdf5162b667","2018-05-29T14:57:26Z","0","0","0","0","0","1","0"
"dd3498a01cdc8fa1ffc637694b91399092a8d1e8","2018-05-29T14:49:35Z","0","0","0","0","0","1","0"
"8c8525d12c534e926c71c3b319f78442b6de3a63","2018-05-29T14:49:29Z","0","0","0","0","0","1","0"
"d305ea953a8538535a136b7ea93c94213b95394f","2018-05-29T14:47:18Z","0","0","0","0","0","1","0"
"b7e888dd4db9dcbf784b0be5b340585f4999c7d9","2018-05-29T13:47:27Z","0","0","0","0","0","1","0"
"7a64f483fd62afb13f651af655200a6bbfefd1db","2018-05-29T13:26:06Z","7","49","60","109","1","1","0"
"fa0e1d755633666174e77dee26b7d29f926500a0","2018-05-23T15:26:47Z","2","2","2","4","1","0","0"
"a372dfe17508943e1b771187eabc5b7fa58414c9","2018-05-18T14:21:21Z","64","382","318","700","1","1","0"
"2c2c395afa9ba8fee13249bf5d02d13e19967207","2018-05-17T17:11:07Z","1","5","1","6","1","0","0"
"c99e63548206f31283d77e5f4cf378a2e5ff029a","2018-05-15T18:43:28Z","0","0","0","0","0","0","0"
"a203ea5c97700a39a18ba756e8a05709690aa4a3","2018-05-14T12:50:02Z","1","8","2","10","1","0","0"
"553b5e97a30584afabb9d6683dc9496b34138e0d","2018-04-24T16:31:57Z","3","8","6","14","1","1","0"
"274159117ac631ef8d48913f22ec48b0bb8d7543","2018-03-23T16:05:23Z","0","0","0","0","0","1","0"
"d352c5f159dafafc1d760ca965504aadc1e30bed","2018-03-23T16:04:52Z","1","13","9","22","1","0","0"
"dbfd5520e9b53de492cc4ff8f8c55a440f0d6b5d","2018-03-15T19:44:55Z","5","298","33","331","1","0","1"
"a3bbebccba25273c5229d0904478a31eb9eecac9","2018-03-04T21:17:40Z","1","5","0","5","1","0","0"
"c3d649f6abe39f121ecedc9ea2e269152899fda6","2018-02-23T15:26:38Z","1","4","0","4","1","0","0"
"c8da0c1a942737ecd187bdbfdc52cc9b83d8383a","2018-02-16T23:35:41Z","0","0","0","0","0","1","0"
"f51520212c586ff98a966dd6bd169e08d122cf64","2018-01-31T04:21:41Z","0","0","0","0","0","0","0"
"a75a8b8c5545806a58eeaeafbab49c20ce4ac5ee","2018-01-31T04:16:46Z","0","0","0","0","0","1","0"
"80fd5b1a1c455b1e90b92213c220b554d8eea5cd","2018-01-31T04:10:20Z","0","0","0","0","0","1","0"
"588e6ae4bd671a81a1122b9c2253fc44875c3af0","2018-01-31T04:10:15Z","0","0","0","0","0","1","0"
"f107a9b0ad153e4f9b24a70b3beff80b4e8ac936","2018-01-31T04:10:07Z","0","0","0","0","0","1","0"
"845ebf4af7c597c5065947c3f9baa6d70875f893","2018-01-31T02:56:08Z","1","1","1","2","1","1","0"
"9a362fc1590455d3deecb79b14be1d7c839fa2d3","2018-01-28T20:48:17Z","0","0","0","0","0","1","0"
"229e5e34dbda459589e324ed509a66a7ba2cf8c2","2018-01-28T16:42:05Z","1","5","0","5","1","1","0"
"379e18daf44c5cb9d3a5387a35a997fa1f08b6ab","2018-01-28T16:42:05Z","1","11","5","16","1","0","0"
"1861cf4f013d7b2ffede653211e3aadacd8234d5","2017-12-28T15:42:17Z","1","32","14","46","1","0","0"
"6e04f9b3bd528f9a6de1ee208117290c51dca8e3","2017-12-19T13:07:02Z","0","0","0","0","0","0","0"
"e54e0c781bda75c13155fd434a1d61cbc43602ef","2017-12-18T15:13:53Z","3","153","0","153","1","0","0"
"561f09b32ea8b5898f02486993b358e22440aee0","2017-11-30T03:45:55Z","0","0","0","0","0","0","0"
"a3018f87681ee5af5e92261dc84d436376c85b00","2017-11-20T20:12:13Z","4","28","56","84","1","0","0"
"3ae6b336e168e57fca19969dd6adc7210bed8328","2017-11-20T13:19:18Z","3","3","3","6","1","0","0"
"63bcf0ca9cfa62ee20da1eca02deaef4e1721320","2017-11-16T17:53:40Z","3","52","10","62","1","0","0"
"5409e6b6fdc256ac1077f18c39ecda4e255a7595","2017-11-16T17:40:33Z","1","1","1","2","1","0","0"
"ea3b04289d4d196721134f6f50a74090abc7b646","2017-11-14T01:36:57Z","1","4","1","5","1","0","0"
"72a21d158b66f14cae7fc687d35fcd6c5e95d1a4","2017-11-08T10:11:25Z","4","104","4","108","1","0","0"
"ce98de83bdcc8072ca305b83cded843e51e4c6cd","2017-11-06T13:34:22Z","0","0","0","0","0","1","0"
"7eae23f65951d3aa4272528964cbbd000d103286","2017-11-02T11:54:25Z","3","16","10","26","1","0","0"
"49d90b6457f73cda4e2031b0e5e7661cab577fa2","2017-10-29T20:40:53Z","4","110","2","112","1","0","0"
"5284daa336a4822bfe0a914110eacf9de407a5eb","2017-10-29T10:26:45Z","1","9","0","9","1","0","0"
"5a1521dca2ffc32c82b3bae702e0498e3f620c6f","2017-10-29T09:57:08Z","0","0","0","0","0","0","0"
"c2a2245bb9e8b0d4a5443b3c0b8f3389dfe24b0a","2017-10-29T09:56:47Z","2","6","101","107","1","0","0"
"7890b8afb311b269368fdde5f5507336d26693dd","2017-10-29T09:56:30Z","0","0","0","0","0","0","0"
"caf479654a16f58bbc9ec2f25384d5af7aecce17","2017-10-27T20:25:59Z","0","0","0","0","0","1","0"
"f578184873a9ab44a43870d4f8f32d465a5980c8","2017-10-25T18:29:49Z","0","0","0","0","0","1","0"
"9644b498c6d89d74b497846af9ba830fc56e2149","2017-10-25T17:47:25Z","0","0","0","0","0","1","0"
"c99e16bab850364e2fce7204cd43efebb934a75b","2017-10-25T17:40:07Z","0","0","0","0","0","0","0"
"111354bfbeb97f5e46b4747d3c0db25e7e18560f","2017-10-25T17:37:52Z","0","0","0","0","0","1","0"
"550afd451c8f91693b28c4a720a4ea084c55cd45","2017-10-25T17:28:09Z","0","0","0","0","0","1","0"
"0edfaa03182dc348348c4e50110fd0cdc7d86c3f","2017-10-25T17:28:02Z","0","0","0","0","0","1","0"
"b14d476a30dbde5581d27a8de832745052958570","2017-10-25T17:23:43Z","0","0","0","0","0","1","0"
"f4d5b1f78501949025c4c5fd743c8575937a0360","2017-10-25T17:22:03Z","0","0","0","0","0","1","0"
"cd97b100faef8b056dfb144c61d66dcc47714bfd","2017-10-25T17:12:27Z","0","0","0","0","0","1","0"
"06eb69b579d00bc736f0b056d7e2084730e69c54","2017-10-25T17:12:21Z","0","0","0","0","0","1","0"
"4cf04e6273d3b1101dcfac572dc5315a7c3f03a7","2017-10-25T17:08:42Z","0","0","0","0","0","1","0"
"67c6e4126c898d2c0ff0944fb81123646556ccf8","2017-10-25T16:39:54Z","0","0","0","0","0","1","0"
"c9a662d78c31d4a0b55acdf81ac5b8ab70a0459e","2017-10-18T08:05:27Z","0","0","0","0","0","0","0"
"8eaa8502ade8dd6242e12dd2b431246a3a160b68","2017-10-13T09:39:03Z","0","0","0","0","0","0","0"
"6f96046deac66647aed05650fdf7610845a16a49","2017-10-12T07:20:29Z","1","1","1","2","1","0","0"
"81ae01c1323c9358bfd81a41b7e64df3a2e56d82","2017-10-08T16:15:07Z","1","10","9","19","1","0","0"
"fa691c238f735f61b959eeecc662359df7a234ea","2017-10-08T16:11:51Z","1","3","0","3","1","0","0"
"7c1f313c0589dd1f00a492b19a031454a4fc9201","2017-10-06T11:41:47Z","0","0","0","0","0","1","0"
"5b9ce1cd7442135eaedef496efb0076bf33ed4a9","2017-10-06T11:09:40Z","1","15","12","27","1","1","0"
"88120e298d508b21786020663e348c177c67c83d","2017-10-03T11:39:58Z","4","143","57","200","1","0","0"
"65d2b163ebacc8efb9ed5fcd2c7f94b81c2c73fa","2017-10-02T12:40:53Z","2","39","38","77","1","0","0"
"05093ed3d203c0bbb437596c4eac4dd6f26d1d00","2017-09-22T16:50:34Z","0","0","0","0","0","1","0"
"ea6111c7f9cfe103d9cab5a3a44db09fa6142dea","2017-09-22T15:07:00Z","0","0","0","0","0","1","0"
"f9a74628cbe19673901efcd7c585b3f2b2b6c444","2017-09-21T09:47:36Z","0","0","0","0","0","0","0"
"24f170efb3974f1e9e2b68591a85218f706f2fd8","2017-09-20T06:44:23Z","2","79","22","101","1","0","0"
"437db89b45baabf79292d741506c6e6acf2cf0c9","2017-09-18T16:17:38Z","2","117","4","121","1","0","0"
"76d9dd5cf68498cb718c646c8270b33c8c26223d","2017-09-17T20:31:40Z","2","69","2","71","1","0","0"
"1d66d793edf6f901adb2f95a67046f41b1af5dad","2017-09-15T06:23:29Z","1","9","8","17","1","0","0"
"6ca929ee26b84d2bd811020ab29f225cdcd942f7","2017-09-12T13:45:13Z","0","0","0","0","0","0","0"
"04595508b63c3bde614b59dac361b50bfadb8757","2017-09-11T13:05:37Z","34","219","345","564","1","0","0"
"b10dabfe072934863f2a2d9c9c54f0b8030ff7a3","2017-09-04T09:27:44Z","0","0","0","0","0","0","0"
"456edd719732c7c354ac965c456ec0f6a755a0e7","2017-09-02T08:29:43Z","0","0","0","0","0","1","0"
"367c7953ccb6debd19593ccd5a1de4d2799159bf","2017-09-02T08:13:30Z","0","0","0","0","0","0","0"
"4ddc8c9e490fd6a9ef6897d9862dd4043916f837","2017-09-02T07:57:14Z","2","20","0","20","1","0","0"
"649a099c687717e4c4ede82ac8bf1476ed2360cc","2017-08-20T15:34:08Z","1","9","2","11","1","0","0"
"0000a10272428807fba0374048d09008226cd9eb","2017-08-16T11:31:18Z","2","8","1","9","1","0","0"
"7a5038a0705bbf9b2c616909ad5ba43dbf2e7a13","2017-08-16T11:30:37Z","0","0","0","0","0","1","0"
"cbdf08793329abc336dde0e52099f5c5e9fbab87","2017-08-16T11:29:57Z","1","2","2","4","1","0","0"
"e2afb336e2f7afaa9d0895c4d16e9e85013c2f3d","2017-07-17T11:43:00Z","6","12","10","22","1","0","0"
"ae6b9f4426996d09fd3942670dae8d88e0ca9bd5","2017-06-16T12:51:08Z","2","59","58","117","1","0","0"
"11a88fe7aadb5fe699da864ce5c291afbd6a17f8","2017-06-16T12:51:08Z","0","0","0","0","0","0","0"
"8904373720cd8173ebba403a91cfc7b0c49af0fe","2017-06-14T18:27:01Z","0","0","0","0","0","0","0"
"3c64fa1e62cba2ca6bf7d01b7bb663ee57c37657","2017-06-14T17:50:03Z","17","85","114","199","1","0","0"
"eaa34c3b7e9465499346eb8ad7c3bdf07df6ab41","2017-06-09T13:15:19Z","0","0","0","0","0","0","0"
"da4e333d66cb55e610e83df5811539af605acc4b","2017-06-08T13:17:45Z","1","1","1","2","1","0","0"
"f4266e0a51252080a7328388dff906b5f16ff157","2017-06-08T12:52:39Z","0","0","0","0","0","1","0"
"cac5b1a6fea1c7e79e5786cac9eaf3a3b37f4994","2017-06-08T12:52:31Z","1","23","9","32","1","0","0"
"5447790002d30460e8e4fbe403753406d5081686","2017-06-04T14:51:45Z","0","0","0","0","0","1","0"
"9fae90bc3c3bd5e6c98b3b6fd4f392659ceb65c7","2017-06-04T14:51:39Z","3","12","2","14","1","0","0"
"458923c3cd7afd60d214f1f130b1f97320fe74dc","2017-05-31T09:49:41Z","5","14","3","17","1","0","0"
"11f5278aa7152b4fddd64948b16318c2378d5db8","2017-05-22T12:45:51Z","1","36","5","41","1","0","0"
"713c5bb0015da01ff59217f2eb13fe13ca0b8f30","2017-05-15T08:13:56Z","0","0","0","0","0","0","0"
"7df4aa6694a547098fe1e3ab430e5095b93b7827","2017-05-14T16:54:32Z","76","262","264","526","1","0","0"
"5a5237b4a86940081d5377bdc09ec363c391a9ab","2017-05-14T16:53:42Z","1","0","5","5","1","0","0"
"3d0468e92f0cc8a7fba9c6e1355e3f7bc1f7d93f","2017-05-04T23:30:05Z","1","18","34","52","1","0","0"
"ff7137e512b5464e15f5f2ef8870d3c7e0d1baa0","2017-04-24T10:19:21Z","0","0","0","0","0","0","0"
"d8a681af0ca74e78213812cf80c7de57952df2dc","2017-04-23T15:15:43Z","3","102","0","102","1","1","0"
"f312da5b17ce674ac7e3330030eb7f5d6210cd22","2017-04-23T14:41:33Z","0","0","0","0","0","0","0"
"45f9b076948c72525a9f7ab4ad85ae71f2471c89","2017-04-23T14:41:14Z","2","89","4","93","1","1","0"
"c64568c0a27c35b337f6f11f5c3097b548832236","2017-04-15T14:31:25Z","2","12","5","17","1","0","0"
"6ae3a36107241584cc83be0812c8f5f2d1300935","2017-04-15T12:13:52Z","7","0","1039","1039","1","1","1"
"7fdc869d02b27e6819214b3a5c2f7412fa1e8749","2017-04-13T16:16:47Z","0","0","0","0","0","1","0"
"5b14d23194f7797e4ce189bcb20a6aca313d044e","2017-04-06T13:31:14Z","2","5","3","8","1","1","0"
"744631cea038d15f4b7546e8194f8d82aaadb3d6","2017-04-05T05:37:31Z","0","0","0","0","0","0","0"
"ca488eb1ae9f83fbc32b5f65d9b8f723a0e105ea","2017-03-30T10:59:18Z","0","0","0","0","0","0","0"
"b5f6d3f73ccec814f1a18e8189bfb21bc4626be4","2017-03-15T11:08:07Z","1","2","2","4","1","1","0"
"0a542b9e9e185f8031982c2011e3f749eda0d682","2017-03-07T22:28:15Z","4","140","82","222","1","0","0"
