"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"edc53d36844bb455ab15d2710cec4168f2fc4ba7","2018-10-01T11:19:53Z","1","2","2","4","1","0","0"
"146ef96ee402179953a3e4a0536102fed89cbeac","2018-10-01T11:13:22Z","1","31","10","41","1","0","0"
"4f2ea2633b55318c8111391945a76015864faceb","2018-10-01T11:06:59Z","1","2","2","4","1","0","0"
"d1d6018cdcf9e2ab20bbc44514999e7ab98d0b5f","2018-10-01T11:00:51Z","1","3","2","5","1","0","0"
"ebef8bba04ab075400238edff622baac02f739a0","2018-10-01T10:55:50Z","1","5","5","10","1","0","0"
"c9c0b6193f605a72359eac435ba422e5069eafcc","2018-10-01T10:55:48Z","2","21","5","26","1","0","0"
"731cfe56d31451578eb107aeb632de654b02c18d","2018-09-30T03:26:27Z","1","5","5","10","1","0","0"
"2946c819aa49268e469424772d8686d72e62d0b8","2018-09-26T06:33:48Z","1","1","13","14","1","0","0"
"6052ceac37e709811d00163da86eaae16c798b83","2018-09-26T06:08:37Z","1","4","3","7","1","0","0"
"74cdc832cad9eecd4864b6efac7f4b1069181153","2018-09-25T08:05:33Z","1","4","0","4","1","0","0"
"769f555f533810cbaf081ea6b24e0ca22c224a41","2018-09-25T08:05:32Z","1","0","4","4","1","0","0"
"6f0242cb6e7aeff0411d5d99382f3e175991a63f","2018-09-24T03:24:00Z","5","25","26","51","1","0","0"
"dd374f53ce4ae7ec4d7454bb77f3dc12f9db2af3","2018-09-24T03:23:59Z","6","30","25","55","1","0","0"
"028f296eb9039ac3226432283e83dc9e1a611578","2018-09-23T19:44:03Z","3","19","17","36","1","0","0"
"9e574c72c0b67e5a484a800540c196008b5baafe","2018-09-23T19:44:01Z","2","6","9","15","1","0","0"
"b87521ffc3f8c9386d5bbde0d404e3e14a191d73","2018-09-23T05:05:44Z","1","1","1","2","1","0","0"
"c037b19640da00383b3ee370d723a66afc9ce334","2018-09-22T03:54:02Z","1","112","0","112","1","0","0"
"10ccbb34b81216204bcc2f35090dfa735ede7e0d","2018-09-22T03:54:01Z","1","5","0","5","1","0","0"
"2e37bd34479c195fefc8959ac5632efd5050aa6e","2018-09-21T19:36:54Z","1","1","1","2","1","0","0"
"f65ac8922236a90efb7bacb2e20239f54b53ecc1","2018-09-21T06:05:01Z","1","1","1","2","1","0","0"
