"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"36a9bf169c5da70a62f0393da40a45cbbf3a2460","2018-09-29T16:52:04Z","1","1","0","1","1","0","0"
"b5a02ef03958a36cdac81a198824970266ea64bb","2018-09-29T16:42:09Z","1","2","1","3","1","0","0"
"b2f93a0202fd8567e9beac861e2a929f2cbfe944","2018-09-29T16:18:19Z","1","19","0","19","1","0","0"
"431ffc80c0c0fccf48a7fb96d7e3297b9b7a0db6","2018-09-28T04:22:37Z","1","4","0","4","1","0","0"
"afa21c313bf34575f77ddf894fe86e392761d01c","2018-09-22T02:36:12Z","1","10","0","10","1","0","0"
"61e59d09b224a09d2b7d30bca709413a95201028","2018-09-15T15:46:58Z","3","0","126","126","1","0","0"
"066ae2e000ca464481a7730e991794a536a7cd7f","2018-09-15T15:41:56Z","2","16","0","16","1","0","0"
"9e2aeedd87dc0707b7ddd9788f922aa4111b2e7d","2018-09-08T14:05:33Z","2","41","0","41","1","0","0"
"1600ab2873cf86346a2cebc7e1ffa788a131890d","2018-09-03T13:53:09Z","2","41","0","41","1","0","0"
"3082b121495b3f73ca0a6825c0bf45584eee8993","2018-09-03T11:35:20Z","2","41","0","41","1","0","0"
"135abf88279d69effbf7baa9711acea344ebe6d2","2018-08-30T12:55:47Z","0","0","0","0","0","0","0"
"42fb6fd2c93eafbf9a5f1c576513d8208d70e225","2018-08-28T14:06:19Z","0","0","0","0","0","0","0"
"b435880ab18780f5a1795eba926b14eb91f2fc4e","2018-08-28T13:57:31Z","0","0","0","0","0","0","0"
"402dc0c04e6549ecb5b7ade241007d2bc99852bf","2018-08-28T13:55:19Z","0","0","0","0","0","0","0"
"94e8eb85d0a8200f10dedcf2e13c844adc43af73","2018-08-28T09:24:20Z","0","0","0","0","0","0","0"
"2a071ec36fc32112e03f5ea93009a4a39acd0573","2018-08-25T20:21:26Z","5","10","4","14","1","1","0"
"ce97b2b5a966fd3aca1df700fa6a23efa85b1340","2018-08-25T19:40:37Z","1","1","1","2","1","0","0"
"bf57a761211b5a9e05ff2a3c847d3ee0ae0f6822","2018-08-25T15:33:09Z","0","0","0","0","0","0","0"
"0733ec482e72fab2b7516bc5cbd1b8d39916730c","2018-08-25T15:25:00Z","0","0","0","0","0","0","0"
"92d3995f42c0031abf0e36de422f402af7b6e654","2018-08-25T15:20:34Z","2","10","2","12","1","0","0"
"54c3ef12180c490437131a6e512ce2bcaaac2f10","2018-08-20T19:01:00Z","1","13","8","21","1","0","0"
"ae69fb383070b0d45143896bbc9052d1fff765eb","2018-08-20T00:23:41Z","8","1169","0","1169","1","0","0"
"d1a1b95fd10194500cea07ed439d3b4074a908d5","2018-08-18T14:34:07Z","0","0","0","0","0","0","0"
"c1a6d5de7189b63c2d1d4411bcce62ae959bb4cf","2018-08-18T13:44:56Z","1","8","1","9","1","0","0"
"69375714201e04705a5d4cdbf1d88fceda17e5a7","2018-08-13T14:07:01Z","0","0","0","0","0","1","0"
"2f23f7570692d6eac29c38a18a587d7b9427ea32","2018-08-13T13:42:52Z","3","8","4","12","1","0","0"
"a7124e8bdfff0e4c48cdb8719770aff919e97eea","2018-08-11T12:47:24Z","1","5","2","7","1","0","0"
"9481c070418a0f527565b58c4b1e6c158904aa1c","2018-08-04T04:30:44Z","3","13","3","16","1","0","0"
"9f8b5ff8e0ac7cbd7c1bba63c8314ba9bae35aa1","2018-07-31T16:21:47Z","7","917","27","944","1","0","0"
"9f246bc29f216f0220d6be638e614fc704d5c07e","2018-07-31T03:29:04Z","0","0","0","0","0","0","0"
"c3885f368e49dd36e70f502cf9f5339a4dde82f4","2018-07-31T03:08:42Z","1","3","1","4","1","0","0"
"80dce934ec999a875c92baa53900a1a205ec7ef2","2018-07-30T12:35:58Z","1","18","0","18","1","0","0"
"c87d1ab09e71fb629db1e3b06a8f4c0dd839ef05","2018-07-30T09:28:58Z","1","4","1","5","1","0","0"
"3e0b2e6997715ba644badac820c1ad041cef3b14","2018-07-30T03:08:48Z","1","1","0","1","1","0","0"
"b4b1ff03b3940163b53d3c89cb6aa7dd5d3e40a4","2018-07-29T15:30:12Z","1","22","4","26","1","0","0"
"b2f15166842897a5bca639ab2d45695a43c214f2","2018-07-29T15:00:02Z","0","0","0","0","0","0","0"
"1b08c77fdc3ff379f347466e21b33180498b491e","2018-07-29T08:04:30Z","1","11","0","11","1","0","0"
"8a3eb89cb9b9e2bcb5de9e353c07a4c2eb1c1322","2018-07-29T08:01:24Z","1","16","0","16","1","0","0"
"360d797b10374a974651e7256839f7cbd69b15ae","2018-07-29T07:54:51Z","1","17","3","20","1","0","0"
"659145473b6aab85c22d0519517104b28c6a8050","2018-07-29T07:13:20Z","4","140","25","165","1","0","0"
"9d0997d201ba0bf25422e25491b39c225370ad77","2018-07-29T02:28:15Z","1","8","0","8","1","0","0"
"414b6a634efcc138d32b798d18d7215c449bd8c7","2018-07-29T02:28:15Z","1","4","2","6","1","0","0"
"370423ffae518e463bb6b63327a0ceff217c8596","2018-07-29T02:28:15Z","0","0","0","0","0","0","0"
"f38685d33a4ba3b7b4225e4af568a4dfc2658fa3","2018-07-29T02:28:15Z","1","3","2","5","1","0","0"
"7a0f7385eefeb06ce8f0c19e86b63f7244914618","2018-07-29T02:28:15Z","3","69","18","87","1","0","0"
"b264f47c768be37e70b3c1ce599580ad6c412209","2018-07-29T02:28:15Z","1","11","0","11","1","0","0"
