"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"157b519ca1f3b4bf676e2e56d6ce27a9ec8baa57","2018-08-22T19:50:47Z","1","43","0","43","1","0","0"
"d1fbf7e18111d744f5a515247d87196eaf6b3374","2018-08-16T05:15:30Z","0","0","0","0","0","0","0"
"ea0dd602ff8be5e8bfc24cbce531f56a891879e8","2018-08-09T15:32:51Z","1","1","1","2","1","0","0"
"5d1ed1c6786bc7dde70a992977c161f3a512240d","2018-08-01T14:06:20Z","3","78","1","79","1","0","0"
"471e27ece03fc99eb848e96291352648465c6c08","2018-07-29T11:10:12Z","1","1","1","2","1","0","0"
"7209aabeccfe0e8e13e72b4e487f406f2e16c796","2018-07-12T17:40:22Z","5","144","22","166","1","0","0"
"f9d47e79cb1e2e2e7424f90e58402d173eb11b9d","2018-07-12T13:57:04Z","1","1","1","2","1","0","0"
"74fa2a84e8155726bcc92d36c178fe978addafb9","2018-07-12T13:54:46Z","3","78","3","81","1","0","0"
"52b3811e4dba1ed04f8efd1230661ad38af9d660","2018-07-11T12:18:47Z","1","3","1","4","1","0","0"
"d0cb0f8dab5e3edaea7c4d3c5807f006d3695880","2018-06-24T00:46:38Z","0","0","0","0","0","0","0"
"c1032a06df640b57e968ca542b69fcb57c01f011","2018-06-02T16:23:16Z","1","7","4","11","1","0","0"
"1ab97870e8e1fecb5bbbe72760c3661912bd4f18","2018-05-30T06:41:42Z","0","0","0","0","0","1","0"
"ad827dbb34422f4c7fd79343fb42a8a3f5c5660a","2018-05-30T06:41:30Z","0","0","0","0","0","1","0"
"0f06b56325551233b37106d7bd958713067d5d03","2018-05-30T06:36:57Z","0","0","0","0","0","1","0"
"3498a143a582e3d12913174bf05a5d554bf0cb46","2018-05-30T06:32:52Z","0","0","0","0","0","0","0"
"88b57c3bd7cd3d40c229f178344f6b1fc6c8629e","2018-05-20T04:38:24Z","1","4","3","7","1","0","0"
"6a139803127b712316087af9b0412d45ad158340","2018-05-19T09:42:36Z","1","3","2","5","1","0","0"
"603951febd167ce086c2a65ace1668cf8488db5e","2018-05-19T09:29:50Z","1","5","4","9","1","0","0"
"5607d8b91330648ff147f45aeea9a3c6421727cf","2018-05-19T09:22:26Z","1","16","17","33","1","0","0"
"8921bb08c86a7435b6bf21c78c9b2d470963d874","2018-05-14T13:53:17Z","1","3","1","4","1","0","0"
"851e2d4592b52a9c367ada2c76f013b1d4e20ac3","2018-05-14T12:13:26Z","1","11","2","13","1","0","0"
"71e8688ed41d4d13fbb09dec7572ce7504edffc1","2018-05-02T16:59:31Z","1","0","2","2","1","0","0"
"b9b68e4d2fc61972714dde45be7d9e668094578e","2018-05-02T16:25:32Z","0","0","0","0","0","0","0"
"95e0b429eb1359c0d732df70f4087e6b638747c4","2018-04-18T14:43:01Z","1","4","3","7","1","0","0"
"b36323213ff8bdae524c1e7cfd03beacfc812c40","2018-04-17T19:40:53Z","1","1","0","1","1","0","0"
"c1ab4c8399ade0aa82fd16784e166b841560bba8","2018-04-16T20:13:55Z","1","28","44","72","1","0","0"
"4f41863b14db0580924ea7d017d821ed5f77da71","2018-04-11T04:55:22Z","0","0","0","0","0","0","0"
"9fef2256149bc111396e7b23e3c54b1de0cd66fd","2018-04-11T04:54:54Z","0","0","0","0","0","0","0"
"aeb235f0071b9a481cdc38b95987e695994dfed0","2018-04-11T04:24:36Z","0","0","0","0","0","1","0"
"234ba765b478cc0bf7a30e766730ce0aea7c901d","2018-04-11T04:24:23Z","0","0","0","0","0","1","0"
"3695c1025e4393107f2942cc09de1c192831ac2c","2018-04-11T04:15:24Z","0","0","0","0","0","1","0"
"43f21c0fd37fdf962b12135206f27d5c9fdd30b7","2018-04-10T16:57:52Z","1","12","4","16","1","0","0"
"9d1b13327e7e0d6892fa407bbaf4686b8e32ec90","2018-04-10T16:52:48Z","1","1","1","2","1","0","0"
"368b3ab6926905b752e2f1472bde5cc31ce12266","2018-04-10T16:52:18Z","1","1","1","2","1","0","0"
"b5c340eee30c21c5446a87f229babd15a7494223","2018-04-10T16:44:13Z","4","42","30","72","1","0","0"
"4e6bd83fb691ea3ab9e725ebababc5c0f7975edc","2018-04-09T05:09:42Z","1","4","0","4","1","0","0"
"07e9e41dca8be4a7ea3f6d5b0d5f623611326696","2018-04-09T05:01:11Z","0","0","0","0","0","0","0"
"cd03cc891207f6e189cc8b0ca6a3c469aa016ac5","2018-04-02T19:22:30Z","0","0","0","0","0","0","0"
"8d3f2b9cf081a675cc587ffc8eff1d75b2753976","2018-04-02T19:03:47Z","0","0","0","0","0","1","0"
"132683a08f2759251072f72bd9091c9463cd8483","2018-04-02T19:03:22Z","0","0","0","0","0","1","0"
"869b114ac69edcc2c430a5cc3cbe442dcd1b5642","2018-04-02T19:00:04Z","2","4","2","6","1","0","0"
"b11eb4084cc5f4844650e9a48d96a42b169b61f0","2018-04-02T18:50:43Z","1","36","14","50","1","0","0"
"a11d6a6b399b330218a0c3c9be586b28c4af23dc","2018-04-02T18:46:03Z","3","45","127","172","1","1","0"
"36ffcafe83abd0ab23a92b5e275a84332070c593","2018-03-24T11:17:01Z","1","7","2","9","1","0","0"
"25f8ab1c1e2468aebe79772caeb4754e81792451","2018-03-24T11:17:01Z","1","42","0","42","1","0","0"
"00cd48a7c8d854a3769a3783dfd29261c60fae7f","2018-03-24T11:17:01Z","1","8","1","9","1","0","0"
"3b4322eae6e2a442ee52de698279fca255f1ba2d","2018-03-16T02:47:25Z","1","2","0","2","1","0","0"
"3313174891b6f04e8a35521c17f69eab27fdc8e7","2018-03-15T17:31:56Z","7","72","2","74","1","0","0"
"4852678a7ba2aad77ffe517027bbc36bc9e113c7","2018-03-15T17:25:32Z","1","8","8","16","1","0","0"
"3a739210ce1e3f568791b161290ea45ecb3dcfed","2018-03-08T11:48:33Z","1","4","0","4","1","0","0"
"6ead2326236fdec5c448d9e4dd1f8e746060c982","2018-03-07T07:54:48Z","0","0","0","0","0","0","0"
"a265e0ce16feab288e3cf1c3f97aaad950b99c2e","2018-03-06T16:26:21Z","0","0","0","0","0","0","0"
"5e84eeebbf61739314b76e61c7f10b9af7c51759","2018-02-23T06:56:49Z","1","33","9","42","1","0","0"
"cc368941648f50be7a1378ecfb4702c763cb0c4d","2018-02-23T06:30:45Z","1","0","3","3","1","0","0"
"9cf765911cefcd4ed5c6b2e9e60b3106d6728fee","2018-02-22T20:43:08Z","0","0","0","0","0","1","0"
"1702f06d21e20ff85e04d563bb42369004a8a14d","2018-02-22T15:10:36Z","0","0","0","0","0","0","0"
"c259dd229ca8469ecfb8ce566df673cd70ef6494","2018-02-22T13:51:32Z","0","0","0","0","0","1","0"
"509a59f68066681d20982453f34614a5e76c2a0c","2018-02-22T13:51:19Z","0","0","0","0","0","1","0"
"b4f25170b3eae359166cab5c56f846294c25097d","2018-02-22T13:47:38Z","2","2","14","16","1","1","0"
"7bff6723c139eb278d6141a1c4174d0d0d69554e","2018-02-21T18:32:32Z","6","125","40","165","1","1","0"
"91bd7dfb33d45c2b07dc04d80f2bdb547211fd28","2018-02-18T11:46:17Z","4","52","4","56","1","0","0"
"3eb0bc72b86b3b0e8b6cf30e8eb4884f9119f454","2018-02-18T05:03:35Z","0","0","0","0","0","0","0"
"d50802f6368a0102db21bf6c5a04096424a55a07","2018-02-07T14:59:30Z","0","0","0","0","0","0","0"
"90ffb5123b2eac54e92f477aa992f8f252d5a7cc","2018-02-07T14:59:10Z","0","0","0","0","0","0","0"
"d9a600dd9615167bb6ed3a167579ede5391c564c","2018-02-07T14:46:05Z","0","0","0","0","0","1","0"
"594ca8be7c226db8583c2cda781c3c26ba516f5b","2018-02-07T14:45:55Z","0","0","0","0","0","1","0"
"90f1887b4d07c836f8d30110edf19deec13dfc23","2018-02-07T14:37:16Z","7","102","113","215","1","0","0"
"64d91e8ea35799bae2739d8392b5705627d7758a","2018-01-17T19:15:48Z","2","56","2","58","1","0","0"
"bef929cc9721c14bd1243b2867a3437138267da6","2018-01-17T18:49:33Z","1","4","2","6","1","0","0"
"1f73e9a005c65350753fce9e796bce852c36f206","2018-01-15T12:14:41Z","1","8","2","10","1","0","0"
"7302390bf7cd6bb29a16919e5924addc35089110","2018-01-13T16:39:35Z","0","0","0","0","0","0","0"
"fd88b569a8aa47c17eb50ad1b40ea2991f059d76","2018-01-13T16:32:14Z","0","0","0","0","0","0","0"
"4a5d238578724099e5b60a1b47b4832c61f64533","2018-01-13T16:27:39Z","0","0","0","0","0","0","0"
"aeb533b888e131e4dbb1979b280663ea2f886a65","2018-01-13T16:16:20Z","0","0","0","0","0","1","0"
"314e0e642862211201c9f61cae23f663ec8d02a7","2018-01-13T16:16:09Z","0","0","0","0","0","1","0"
"bdfeee96e020a576e299687f42fe64494d1a6762","2018-01-13T16:11:20Z","1","2","0","2","1","0","0"
"67c589ce28407baab24338e87152b45864b101ae","2018-01-10T13:43:49Z","0","0","0","0","0","0","0"
"bf904b14819b8b55cb22a6f5a11fce24e4c9b248","2018-01-10T13:43:19Z","0","0","0","0","0","0","0"
"3346c2399f40beafa23fd1a2cecd18d8906bb209","2018-01-10T13:38:19Z","0","0","0","0","0","0","0"
"dfacdf43ce6d0145b9f13f259d1041eeb9d288dd","2018-01-10T13:37:57Z","0","0","0","0","0","0","0"
"8f3bee6fc410755ae6334c8cd7e1330b24f6c81b","2018-01-10T13:28:55Z","0","0","0","0","0","1","0"
"3078ea6d611b6857194b6226dfdda2205172bce3","2018-01-10T13:28:41Z","0","0","0","0","0","1","0"
"18379538fbf34656ff99913c62d3ed1fc6133d52","2018-01-10T13:23:11Z","2","93","52","145","1","0","0"
"5ba71e0e83511e2621789a573f4c8798345cba95","2018-01-10T13:18:17Z","3","26","21","47","1","1","0"
"d7a9fd03398f44e46f62e0245cfdab153768df6d","2018-01-10T13:00:39Z","0","0","0","0","0","0","0"
"a3637fb945708bb6aa979ab7884c17069ff9a38d","2018-01-10T11:24:29Z","2","34","0","34","1","0","0"
"2c0c761253a4c7d7d2a0af11e4cbff989b3bc74d","2018-01-05T12:26:27Z","1","1","1","2","1","0","0"
"c3ab0aa0ca08c53981792fb208781c2b3f1b6b39","2018-01-05T12:19:29Z","4","93","86","179","1","0","0"
"c48ccf6e12f13827914cde3cab209324d1e78009","2018-01-05T11:37:38Z","2","99","4","103","1","0","0"
"a5bdec0ad795505b94e3098ea6436bcf68b56deb","2018-01-04T14:43:18Z","1","4","7","11","1","0","0"
"d3ee2c738637cdec2994780907357f0759e0ed5d","2018-01-04T14:13:15Z","0","0","0","0","0","0","0"
"8e3ecb7ec82d43279442a5a22bd21a260666e3bc","2017-12-20T19:40:16Z","0","0","0","0","0","1","0"
"70d4907af43d09ee0a2f4214ae10fad725c7e7e1","2017-11-28T14:19:29Z","0","0","0","0","0","0","0"
"5725019a88a3ba195bf70895ea9793cda8c9be3a","2017-11-28T13:16:49Z","0","0","0","0","0","0","0"
"972404199c49562d9f8f11be09c9fc4b721037b3","2017-11-24T17:16:58Z","0","0","0","0","0","1","0"
"038af357555c232eeb7a1083fb34dabdd95141c5","2017-11-24T17:16:46Z","0","0","0","0","0","1","0"
"905a311716f7db2f461ab0f44523e7b9f6c944fe","2017-11-24T17:13:13Z","0","0","0","0","0","0","0"
"56e978fc65db0d70a24c29a79678abb8db42f008","2017-11-22T03:06:09Z","1","6","0","6","1","0","0"
"4bb67f7612ee203608fd3eabd1a017d381e7bfd5","2017-11-18T12:10:53Z","1","13","19","32","1","0","0"
"4a4c13965497d192b443bf76499cab62a6deb857","2017-11-18T09:10:06Z","13","0","0","0","1","0","0"
"4e0fcb11d1c2244a3efd809d5e037a2e7ac8d9eb","2017-11-18T09:09:26Z","1","3","5","8","1","1","0"
"7e0e467c806ae473a3594ebaf5060f75538949d0","2017-11-10T04:23:56Z","0","0","0","0","0","0","0"
"1d7949fcb60024653c9345a6eb28adb9f277b543","2017-11-10T04:11:26Z","0","0","0","0","0","1","0"
"85c450de6c4d49d97c4b351b7d37e9816fa0cafb","2017-11-10T04:11:13Z","0","0","0","0","0","1","0"
"ea694849917eb2efb25d37541f62dbbf8d207249","2017-11-10T03:58:53Z","1","3","2","5","1","0","0"
"0ba37fc796a35d71638335584fc56e95832dd184","2017-11-10T03:52:05Z","1","2","2","4","1","0","0"
"6eeb574de40d44bfe69af243c716505e0afcda17","2017-11-10T01:39:03Z","0","0","0","0","0","0","0"
"970bcee40e75a5960c48a248b21c12858f7fd6fb","2017-11-06T17:34:37Z","0","0","0","0","0","0","0"
"e03c96378f49f056b563122421186e194bed3564","2017-11-05T02:30:41Z","0","0","0","0","0","0","0"
"6a7084d9a94cac95f061ceeec87ffe74961ce049","2017-11-05T02:23:20Z","0","0","0","0","0","0","0"
"06e0cf6cf507b7b90d361ed6921b73e51a7dbb08","2017-10-28T04:36:56Z","1","45","48","93","1","1","0"
"4b796b520984b66d26465bdb4852cac17777f162","2017-10-24T16:59:20Z","2","391","254","645","1","0","0"
"4e00e8cd6a1686325486e2d07cba87d799d81d72","2017-10-20T17:12:41Z","0","0","0","0","0","0","0"
"5e508962a09611001f133caa0a4fcdef06501527","2017-10-20T17:10:19Z","1","1","0","1","1","0","0"
"8ec0c63282fd58a20bd5e8ba054b03b75311680e","2017-10-15T05:49:32Z","1","4","0","4","1","0","0"
"4d484ea6358fa4b1727c28203f2b654bdfa20823","2017-10-02T19:43:44Z","3","21","2","23","1","0","0"
"270ce38bb21802d81c151530083729f4bfaf36b4","2017-10-02T16:15:39Z","0","0","0","0","0","0","0"
"f6ce38c2a272ab3903aba72445eceb4aea63942f","2017-10-02T15:56:11Z","0","0","0","0","0","1","0"
"696a739608ae0b25d1e169c6632e7e9b57b33986","2017-10-02T15:55:58Z","0","0","0","0","0","1","0"
"252acc8c9ded0291d5dc04c6d436deebeb29f952","2017-10-02T15:49:33Z","0","0","0","0","0","0","0"
"d6a9cd435c12af2379943c123e7ff973bc2f58b1","2017-10-01T03:34:59Z","1","3","5","8","1","0","0"
"6735fcfe3a3c77df9e039922f073524d497eb635","2017-09-26T00:16:36Z","2","5","9","14","1","0","0"
