"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"7f5a0afc23aa5ff82320560a04d4c81a45efd67c","2018-05-04T22:36:18Z","1","6","2","8","1","0","0"
"86eb9458990d1d0f677ac4de920b4289d722e105","2018-04-27T07:30:29Z","1","3","1","4","1","0","0"
"99e58932841cd58d02b75c43b20a51d519a9de93","2018-04-27T07:04:52Z","2","205","10","215","1","0","0"
"7184bdc6ccbfc4f0223583c3c1ba93786c7f1126","2018-04-26T19:39:17Z","2","205","10","215","1","0","0"
"93dfbcb6178ce01aa438aae36599e5214e8bc89f","2018-04-25T15:41:47Z","1","3","1","4","1","0","0"
"6fd44d7d96bbe93266146371acc9bae64085d06c","2018-04-24T18:00:27Z","1","27","52","79","1","0","0"
"840e63c63d5c79d6bf719e3743c347cbcb1f4bee","2018-04-09T06:46:49Z","1","27","52","79","1","0","0"
"255a569b65fc850dd0394acfa003d6b63c6a2308","2018-04-05T16:43:16Z","3","57","30","87","1","0","1"
"1fd939b83caa7823d78476369955177313155c59","2018-04-04T17:21:59Z","1","3","3","6","1","0","1"
"3e0aa5a8f8774127d5a37138c56a81b0113de3d4","2018-04-04T16:20:11Z","1","4","4","8","1","0","0"
"d1ecfa884aa53a6e8c070486a30fab11f36c1b7f","2018-04-04T15:14:12Z","1","1","0","1","1","0","0"
"6f13aff4468977aa3898756873bdcb2d686fd551","2018-04-04T15:02:22Z","1","0","1","1","1","0","0"
"1f9331988bf17b254bf1d46e5934b57cc7c7cb6a","2018-04-04T14:08:18Z","1","1","0","1","1","0","0"
"001493a6700ff1c682c570ecf739a34d399c0250","2018-04-04T09:47:48Z","0","0","0","0","0","0","0"
"39d7862fed77559d897371e92204e4d2958aa72f","2018-04-04T07:56:24Z","1","41","27","68","1","0","0"
"1db14f96af7227edb7839892fa85ff8c8608d644","2018-04-04T06:32:54Z","1","12","0","12","1","0","0"
"da05b3bbaf1d96e44128539136a571c1f0ec321c","2018-01-17T21:40:10Z","2","205","10","215","1","0","0"
"68251383aa6ca0842ab5597fcf2f26c5a5b77aba","2018-01-10T22:12:29Z","8","21","445","466","1","1","0"
"8f0a64ad36fb99e3f0bf3411257286b92e43ed78","2018-01-10T21:52:19Z","1","2","2","4","1","0","0"
"40f1243e9e428b38d012896b9b5b5b4053d8689a","2018-01-10T21:21:05Z","1","1","0","1","1","0","0"
"0d01e0fcb5d0d1d1e33f2661961e6be505c4ba71","2018-01-10T20:36:03Z","1","1","1","2","1","0","0"
"88a3d6a05aba7ea673519ab50d370a4ec1d72d03","2018-01-10T19:33:29Z","1","18","2","20","1","0","0"
"1ee6ae235b257f085056ed5ab5e54a53d81e07e0","2018-01-10T18:27:40Z","5","0","441","441","1","1","0"
"1f64fced24289ea435f1e2d5a47a068bf7b79729","2017-10-14T17:51:47Z","4","18","1","19","1","0","0"
"f547bd48f8837f4a217a16fd56f5afa1adaeeccc","2017-09-11T22:21:18Z","0","0","0","0","0","0","0"
"fb9959b58a4486fe756426ae3cdf1edbd70f31f4","2017-09-11T20:30:45Z","4","18","1","19","1","0","0"
"c989f53f50b9e6e5e1c0ea9bddc529c713909ea3","2017-07-13T01:53:11Z","0","0","0","0","0","0","0"
"a8203446b90333f005c88cacf91a5dc8faf07c1c","2017-07-06T17:07:04Z","3","56","1","57","1","0","0"
"b5c1d206f7ca6845220444bab9428d2fbdc91b2a","2017-07-06T16:53:14Z","3","56","1","57","1","0","0"
"fa9c54dcd9e8b9a7c3459938afbaa2796554dbf0","2017-07-03T22:09:46Z","2","143","1","144","1","0","0"
"569d68cc70037f55f5f279259d0b3038e5aea65d","2017-07-03T20:30:34Z","0","0","0","0","0","0","0"
"5e470b5c2b12e00c6bd83be1053c572c1e3c12eb","2017-07-03T19:58:55Z","2","16","8","24","1","0","0"
"002139912c6e49506a7466f4eff2b4098842df60","2017-06-22T02:58:45Z","2","16","8","24","1","0","0"
"c3a81ead089fd8d58b3c0a64098e094451491c3e","2017-06-20T11:15:45Z","0","0","0","0","0","0","0"
"1cfaa68524c9df1a9b6cb1191c23870d355ed244","2017-06-19T19:31:02Z","0","0","0","0","0","0","0"
"1460419e1800710d3845d0f92cf66760815496d4","2017-06-14T21:50:01Z","0","0","0","0","0","0","0"
"027578a26dccba4d3acb653b69ffb4e148abb006","2017-06-11T15:19:23Z","4","24","15","39","1","0","0"
"a938284799b988a2e50c1a0c8944aa094cc7e143","2017-06-08T04:24:53Z","0","0","0","0","0","0","0"
"ab76ebaac1aa7c4c9101399a3902074634e24bf1","2017-06-07T17:07:38Z","2","143","1","144","1","0","0"
"ea14be2464de0ce59e05ee740308eb1fc0187738","2017-05-31T22:21:33Z","1","7","2","9","1","0","0"
"d565ede33ae8b68ebacbe95b75a425abdf0e81b2","2017-05-28T21:00:30Z","2","0","9","9","1","0","0"
"1b4a762071b28c70d44eede31de537e8b77a6584","2017-05-26T13:45:12Z","3","13","3","16","1","0","0"
"16c86063f95c7b392158e12988848f77e2461fa1","2017-05-26T12:54:08Z","3","18","10","28","1","0","0"
"45d7875c3e51f6d6152b667db31e4fe435711917","2017-05-17T15:55:53Z","1","7","2","9","1","0","0"
"dbc7429dbf7b82b4f27610f0bfc2e187106179ad","2017-05-16T23:32:47Z","0","0","0","0","0","0","0"
"a7b66cad1874d5d0dc21d8e490e89f83e078a9f4","2017-05-16T20:25:42Z","2","31","24","55","1","0","0"
"2ad586baae2ca880042496c12cbac0a095f27b53","2017-05-16T19:45:19Z","2","31","24","55","1","0","0"
"338aadca7ece5a8bda30ae20791693404d2840cc","2017-05-16T18:18:31Z","2","11","2","13","1","0","0"
"42629040ac1e424d5c360904ff5c374f9afcea20","2017-05-16T18:12:11Z","1","1","1","2","1","0","0"
"67944370e790eaa43dfe2dd937f45fa8a0d80156","2017-05-16T18:10:48Z","1","1","1","2","1","0","0"
"717f13bcb100480ecc4f8f5cf95a7296af9dabb8","2017-05-16T17:58:40Z","2","11","2","13","1","0","0"
"fdfb8f970cc42bf29ac8a7438bf40734911e45d5","2017-05-16T17:50:24Z","4","69","32","101","1","0","0"
"f2b61c77073bf9c9196bd176be416fcc7e841104","2017-05-15T02:12:02Z","1","1","1","2","1","0","0"
"f956ebada681f062c36c04c6b655e6dcc3273429","2017-05-10T04:22:34Z","1","1","1","2","1","0","0"
