"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b1fd0ce179654c471349f99858d959bbd8402245","2018-09-25T20:33:13Z","1","1","1","2","1","0","0"
"32d82b96998848faa1835d1cb06b3f8a84e965a2","2018-09-12T07:04:10Z","1","1","1","2","1","0","0"
"e59a0bb7e9391085014596f30716d45b271b37e2","2018-09-10T19:29:29Z","2","4","2","6","1","0","0"
"05308622b9e349b05f8387bec86accb70738c9a9","2018-09-10T19:28:49Z","1","1","1","2","1","0","0"
"91df840788220ad665dcf6289f798570a02279aa","2018-09-10T18:24:52Z","1","3","1","4","1","0","0"
"e7226c04d4c4390477a3511a3f132aaebf38479e","2018-09-10T17:48:54Z","5","168","4","172","1","0","0"
"a3ecef40e99e61addb1fa2c9b4ff152f2c1baf5b","2018-09-10T17:48:30Z","1","105","0","105","1","0","0"
"670607cde1c3751dc2de78270d17587fc5a48b67","2018-09-10T17:43:49Z","1","105","0","105","1","0","0"
"95e0a50b1eafd079fb0b66204a5e7540491ee44f","2018-09-10T17:32:30Z","5","168","4","172","1","0","0"
"872ebf2f47cffa4ea5dba0ac5a2b4f2714f512d9","2018-09-10T16:02:38Z","1","2","0","2","1","0","0"
"4254e9a272168a404fb2f0d73669bb78dd83ea11","2018-09-10T15:57:23Z","1","2","0","2","1","0","0"
"89418985308acfa964186a77b1eab8e6c21b9825","2018-09-10T15:31:05Z","34","1039","307","1346","1","0","0"
"219f54e0f68a66b2cffab1a327e5cf57044deb4f","2018-09-05T05:58:20Z","8","439","46","485","1","0","0"
"8741403c82968c93cbaf515739d6bb5a6b9bc858","2018-09-01T12:15:00Z","2","17","11","28","1","0","0"
"ad25675df44c857ca8306b53f214ac0a6087509a","2018-08-30T20:35:02Z","7","430","43","473","1","0","0"
"4094e3d199d9bd99998ddacb6d440a03fed45db6","2018-08-19T19:59:14Z","33","1022","292","1314","1","0","0"
"64b757473bc328eff7f07ff826f560cad3a57c4e","2018-08-15T12:50:14Z","2","2","2","4","1","0","0"
"247d2b28f19d96186c3ac49b05bd05a918459619","2018-08-15T12:26:02Z","1","1","1","2","1","0","0"
"fa3909c391195178ccf5a92d4ac342a30ae247c8","2018-08-15T12:10:01Z","59","438","1058","1496","1","1","0"
"f0731eb2712019c5623db73d96a504ca49160bb6","2018-08-15T11:18:19Z","2","3","3","6","1","0","0"
"23487ed9b0320446ba164caaa15f0ec20f552dc2","2018-08-15T11:00:25Z","6","28","26","54","1","0","0"
"2c7246ca338c0a3709bd2d2af650f174ecbe34f6","2018-08-15T09:33:26Z","1","4","4","8","1","0","0"
"f91305527d7eb011fe0249bc3ac14d699e0c215a","2018-08-15T09:31:15Z","6","39","40","79","1","0","0"
"249f6697be489ef26996f634c3f2d9b6dba9b6c3","2018-08-14T20:13:10Z","2","1","7","8","1","0","0"
"7ea71ac2f71b9ad172687cf2dabadd657a8202d5","2018-08-14T20:04:13Z","4","41","41","82","1","0","0"
"3b35a67faa61a5b788c305cbdaa69c927bd64706","2018-08-14T19:53:22Z","50","250","904","1154","1","1","0"
"de70cdc76f0bc92e74f626a09a81d9f61582e503","2018-08-14T18:54:57Z","1","1","1","2","1","1","0"
"96d7aeb57b5f03aa35e7db7c92770d86d853e608","2018-08-10T12:23:15Z","15","126","107","233","1","0","0"
"554ee52df62eb85ace53d4a1460c8f02591a06da","2018-08-08T20:32:13Z","8","80","60","140","1","0","0"
"8e9c82a138ff7b2f137e73a8b1df913aae317a17","2018-08-05T20:00:52Z","1","144","0","144","1","0","0"
"9f169f71c1a4d68d12535a944b1fb219b1b0b1a2","2018-08-05T19:57:05Z","1","144","0","144","1","0","0"
"5233c9d475f394aa10b45553a24cb0574966d22b","2018-08-05T19:38:40Z","0","0","0","0","0","1","0"
"99a991164c9300410f90785c2332d8e58e63b564","2018-08-05T18:59:20Z","0","0","0","0","0","1","0"
"587a0adb27d7b2f806554b818fe8c8c3971514ed","2018-08-05T17:53:26Z","1","1","1","2","1","0","0"
"26e2d5770eb37812c5f4c89906a616d6c55330c0","2018-08-04T16:40:47Z","1","1","1","2","1","0","0"
"7bdd22d61615e4d420e1731ddb4acbfdcc2605d6","2018-07-25T20:27:20Z","1","23","4","27","1","0","0"
"0f07cd85f77ee04cd5ca01b30ee2b0d68f2ec0c4","2018-07-25T20:23:33Z","1","23","4","27","1","0","0"
"9918a55533a3fff22b564c882c33bece4f050679","2018-07-17T16:11:18Z","3","149","9","158","1","0","0"
"4e61424d03a6a127b2df84b0cc79594dab408542","2018-07-17T16:10:50Z","1","0","1","1","1","0","0"
"66f03e0eaa2bf4f73cba874965054680ab51d28c","2018-07-17T16:08:30Z","2","130","1","131","1","0","0"
"da467dbda4ee53f99502d224df50af819220d34c","2018-07-06T14:59:37Z","1","20","8","28","1","0","0"
"dfe3e2195136899a66e79d730a76be2a98f849b4","2018-07-06T14:23:57Z","0","0","0","0","0","0","0"
"a4d2393459274726304e73de9d1fd9a81ebe6c95","2018-07-06T14:22:12Z","0","0","0","0","0","0","0"
"9097fabf3ee677be80bf28689b9ee08342d850bd","2018-07-06T12:51:40Z","1","7","2","9","1","1","0"
"ed7da1f0d34127c2e22d9a4d739c933756b80d4f","2018-07-06T12:50:08Z","1","7","2","9","1","1","0"
"eb80a12d052fe07a6e4a6e91fbdfc02dddc59f3e","2018-07-06T12:05:25Z","0","0","0","0","0","0","0"
