"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"77259b73b18a1eede7cf0e3fe75aeb580e9faf24","2018-09-09T16:37:30Z","1","348","0","348","1","0","0"
"88f815545832d68ba443a10f3cc0dd8b69f3334f","2018-09-08T18:33:24Z","1","348","0","348","1","0","0"
"65a919fb4fc21c57c5b98c6cf4663c1034c90857","2018-08-30T21:11:00Z","1","191","0","191","1","0","0"
"55c179bf19ddcb1c3fcf5e1d6ec56ff6a1788309","2018-08-30T13:52:20Z","1","82","30","112","1","0","0"
"f713a5ff9c5fbf2a2ee2b08c9de75a43b800ada7","2018-08-30T08:47:17Z","1","139","0","139","1","0","0"
"826e7b55b278f245d6b6fe8ec7fbc86560a4eb1a","2018-08-28T13:26:12Z","1","5","9","14","1","0","0"
"2dc86b6a04eaa57dfbea7bac3e80b5d9995b4545","2018-08-28T13:25:55Z","1","1","1","2","1","0","0"
"28deddd5d78064274b76df56126c9a72163ad361","2018-08-28T06:36:56Z","1","5","9","14","1","0","0"
"ff9205649b039dd560c86c7837a523a1e7257c61","2018-08-27T14:10:14Z","0","0","0","0","0","0","0"
"890b9df9e5c96d7872689dcc38282f7f30d59a97","2018-08-27T07:54:52Z","0","0","0","0","0","0","0"
"a1cbd6542fdedb968a9b4b1759b29bd3169ce8e5","2018-08-24T17:37:35Z","0","0","0","0","0","0","0"
"5eaf920106343f4311b4c0f58063d8f634701372","2018-08-23T21:20:09Z","0","0","0","0","0","0","0"
"0a373b5c101ee0cad5912ecbdfab389a7b02f2fa","2018-08-23T21:20:01Z","1","0","211","211","1","0","0"
"199220db7c291cba01d80f9b6a648575a75e1c48","2018-08-23T21:16:56Z","0","0","0","0","0","0","0"
"54551afe75cac4ba655222b8b5187d757215a6ec","2018-08-02T21:47:42Z","0","0","0","0","0","0","0"
"bc1bee07abecf0db06b34c2dba6f8fb23333edf9","2018-08-01T13:55:26Z","0","0","0","0","0","0","0"
"0b5c86e3a418de54bbe2c07626111da30d1e5f7e","2018-07-30T04:59:56Z","1","34","5","39","1","0","0"
"69279375d40bcfc315071ee7b97a926ca105ad43","2018-07-30T03:16:40Z","1","34","5","39","1","0","0"
"871793bed18823a3aa93a8e86a4100c19946895a","2018-07-25T16:16:16Z","1","0","283","283","1","0","0"
"550984a6ff6f4ba026faf1f8da8f7283f9ad6e56","2018-07-25T15:08:16Z","1","30","22","52","1","0","0"
"161791d4a5759878f53e4ef2e397502d621a8e81","2018-07-25T15:07:34Z","1","30","22","52","1","0","0"
"6d76e33c1973045f7c3cd91ef166de42170f1944","2018-07-25T14:40:21Z","47","75","5352","5427","1","0","1"
"c86ba856a83861e45e77066db1e6d52c148ae36b","2018-07-25T14:37:10Z","47","75","5352","5427","1","0","1"
"89b94a8f52010ada836b4773a64367578c8b213c","2018-07-21T18:45:23Z","1","0","2","2","1","0","0"
"058b99048fc34b9f5df5c09c0a19d70598339224","2018-07-21T18:41:07Z","1","13","2","15","1","0","0"
"2cbaa808af5bbc0a95def29f8aa817545dd17326","2018-07-21T18:15:39Z","0","0","0","0","0","0","0"
"354e74c01984228c3d5154c595a9c1c0e721280f","2018-07-16T21:56:24Z","1","78","0","78","1","0","0"
"5affb4d40204ede85ab6f1ed947fe5a915f739d7","2018-07-16T21:55:48Z","2","263","0","263","1","0","0"
"2029156863e8c6f221d82468ce86acf90acb018b","2018-07-16T21:55:28Z","2","262","0","262","1","0","0"
"55c3aacce100fd7af79fbcece9db99df597e478a","2018-07-16T21:55:13Z","1","330","0","330","1","0","0"
"7a236f75cadc42d0bf6fe1258d1b34c33910dfdd","2018-07-10T02:28:04Z","0","0","0","0","0","0","0"
"b748b42dfef1aa06d4d07299bbd9978195fc682f","2018-07-09T10:22:42Z","1","13","2","15","1","0","0"
"ddb76145355cffafd45b3f6de11a6a6d016fcd94","2018-07-05T05:27:20Z","1","0","2","2","1","0","0"
"7be27d67e3fe1ab88c4596e7f3e60736f890cad6","2018-06-21T13:45:07Z","0","0","0","0","0","0","0"
"595cc8fd6b4ed2124ad1b6908398818bb2e9dd6e","2018-06-07T20:27:02Z","1","55","50","105","1","0","0"
"a83875a2279c914fd8df1011ff031f2d56de3d13","2018-06-07T20:26:09Z","4","155","0","155","1","0","0"
"ace36bb2455a7177af9bdea7539fc8ffc3e73e75","2018-06-07T20:24:38Z","1","4","4","8","1","0","0"
"4733a63f608838eafcf0adaf315f4bbb403cbe38","2018-06-07T20:24:16Z","1","5","7","12","1","0","0"
"419b91d85c801151e565696d5f7078cf14d5746d","2018-06-07T20:23:34Z","2","31","34","65","1","0","0"
"ef6a188ff9bceccc2948afa14dca35578e8bc655","2018-06-07T20:23:09Z","1","158","0","158","1","0","0"
"5921efc83ef43b757897b3e2c34293ec532ed4aa","2018-06-03T17:44:13Z","1","158","0","158","1","0","0"
"ba57c1d734ec18edb6786b6a51b05d48b3322024","2018-05-29T11:31:56Z","1","29","32","61","1","0","0"
"a471c0224b885295460d1dbb61a26d4353fa455e","2018-05-29T09:44:14Z","1","2","2","4","1","0","0"
"cf3946616407cafd11842b31516860cc03ebde41","2018-05-28T02:09:22Z","1","5","7","12","1","0","0"
"5e9e829bb35b09bac530cc59c8129b58d1d346fb","2018-05-27T12:37:01Z","1","4","4","8","1","0","0"
"866903fe84fd3a6526332d9e9353b4c6721f9aa2","2018-05-23T04:04:54Z","0","0","0","0","0","0","0"
"ad0e95cdc6dbbd8b8c7f61bec50d2313df188aa3","2018-05-20T20:30:42Z","1","42","0","42","1","0","0"
"a85f2525b41b6240277ae507dd2b346b60b7290b","2018-05-19T20:39:26Z","1","6","4","10","1","0","0"
"c4a8e1e18c0ea36bf38c6572bdf782606e546114","2018-05-19T20:37:00Z","1","11","6","17","1","0","0"
"6afdadd28f29667125d07074e9b441965cab9f0e","2018-05-19T20:25:30Z","1","49","51","100","1","0","0"
"d5c673aa97a20fd43401f698cdf702dcaed8505c","2018-05-19T14:20:35Z","1","1","2","3","1","0","0"
"2065642099f6be63162d5e8bf1fafffb69f3cb15","2018-05-19T14:04:47Z","5","155","161","316","1","0","0"
"26998e2815d98f7807cbab3d74bafce409f2b54a","2018-05-19T13:59:28Z","1","6","0","6","1","0","0"
"52f7e4e97ebf7098f4df515efec7ef0e1bc2b9af","2018-05-18T20:40:28Z","1","6","0","6","1","0","0"
"ba22b1c6b86bb64132c824325a20607835729bfc","2018-05-06T11:46:19Z","1","17","112","129","1","0","0"
"4f95d81effbb84a63128f218b9f8c85caa19d16c","2018-04-26T14:07:27Z","0","0","0","0","0","0","0"
"172998b1ba0fcefd7f2bd56fd5cd4583da458d8d","2018-04-26T13:59:35Z","1","6","0","6","1","0","0"
"caa8265b06e77746e92e62401532cf6620946202","2018-04-25T11:21:45Z","1","6","0","6","1","0","0"
