"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6c738c9aa2ca6023c6d8b4e63b9f43e7110bbb2e","2017-12-02T22:09:27Z","1","40","41","81","1","0","0"
"9862f8e56ed24498f778b9a96f6f27763bc04d34","2017-10-25T21:43:59Z","1","40","41","81","1","0","0"
"5d57b3de81a46a8a210cd513f8205ded7d520b04","2017-10-11T07:36:22Z","0","0","0","0","0","0","0"
"c1874886c1f69fada6dedccebb6d72241dcd0c97","2017-08-16T17:21:14Z","0","0","0","0","0","1","0"
"7c8a0f1094f1df8907dce6ab5000e0f3e04f42b6","2017-08-16T17:18:55Z","2","34","6","40","1","0","0"
"b4c26b25fad44423e85ca2120485806ccb1a90af","2017-08-16T17:13:02Z","9","195","17","212","1","0","1"
"051d6e9f99a7bfb3037c3668040cc50a1d69129f","2017-08-15T07:07:12Z","0","0","0","0","0","1","0"
"ed9fd3adf7e27bebfb6620d832fae14579593f78","2017-08-15T07:03:53Z","2","34","6","40","1","0","0"
"02c88d70e6ad577609f2e7c335478122e937964f","2017-07-28T16:17:12Z","1","8","0","8","1","0","0"
"a2936ebd6844cf2ae6bf300e24b5469aa788fe1a","2017-07-28T16:06:01Z","5","66","2","68","1","0","0"
"525da153d0105ec0cc9057c0c2fd13794d06b7c0","2017-07-27T14:20:03Z","1","11","3","14","1","0","0"
"851249861eee7dafdd5c8bdc63bcd8882e265aeb","2017-07-27T13:56:37Z","5","113","15","128","1","0","1"
"efdab976ad515b42b05d61d8b09a580e6e1a0665","2017-07-05T08:40:33Z","0","0","0","0","0","1","0"
"65ceb1017741ff84a3be887b880f1df5ae30b425","2017-06-30T07:28:35Z","6","99","1","100","1","0","0"
"2cfcf3c22ab32c23abd658e9a5b9834b630cce4b","2017-06-29T20:25:08Z","0","0","0","0","0","0","0"
"d634ed1e6c1e161475140e265e807af18fb5416f","2017-06-29T20:21:24Z","2","22","1","23","1","0","0"
"4fece409fefcaa98eb1d8bc5bdf3c23de635480e","2017-06-29T20:21:14Z","4","58","5","63","1","0","0"
"260ac60a9a3db3497bae9c6275b4a850bf1ae95c","2017-06-29T16:15:55Z","0","0","0","0","0","0","0"
"b4aec323381c8f6b1c63fa574392830326c3a323","2017-06-29T16:08:33Z","0","0","0","0","0","0","0"
"259beb94bd3a1b3c4e663103e33475e0c00e50b0","2017-06-29T15:56:35Z","2","33","5","38","1","0","0"
"14953dae080c62ffe66ef903b378a0c85e3ee4d3","2017-06-29T15:55:52Z","2","27","0","27","1","0","0"
"96bff2dbfc9412da91dfe2c053639ae1c0e0d123","2017-06-29T15:55:12Z","0","0","0","0","0","0","0"
"a71023c6507ffc741301cacee0ce6f87d52de32c","2017-06-29T13:10:03Z","2","24","1","25","1","0","0"
"d5acf25b9f9ee43e88fe76b7cdb866f963026e30","2017-06-29T12:28:50Z","2","33","5","38","1","0","0"
"78befbb5ee80fb8e403f76375c8d693c60ba46e0","2017-06-29T10:48:50Z","2","27","0","27","1","0","0"
"b94e4ced877ca8e9eb331d4601136d8b13e80406","2017-06-29T10:14:18Z","0","0","0","0","0","0","0"
"7a6fa59a8586a29c6d9688df5fc3b6720ed3a28d","2017-06-28T17:29:20Z","2","30","0","30","1","0","0"
"c9527bf89e5c314b19b9c6c16d3bcab8e0926b08","2017-06-28T17:20:49Z","4","11","11","22","1","0","0"
"32adc12c9c14842fac77e86015702814dbe060a8","2017-06-28T17:19:01Z","4","69","1","70","1","0","0"
"720cf09bfb7f9b620450f4b785fe47a077f7f665","2017-06-26T18:36:45Z","0","0","0","0","0","0","0"
"abc22001620d7ca8290cc81796c658b9882353ad","2017-06-26T18:36:11Z","0","0","0","0","0","0","0"
"8a239975c7baa021a387664908e38556cab9ec83","2017-06-26T18:16:32Z","0","0","0","0","0","1","0"
"d3b146eb396fcc722b9cf608615afb62e4186757","2017-06-26T17:57:19Z","0","0","0","0","0","1","0"
"d48d712f71458f305b082e5ab762ffa7862812a6","2017-06-26T06:28:02Z","1","1","1","2","1","0","0"
"2223256c4715dfd277af75777700be6916285e2a","2017-06-26T06:27:28Z","0","0","0","0","0","1","0"
"181c8db476122e492ac70f7c1dd089437d457648","2017-06-26T06:27:13Z","0","0","0","0","0","1","0"
"19484e9716e9f7c29076e6ac55aafc0e4107401c","2017-06-26T06:26:52Z","1","1","1","2","1","0","0"
"e5a921f9f1dc556bc5cf2f92d65b67ed040cf7b4","2017-06-23T08:50:24Z","1","1","1","2","1","0","0"
"fa52078d2e53e22716f4be05d302d3a3c87461f3","2017-06-23T08:36:53Z","0","0","0","0","0","1","0"
"6222b3a87ba33c8646e7c1236c5b0327da5c98b1","2017-06-23T08:28:49Z","0","0","0","0","0","1","0"
"2757a3b3458498cbdcb7da8b84dd6457c42ebe07","2017-05-01T09:24:48Z","1","1","1","2","1","0","0"
"ae7f52ea5a75519bff30e4e6640dd4739e0c799e","2017-04-20T16:01:37Z","0","0","0","0","0","1","0"
"ef48b6708b299de6a5f896da0a8e27aaf9e18a84","2017-04-20T16:01:20Z","0","0","0","0","0","0","0"
