"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"76c405cf3d05ad7ba99fdd18a06b35b257898546","2018-09-06T13:54:52Z","1","72","0","72","1","0","0"
"b2b1d1743b8313e1a0b34ee1a535e129f665866a","2018-09-06T13:45:14Z","5","8","8","16","1","0","0"
"54796795c215bffd1243ee5faeb63518175f2cac","2018-08-26T10:45:47Z","0","0","0","0","0","0","0"
"d7b39a30c30dd2d7943a3fd62dbc1b3082464661","2018-08-26T09:37:32Z","0","0","0","0","0","1","0"
"8759703dd31a127c0265bc4cff128e73ceee4e01","2018-08-26T09:36:42Z","0","0","0","0","0","1","0"
"28f956f7cc45e768fd2a30403dd7138d1783657d","2018-08-05T13:19:35Z","0","0","0","0","0","0","0"
"15f3c33c2f0f4779b371c0aaa94d81988f15be6e","2018-08-05T12:50:25Z","0","0","0","0","0","1","0"
"6d157e2dcf766b1197f014730326a3ce7189a094","2018-07-28T05:26:47Z","2","2","2","4","1","0","0"
"ec1e93d8cb1485adcca34e8505cc77c089fab411","2018-07-28T03:35:38Z","0","0","0","0","0","1","0"
"429a1f96e0e12f21034ce4d2b20a51e8669097ee","2018-07-28T03:30:37Z","8","451","2","453","1","1","0"
"5aee69857b80a8dd2773ebdb9938e79da0381bbc","2018-07-28T03:30:25Z","0","0","0","0","0","0","0"
"dd882f489164cfbc4a1fd0d22dbde3db8f499fa1","2018-07-28T03:24:29Z","3","42","0","42","1","0","0"
"12b682f67a960d326938e53571786840c8d0fa23","2018-06-28T14:25:29Z","8","451","2","453","1","1","0"
"8555a7e504040c45ec21a1c7c73516b828ad3867","2018-06-24T13:59:12Z","1","2","2","4","1","0","0"
"240dd06e3ba8d994bcdbb873beb77e3c595725c6","2018-06-24T13:59:12Z","1","2","6","8","1","0","0"
"0e89134d8bdc473116b02ed77120b9ef8cdb5786","2018-06-24T13:38:28Z","6","312","0","312","1","0","0"
"9d1159fef414f9e75f5f240de372082da2f692ed","2018-06-24T09:35:17Z","0","0","0","0","0","1","0"
"c194fb2aa18819dfaca38472bc6177b869a5b211","2018-05-10T22:40:08Z","1","2","3","5","1","0","0"
"02623a3564b680ffda9a4b5804e8fbb7ed3a9d4b","2018-05-05T12:42:15Z","1","1","1","2","1","0","0"
"b713b6fec8b216f1da26f0bf3faa8eede020d8df","2018-05-04T05:42:01Z","0","0","0","0","0","0","0"
"cecff7023902b58806e828a79d345ed254c0a1a1","2018-04-27T23:04:11Z","0","0","0","0","0","1","0"
"099cfc8ffb498e676497d089cd893067e8582b31","2018-04-27T14:25:43Z","0","0","0","0","0","1","0"
"21d92465d356eae576b7665164484ddd9ca12ae7","2018-04-27T14:23:36Z","1","7","1","8","1","0","0"
"ca130e4643d00ca6608f4f07aec38cb9db6a8452","2018-04-27T14:04:30Z","0","0","0","0","0","1","0"
"90da6e49cf44225d612bb473b0edf86d294b628b","2018-04-27T11:12:13Z","2","98","0","98","1","0","0"
"145dd9efc23624f4f224320fa3e8bcd934352812","2018-04-22T11:07:59Z","0","0","0","0","0","1","0"
"f0ce2aebdda7c18083efc4ae358d369a1447e10e","2018-04-22T10:28:08Z","0","0","0","0","0","1","0"
"cde84a7eab463e367b5c767110f575a5b9e5862b","2018-04-22T07:45:55Z","7","264","0","264","1","0","0"
"e03d574fddb73491cb0cf7913fcd554f0d6311b5","2018-04-22T07:43:53Z","1","4","0","4","1","0","0"
"ede591ae43157a3be8b495e5c5b0e69378662f9d","2018-04-22T07:27:31Z","15","499","5","504","1","0","0"
"966e8e09d1caddaffab7336a55eaa43429416476","2018-04-22T06:14:50Z","3","23","23","46","1","0","0"
"0dcc839c7e57a2dddd6229a09ac825dd58ecbe91","2018-04-22T06:13:54Z","1","63","0","63","1","0","0"
"28a2e461251089320dc24a689846d8ffba14caaa","2018-04-22T06:04:26Z","2","25","4","29","1","0","0"
"cd7e626de562c0cec200a80f4cbda4a639af1469","2018-04-22T05:39:28Z","1","5","1","6","1","0","0"
"2860beeaec2cac375fd523a979833b024a08be1b","2018-04-22T05:34:03Z","1","1","1","2","1","0","0"
"835684e17ef8b68065620ab2557d14f8eb03674a","2018-04-22T05:27:02Z","0","0","0","0","0","1","0"
"8820a11808e813b969af0b3b4578ae9f61e8d3e0","2018-04-22T05:25:24Z","9","469","228","697","1","1","0"
"225f772bcb0f0836004de4ccab4c6a5fa515283e","2018-04-22T05:24:14Z","1","19","0","19","1","0","0"
"719d75d5e18a862deb491d65c9e222224668ed1b","2018-04-22T05:23:35Z","1","58","0","58","1","0","0"
"09232515c6111e80dc40b5b0a5f30ff1f272d6e4","2018-04-22T03:33:18Z","4","287","0","287","1","0","0"
"cba0500910ebaaf5a124b7dece07ee63e1666233","2018-04-22T03:27:08Z","0","0","0","0","0","0","0"
"ed32decb88fc8f2e9b631de25c663d85072dbec4","2018-04-18T13:47:22Z","1","1","1","2","1","1","0"
"819ad48389d1766a6a8304aae282a58be9132708","2018-04-10T23:10:25Z","1","7","1","8","1","0","0"
"2b69b0f406453d9217a94f9bfb8a48080ba05c96","2018-04-10T23:08:16Z","7","546","7","553","1","0","1"
"e357406336277fa470f127c9b0a5fb9ad433706e","2018-04-10T23:08:14Z","4","252","0","252","1","0","0"
"3c2b733dac168ea4ddbcb62c7cc1890f37e26b92","2018-04-09T08:32:09Z","1","6","1","7","1","0","0"
"c49b13a05a4460d438f178b90c6fb98e43a97a33","2018-03-24T04:14:32Z","0","0","0","0","0","1","0"
"044093a3f54562aa00ffe9bf8aad60f02b5eb0e8","2018-03-24T04:14:12Z","0","0","0","0","0","1","0"
"26384da3d67a4e1e51f015cb6d6fdab64db15b8e","2018-03-24T04:13:13Z","0","0","0","0","0","0","0"
"7aaffdb2897dba577e50c020dc54797b4d4ebe3f","2018-03-24T02:54:26Z","2","13","1","14","1","1","0"
"d591357b5a157d761bf652bde90d90328f5528f2","2018-03-21T03:07:28Z","1","7","1","8","1","0","0"
"615d8186dd299efa6dbe485e66afde05ecc31efc","2018-03-17T09:45:21Z","0","0","0","0","0","0","0"
"888ae0898f146a49fe9b86a868ba1c11712a3bcb","2018-03-17T08:59:18Z","0","0","0","0","0","1","0"
"82be6fb97ecf852c779b44072b93ae78e0522b9f","2018-03-11T09:18:47Z","0","0","0","0","0","1","0"
"94eac1fd35b5a0bb6505322543910c73ccd9bc5e","2018-03-11T09:13:00Z","20","654","0","654","1","0","0"
"a4dc0bf050a1b129e7df502b5718608318dd6691","2018-03-11T08:48:27Z","4","5","94","99","1","0","0"
"41ac700752385cff37e0dd06d19ab4d1976873df","2018-03-11T08:39:41Z","5","30","119","149","1","0","0"
"bcfbdf39a69ae0449fefde81b43642ff78832b4a","2018-03-11T08:36:26Z","5","0","210","210","1","0","1"
"8f4039244b9d4abe85f132a38ab304481551d3e4","2018-03-11T07:23:15Z","3","4","3","7","1","0","0"
"3773cac4cde1c6ae017893c21e7773b386876067","2018-03-11T06:40:03Z","0","0","0","0","0","0","0"
"75792939bf781bd4559afa3b9beb1ce3747e1171","2018-03-08T06:51:47Z","1","4","1","5","1","0","0"
"30f65de204662b340232aaded9c92537ed623b48","2018-03-08T02:13:02Z","5","178","2","180","1","0","0"
"d5235a8eba01f1a80b43bc3a7324f56ea5913b2b","2018-03-07T23:00:55Z","0","0","0","0","0","1","0"
"a09c1d511bff2041885c7130e737c252848cccef","2018-03-07T11:26:02Z","0","0","0","0","0","1","0"
"a122413bd67fcf4435a02bd48b29b23feb67486c","2018-03-06T23:02:47Z","1","0","37","37","1","0","0"
"e5c72c1e50bf8186d5bce881337a1a7a3511298d","2018-03-06T22:38:18Z","2","8","2","10","1","0","0"
"01696f6b46ffddccdd52aca8d97bacc1c11e18e9","2018-03-06T03:49:00Z","0","0","0","0","0","0","0"
"c655f801b741693cf017bb581b561904aa71c36c","2018-03-06T03:44:48Z","0","0","0","0","0","1","0"
"bba6c0609fccdb61f7010f5f0481286e2ac950d3","2018-03-05T23:07:34Z","0","0","0","0","0","1","0"
"3fdf2bb7def4f63aed069802827d8c9e956e9167","2018-03-05T23:02:40Z","3","33","0","33","1","1","0"
"f1b277b37aaa63576d6e9385e3e070ddf34351b5","2018-03-05T14:24:07Z","1","9","0","9","1","0","0"
"0a93d515fec53fefe7d20d73b8ec7200324d3597","2018-03-05T13:44:17Z","0","0","0","0","0","1","0"
"ab7fc323fd9a7a8faef7fa41acffd88760e42a41","2018-03-04T09:05:04Z","0","0","0","0","0","0","0"
"eccd72e6c7075834d72df417854179af93a023e5","2018-02-27T13:52:39Z","9","386","0","386","1","0","0"
"b17bc0ecc3b24c9dab36c56f5c5b88429a4c1945","2018-02-26T05:51:12Z","0","0","0","0","0","0","0"
"8a3fac0db2aa49a064cb9d6e75470c7ab1efec65","2018-02-26T04:19:50Z","0","0","0","0","0","0","0"
"0bff8e4d126076c46ecc52bd0cf88aba08ad21f6","2018-02-26T04:09:01Z","2","13","3","16","1","0","0"
"4f7d95c2089309eb32d4133626044922c6393ef1","2018-02-25T14:10:04Z","0","0","0","0","0","0","1"
"84827509fd205363e8ec8e949c0b1628491588dd","2018-02-25T14:09:39Z","4","32","3","35","1","0","0"
"771a9d0c9c892c6e8ee22ec1549b069f1d9ee559","2018-02-25T14:07:11Z","3","0","12","12","1","0","0"
"9d44f8806c866a7ab3f201f770a477fed1fc35f6","2018-02-25T14:06:22Z","7","36","12","48","1","0","0"
"9166bb5cab1f658a49890d28c5aec694cbd1871c","2018-02-25T14:04:20Z","0","0","0","0","0","1","0"
"08ce97b1dd673a54d59fa6778c854e3351e88b15","2018-02-25T11:10:06Z","1","6","4","10","1","0","0"
"d51f83ab801a341f1949c4b4f7f776ee2676998b","2018-02-25T11:02:55Z","9","317","47","364","1","0","0"
"a209a059f8d7ead656cc2d85070fabc01a8e0f90","2018-02-25T09:43:38Z","3","37","11","48","1","0","0"
"350332090c8b181f71a055ca4b70805f5d7b88a4","2018-02-25T07:45:48Z","0","0","0","0","0","1","0"
"2fb0d8e3a2932ed74b41fe24b77cbdc24af74868","2018-02-25T07:33:53Z","1","18","20","38","1","1","0"
"22473a21937153ecdeddb1c4f353eee28a8b94c3","2018-02-25T07:20:27Z","3","34","34","68","1","0","0"
"2ed5bb848cb4ef38a232a8ba68f05bed082b9282","2018-02-25T04:37:31Z","4","47","0","47","1","1","0"
"669135fee0978a7d8731d3ed316e3b9ae647be3d","2018-02-25T04:10:57Z","3","19","0","19","1","0","0"
"6749d3afcf5d8a7edc0f051b1d6e5a78662d0e9f","2018-02-25T03:54:25Z","9","452","0","452","1","0","0"
"655a1e0abbffdd95041fa004217d29543db53d33","2018-02-25T03:54:05Z","1","2","0","2","1","0","0"
"7493a12ce3babfa187a57ef83458579b3ad3b11f","2018-02-24T02:05:56Z","12","401","36","437","1","0","0"
"dcc5cccbd541828a08c9303d1f1e31af6387ed84","2018-02-23T14:11:47Z","1","2","1","3","1","0","0"
"d3928931a254be25be07a44c44b159a338992bf3","2018-02-23T14:10:44Z","14","637","70","707","1","0","0"
"a13d8efa1a5c33b4558e099729a153d0fcc5bba2","2018-02-23T14:10:21Z","2","62","35","97","1","0","0"
"dfa5596ce9131dc8992d9a79c75f38ae1359d6d0","2018-02-21T12:32:58Z","6","469","0","469","1","0","0"
"2be8371b2c333d23c2e27322e29f1857bd03a6c4","2018-02-17T06:45:24Z","2","229","0","229","1","0","0"
"baff6b50affe2e2faa61d144576f2b6cab75dcba","2018-02-10T16:00:15Z","4","212","0","212","1","0","0"
"be061194c6b4b5d39564638211184c94edebefed","2018-02-10T15:43:56Z","4","548","0","548","1","0","0"
"454d9776ccb5612b82e48b41cb0bfe04e52f5b89","2018-02-08T14:22:46Z","1","1","1","2","1","0","0"
"0dc2ba6f6b223926e552b59f70fcfc0290c50f5f","2018-02-08T14:21:41Z","2","250","6","256","1","0","0"
"d6d6355f66497681532c9555b092e151a0b5da6a","2018-02-08T13:20:29Z","5","154","56","210","1","0","0"
"51373407f9c047ec5049944e757c0c1d8241eef9","2018-02-07T13:26:08Z","1","1","3","4","1","0","0"
"8ad7ffded577be5f98a2d44ad9272022c200e0e5","2018-02-07T13:25:43Z","1","0","31","31","1","0","0"
"62004392afb09b288097179a3a498cef84a7d780","2018-02-07T13:25:21Z","6","273","226","499","1","0","0"
"c3cf6966da23fd44ae6789828e46a0a2eb9a6e10","2018-02-07T12:53:19Z","1","4","1","5","1","0","0"
