"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b6e9ace597a2a07eb41b5baf213ec6b690b9ab80","2018-09-25T18:37:40Z","1","2","1","3","1","0","0"
"c04c1fbb82f54e3510d7f409062b636a510d076b","2018-09-25T17:21:28Z","0","0","0","0","0","0","0"
"6764b8a49e77b4fd3ac60d2bc7052e694805b11f","2018-09-25T16:23:01Z","0","0","0","0","0","0","0"
"534fc5e7d6b86ab2d5e5d8a382fc73c2fc38b68e","2018-09-25T16:23:00Z","0","0","0","0","0","0","0"
"2cc02e9cbc0e10d89855f9c9e09dcd0deb504af0","2018-09-25T16:22:46Z","0","0","0","0","0","0","0"
"4a49691a4ed6c10d8435c266fda5408e3ba514f0","2018-09-25T06:14:32Z","0","0","0","0","0","0","0"
"d034ddb9a7a5f279c08b254decc3b4a244e2ff66","2018-09-25T00:38:25Z","0","0","0","0","0","0","0"
"22be1ec323ff68fe2ea3d2e1d11c03635450f880","2018-09-24T07:29:46Z","2","68","9","77","1","0","0"
"338fa585d3af28597e451ef69aae8dfd73f03965","2018-09-23T20:12:12Z","0","0","0","0","0","0","0"
"2676c60fb25edf0710435d4e7f251096caf4946a","2018-09-23T08:00:18Z","0","0","0","0","0","0","0"
"56bd4cb9e763fc33b7f25ff03710fcf647dcd0e8","2018-09-22T19:26:14Z","0","0","0","0","0","0","0"
"f094c7e23a91125f652d8747115678e92f8b47b8","2018-09-22T17:04:02Z","0","0","0","0","0","1","0"
"efddca61af5904f6286461491d7cfae89e69974c","2018-09-22T13:04:23Z","4","7","7","14","1","1","0"
"0321e19feff1413f99c608f30a4d4d1bed83b0eb","2018-09-22T09:43:12Z","0","0","0","0","0","1","0"
"2ac17b4c7bf8997db286d500a34b5c271990d372","2018-09-22T09:42:39Z","0","0","0","0","0","1","0"
"d7a499cdc3ab6a875f863c55e3c293ce3c59a6ee","2018-09-22T08:34:37Z","0","0","0","0","0","1","0"
"dcd75264a7560a99726f518c311a252f209ccff4","2018-09-21T11:29:31Z","0","0","0","0","0","0","0"
"fc7085218325d09f4189a60c84a02cc805d3b27e","2018-09-21T11:28:13Z","0","0","0","0","0","1","0"
"b893beaf3913e8f3577bafc1c1b2eab9600ce152","2018-09-21T11:15:14Z","0","0","0","0","0","0","0"
"069616851cf36daece75d868c50ff006dd8c9d24","2018-09-21T10:46:07Z","0","0","0","0","0","0","0"
"ed1db2242ac2e2553ec37a988772b64786755bc1","2018-09-21T09:02:45Z","4","0","0","0","1","1","0"
"e89fc5df46d5fb1fdff213356478ec114fa85156","2018-09-21T08:49:32Z","0","0","0","0","0","1","0"
"31436a12d8c3a37552d7a1bb8d9d333574db253a","2018-09-20T13:35:54Z","0","0","0","0","0","1","0"
"c7727411a369bc8adda40ae5fe7df2f2264a352b","2018-09-18T13:55:21Z","0","0","0","0","0","0","0"
"c812b6118c62d868517e36baf171d1fc14a62dd6","2018-09-18T13:51:27Z","0","0","0","0","0","1","0"
"95d37b3688767cfa61820dea7ef10d51b293df0b","2018-09-18T10:19:45Z","0","0","0","0","0","0","0"
"8c72b03201f9eacf134ed90c883637d946890199","2018-09-17T15:20:52Z","0","0","0","0","0","0","0"
"1f9afcd2867f265180c62f752f7cb076b67e5b7b","2018-09-16T20:11:11Z","0","0","0","0","0","1","0"
"82e278162b0a4b93429fb0a582c72277f32b633d","2018-09-16T19:56:44Z","0","0","0","0","0","1","0"
"7dd45b81f4952c92c9ca709f775fc46c0d88c681","2018-09-16T19:35:55Z","0","0","0","0","0","0","0"
"8a9022c631c8728bccf7df9989e91482396d9569","2018-09-16T19:31:02Z","0","0","0","0","0","1","0"
"ec3e9ab1e93702579394a1926e48c597a70463d5","2018-09-16T17:52:11Z","7","326","56","382","1","0","0"
"d421fd7fbf54fdfd03ac0cd3a61a4ebeb377c513","2018-09-16T17:51:41Z","75","1320","608","1928","1","0","0"
"e056f13d63eb4e0ff95c1fdb10c628a9816e015b","2018-09-16T15:59:44Z","1","1","1","2","1","0","0"
"e98dbc537da0be1d8afc4f5b9b571e926c3d2382","2018-09-16T14:35:00Z","0","0","0","0","0","1","0"
"782ae4e788941a3b111b13e9639b9765f24cbcf5","2018-09-16T14:34:47Z","39","23","21","44","1","1","1"
"0f4694066afdbd204c0d2525a09df2cc48445cf5","2018-09-16T14:19:06Z","39","21","23","44","1","1","1"
"c20918b73d365db5311246f9123d62b5eefd9ad0","2018-09-16T14:16:50Z","39","21","23","44","1","1","1"
"bd11f21082aa0d95621cb4bf42e78dace8b7db48","2018-09-16T07:53:03Z","0","0","0","0","0","0","0"
"2d26e53cd78cf76d1774defc5bab42af8228ddbf","2018-09-16T01:45:21Z","0","0","0","0","0","0","0"
"f6a7a39e9fb3043731ce1dc5e6d66ed08100fe7e","2018-09-16T01:45:20Z","0","0","0","0","0","0","0"
"e3813d98200c5f950ba0a84323e8ef43efcf0e37","2018-09-16T01:45:12Z","39","23","21","44","1","1","1"
"f04b5ef0489ff54449541f30fa4192f97bc54ceb","2018-09-13T15:10:04Z","0","0","0","0","0","0","0"
"280650867e3aa2171b55adad5c5856147aae8e54","2018-09-13T14:25:04Z","0","0","0","0","0","0","0"
"31c70be20a1910e3e14237585ca10dda8be87d22","2018-09-13T13:12:52Z","1","6","4","10","1","0","0"
"f288bc653e420e2d7f4b3cd443a65dc6dcce439e","2018-09-13T12:45:38Z","2","40","11","51","1","0","0"
"4659536b1141d7922f752298a760d3042967d329","2018-09-13T12:36:13Z","0","0","0","0","0","0","0"
"4298e13f02a927a13427db8c6cacb24c9d37d5fe","2018-09-13T10:29:21Z","0","0","0","0","0","0","0"
"8ea6f6e251d8411e09b9e4783feb8b7efacd6af1","2018-09-13T10:01:27Z","0","0","0","0","0","0","0"
"81e8e4c2f62f82ea04ed1184f9f18db0adc19611","2018-09-13T09:25:07Z","0","0","0","0","0","0","0"
"de30b34e67add1c6e7e042139fbe81738202ec0e","2018-09-12T13:54:55Z","0","0","0","0","0","0","0"
"deab8ceeb015b4d98ec95a16117fa30ef38c0ba0","2018-09-12T13:45:52Z","1","28","0","28","1","0","0"
"aff1abd3cf2718df4b2fc09584e1a07dcdef45b6","2018-09-11T14:41:31Z","0","0","0","0","0","0","0"
"9b659c618c45c86b96d4726e02c4e8398954deb8","2018-09-11T14:18:03Z","0","0","0","0","0","1","0"
"a978317559a48ae458e3145abb1002fe0a7fdc94","2018-09-11T14:05:12Z","0","0","0","0","0","1","0"
"802a84e6a1e78a8acab495036a2da8fa6247c09a","2018-09-11T13:50:46Z","0","0","0","0","0","0","0"
"4457c7fd30861d8680447583fdb684d3b9d92280","2018-09-11T10:33:53Z","0","0","0","0","0","1","0"
"df53cf9117667cbb9240ecd535cfc7177bc368c8","2018-09-11T10:30:18Z","0","0","0","0","0","1","0"
