"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"836a97f2b387ff921591f967e601145c2001c0dc","2018-09-25T12:55:19Z","1","1","2","3","1","0","0"
"480ce4a2ee5adfe6eb23c367c7e691ca8352cb06","2018-09-23T18:35:40Z","0","0","0","0","0","0","0"
"018a3e42e7428e3909fda9f49d57673290352b91","2018-09-22T10:01:53Z","0","0","0","0","0","0","0"
"b8baaf40b63752f0256921c9aa3ea819d28b0f51","2018-09-16T12:22:06Z","0","0","0","0","0","0","0"
"20e23d1701671841940f1cd55f4647fcf40871a1","2018-09-15T22:30:43Z","0","0","0","0","0","0","0"
"7d1ebc18449ab203fa7ff11fc57a3eb05b805aa2","2018-09-15T22:23:12Z","7","96","3","99","1","1","1"
"5d606f12d50d7f40a088066e6dbdac632dc4d7f4","2018-09-15T20:15:48Z","0","0","0","0","0","1","0"
"cca06422b31df0e1109ea41cd517e40646b2f1dd","2018-09-15T09:37:57Z","0","0","0","0","0","0","0"
"469455d23549417fca3e8c7f5d521638e7996612","2018-09-11T05:54:54Z","1","43","0","43","1","0","0"
"5cb4627330e1559107ea0871f2363e2cc936e23f","2018-09-10T07:32:20Z","0","0","0","0","0","0","0"
"a8bf0f68cfb2db2dc74ab0918071e9e64257f067","2018-09-10T07:21:50Z","3","21","1","22","1","1","0"
"1fcd9dfc7b4352cc7d4fd644e9f18c707e0a6c2f","2018-09-10T07:20:13Z","1","0","2","2","1","1","0"
"57e5b059d59f826d66e7afa9d69991b87c2c982b","2018-09-10T07:19:26Z","0","0","0","0","0","1","0"
"3a7e3ecd2020829a504abec005d35f15f7c1c841","2018-09-10T07:17:55Z","2","32","0","32","1","1","1"
"5c2880d4a3905399a74b778db4d46f22c4401385","2018-08-26T20:29:39Z","17","36","49","85","1","0","1"
"62174f21ba5fdbc3f7918eb5e6ca3d60066100f4","2018-08-26T13:06:53Z","0","0","0","0","0","1","0"
"72a2541b59cb3287194198e6074c00a281f2d01d","2018-08-26T13:04:47Z","0","0","0","0","0","1","0"
"25ef0412ad6ab3ab49d8d9fa1abb71e2990563ee","2018-08-22T02:55:52Z","0","0","0","0","0","0","0"
"38d8e1dd30459ba8088ce7fefa3f9eb088737521","2018-08-22T02:07:23Z","0","0","0","0","0","0","0"
"9cdc74f1e2859330a4471ec097f36cd4a26915c9","2018-07-27T07:09:04Z","0","0","0","0","0","1","0"
"dbe1cb946c8edc04f2379f3c648dbdff26c7b9aa","2018-07-23T03:53:01Z","0","0","0","0","0","1","0"
"2060d05aec9867e6bc73491c590365f2ab9203a0","2018-07-22T22:20:21Z","0","0","0","0","0","0","0"
"41587194b84cf2562713f6421baa17793dd03bc8","2018-07-22T22:19:48Z","0","0","0","0","0","0","0"
"ec0edc097391e3f76e0379860747181da1938c9c","2018-07-22T22:17:43Z","0","0","0","0","0","0","0"
"e8e2c870a2f01a9daf3b683cb2247a7022f891dc","2018-07-22T21:57:46Z","0","0","0","0","0","0","0"
"ab19a248b8bfe19de7b2f74c99230e1ef94de7a6","2018-07-22T15:50:59Z","35","358","283","641","1","1","0"
"667595e4716236464d77d7644b2942cbb821b4c3","2018-07-18T06:57:12Z","1","24","0","24","1","0","0"
"7772ef63067069e7fe4825d4981e6aaed1676bd6","2018-07-18T06:56:19Z","0","0","0","0","0","0","0"
"cbe50834e8ab327d20e7a709b0526ddd80aba425","2018-07-18T05:05:50Z","0","0","0","0","0","0","0"
"811e2792ba3e0f22f2f4dc8b168518004a03a403","2018-07-18T05:02:15Z","0","0","0","0","0","0","0"
"f7f5a15c4c31c8684f41a6a9537b993a94b78934","2018-07-18T05:00:53Z","0","0","0","0","0","0","0"
"40be6ea9f7879d46eb50e07db2b168bd3da4ee23","2018-07-17T16:19:08Z","1","0","1","1","1","0","0"
