"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1c78b860dab8d2c69f95ab45a1fd45b197670436","2018-09-22T03:30:30Z","1","3","22","25","1","0","0"
"33dc0e35632f446a62e8df1a3c65ba1205f7276d","2018-09-22T02:19:46Z","0","0","0","0","0","1","0"
"268dfdf4d0fc4ea6b0d5474993cc46c7a8453fd7","2018-09-22T02:07:04Z","3","88","0","88","1","1","0"
"88d49d7d668bb5510b77ebcf4990aa4a9937c163","2018-04-15T13:01:46Z","0","0","0","0","0","0","0"
"7dbc34ec1fb79ee1b4e1745b543a79e72f0ca638","2018-04-15T02:18:17Z","3","99","0","99","1","1","0"
"4b0af6f2332b9cc5bc331292f8f41e42d1bae03f","2018-03-27T14:53:40Z","0","0","0","0","0","0","0"
"4bf616ec0c9e5b056b9fb136bf107d1766a45402","2018-03-22T09:16:09Z","3","119","0","119","1","1","0"
"fd635d96b35c0cdd2e58f7ba3b7e321f31eb44d3","2018-03-22T08:37:01Z","3","114","0","114","1","1","0"
"660c0c821e8b5d19030253c0bda21219156f054a","2018-03-21T06:33:40Z","0","0","0","0","0","0","0"
"f747d43fa5d55dd133d5bd4f968b9eb8b3aa682e","2018-03-20T07:52:01Z","7","0","0","0","1","1","0"
"aa277670c07ddb097db8a2d6ad10293454022d36","2018-03-18T15:27:12Z","2","42","0","42","1","1","0"
"abc8dfdea7f4998f4ffceaa454f34e8e5eeb4b57","2018-03-14T00:46:28Z","2","15","18","33","1","0","0"
"a2d33c0d1e392ed526dd1c93e129c9698f83e783","2018-03-13T01:13:32Z","2","61","0","61","1","1","0"
"c610db6afca3cfedbfbe1a770789fd8314bf4ead","2018-03-12T08:59:31Z","1","3","3","6","1","0","0"
"15123bc2bc28e7ec523dd40dfefe473f8dc9deb7","2018-03-11T11:23:29Z","1","3","3","6","1","0","0"
"c297adad3c130b1b336cc67fd55a192778061757","2018-03-07T14:35:36Z","7","122","0","122","1","1","0"
"6ac5953861012757a2099d6a46c7d758adf52691","2018-03-04T06:53:49Z","3","71","0","71","1","1","0"
"9043420c500ff0837c6d2bf14a996f7b04cbde20","2018-02-24T16:38:13Z","0","0","0","0","0","0","0"
"f356489f3bf964587a822f424c5bb76016fee957","2018-01-27T06:55:30Z","4","84","0","84","1","1","1"
"effa9b669328bd4480420ae40498f784a4ab9509","2017-12-26T01:43:22Z","0","0","0","0","0","0","0"
"8cda2a5187284864d0850e2f68f351c3f7e1a765","2017-12-25T14:42:47Z","0","0","0","0","0","0","0"
"51b5f430ec87d153b0e7bac42c03884fa3775a71","2017-12-25T14:38:31Z","1","4","4","8","1","0","0"
"1380936fef923e470c2317753535704332e7e6f3","2017-12-25T10:33:03Z","4","0","0","0","1","1","0"
"d12659b80b35bd7daec9fa230391ed472bdaa0a8","2017-12-25T10:11:31Z","4","134","0","134","1","1","0"
"6758d4d405846cd35d6c138a7fe67a62b4c698db","2017-10-01T09:01:22Z","0","0","0","0","0","0","0"
"f9c3aa9e938ccb94ededfb4669d8ae63c04db9ff","2017-06-01T16:30:58Z","3","65","0","65","1","1","0"
"650c605af7f71007810dcab00e30694f5c494521","2017-05-29T13:29:44Z","0","0","0","0","0","0","0"
"c7d829c01a9601be014d2e14a98bd18790565387","2017-04-18T06:10:24Z","0","0","0","0","0","0","0"
"ed2aa26c677a80c30745cf4c44a124bc4d12eb73","2017-04-16T15:40:08Z","0","0","0","0","0","0","0"
"e3a75909b54df68b7b9f3327cce2f8ba99358b0b","2017-01-31T15:55:54Z","0","0","0","0","0","0","0"
"97ddd7c8ffe835e230147da8a54ed1a4b4676d63","2017-01-31T15:40:39Z","2","44","0","44","1","1","0"
"8c733cc161979cd0b67d5bf04803e90d35d7d1fa","2016-12-20T16:08:47Z","0","0","0","0","0","0","0"
"e02520281e32949e1aea55fba86ddc75894bf048","2016-12-18T16:05:21Z","0","0","0","0","0","0","0"
"311243bbc5ffd962899787ef1b7221f23d9d394a","2016-12-18T16:02:58Z","5","161","0","161","1","1","0"
"cfe10f8b8f1359a7de054a84171b07ada2c43358","2016-12-14T06:02:18Z","1","1","1","2","1","0","0"
"8619381086972d8db8efbb9d519d898878e54441","2016-10-09T01:27:02Z","0","0","0","0","0","0","0"
