"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"925fb76373db62f052ce3b6a5c766ee7c3c58dc3","2018-06-05T01:50:33Z","1","2","2","4","1","0","0"
"b5ca37415eda1e12dbebfcf68da6a9519c7f19fd","2018-06-04T08:54:52Z","0","0","0","0","0","1","0"
"9d29645ad90bb64baf9e2d7b6584f258ec7d2be0","2018-06-04T08:42:32Z","127","0","3458","3458","1","1","1"
"28489f7b35614648dad90c01442ab8057298183d","2018-06-04T08:41:29Z","0","0","0","0","0","1","0"
"f7398827a6c078bd483dafe4f2167d47e982513c","2018-06-04T08:38:56Z","2","111","0","111","1","1","0"
"3aff9cac86afcd3455a792346da6f53f98aea843","2018-05-24T03:47:36Z","0","0","0","0","0","0","0"
"5b771b4814ab3e2441d779ad96031caa2895e857","2018-05-24T03:45:44Z","0","0","0","0","0","0","0"
"54eb4d4cd438db8e761580ce7479db473fda4377","2018-05-24T03:40:39Z","0","0","0","0","0","0","0"
"f8a3186f59ac3ba04d1abe61368418cc9dcf771b","2018-05-23T10:46:01Z","3","115","0","115","1","1","0"
"651953b89137b1dddae39c58f5930b43a5a1766f","2018-03-22T06:14:51Z","4","126","0","126","1","1","0"
"5b00dd9bd86cdc433b68fb69c26ab6934bb59bbb","2018-02-24T16:38:51Z","0","0","0","0","0","0","0"
"8060f528caa2b176a416fe362eb1f1b24c4739c1","2018-02-23T13:39:40Z","2","33","0","33","1","1","0"
"4268b3f8afd3687ba69771495d5bcb2c1404c434","2018-02-12T02:01:06Z","0","0","0","0","0","0","0"
"78ee39c75e501eeed063caf47a4b78658872c09c","2018-02-12T01:47:24Z","2","74","0","74","1","1","0"
"d292529c045122bfa417b119dd6889eb3132787c","2017-12-18T15:39:59Z","0","0","0","0","0","0","0"
"4a7d9aed817e44265c611c8eddc7c937eed576e5","2017-12-18T15:23:47Z","3","65","0","65","1","1","0"
"d1d38ff996caa7ec51ada8e4c7ecbb8fa4fff001","2017-10-01T09:26:31Z","0","0","0","0","0","0","0"
"345bf1d46b07e980116ba2d77aa83da968cf7fc1","2017-09-15T14:43:36Z","2","18","1","19","1","1","0"
"0317503465434be5871a33b3c1399a33c3a2a18e","2017-09-01T17:52:50Z","2","18","1","19","1","1","0"
"c55275973c844e2d2b689866c1bccfd22b064fa6","2017-08-23T05:51:36Z","1","1","4","5","1","0","0"
"78e4b4cf42640cc0bab23ff3bd695a7bf03847a1","2017-08-22T09:02:57Z","1","1","4","5","1","0","0"
"42473bd3b56d4e4260a56f89059de075ecad9aac","2017-08-08T14:55:09Z","3","83","0","83","1","1","0"
"7bd58a15056ba00cd2ef6760539bcb0bdff27580","2017-07-28T01:24:45Z","8","238","0","238","1","1","0"
"1042949f97c87fabd00c9466cd67c973494b8bdd","2017-07-03T10:18:45Z","0","0","0","0","0","0","0"
"ab3f93058baab81f6c814e43e00bb9b0578a247a","2017-07-03T10:18:09Z","5","129","0","129","1","1","0"
"a6c8a972c30e2d5132d0dc6d089702c979c3b1a4","2017-06-26T08:28:16Z","8","134","3","137","1","1","0"
"b77f24dbdf25ced9e5190438aea65e71681041f5","2017-06-22T00:32:30Z","57","1291","0","1291","1","1","1"
"4432f8a4134525523f260c9a067ce98aa7bf521f","2017-05-29T13:29:14Z","0","0","0","0","0","0","0"
"2d499cd558e45c25996473bc70227b42458d0660","2017-04-18T06:12:30Z","0","0","0","0","0","0","0"
"a5cdafd68091a236209433d6449a83f11b639d7b","2017-04-16T15:40:59Z","0","0","0","0","0","0","0"
"725c4450f7ec49f05dcb0987edbc13921cac7cf1","2017-01-08T14:16:27Z","2","20","10","30","1","1","0"
"7ffbd49231d7ddc276c460be454d43e863106e62","2017-01-08T14:15:34Z","0","0","0","0","0","0","0"
"f87eefa7b32b3d30352f29b45d4c66e30c08b1ef","2017-01-08T14:14:34Z","13","398","0","398","1","1","0"
"6d5d372d5ed85cb44e08f34579c787a20b0f9540","2016-12-22T14:21:44Z","0","0","0","0","0","0","0"
"b155fae1e178439f87aeca3b61016ae1e3506ec2","2016-12-14T06:11:35Z","0","0","0","0","0","0","0"
"512b09f985e5eb6e9cd019ba163b15d1dcc1f38c","2016-12-14T06:10:43Z","37","1085","5","1090","1","1","0"
"e9d3c01bdff7dd4758585b56ba8ae26639686631","2016-10-17T14:13:55Z","0","0","0","0","0","0","0"
"0645a53570774755c263681848fde83be48dbe69","2016-10-09T01:27:49Z","14","309","1","310","1","1","1"
"36863fc15cccdef7213ef0071cefb21ea801f190","2016-10-02T16:30:01Z","0","0","0","0","0","0","0"
"98248ab321c46df87988fa9b101b1744c2973305","2016-10-02T16:28:50Z","3","60","0","60","1","1","1"
"3710d590032fe82cd296c5729cb32114f8540a79","2016-10-02T16:27:53Z","0","0","0","0","0","0","0"
