"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"365c1e6a582499f8aaec30d56a398e694033e999","2018-09-04T11:28:15Z","2","2","2","4","1","1","0"
"fdb95d664949165558fe63e4a7726ff49fe4550b","2018-09-04T11:28:05Z","2","2","2","4","1","1","0"
"4717c9da2116f9eac74224d6e0bfa9d40f6ae1c4","2018-08-31T09:45:02Z","1","1","0","1","1","0","0"
"a3b14543b71bf1908cb58614173977d702b228ae","2018-08-27T11:59:40Z","1","9","4","13","1","0","0"
"a6d1cd2cd6cd027d9c183b023caeb77864f28691","2018-08-27T11:49:50Z","2","19","3","22","1","0","0"
"4d03ad6616a5f8f8fe6525a5d1ae9590b36b934a","2018-08-27T11:35:12Z","1","10","0","10","1","0","0"
"e8f5d366036afa216803fb7399e7e01beed03e09","2018-08-27T11:34:38Z","0","0","0","0","0","1","0"
"72ed867969dd92a3888832bd5cab72c39160052d","2018-07-12T07:29:46Z","2","2","2","4","1","1","0"
"8d604a5733236f89197081c08e5df81498bff1cd","2018-07-12T07:29:38Z","2","2","2","4","1","1","0"
"404fac90ec20fe11c66add75a136e45aba297bee","2018-07-11T19:45:49Z","0","0","0","0","0","1","0"
"5b3cbaa2468800a8e5c4b2184f36037116172c15","2018-07-11T13:49:18Z","2","2","2","4","1","1","0"
"1fe77d8c38e6ca619029a637382a1c93f92fd095","2018-07-11T13:49:10Z","2","2","2","4","1","1","0"
"0afafb0de293f6e20d685c36f193ebf5e1aae267","2018-07-11T13:44:21Z","2","80","29","109","1","0","0"
"3e7596c52764b072e4843a6c2625b662d3002780","2018-07-11T13:36:03Z","5","64","21","85","1","0","0"
"30611c629f3a8e0fcfe5548abebd886e94ab18d8","2018-07-11T13:24:39Z","0","0","0","0","0","1","0"
"3ca6966f438ec56e828078f7739ec16e7d55fab5","2018-07-11T13:24:03Z","0","0","0","0","0","1","0"
"964d7a9956b991780523d04b4e66a99f46d15358","2018-07-11T13:23:43Z","0","0","0","0","0","1","0"
"f85230896679daa9878b00662d7ae2ecd99466cb","2018-07-11T13:23:16Z","0","0","0","0","0","1","0"
"5ed68cca6e4e036f73679375c8fe614b8677f6dd","2018-07-11T13:22:39Z","0","0","0","0","0","1","0"
"f877a323a9fc97f710b00a189a48b1c09520b7e8","2018-07-11T12:07:17Z","2","2","2","4","1","1","0"
"ff4858ceb65160e38718687ee3719e0db3440324","2018-07-11T12:07:10Z","2","2","2","4","1","1","0"
"c5ac1a0130228eadd6c68bb4dceb066cd15f3b19","2018-07-10T12:59:21Z","10","224","60","284","1","0","0"
"3737fb2ddeeb2bb0b058ae248604ad7a5a2f9305","2018-07-10T12:45:21Z","3","40","6","46","1","0","0"
"6e4c1a6eb8a33964aa181721aa96b80f69c3b7bf","2018-06-25T09:18:09Z","0","0","0","0","0","0","0"
"99142bb1d288b5445d32d54253a0e49b283e4de8","2018-06-04T09:27:54Z","2","2","2","4","1","1","0"
"26f9f8674eecc845613c2b06ec543377a0e1229a","2018-06-04T09:27:46Z","2","2","2","4","1","1","0"
"8093b7803252008cf46f984e3d82cb59fcd07b9c","2018-06-04T09:24:24Z","0","0","0","0","0","1","0"
"ee241fedd3db29829d39caa402584268969f3cf1","2018-05-29T08:31:50Z","2","2","2","4","1","1","0"
"726e791db7daec3a5b5aaedc013d9d8aea0fe958","2018-05-29T08:31:42Z","2","2","2","4","1","1","0"
"5fd7655a7fe07378e06cc086824b8abaf5e356d8","2018-05-29T08:29:55Z","0","0","0","0","0","1","0"
"573dffdfca49fbe7f5f1a2099ed1d1f45ae7ed85","2018-05-29T08:29:55Z","0","0","0","0","0","1","0"
"81053d5e08cbb7915c2f5c59d55a479a10de46d4","2018-05-29T08:29:55Z","0","0","0","0","0","1","0"
"bb3902d9e3c6c3ec50aa2c2db114eeab271945b1","2018-05-29T08:29:55Z","1","2","3","5","1","0","0"
"a014a3b84401d8c84c8bf793351a4688a21a64a3","2018-05-28T08:15:16Z","0","0","0","0","0","0","0"
"f723dc681f8aff9d8b858795632d4411cb515ff5","2018-05-08T16:34:46Z","1","2","1","3","1","0","0"
"fc7b75048f2cc74e46cd45d1591f1ffa50ac4810","2018-04-30T06:17:48Z","0","0","0","0","0","0","0"
"303fd6bf9e20c28f92454b13617446f3e02b4a7d","2018-04-29T16:57:54Z","0","0","0","0","0","1","0"
"e270f787aa770298e15a425623558d6587a067bb","2018-04-29T16:30:16Z","0","0","0","0","0","1","0"
"7416a3867127879d4bcd8a2dc44ad00029e190a0","2018-04-29T16:25:01Z","6","26","48","74","1","1","0"
"996a3c1453aec3411bc69831bc8f2c94b53ceff0","2018-04-29T14:12:00Z","2","2","2","4","1","1","0"
"da6c526829e1b8bff2f6908751dce93d4eb2a077","2018-04-29T14:11:51Z","2","2","2","4","1","1","0"
"6e1b1d3a10b0efd7539029d33765f265d84dc2c0","2018-04-29T13:57:17Z","1","1","1","2","1","0","0"
"cd8ddd71df814bf326c900afc8a9521ab53f286a","2018-04-29T06:13:13Z","2","2","2","4","1","1","0"
"5dc515d1864404069af5de5403aa81a2fbac5280","2018-04-29T06:13:05Z","2","2","2","4","1","1","0"
"017332281cf819ac3702ece5b8057f74d6bb5411","2018-04-29T06:06:09Z","0","0","0","0","0","1","0"
"ed76e025ab9351df0f45595a89b9b1775c50fac6","2018-04-29T06:05:41Z","0","0","0","0","0","1","0"
"bb13580c80ceb1e8fa209afcd188beeb23fa2c73","2018-04-29T06:04:44Z","0","0","0","0","0","1","0"
"9ad8513e69296ca12c803c8461cca89f0452df6c","2018-04-29T06:04:26Z","0","0","0","0","0","1","0"
"a3563dfef6e33723b22f8e1c2ba8dc438b76dffe","2018-04-06T14:45:25Z","2","2","2","4","1","1","0"
"a444e65c62bb6ee05c54bd315a475bc6b8e45cac","2018-04-06T14:45:17Z","2","2","2","4","1","1","0"
"43ba87043797337c74a39b64ff4e6cfe6228c333","2018-04-06T09:46:13Z","1","1","1","2","1","0","0"
"c7431dc689915a1d062bd6f33a5ef85d0f8a3226","2018-04-06T09:46:13Z","0","0","0","0","0","1","0"
"424213d281d624d52bac17b43f612229ee6f486d","2018-04-06T09:46:13Z","1","0","2","2","1","0","0"
"b819481deac6d01c0bf1d824a81085aa8b722110","2018-04-06T09:41:45Z","3","3","27","30","1","0","0"
"ed5552bb10263b9e94ba0ea9e31eea9de6d49338","2018-03-22T10:02:56Z","1","4","2","6","1","0","0"
"12b49e9759e6e8bf2b5ea818736d8da4b1964c1b","2018-03-20T12:14:28Z","2","34","37","71","1","0","0"
"bf1738b863c90e8c37e9d092cb3aad4648117b77","2018-03-20T10:54:42Z","10","91","107","198","1","0","0"
"d0d496744695e1771e2a906c366f933d85e25099","2018-03-20T09:33:07Z","2","18","94","112","1","0","0"
"f5663546db0a69d316b2b13995ee4f103efef00c","2018-03-20T09:13:10Z","4","109","34","143","1","0","0"
"420b017bbb36e881cde91bdc7975ac1893c5468e","2018-03-19T15:30:56Z","2","18","6","24","1","0","0"
"5f448ed4ad57f62b98e81b02c3f06657713b506a","2018-03-19T15:13:01Z","1","1","2","3","1","0","0"
"58dd868d9514659ef2ce4be83bec56a81e7a9763","2018-03-19T15:11:49Z","6","111","111","222","1","0","0"
"3191499b130f1551fc33c03d19970d208269adc2","2018-03-16T06:52:53Z","1","1","1","2","1","0","0"
"809b46ee6640040c63040d57df9e858e4b13cea8","2018-03-08T09:21:17Z","2","2","2","4","1","1","0"
"d538d890c3f02c0b8d5264b889a6b69356fd3184","2018-03-08T09:21:10Z","2","2","2","4","1","1","0"
"8f8f44ee9d3bb6749965246bb32e3f0f3940d7f0","2018-03-08T06:08:04Z","2","105","3","108","1","0","0"
"b7ac960ffda0087cc02c96219999a18ce1129866","2018-03-07T08:37:17Z","2","58","3","61","1","0","0"
"29cc34792c119a82ae636a554d78e875446260dd","2018-03-06T14:27:39Z","1","0","21","21","1","0","0"
"d91dca28f06aa936b6f98725edaa2f693275a869","2018-03-05T21:34:21Z","3","2","17","19","1","0","0"
"da2fe1cfbc6b49ddbc45064fb86e47cd45823e35","2018-03-05T20:19:55Z","1","1","1","2","1","0","0"
"d5264952c223620273814285a7cd9bc3e229d285","2018-03-05T15:00:18Z","2","7","5","12","1","0","0"
"469ba21430d8497b76c7017e1793d38f16e011b2","2018-03-05T10:26:12Z","1","14","12","26","1","0","0"
"b9d58ee2cfb7c9ba97b7f9a34bcdf8c22aa268ad","2018-03-05T10:08:25Z","1","1","1","2","1","0","0"
"0e732745a7ccd0a1fa3135fdfb72238435e8cf28","2018-02-27T13:25:23Z","2","2","2","4","1","1","0"
"d5d1eb2ebdbc28b6d52040c596b30ace7a60191c","2018-02-27T13:25:17Z","2","2","2","4","1","1","0"
"cce7a8ea6517ae9f6e60a870be0d181a2582f65b","2018-02-27T13:23:46Z","1","7","8","15","1","0","0"
"2064391500207501889b671f518e043f9acc42d1","2018-02-27T12:40:41Z","1","1","1","2","1","0","0"
"cbd0465b367dee988d6795491ac4ee8152b129ea","2018-02-27T12:35:06Z","1","3","3","6","1","0","0"
"4469c30f7d54352865ff321b0de0148f9698c9b5","2018-02-25T20:44:45Z","1","1","1","2","1","0","0"
"dfaaa9db354a6f9d7afde7084cdbc5903b560d4e","2018-02-23T22:23:52Z","1","1","1","2","1","0","0"
"daf9deb747878f4fe05eefb448b224ead9f8efc7","2018-02-23T10:07:17Z","3","8","8","16","1","0","0"
"4ebfbecfc13b2d69c8b7e0dfd076976d1efbb0b8","2018-02-23T10:04:18Z","1","1","1","2","1","0","0"
"b2a7d477853f302dbad8c13aafe2f436e43402ef","2018-02-21T16:47:32Z","2","2","2","4","1","1","0"
"0a99e3101e2c855ceb21b78ba4190db0d9e53246","2018-02-21T16:47:24Z","2","2","2","4","1","1","0"
"79221c38d61b24ce42e553517e83ffa898397982","2018-02-21T16:42:00Z","0","0","0","0","0","1","0"
"9ab6d17196c684cb0bd96bcb96be5c6ff9d29f90","2018-02-21T16:41:20Z","0","0","0","0","0","1","0"
"cda9c55d9b3081b4a99121237d978a4b31effe24","2018-02-21T16:41:02Z","0","0","0","0","0","1","0"
"a0e7283bcb822191fd61875a23e51e613ef6451f","2018-02-21T16:39:53Z","2","2","37","39","1","0","0"
"f76b9e37175ac61fd3f50acb1a584b3333a6e018","2018-02-21T16:37:37Z","0","0","0","0","0","1","0"
"f7fac5926e9771efd13b3391ce63cd7079f4aac5","2018-02-21T16:33:21Z","0","0","0","0","0","1","0"
"d75cc3816610c9cd71cc792d32da70ea8497c97b","2018-02-20T13:57:52Z","1","14","15","29","1","0","0"
"030e3dd4c7f3e49180724b72c59f0f660c1b4dcf","2018-02-20T13:41:19Z","2","7","36","43","1","0","0"
"e363fc7482887427ee3264e75141956f69b07809","2018-02-19T09:22:46Z","1","6","9","15","1","0","0"
"e0fa776733e09f9c3c2f29c4111c8c4312812740","2018-02-18T10:29:03Z","2","40","5","45","1","1","0"
"16a2673b1808a9d42b8140619df8d024c09e919c","2018-02-16T08:53:24Z","2","2","2","4","1","1","0"
"bff374c09e8636fdfb37dab0dabf49787f5ced7d","2018-02-16T08:53:17Z","2","2","2","4","1","1","0"
"8c4075bf8d1136edc92fdaad07a39263684acb79","2018-02-15T17:05:27Z","1","7","18","25","1","0","0"
"dee8e933685e2ecad4756909e548eb3d01467ae0","2018-02-15T09:37:23Z","2","24","5","29","1","0","0"
"056f89660739b4bd4b230a7be98de3e21ea14ad4","2018-02-15T09:35:05Z","1","7","27","34","1","0","0"
"ab37465f9074e38fb539148546dd681762c2a463","2018-02-14T10:08:22Z","2","3","3","6","1","0","0"
"f75b892db6a1de56588ed85b6e896e6b5493f3bf","2018-02-12T16:29:40Z","2","2","2","4","1","1","0"
"2ef9876aae6d710b8af5646691f1eca62ceac5f7","2018-02-12T16:29:33Z","2","2","2","4","1","1","0"
"280683a7e59453f71f0ad16a2b0bcc4d8419de70","2018-02-12T16:26:13Z","1","49","47","96","1","0","0"
"935942cb6e737f73842eb96e23ae9a51ffc19c50","2018-02-11T12:07:15Z","1","1","0","1","1","0","0"
"5bbd787d7bc7be196e57a61cbd1f571e63b46bd8","2018-02-09T20:05:40Z","4","25","0","25","1","0","0"
"a3788b2891315a36e347a98186cb15b60c9f61c6","2018-02-09T20:04:30Z","2","2","2","4","1","1","0"
"ee7d4e969d326533cbdfdb7420778f0902cdf6a7","2018-02-09T20:00:06Z","8","62","164","226","1","0","0"
"22211e543e850a5c1e9836ba4b08a2880c36d91b","2018-02-07T13:12:58Z","1","7","2","9","1","0","0"
"1f2707f762a9983dac3e54da1c3cacf587a9f7e4","2018-02-05T16:22:09Z","2","2","2","4","1","1","0"
"0db6244a58329d019b97ffd38ed1d0df9ecc6b79","2018-02-05T16:21:59Z","2","2","2","4","1","1","0"
"2a5f7c936192a457c9220f7216eb7f69d7de6243","2018-02-05T16:16:01Z","0","0","0","0","0","0","0"
"7a96f865feb44e0146da4bfb14106fd41e6c6075","2018-02-05T14:52:34Z","2","38","21","59","1","0","0"
"de3f9848bcf2c85b9402b483b2b814766778d94c","2018-02-05T14:39:47Z","0","0","0","0","0","1","0"
"fd43e4cfb3037392c0a7c8aa7a0bc2e4d1d60d8e","2018-02-04T21:49:24Z","0","0","0","0","0","1","0"
"a5e6ef210979178212cc363e193582e05dc9c517","2018-02-01T16:58:04Z","1","2","3","5","1","0","0"
"6a1c4de492bb903a40dec2ca6c9a64cb5a345c6b","2018-02-01T13:30:00Z","5","52","0","52","1","0","0"
"988dd5757c8fde4c183540ebc6015c57c528dbfc","2018-02-01T13:26:22Z","2","2","2","4","1","1","0"
"6fb2e0097315ecf5b9c52fdb294487b1beb23be5","2018-01-31T09:36:54Z","1","3","2","5","1","0","0"
"d5a0f20b187229a1ba7d60e91ac4de5abf3ff854","2018-01-30T08:01:43Z","1","5","2","7","1","0","0"
"4d5c0eb93d003faf52e5f3231c5f138d92240db4","2018-01-29T21:38:24Z","2","2","2","4","1","1","0"
"acbdbc426f5278f0f91341e18ae8ffd127892bee","2018-01-29T21:38:15Z","2","2","2","4","1","1","0"
"95797d66b77b22a74456245ec7e34f7497f77b26","2018-01-29T21:26:05Z","1","2","2","4","1","0","0"
"330f2d5c6e2edb1e15659893cf67061821654127","2018-01-29T21:23:32Z","1","7","4","11","1","0","0"
"050471d45a69e1f05b8cf3f323f75b319e2f0106","2018-01-29T21:20:12Z","2","6","3","9","1","0","0"
"a1d06f7f7999e8be040322bca75795bf7bca9a37","2018-01-29T13:31:06Z","1","1","1","2","1","0","0"
"a746f540cbd9652fdab8f2e100a90cbae043a832","2018-01-26T13:42:14Z","1","1","1","2","1","0","0"
"1faf8cc03768814bbe908614051ac68213d0cbeb","2018-01-24T22:25:16Z","1","5","0","5","1","0","0"
"304a1f5891a240ed2cd597c4530ee73d55255ee4","2018-01-24T10:44:06Z","3","9","2","11","1","0","0"
"f8b28f5d013d3406ae89253e43483cbcda61e904","2018-01-24T09:24:51Z","1","1","1","2","1","0","0"
"18feffab49a66df2baad8055bb13ff5006a83899","2018-01-24T08:54:17Z","1","6","3","9","1","0","0"
"5100e0464e6f211f63b1bc3aefab263a10b68bac","2018-01-22T16:39:29Z","2","2","2","4","1","1","0"
"e75c218bb6a1ac6b96546eea131c44316f70bc39","2018-01-22T16:39:23Z","2","2","2","4","1","1","0"
"c1ea381cd0d87fb1ffa9d026c9bb59d28e59f247","2018-01-22T14:54:48Z","0","0","0","0","0","0","0"
"10037ff0b04329053aee4497a9c67af0dde8c4d6","2018-01-22T14:51:34Z","0","0","0","0","0","1","0"
"61e8e44a98d980902a91320812f34e7ab20b6bd4","2018-01-22T14:50:25Z","8","76","17","93","1","0","0"
"e398ee048d002b06697e499c5c2e227e83de06fc","2018-01-22T13:11:30Z","3","54","46","100","1","0","0"
"771d4d75fe4037148324384a7f049a0162560899","2018-01-19T23:05:59Z","2","115","32","147","1","0","0"
"60a8fe2a9cd6a931b6b1145a3f259900801e8e1b","2018-01-19T16:10:49Z","4","632","61","693","1","1","0"
"c19758d9957d9c5003d8165af964c9af0374ced1","2018-01-19T16:04:36Z","2","2","2","4","1","1","0"
"9da1bbace5b2ec2a839fae1fbd5949116ebfd085","2018-01-19T15:53:52Z","0","0","0","0","0","0","0"
"f00c94198aff08b59d9ee98a9d588b1417eb1d15","2018-01-18T17:16:36Z","2","2","2","4","1","1","0"
"185713580ca849a3729739bf060b841cd08fc400","2018-01-18T17:16:29Z","2","2","2","4","1","1","0"
"55afa119b8685a70ea6335e973814a345e99e2bb","2018-01-18T17:12:54Z","5","9","9","18","1","0","0"
"5b1f0f51e9667e09bb26fc6b609997bc30d96f37","2018-01-18T16:30:19Z","2","2","2","4","1","1","0"
"3074e5734f240ee21d442a19e1885eb7459f0e53","2018-01-18T16:30:12Z","2","4","6","10","1","1","0"
"81d8dbbd632c3ba3f3681fa0b0fe6beb77ebfd31","2018-01-18T16:27:53Z","4","20","22","42","1","0","0"
"e1e1b79744c6ba3c631e4f2aa72ced537f95c9f6","2018-01-18T16:05:18Z","1","73","26","99","1","0","0"
"693e2d2f737d227cee3d147fcb211215d5af330f","2018-01-18T15:28:22Z","2","8","9","17","1","0","0"
