"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"02fb8f93d2ac08e2fdfbba27731b185cb73fa0f9","2018-09-26T23:18:14Z","7","103","6","109","1","1","0"
"a5673d06f687e1354f1f069cce36136538cf532c","2018-09-25T22:29:30Z","7","103","6","109","1","1","0"
"73e848ad901e5cf37b67d71edbef3969ad83bf61","2018-08-29T04:10:11Z","1","29","5","34","1","0","0"
"95118e45e22b3f550d98c006deba40f84e58d2c5","2018-08-29T04:10:11Z","1","8","8","16","1","0","0"
"9cc04ecb39166207a2835174b85ee209cc08aad0","2018-07-31T13:38:03Z","2","136","1","137","1","1","0"
"588bc055c763825d7f7c22259d5e7aefabff004b","2018-07-31T13:38:03Z","0","0","0","0","0","1","0"
"6f1397d4fe867d16fd72942eedc4208f15a5b900","2018-07-23T21:08:19Z","2","50","0","50","1","0","0"
"19474fcf3b4a5710addb45f78f810677d737bd28","2018-07-23T20:34:36Z","2","50","0","50","1","0","0"
"43321e9ac2c2f7e8f0d7bad9cb88cce8b356fbe3","2018-07-13T15:29:11Z","0","0","0","0","0","0","0"
"f8786426a51f4d1a9548bdc9a9a3594cb786102d","2018-07-02T20:37:36Z","4","118","12","130","1","0","0"
"9efb4f530d67bd11e8a537d36df22ad506e193d8","2018-06-28T16:08:44Z","0","0","0","0","0","0","0"
"1339e4038c23b8d667316ac4f179a8dac35685e4","2018-06-26T16:15:46Z","3","27","10","37","1","0","0"
"32a0ae3bf1a37be063cc3bdf9d599f38a1716db4","2018-06-26T01:44:08Z","1","1","1","2","1","0","0"
"fd6c6fa57f73fcbf3472b66a648648a710f1f050","2018-06-26T01:44:05Z","1","4","4","8","1","0","0"
"1a6c9fe31767e23f4daf9de2148735347a572890","2018-06-26T01:44:01Z","0","0","0","0","0","0","0"
"b1ba2e31b0410fe0f386b3c42e8666533377f7d8","2018-06-26T01:43:51Z","1","22","5","27","1","0","0"
"6efab7332d93072320e6ce11a735d779746bcd0f","2018-06-22T18:47:07Z","0","0","0","0","0","0","0"
"6fa7cd14d0a06299aef87fb4f86d6a34408b53cd","2018-06-22T18:36:05Z","1","22","5","27","1","0","0"
"a36cc06a94f51b48b12f5660359096ae6cd272d4","2018-06-12T21:07:08Z","17","0","4388","4388","1","0","0"
"845e4ecf73d0845bbcd72a5fb32b5fb3a93b926a","2018-06-12T21:07:08Z","1","2","2","4","1","0","0"
"b5b51db4ba3dc43aa819ffa87dbe4238ef22b9ce","2018-06-12T21:07:08Z","6","6","6","12","1","1","0"
"96370f3f642628fea08bdb4c2c5a1f6b0f5424e9","2018-06-12T21:07:08Z","6","367","139","506","1","0","0"
"41d78d29859afa4ab4d6a9650f2fc612d45d6f23","2018-05-31T17:26:22Z","72","4611","3937","8548","1","0","0"
"0ffe45c3da9729d04de678f583d0733c82c6a170","2018-05-08T18:51:08Z","1","1","1","2","1","0","0"
"9057ae81083f52c1b12fb8702e0695893a92cab8","2018-05-08T18:51:08Z","9","186","50","236","1","0","0"
"55407e1846143cc3b25dc03dced3f71651748f9a","2018-05-02T21:00:15Z","2","8","2","10","1","0","0"
"85a811c5a3ab94bf1cfb559d4d298b0cd44224f3","2018-05-02T18:59:39Z","1","2","2","4","1","0","0"
"08087462109d168fb86297fe101b468eabeea71c","2018-05-02T18:57:59Z","1","6","0","6","1","0","0"
"c830cf286a3330b3af51d404ab7f4aa49353c2ed","2018-04-20T19:00:48Z","2","70","9","79","1","0","0"
