"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"06ca5acbc08a53a04014ccbf73368722f9f5df41","2018-09-28T21:56:15Z","148","150","150","300","1","1","0"
"10c6a2e06495f36b7d5b9174decc8c3894cca186","2018-09-28T21:55:27Z","179","1444","210","1654","1","1","0"
"c20d32ca717c561bdc87a49bcef1db89430b8937","2018-09-27T22:28:35Z","148","150","150","300","1","1","0"
"93f36aaf14808fe2bde8fb2bfcd31f04801ff2e9","2018-09-27T22:27:49Z","298","5867","920","6787","1","0","0"
"3ed10925e888211b8e113c008a85002764c3be0a","2018-09-26T23:19:44Z","148","150","150","300","1","1","0"
"15d0b41cb8f62a71c4aa62941716ecffd72996e6","2018-09-26T23:19:02Z","268","8519","3656","12175","1","1","0"
"e350b7e463e51424a2c3e5963e5f94ffcc8bdb4b","2018-09-25T23:28:58Z","148","150","150","300","1","1","0"
"b3a35d6368bfe99d797db5658edd617b738dbcce","2018-09-25T23:28:16Z","250","30381","14364","44745","1","1","0"
"fb711bf6c7c082732f3a887d5cb109fc19d00e68","2018-09-25T01:16:36Z","148","150","150","300","1","1","0"
"00b0a27a1ee2788a479123f0ce5cd96f12b8435d","2018-09-25T01:15:38Z","233","24958","5298","30256","1","1","0"
"73f984b6184472d4676f0260c069e89c13486896","2018-09-21T23:05:58Z","148","150","150","300","1","1","0"
"20adc1ec12c2e3a451f9a99e34b244e2dcf4ae96","2018-09-21T23:05:30Z","187","4609","738","5347","1","1","0"
"863a7e6f3699fc139af8e9ee69b74e6d75072fa7","2018-09-21T00:37:03Z","148","150","150","300","1","1","0"
"83305ef7fd3fa14544b3b53618029ce7cfd88928","2018-09-21T00:36:29Z","219","6130","335","6465","1","1","0"
"12790f7f58c56f29df742e1c324cc4b7d50b2cc9","2018-09-19T21:52:40Z","148","150","150","300","1","1","0"
"acc4e4c887d87f7cdc7fe930780653cbe0bade8b","2018-09-19T21:52:13Z","242","5677","2911","8588","1","1","0"
"344c084e2db1db1ecc01c9099eb59633b6420caf","2018-09-19T00:33:47Z","148","150","150","300","1","1","0"
"9ed338231b95a157153eb0f49186831ebfa3b457","2018-09-19T00:33:05Z","291","4943","499","5442","1","1","0"
"51d6d11bad666aea8793a6e66b72e61ae30b7b43","2018-09-18T00:20:52Z","148","150","150","300","1","1","0"
"3ad74ce9239ac8aa91237db38788cb5c0ab8962d","2018-09-18T00:20:09Z","290","12797","2871","15668","1","1","0"
"13683e55e7ccd7ee8a4b37eb8094519774e1ce67","2018-09-13T21:38:25Z","148","150","150","300","1","1","0"
"ff018e87336a115b7546bdb72647266936edc1e7","2018-09-13T21:37:59Z","177","257","213","470","1","1","0"
"b253c447f205e14dfbb372b53703785d34942544","2018-09-13T19:43:13Z","1","8","1","9","1","0","0"
"2b447a8287ff04cfddd1fedcf358c9f9b2e9fced","2018-09-12T23:31:11Z","148","150","150","300","1","1","0"
"de309c3849734f43435fe6c29b04efe7104bc446","2018-09-12T23:30:45Z","298","3421","1454","4875","1","0","0"
"af5c13133d936aa0586772b14847064118150b27","2018-09-12T06:52:35Z","1","1","0","1","1","0","0"
"d1e739a7f997252cca2af3d2b045a8b6d12bb3fb","2018-09-12T06:41:16Z","1","7","1","8","1","0","0"
"a96c560e4c4a290639a245784db85fd37b1117fd","2018-09-11T21:06:51Z","148","150","150","300","1","1","0"
"78058231b25f0ebf7295cbd7eaaef2cf956d7d30","2018-09-11T21:06:24Z","225","16455","3162","19617","1","1","0"
"1799ed86f5de5e8d446aa8b7a88ce5155acdb423","2018-09-11T02:06:40Z","148","150","150","300","1","1","0"
"ce2cceaff0b1f56029bdbea9ce0c1b7ea152d9f5","2018-09-11T02:06:06Z","298","298","11","309","1","0","0"
"050ad1e389f08976c547d336829a4ecad78a8f2a","2018-09-07T23:22:31Z","148","150","150","300","1","1","0"
"fd61d62fbebc3598043d75bedfbf7a4e1ea5f9e5","2018-09-07T23:21:49Z","182","802","258","1060","1","1","0"
"22b4c73e656c0178156a7279aa25dba4691a2602","2018-09-07T01:22:26Z","148","150","150","300","1","1","0"
"3ab807738c2cbc6d9b5ab0d134fc406196349a94","2018-09-07T01:21:52Z","226","4316","621","4937","1","1","0"
"6e4313dd5dd06fb6929c93d00b5327188ff96279","2018-09-06T00:08:02Z","148","150","150","300","1","1","0"
"a8b44736949c72a585520dbdcba31e98db0c5a83","2018-09-06T00:07:37Z","219","5261","1109","6370","1","1","0"
"19f37b4218f949e43a1da63ff37c5d6df85019f9","2018-09-05T00:26:29Z","148","150","150","300","1","1","0"
"7231ba4b35dd4f08b69f316408fdfabf5edecd0d","2018-09-05T00:25:48Z","236","2211","8468","10679","1","1","0"
"e2b80e3ac70bdffbce232d08d61186b3f9c853e7","2018-09-01T00:53:07Z","148","150","150","300","1","1","0"
"89a8f999848022a3e728338faf1d1e32d13ee3cd","2018-09-01T00:52:36Z","247","14807","3767","18574","1","1","0"
"2a93118fe42fb92049f1d2c5fb79647559a8da65","2018-08-30T22:38:15Z","148","150","150","300","1","1","0"
"27636d690f5c88adc0aba9459464c45f4f1c7160","2018-08-30T22:37:37Z","203","7713","1158","8871","1","1","0"
"2906dd8b08f764c41dc3c802f8820bfaf71cb9fe","2018-08-29T23:07:30Z","148","150","150","300","1","1","0"
"4f915607bf0c51bcd49e09658cf6382263ab9b80","2018-08-29T23:06:55Z","235","3941","6262","10203","1","1","0"
"6aec7f50d9176b99ef240f5b6f702890830be661","2018-08-29T00:40:21Z","8","191","31","222","1","0","0"
"d2299ed3a02e41069453d8f3fd29def320d0a176","2018-08-29T00:09:02Z","148","150","150","300","1","1","0"
"6e3ef877b779f3146994a91efbb6d93b95fe463e","2018-08-29T00:08:36Z","265","30944","6633","37577","1","1","0"
"0d4ad902848c22b41696a408afe78b807aefce8e","2018-08-28T01:57:21Z","148","150","150","300","1","1","0"
"3064b5b5df68cbb4e035c519e539d58c0173aa63","2018-08-28T01:56:47Z","298","40497","2675","43172","1","0","0"
"9cbfa17dd0dd58efe5f3f6db46a95863820522fd","2018-08-25T03:11:34Z","147","149","149","298","1","1","0"
"9d4981b08e115692629b6f35a1befc99b621752c","2018-08-25T03:10:52Z","274","31218","16123","47341","1","1","0"
"586f6c3d80f49e8d8e53cb37dd05df7ab189e167","2018-08-24T21:38:28Z","147","149","149","298","1","1","0"
"302df68a691fe099420f26cb1438fb9c0e2003b9","2018-08-24T21:37:48Z","214","7529","2740","10269","1","1","0"
"bf18542c8e38ae9f4d67aae90141a7599e543d3e","2018-08-24T17:06:22Z","0","0","0","0","0","0","0"
"8a36bb38eed08150faf899d8a5dcf33871ef3f2c","2018-08-24T02:27:39Z","147","149","149","298","1","1","0"
"12d9dd77007b01cf06ac1ad6cea9b968f6d639d4","2018-08-24T02:26:31Z","297","15509","310","15819","1","0","0"
"8b5f1b95cd76bed994c29fc4bbef98e50d61bf2b","2018-08-22T23:26:28Z","147","149","149","298","1","1","0"
"36374f15e85aeca5ef3a047664b7f3cf8d4c8e79","2018-08-22T23:25:49Z","173","208","200","408","1","1","0"
"fcf675d7f521ab28a9f2dbe2a429fc7c8dfe1960","2018-08-21T23:52:35Z","147","149","149","298","1","1","0"
"2df754be28d3c1ac66739cfd2cefda9fd6c8f766","2018-08-21T23:51:55Z","188","838","443","1281","1","1","0"
"4b0219929735479eea32e9bee4efee945b315a95","2018-08-21T01:04:30Z","0","0","0","0","0","0","0"
"5aee91a791d733b8ad61c2681e350d0ec9061d9f","2018-08-20T23:58:40Z","147","149","149","298","1","1","0"
"877ef815f24960870007078ce6ee50ee0fd30d9c","2018-08-20T23:58:01Z","182","1262","655","1917","1","1","0"
"de67b379ec6cd5ce45ecabe729d788d3407a303d","2018-08-20T04:29:43Z","1","2","2","4","1","0","0"
"6b073401a344f201291ad0d0ba78bcf40636fc52","2018-08-17T23:50:01Z","147","149","149","298","1","1","0"
"4fd67a9157d11fb9d27333201e2da873d6d303e2","2018-08-17T23:49:04Z","298","4959","242","5201","1","0","0"
"2e4b13bac76296a7da0020a412ee71f115a3c4bf","2018-08-17T01:25:20Z","147","149","149","298","1","1","0"
"4002bc97c0e46359baac2a1e0dd2fb20aa00d1ce","2018-08-17T01:24:52Z","242","16665","4732","21397","1","1","0"
"0764734ca9b07cf0644462503744e78f5569d233","2018-08-16T02:15:54Z","147","149","149","298","1","1","0"
"9eece36ea8124a6b18334ef8da6b68bf46e34bbf","2018-08-16T02:15:02Z","298","8916","81","8997","1","0","0"
"ab62361b460df88663aab6894a6cc044514e2c67","2018-08-15T01:26:22Z","147","149","149","298","1","1","0"
"2044cdbcff8ecae0fed44f15610844549b7a5570","2018-08-15T01:25:40Z","298","4505","1801","6306","1","0","0"
"d5d94e82fb8b78715f556a3422916d4a83f337bf","2018-08-14T01:33:38Z","147","149","149","298","1","1","0"
"c05010387601b18f41a19a725ae980af2ea503c4","2018-08-14T01:33:00Z","176","383","348","731","1","1","0"
"b695b789f3c48c94db21247c9196d03ec3cf61b4","2018-08-10T23:24:28Z","147","149","149","298","1","1","0"
"067c0452a6d121daebc6b1d26ea139c14f198d2b","2018-08-10T23:23:46Z","208","3678","360","4038","1","1","0"
"1f0fa3470138819bd21fda270c9547c9739d293a","2018-08-10T01:34:29Z","147","149","149","298","1","1","0"
"d11084fe7adde9684d2fbed474f19abce9da9870","2018-08-10T01:33:49Z","262","15254","3585","18839","1","1","0"
"aaba8d0e570ccbfd4fc30784e83949d562e270a1","2018-08-08T23:55:27Z","147","149","149","298","1","1","0"
"ba84ef2259f67d79a639115fd86207879f6ee967","2018-08-08T23:54:47Z","198","3260","1158","4418","1","1","0"
"756d7ac45f053195393170588dc0c8d3ddc9e19f","2018-08-07T23:49:13Z","147","149","149","298","1","1","0"
"55e3a64e96aff796db6f712868657fd3c12df904","2018-08-07T23:48:46Z","298","37893","24014","61907","1","0","0"
"244a998156217f8c13fa42f25f102ba5c1af305c","2018-08-07T20:54:07Z","2","88","6","94","1","0","0"
"81ac10a1c7ed0f9aa99f0bab7fe9107f02463241","2018-08-06T23:49:35Z","147","149","149","298","1","1","0"
"85c0544249827ecb7a87aa1caf024eb5ccfe385b","2018-08-06T23:48:51Z","247","4593","2612","7205","1","1","0"
"faf9bae091184b195d3e0df3ab2f7f302b18e71e","2018-08-03T20:57:25Z","147","149","149","298","1","1","0"
"1475762376a206b79f20fde16115e8eb64c96b2e","2018-08-03T20:56:47Z","178","415","356","771","1","1","0"
"fd9cf3192ae0782064bcd915dc1fa34ffd78c8d7","2018-08-03T00:33:35Z","147","149","149","298","1","1","0"
"10c1c9946331de28f347dc45755da93a6950849f","2018-08-03T00:33:09Z","255","21270","8211","29481","1","1","0"
"6472c588adffd99c0e79ec2e03d54da7963eecf8","2018-08-01T23:32:29Z","147","149","149","298","1","1","0"
"83a6a437e15dbfbe5a2b712fc56e896ab79999cb","2018-08-01T23:31:51Z","197","2885","1868","4753","1","1","0"
