"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"242466de1717615a5160062cd3b39cb86311d7c9","2018-07-14T04:19:07Z","1","2","2","4","1","0","0"
"3dd6951a48182cb381f8bcd981e57c9b1b22817a","2018-07-14T04:18:56Z","1","3","4","7","1","0","0"
"8ea3db519a28c9608014e9b7905e4b4149e831f8","2018-07-14T03:48:40Z","1","3","4","7","1","0","0"
"b19cb8f2fbe3e5dc76606db7d0d622ec4c2dd365","2018-07-14T03:38:59Z","1","2","2","4","1","0","0"
"66aa6e775982e79101ec9da28d57ef13e3fa526e","2018-03-31T09:51:48Z","1","2","2","4","1","0","0"
"676a4f4ac77551c2fdb2ebc54ccb5223ab58f90e","2018-03-31T09:50:10Z","1","2","2","4","1","0","0"
"655a80038be1e3ac3bed8dff23b5172fe2227e44","2018-03-31T09:39:13Z","1","2","2","4","1","0","0"
"1a648c98b6146f9489f2bb09521743a3d545df95","2018-03-31T09:36:49Z","1","2","2","4","1","0","0"
"161ebaec544e2ef2cdaab9fed694d4e5368bc66a","2018-03-24T21:56:52Z","5","1017","22","1039","1","0","0"
"4e28a1a21f7882126bf367914f6a6fd9d9058f5e","2018-03-22T04:03:15Z","257","1275","20214","21489","1","1","0"
"e95897f3bea5411c5ff2d04a4486e304ab73de57","2018-03-22T03:55:16Z","1","1","1","2","1","0","0"
"f11aae187bcfb36734af4e51cf2e5c131a17ac9d","2018-03-19T15:20:01Z","1","1","1","2","1","0","0"
"32c856592e3c0963bd0876c71f5977613c40fbd3","2018-01-31T16:24:46Z","0","0","0","0","0","0","0"
"110a8053e4da869e8245f0cbbe516649e1529e72","2018-01-31T16:18:50Z","1","3","2","5","1","0","0"
"b938f86d8a2fcd4a6abf7a0b51763469eea19e44","2018-01-31T16:12:09Z","1","1","1","2","1","0","0"
"0e1aa8ace38e4f893c120eb259acbfd2f7d59ef2","2018-01-31T16:09:49Z","0","0","0","0","0","0","0"
"c5fa68dc296eca9560a88249bf9fbfcce29b020d","2018-01-31T16:05:48Z","0","0","0","0","0","0","0"
"a786425b9224b08d169510b2e6ab6a33019ba30b","2018-01-31T16:04:56Z","2","44","6","50","1","0","0"
"40a7815a9d493c380c39fa1e089f2cf04c9e495a","2018-01-31T15:56:11Z","1","1","1","2","1","0","0"
"d7066720c1a14253feb835e6dd0a6a73d35d52ef","2018-01-31T15:55:52Z","1","5","1","6","1","0","0"
"bd8025b29f211a5b6857085fbecfb863d0ae57d2","2018-01-31T15:53:28Z","0","0","0","0","0","0","0"
"0743291b10c0f76193bacf6b5fd280fef7cc44ab","2018-01-31T15:46:19Z","1","1","1","2","1","0","0"
"fe386b7ee629dec9a092dba8f1cd9704ffe50243","2018-01-31T15:43:39Z","0","0","0","0","0","0","0"
"a86ec6ca860ffada5aed495359ba7fb2158bcf86","2018-01-31T15:42:49Z","1","3","0","3","1","0","0"
"73e833b8fecede0c54e72b9b204a312d4956e33f","2018-01-31T15:41:24Z","290","4852","6266","11118","1","0","0"
"bc17a1686f30bacf643ce80528f644798b107dff","2018-01-31T15:03:53Z","0","0","0","0","0","0","0"
"0db4c358281f05ef6ed48c653e8f48b72c01b32f","2018-01-30T22:50:10Z","4","38","37","75","1","0","0"
"3ebcc401d521ba6c7bc5b865e10b1d16c4c55856","2018-01-30T20:58:44Z","2","28","1","29","1","0","0"
"f936af84da68af4bc7b488efc93c8ae9c1090faa","2018-01-30T20:40:22Z","3","52","16","68","1","0","0"
"34991f9b7e94e4706ed99ae03f41a86db14affd9","2018-01-30T20:13:03Z","4","9","10","19","1","0","0"
"f5e2496929e5f091358cc8dfbcedf61f3dece6ec","2018-01-30T20:12:54Z","0","0","0","0","0","0","0"
"2385e1af0a09ba6a3c1de213d2aa341664cbe232","2018-01-30T18:50:39Z","0","0","0","0","0","0","0"
"6491d63eee0172854cb2cf30d20e6cca2a68f122","2018-01-30T17:39:32Z","2","4","2","6","1","0","0"
"b1dd56b2177f7af7873de60b6cbc00ff18c3626f","2018-01-30T17:38:39Z","1","2","1","3","1","0","0"
"cf8930d6b00a3e2faa233737cf0b6134b5f7d1c8","2018-01-30T16:51:56Z","136","9445","9468","18913","1","0","0"
"a5bc3ad2c15d72e5cbc01d6eda1c51be1042842e","2018-01-30T16:32:50Z","266","1581","11629","13210","1","1","0"
"d6603dad5f7d31cbe081ad5463a287ac82e8b622","2018-01-08T18:30:40Z","1","0","1","1","1","0","0"
"08d2d7e6fffec866daedba41680582c08b278fe3","2018-01-08T18:30:19Z","1","0","1","1","1","0","0"
"89167840aa8b0547d44f7f4b6a6489007917c017","2018-01-06T22:29:17Z","1","1","0","1","1","0","0"
"54488b1cfc15f900aafe40ecd6ae649b3b47a183","2018-01-06T22:24:07Z","1","1","0","1","1","0","0"
"42caddf137b5e8f016c50d6a003dedeed4b0eae7","2017-01-06T19:56:35Z","0","0","0","0","0","1","0"
"5389e0222d1ffd3ede482666dc1886821a93ee58","2017-01-06T15:00:07Z","0","0","0","0","0","1","0"
