"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"68d8b83138437c18f1d5cf9ba46c056aa2701d23","2018-10-01T18:50:36Z","0","0","0","0","0","0","0"
"16ebe679e6a5fd1c7c24df5f9b9b5056bc18d2ec","2018-09-14T21:26:22Z","0","0","0","0","0","1","0"
"f5cfd24dfaca5e083e7a7448de64432a75fbc7e7","2018-09-14T21:26:22Z","0","0","0","0","0","1","0"
"28efe345d5e995dc152a0286fb0be81443a0d9ac","2018-09-14T21:11:00Z","0","0","0","0","0","0","1"
"d61c21d08ec953c59c8a5c5fea54bdcdffa64680","2018-09-14T21:09:12Z","0","0","0","0","0","0","0"
"3ff437905ad49c69c5910c917b4c0c510221008d","2018-09-14T21:08:58Z","1","4","2","6","1","0","0"
"e4eec5b6ff45b6e5b6c195befd40c8127820438e","2018-09-14T21:08:04Z","0","0","0","0","0","0","0"
"1d609d4096b40dd554371af900613b3343454f42","2018-09-14T21:07:50Z","0","0","0","0","0","0","0"
"8b4261bc1e377c8a702f2b5538ab728700737b0f","2018-09-14T21:07:20Z","1","2","4","6","1","0","0"
"385d0593efa658ada19f9a55af39cef146c75341","2018-09-14T21:06:49Z","0","0","0","0","0","0","0"
"b8c78ebf79b6a996f349dd112aaed658c132735d","2018-09-14T21:05:44Z","0","0","0","0","0","0","1"
"8107c94fbbc7a8a6819c6146db999b267b1f08e5","2018-09-14T21:05:08Z","1","80","12","92","1","0","1"
"71a1253acd8ef75ae5cd81b07ff5789f8508aed5","2018-09-14T21:04:27Z","1","3","2","5","1","0","0"
"58144b52db2129ec9fb97b78bf5bb9fd282476d4","2018-09-14T21:03:31Z","0","0","0","0","0","0","1"
"a81daa176a3e762188ae4bb2b6b746ba6d1344c6","2018-09-14T21:02:50Z","0","0","0","0","0","0","0"
"ce9fbf61f113fdef1cbf8c1c0b4ea1a48831beef","2018-09-14T21:01:33Z","1","2","2","4","1","0","0"
"5f015f5b202d0cd33434c48448671437b9285c2a","2018-09-14T21:00:47Z","1","11","0","11","1","0","1"
"c1d588030d39b359619f8247e25d7393cef21042","2018-09-14T21:00:11Z","1","32","0","32","1","0","1"
"0bbd0b6417c407921c11052fa293ccf3689b976a","2018-09-14T20:59:18Z","1","8","1","9","1","0","1"
"644ea66bffa88cf17380ffee02ae558efec08e1e","2018-09-14T20:58:32Z","1","1","1","2","1","0","0"
"46e4bcf5e4a59d164103847e557f335e303698be","2018-09-05T12:34:36Z","0","0","0","0","0","1","0"
"3bede122cdb035458cbcc84e85edb918ffb9afd4","2018-09-05T12:34:36Z","0","0","0","0","0","1","0"
