"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9cd2ae7b9600c0a4c0e33a27790a26348fe10c1a","2018-09-29T03:54:38Z","0","0","0","0","0","0","0"
"4d1be63ec03d8d152299ab808302f044105566bc","2018-09-29T03:43:10Z","0","0","0","0","0","0","0"
"2ed59ba3d14fcf49a2b6aa81d75ede2bad250b96","2018-09-29T03:40:31Z","9","23","23","46","1","0","0"
"c21594bee828df1af80e33edf691a3fe61705b4a","2018-09-29T03:38:27Z","11","16","1","17","1","1","0"
"b99d5bb5317ab2113156b83f7075877ad9281342","2018-09-29T03:38:10Z","0","0","0","0","0","1","0"
"5333a90bbdba751caebc9de0157c94668231362d","2018-09-29T03:32:43Z","0","0","0","0","0","0","1"
"8ee91722a9f88772fe5c78942b96600cf81498bc","2018-07-13T05:04:48Z","1","4","1","5","1","0","0"
"2e26030835d0089ff61aaf26c78a309d45ea70f5","2018-07-11T07:00:31Z","1","4","1","5","1","0","0"
"7f21f9134057b90672cc2c3bd9101b374dce2a97","2018-04-05T16:58:07Z","1","9","2","11","1","1","1"
"3394e931eabac797501f4f64417b7df61d9fbf00","2018-04-03T22:06:17Z","0","0","0","0","0","1","0"
"3cb4c82d665e6609dc4090647812554eee41fdaa","2018-04-03T22:05:33Z","1","3","2","5","1","0","0"
"43360957fe2819988f3349d20d8cc162fc209bd3","2018-04-03T21:48:40Z","0","0","0","0","0","1","0"
"0e93a579fda50caf55eece1a0e7e73b6a090c83b","2018-04-03T21:46:41Z","1","3","2","5","1","0","0"
"ab2823cccb372cf0a619be4282d4487a82e89846","2018-03-30T15:18:09Z","0","0","0","0","0","0","0"
"f26c807a1d7a40c752134aa4f4bd6ed2777e6904","2018-03-29T14:28:51Z","0","0","0","0","0","0","0"
"6e59709002be5f2cc8a4bb2d10fecf57b2dc04c0","2018-03-28T05:08:28Z","0","0","0","0","0","1","0"
"a5ccbe47230d3d6ca3286e433d87821f561ffd32","2018-03-27T14:18:07Z","0","0","0","0","0","1","1"
"ead601b58efad019179ffb701f0f7ba806bbcdd1","2018-03-26T19:29:37Z","0","0","0","0","0","0","0"
"133c1f1dfa895389ac2eb2fd8899f392142d3acf","2018-03-26T18:39:01Z","0","0","0","0","0","1","0"
"1e2b5f93084694e03774554d555900ddaccf088a","2018-03-26T18:39:01Z","0","0","0","0","0","1","0"
"920f1ae8130a7a1eeb45137878501ecf5a3a9bc1","2018-03-26T14:25:01Z","0","0","0","0","0","1","0"
"836b87152b9d365b186b2f9357a5e4e8e06a0080","2018-03-21T20:50:05Z","0","0","0","0","0","1","0"
"4124cfd5cff55c8ea349d57953da9bab2cd27e45","2018-03-21T20:30:18Z","0","0","0","0","0","1","0"
"dd09fde34045eddc0bf88aeed404709d0501f0b2","2018-03-21T20:30:06Z","0","0","0","0","0","1","0"
"d4a5a38c1bf303efa346dbd5a2c2ebbe0c4dafcf","2018-03-21T20:22:57Z","0","0","0","0","0","1","0"
"85d6c1389078d1aadc2dce468a128bb3c90d02e5","2018-03-21T19:32:43Z","0","0","0","0","0","1","0"
"dee9e0e3cabf72a009a7f361354ecaa5faadc696","2018-03-21T19:32:18Z","0","0","0","0","0","1","0"
"65fc399d78a70687d5bfc3c60f7f6396d4613757","2018-03-21T16:53:29Z","0","0","0","0","0","1","0"
"e5f07b9b48b6445d385bb8de7be2947b4dd57f24","2018-03-19T17:29:46Z","0","0","0","0","0","1","0"
"346668ad2c30d77644c6a123f425007d3b7c774b","2018-03-12T17:41:57Z","0","0","0","0","0","1","0"
"d082e0c3eb17c274749ec18a5ac2217cd08143b7","2018-03-12T17:37:23Z","1","1","1","2","1","0","1"
"9d968dd5f4e53f38e7c33790b97315a5246793b4","2018-03-12T16:11:00Z","7","172","93","265","1","0","0"
"b14fc47bdec4358e91ff9ad981d242e3b2544334","2018-03-12T13:45:04Z","6","31","35","66","1","0","0"
"be4eff396223081f8929f5beaa4b1407c7acff0f","2018-03-12T10:42:59Z","6","178","108","286","1","0","0"
"4d622551fea4f48052f2d687d5b96a446ed152d1","2018-03-12T08:58:55Z","2","14","1","15","1","0","0"
"1b4c875f837e2d3070f72a1236b5fd332749751f","2018-03-05T06:06:03Z","0","0","0","0","0","0","0"
"5d383a07090690332b731c78f418c6bc1d78b96c","2018-03-04T08:12:34Z","0","0","0","0","0","0","0"
"0ef16b8dc22ede7b85a0b97b74c4ea6367f4d5e7","2018-03-01T15:11:35Z","8","30","23","53","1","0","0"
"3acdaccaa2a29135107d5b272e16ac871baa8ac1","2018-03-01T14:49:25Z","8","30","23","53","1","0","0"
"81fad5b6f36b03688964ca7db9a95ac4ba95d367","2018-03-01T14:32:37Z","1","4","1","5","1","0","1"
"684381fd8d6489986829ed07b74c598c7ac0f47d","2018-03-01T14:20:40Z","1","4","1","5","1","0","1"
"ab9fe4e1c1558cb3735820a55c75f214f4ff045f","2018-03-01T12:46:09Z","2","12","1","13","1","0","0"
"57ee4036ebb057a9c04c72ba2b12e50e5bd62323","2018-03-01T12:36:21Z","1","4","7","11","1","0","0"
"9282cbf9b57f2cf67a9847b73c39b4a6dab1d666","2018-03-01T12:34:26Z","2","15","1","16","1","0","0"
"a47b3158c523a25a561077ea9f8ea36841ecfd04","2018-03-01T11:02:37Z","20","303","0","303","1","1","1"
"756e7175a81d206c9a4e3d528d887d06e894fd75","2018-03-01T10:52:52Z","0","0","0","0","0","0","0"
"349a42d11b902b2ea3b28544f3b11abf8cc610c6","2018-03-01T10:45:08Z","20","303","0","303","1","1","1"
"c7811d729b1a09a815d12b4449f2428c9fafb7f6","2018-02-27T06:28:24Z","3","66","40","106","1","0","1"
"af71c3e79946bae55a6725648b61d4692b47fedf","2018-02-27T06:23:31Z","3","31","24","55","1","0","0"
"683175127d98a63cbcdf361915e8571e04df6bbe","2018-02-27T06:23:19Z","2","55","36","91","1","0","1"
"4436313d0aaac33c1c45a7300101aa4497d4f09c","2018-02-22T16:43:55Z","1","70","55","125","1","1","1"
"901ca94976706f748986c3b13a7b17c63b98816e","2018-02-22T16:38:37Z","1","4","3","7","1","0","1"
"043900dfe5ecb260e4e16ec8b50d7fe0c630453c","2018-02-22T14:37:05Z","1","4","3","7","1","0","1"
"ecb4eee34627f47d69c60340ff21d3b24678cd4b","2018-02-22T14:25:26Z","1","61","63","124","1","0","0"
"86acd3bfdc1f7333bac002af2125448f3cf47cf1","2018-02-22T14:15:44Z","1","61","63","124","1","0","0"
"f09da4df18d22da54c870d252048b667260148dc","2018-02-22T14:00:09Z","1","8","6","14","1","0","0"
"462c8f1c883893fbe968bf24c80221bfa243678a","2018-02-22T13:49:25Z","1","8","6","14","1","0","0"
"4109f09130a05e7cf0605b633cbc41cb6db3076a","2018-02-21T06:52:58Z","0","0","0","0","0","0","0"
"de47bf8c497a619f86cea907de48500452d293d1","2018-02-17T08:51:33Z","1","70","55","125","1","1","1"
"f16e88fd75fccde9932e7b37e587baa6c7d366e9","2018-02-15T14:10:46Z","0","0","0","0","0","0","0"
"d03cb649d398e6f8ee814d3e177e9c465d4a121c","2018-02-15T14:07:46Z","27","57","245","302","1","1","1"
"bb731ba07f680401cf19ee13cb1450c737b073d0","2018-02-15T13:58:41Z","0","0","0","0","0","0","0"
"2c21b93a30529d2b1f64e6cb857e6d037d77a859","2018-02-15T13:53:32Z","3","24","5","29","1","0","1"
"d9b2fdf2d9f0735793cc4995f2f597e68db5bbaa","2018-02-15T12:32:46Z","0","0","0","0","0","1","0"
"aedf660fcbf83d5a049890d659c58160aa98a51f","2018-02-14T19:35:58Z","0","0","0","0","0","0","0"
"3392e35a22a28d5bf3da6cbd401971499de1d725","2018-02-14T18:05:41Z","7","138","24","162","1","0","1"
"52061a828dbe0e11f79d9f7230521234044ebf6e","2018-02-14T18:03:49Z","2","34","3","37","1","0","0"
"698ec73a9046535237a69f8e64dae0c61ea6177f","2018-02-14T17:52:05Z","1","1","1","2","1","0","0"
"08382488f8e3cbd434df9f356d767a851aab0d58","2018-02-14T17:52:05Z","1","1","1","2","1","0","0"
"238c03b8633c1e2bbd0572cf4156af42c2bfe2a9","2018-02-14T17:52:05Z","1","2","1","3","1","0","0"
"a24bba254adc2fe13a2751a4cfdbb40390ea8f22","2018-02-14T17:52:05Z","2","21","0","21","1","0","0"
"595af8d6ffbe4fecf4bdc28f1cf56031bb81971b","2018-02-14T17:52:05Z","1","5","4","9","1","0","0"
"453433b40aafcd7d48490ddf840fb276c03074af","2018-02-14T17:52:05Z","0","0","0","0","0","0","1"
"19e2c2eb9b4147d885b95a536279c43b020c1f28","2018-02-14T17:52:05Z","3","8","12","20","1","1","0"
"171e5f4c6979e7c2118193f89dbd29bca8ae8241","2018-02-14T17:52:05Z","22","5","315","320","1","1","0"
"3ce447c748f08c0819b8c20f5097e708894eca69","2018-02-14T17:52:05Z","0","0","0","0","0","1","0"
"9daed3b612f06cd60ece28782bd8c8ec7052f38a","2018-02-14T17:52:05Z","67","0","0","0","1","1","1"
"4a2f9bee5df8d4747fbe77e91feeba9b5583ae25","2018-02-14T17:52:05Z","0","0","0","0","0","0","0"
"e63fa865a701b88c4cf3c8411b14dcda8bbd19dc","2018-02-14T17:52:05Z","1","11","0","11","1","0","0"
"4f34511141877492cfbed735b6a860b7b5d63eda","2018-02-14T17:52:05Z","0","0","0","0","0","0","1"
"2a372fc3e509f27c18d619b2af97a4ef6dcc5c26","2018-02-14T17:52:05Z","1","36","37","73","1","0","0"
"cbe9d8bb73a0c4a130fd64da18fff8f105812149","2018-02-14T17:52:05Z","1","3","3","6","1","0","0"
"86596490d61f18034252ce395c0b6e1857f82720","2018-02-14T17:52:05Z","1","13","1","14","1","0","0"
"2c394fa81c9cedc0e27ba4a55f95cd97765ef4b8","2018-02-14T17:27:36Z","2","34","3","37","1","0","0"
"f65df039f6bb25842c0d2df743d15c36f0e639d6","2018-02-14T17:26:03Z","3","30","21","51","1","0","0"
"c5e28d5229bf1c1aa715e0a59a6961c62c45a793","2018-02-14T17:26:03Z","1","0","1","1","1","0","0"
"edc9a5aa0737a14c4aa8039489e80dbf94431a39","2018-02-14T17:26:03Z","0","0","0","0","0","0","0"
"93aa6776e8d45988fbd9da4ff48c644593bba1fe","2018-02-14T17:26:03Z","1","2","2","4","1","0","0"
"b3b0a6061c76a0e1e0dd5004e23ceb35f4537e70","2018-02-14T17:26:03Z","3","23","1","24","1","0","1"
"ff242f5d2326a40f98ddeac2ee63ddafaa8a9a69","2018-02-14T17:23:13Z","0","0","0","0","0","0","0"
"07b8007e688780cc3ade576e4e9fd9d47d34a85d","2018-02-14T17:23:13Z","0","0","0","0","0","0","0"
"07b9658ee40959370dd804dfb7ec515b1a7c55c0","2018-02-14T17:23:13Z","0","0","0","0","0","0","0"
"b20ad4ea5a191c1612aeff77875e099ba397451f","2018-02-14T17:23:13Z","0","0","0","0","0","1","0"
"f013e0a89e6b4d0db78c8bd1ef18791b564c80a9","2018-02-14T17:23:13Z","67","0","0","0","1","1","1"
"49849456eba7173ad16abebc07610351a5f177a9","2018-02-14T17:23:13Z","0","0","0","0","0","0","0"
"ff506c0a191cb5eb5f8ce0dc414efc44897b8e10","2018-02-14T17:23:13Z","1","11","0","11","1","0","0"
"495b438b97d3bb50ef138db1b7522ec885886ee1","2018-02-14T17:23:13Z","0","0","0","0","0","0","1"
"639c9f4d25aff3b5073d74cf20de0f2b5b741d76","2018-02-14T17:23:13Z","1","36","37","73","1","0","0"
"16a73362a1827ed1b58ef436b9a81ada51dae7ae","2018-02-14T17:23:13Z","1","3","3","6","1","0","0"
"d699add0f631e44472f3d0a48db743977d2d6b00","2018-02-14T17:23:13Z","1","13","1","14","1","0","0"
"4b2cf7f5d3f9e14413642ea9f9bf819f5434d083","2018-02-14T17:06:03Z","1","1","1","2","1","0","0"
"ac0a9470ba84ef948afd999564c0909a32566128","2018-02-14T17:05:18Z","1","1","1","2","1","0","0"
"19f5439443c6d4a968bb59e2623ba198fc13a261","2018-02-14T16:45:58Z","1","2","1","3","1","0","0"
"7ccc35c75a0c627643ca9ebdc9834b80397fcec1","2018-02-14T16:25:50Z","2","21","0","21","1","0","0"
"312408a1f4b23b43c1d8cd9598db89f82f764d8e","2017-12-20T06:52:05Z","3","30","21","51","1","0","0"
"b7f3582d0184393fb7af51a1686bce8e57b7924c","2017-12-20T06:48:47Z","3","30","21","51","1","0","0"
"8f16a216f06aea579db4b8d8bfc9c3b42c3da20f","2017-12-14T17:36:38Z","1","0","1","1","1","0","0"
"b674d9cb659de7909aea93047586daba3ce8979b","2017-12-07T14:11:31Z","1","0","1","1","1","0","0"
"8b61ae0d3b45d48a4ed5045b320d412809159b9f","2017-10-05T00:40:28Z","0","0","0","0","0","0","0"
"d69fd07e2013e99893d9c4fbcc9c16c01794c698","2017-10-05T00:30:58Z","0","0","0","0","0","0","0"
"6a5794642b80f0e7ddcf1a85e972be051efbc604","2017-10-03T06:56:03Z","1","2","2","4","1","0","0"
"10f2e5b77d5ffe565dc3588e943286a51a8b47bb","2017-10-03T02:28:25Z","1","2","2","4","1","0","0"
"f31fc564b6e634db44c03460ef412cd68894170c","2017-09-25T09:21:37Z","3","23","1","24","1","0","1"
"951399b95eb13c079861a52357b9279aa5bbcff3","2017-09-25T09:13:54Z","3","23","1","24","1","0","1"
"b380c7c96f3aec3acce021f7deb2ffc490c8cc0b","2017-09-12T05:53:24Z","0","0","0","0","0","0","0"
"a780fd1a73e5b338aed19e18850cdc6fda785b24","2017-09-11T16:24:21Z","0","0","0","0","0","0","0"
"db8ab67ee9e2ee6ea3d6db9006a6781b337bdc14","2017-09-11T13:31:40Z","0","0","0","0","0","0","0"
"05fd2834a80ca416bcac9a7eb5527a4c179980a0","2017-09-10T18:18:21Z","0","0","0","0","0","0","0"
"45eaf4d65262ed75e1c7ea97786770f6175a773a","2017-08-28T18:36:43Z","0","0","0","0","0","0","0"
"035e61bd6194c466c9ec24caf92012f85031e24d","2017-08-28T18:21:03Z","0","0","0","0","0","0","0"
"c47f6445a66f5a8991e1d777ce8c6ec1a66cce46","2017-08-25T13:26:49Z","1","5","4","9","1","0","0"
"396021b1889696df7b78e3c6562045707dc455da","2017-08-18T15:17:52Z","0","0","0","0","0","0","1"
"60f800e48e61001161560645ea7c8cb197c247aa","2017-08-18T15:09:29Z","3","8","12","20","1","1","0"
"6da6629173dd9244d1ea96f0c05fee194c5abe80","2017-08-18T15:08:58Z","22","5","315","320","1","1","0"
"e939976a03c6a2dce1a2b7f7f44c5f86c66783ee","2017-08-18T13:51:00Z","0","0","0","0","0","1","0"
"3ff5e67dda265b09e5936bb3e16d8ab88f15e2bc","2017-08-18T13:36:13Z","67","0","0","0","1","1","1"
"97224dfa6b6ab55ff1e484f6bd00a1e2403a01bb","2017-08-11T11:08:40Z","1","5","0","5","1","0","0"
"93b32be4cd40d08d06a0c3071c892a9fefa51f0c","2017-08-03T07:21:42Z","0","0","0","0","0","0","0"
"508e3b953b099bee2510a30de352615eaa23842d","2017-08-02T17:49:59Z","1","11","0","11","1","0","0"
"fbfa59b3ff1d954b8fa4bb14957dad9a280a9986","2017-08-02T16:10:00Z","1","40","29","69","1","0","0"
"bc69ad8bc2dc055b88af517b805ba8b57ae9c2a8","2017-08-02T16:09:52Z","0","0","0","0","0","0","1"
"a0361ed10bb4678a09b244a71781bdacc9d100a5","2017-08-02T16:09:06Z","1","36","37","73","1","0","0"
"e513c60a0394e27629877df8ce8868286473308d","2017-08-02T14:50:39Z","1","13","1","14","1","0","0"
"098d89bac72dac2ea4af906cfc00f642a5a5fced","2017-07-31T16:16:40Z","2","4","6","10","1","0","0"
"0b52c799cd8b89167c0aaa53a6738410a5ebdbe3","2017-07-31T16:09:48Z","2","28","0","28","1","0","0"
"eedee50a092c17a04be6d8d7d96c51c4afa49bf1","2017-07-14T17:32:57Z","0","0","0","0","0","1","0"
"a746f870942d1e0e725fe648b662ffdbcbd661cc","2017-07-14T07:16:59Z","0","0","0","0","0","1","0"
"af1627cf703f70aebcb14bcb78b1b2e8b6cd27b3","2017-07-14T07:12:38Z","0","0","0","0","0","1","0"
"e19965528f03019917b936241a3d81b6f4823345","2017-07-14T07:07:41Z","10","163","42","205","1","1","1"
"55133d0bd03f0a8bfe2c5df1cf4ba5e9f984810d","2017-07-13T23:22:43Z","0","0","0","0","0","0","0"
