"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d9a4511059635c70bb21e9254b33e09499ce20f8","2018-09-27T01:26:12Z","3","8","2","10","1","0","0"
"6ce53e3203ffe9a0c9050dd69a27b1312a035e6d","2018-09-21T08:24:21Z","4","90","0","90","1","0","0"
"4d0980dc146666fbcbcb4aa677d46075797bc0c4","2018-09-21T08:23:45Z","1","1","1","2","1","1","0"
"7aad235c3cc43930295c1d3ad9749835c77c4bb2","2018-09-19T03:33:45Z","4","67","2","69","1","0","0"
"7f26a374322e172fafb4d99f82f1e699c268b4d8","2018-09-18T04:30:39Z","2","12","3","15","1","0","0"
"40ad7f9dc3b0d012991253c3d65f695c7de6c2d8","2018-09-14T13:37:45Z","7","77","29","106","1","0","0"
"3633d126d4943e2e023ba02eab10b8a628552b4b","2018-09-14T13:36:59Z","4","103","8","111","1","0","0"
"70083fa393cef91c2a802d8b4ba94669fd9bd92d","2018-09-14T13:28:49Z","1","16","3","19","1","0","0"
"c4e384405694842be6e7895377eab42ff9e7dc59","2018-09-12T12:44:21Z","1","17","10","27","1","0","0"
"03845a41beade68c323c195a9488730e61303729","2018-09-12T12:34:40Z","5","270","19","289","1","0","0"
"b862df6cef635279e6f501b005d23b688c0180a1","2018-09-12T12:32:56Z","0","0","0","0","0","0","0"
"bf305927129bb3c8735512818501eaac1eab38bd","2018-09-12T12:32:40Z","2","35","1","36","1","0","0"
"3babc5327ba662c3e1180e9571e55e0ab6bb27d3","2018-09-03T01:15:08Z","0","0","0","0","0","0","0"
"e92e385609f21afb32424569abfa9e592cb797df","2018-08-28T09:38:17Z","2","69","5","74","1","0","0"
"c82c70617c3c4e9793e2171c92caef81afeef9aa","2018-08-28T09:32:43Z","1","6","0","6","1","0","0"
"cece46e9ea309fdd400a6eabc721f9ab364cd00a","2018-08-28T09:32:01Z","1","2","1","3","1","0","0"
"8542906c1530189c29bd639782368e4912b8f203","2018-08-28T09:31:45Z","1","2","2","4","1","0","0"
"22843bc8e2299b478d9a528764227652bae0be00","2018-08-28T09:27:54Z","3","79","4","83","1","0","0"
"54349c6f091a33437e882f2052e9dff63722e185","2018-08-22T16:30:38Z","1","1","1","2","1","0","0"
"14c151ba066a8911eebc76778962fc04f1b400c8","2018-08-22T10:06:03Z","2","2","2","4","1","1","0"
"a40071a3cb5e50ab2f8b8efb3e4cf5e228c10dd3","2018-08-22T09:29:26Z","3","53","1","54","1","0","0"
"c593c0e90deddaade9e97a3b01f1569a847e9156","2018-08-22T09:13:54Z","1","15","0","15","1","0","0"
"ed46ec45ce8c44300c2c32304962672d91bb6744","2018-08-22T09:04:22Z","2","15","11","26","1","0","0"
"8ced49dd3522f376d6a2f5f8b6bb3476d5d72e16","2018-08-17T01:59:49Z","0","0","0","0","0","0","0"
