"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"7cd4da96e617b71bc490f4f11474ebd0ac30398e","2018-10-01T15:26:18Z","5","62","12","74","1","1","0"
"7f8fd69e560a5e66036217c95c560c5bedf3f241","2018-09-24T08:49:10Z","0","0","0","0","0","0","0"
"5d370f15606da940473166c625b85ead391fc8b2","2018-09-24T08:25:14Z","5","68","88","156","1","1","0"
"84071e7b41e4f6b45b6d460091627230c36a5afb","2018-09-18T12:28:52Z","2","9","10","19","1","1","0"
"aa612e5e17968d36db6576e70700f2a208b2dd23","2018-09-15T12:49:09Z","0","0","0","0","0","0","0"
"b6c1220c3350650b564923896f547ad07c748793","2018-09-14T15:16:37Z","0","0","0","0","0","1","0"
"0a333b818695d3025e6a36e457823a87b5d95667","2018-09-12T02:29:08Z","1","6","1","7","1","0","0"
"0b8ab800b71c153678da9157284122da37a7342c","2018-09-06T03:57:44Z","1","6","1","7","1","0","0"
"52b6eee5b38104a05cbcc2b2b0d2a62038af786e","2018-09-05T23:25:44Z","1","2","2","4","1","0","0"
"22ff099cb621b356e3c5a5cb44fbec312ae170b1","2018-09-05T23:25:30Z","62","1910","1115","3025","1","1","1"
"651ffa2e340aaacd05248cef32f035804c161b2c","2018-08-31T08:53:22Z","1","1","1","2","1","0","0"
"c69f4d25643e354b6cedac1525de3eea3a24ba27","2018-08-22T09:34:26Z","1","8","4","12","1","1","0"
"7a11f6c01d61f8adb4762a0657397d0461bb0ed9","2018-08-17T10:26:45Z","1","1","1","2","1","1","0"
"38ad264f2838a7d3c92a41ceeaeb5cd8ce50adb3","2018-08-10T11:05:27Z","0","0","0","0","0","0","0"
"d63c1300c5cfa401ff0419ea97ff3d2db49e7a57","2018-08-10T10:33:09Z","2","33","1","34","1","1","0"
"08f8a3a9a0086dc5b53799c62726479d1f84d280","2018-07-27T06:52:11Z","0","0","0","0","0","0","0"
"bbc412d151d5d1a1cbd60b0885933e27405b37a7","2018-07-22T14:17:38Z","1","1","1","2","1","1","0"
"6a1482005a22c0dddead1b5096782ee7ae2ac99b","2018-07-21T15:22:48Z","0","0","0","0","0","0","0"
"e1341f75ea0258c1eb3b13d86b60e4790bb19b9d","2018-07-21T15:11:19Z","0","0","0","0","0","1","0"
"34c9c3434a0a5a23b22ae34552c2637fe35241f0","2018-07-21T13:37:07Z","2","166","128","294","1","0","0"
"acc2d97bc0f37752d4fb496e5f63116225401e71","2018-07-20T07:05:42Z","2","166","128","294","1","0","0"
"956415246decda04594e9813e67d855dd5a69fcd","2018-06-18T14:16:28Z","0","0","0","0","0","0","0"
"a1a6af838e67bdf15e941caa11ad573f1c71bdca","2018-06-18T08:54:41Z","0","0","0","0","0","0","0"
"256bf230d26206f1c1d9f1b7c563e0b25f3e12f5","2018-06-18T08:40:46Z","8","19","19","38","1","1","0"
"1fff861c165b17103e7ec4e92f51d746c7b27fe4","2018-06-18T04:01:54Z","1","3","1","4","1","1","0"
"e377e5aa72670315ddbb0d46e996e73a3c9e2af4","2018-06-05T10:28:46Z","1","1","1","2","1","1","0"
"908f6c49bcd1fb1a71404dbd4d8b4567a5717aa5","2018-06-01T12:26:43Z","2","71","5","76","1","0","0"
"bef138acb5887aae9debf4d2a6b2a990eae36b32","2018-06-01T11:52:18Z","2","26","5","31","1","0","0"
"5600da3231ffad3bd39a9a98dd15b8c7247547e7","2018-06-01T11:21:11Z","2","48","3","51","1","0","0"
"01f6d3c55b4f9d1c229b1cbf69f994115f0bb818","2018-05-30T03:16:35Z","3","12","7","19","1","1","0"
"81be15056076a25e8cb5996ec97a523b7b7ea165","2018-05-20T05:26:26Z","1","124","21","145","1","1","0"
"c16b8ff853cadb899744dd48b02949535969e6bc","2018-05-13T14:06:54Z","4","39","46","85","1","1","0"
"d51a681d921031fdd459ffc4f70abfd2086ea138","2018-05-03T06:07:44Z","1","2","2","4","1","1","0"
"640a5fa0d4c51a94edad93bb8c26cbae1db6198f","2018-04-24T02:03:18Z","0","0","0","0","0","0","0"
"75a42ddf721c374ea9317f9dcdd1a00b69467b63","2018-04-24T01:51:28Z","0","0","0","0","0","1","0"
"569cc6b3e65b3e8ccb0acaeb20d06559077e347e","2018-04-23T14:51:35Z","2","30","0","30","1","1","0"
"7af652c20eccc11673b34767377aa4b9fa2d18a2","2018-04-05T10:12:14Z","2","5","3","8","1","1","0"
"122d72e0f23a63060661e537ef32726fea1669c0","2018-03-30T03:25:50Z","2","20","1","21","1","0","0"
"f0016faedad3d37ef8043c564914d8f2cea4fe09","2018-03-27T04:48:01Z","3","74","5","79","1","1","1"
"5d2d73261511313334ba1fceec5731ed1b10148f","2018-03-25T10:40:16Z","0","0","0","0","0","0","0"
"1f05c8c56d8a13d90b5eb085644c151e64031c8f","2018-03-25T10:28:54Z","0","0","0","0","0","1","0"
"5b79e777178d23b82690125602adbf191554f016","2018-03-25T10:24:36Z","0","0","0","0","0","1","0"
"bf4e416bbc0d84a1ebf126344260fcadc65eba7c","2018-03-16T15:05:30Z","1","7","1","8","1","1","0"
"ae34a7bace00bc7be32e367eaf56e13f7e5b21ae","2018-03-03T10:15:48Z","2","5","4","9","1","0","0"
"89b1343a25f08e625ac368c1c5ae7e67b31db574","2018-03-03T09:19:57Z","1","1","1","2","1","1","0"
"098962761e0dfbea5a80dfeeb06ad768513c389c","2018-03-03T03:59:17Z","0","0","0","0","0","0","0"
"edf2f217a2d10c77c8052e1d41f22476e51f9125","2018-03-03T03:45:21Z","0","0","0","0","0","1","0"
"dba17fc25e91db788bb88de4eccd739d8d152fd9","2018-02-21T11:48:41Z","0","0","0","0","0","1","0"
"343f2be5e392cd5fe746d7a5e17b1fa9744d744f","2018-02-20T11:57:33Z","0","0","0","0","0","1","0"
"b3ae9034cbbb837bb65b280d399a41dc8cf9ab7f","2018-02-10T14:11:48Z","0","0","0","0","0","0","0"
"d567496fb2f3bb5c7ac62b5a1022be90bff4ad33","2018-02-10T13:56:40Z","0","0","0","0","0","1","0"
"c29524ee666abafd4bfe065aaec851bc00e63f2b","2018-02-10T13:53:06Z","0","0","0","0","0","1","0"
"e02a1dd2e55c2d812085325c9fe5939ce3d863ad","2018-02-03T09:58:34Z","0","0","0","0","0","0","0"
"733bda3416fad4e229fb0a84ff3f0f58a2e8f4b9","2018-02-03T09:51:15Z","0","0","0","0","0","1","0"
"f3c24f1e09a662a93ff738b34362d80470cc5be6","2018-02-03T03:51:13Z","1","2","1","3","1","0","0"
"8a8ab5f23785db72570009590f2528758a5e7113","2018-02-01T03:47:45Z","1","32","4","36","1","0","0"
"266c7b98f761f705ff969846745b5b68b0d48895","2018-01-30T14:58:41Z","2","4","1","5","1","0","1"
"e62f52ac44b9ef59c52971d4d5cf8cedd1820758","2018-01-30T13:19:03Z","0","0","0","0","0","0","0"
"480eb8616e8392efd72effe2adae6b6acdc3c54e","2018-01-30T13:19:02Z","0","0","0","0","0","0","0"
"800c0bd68c83342446001da5b69590151787ac19","2018-01-29T11:52:26Z","0","0","0","0","0","0","0"
"33d5df589ea348f74583ebf8a9c8af9f7c733da3","2018-01-29T11:43:25Z","0","0","0","0","0","0","0"
"fbd8e8c3081d7253d490792d53c32ab9ff530a4b","2018-01-27T05:13:51Z","0","0","0","0","0","1","0"
