"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3e7078e017bc5c72fa96057411dc67a35c86034f","2018-09-28T22:22:30Z","3","387","47","434","1","0","0"
"4d6cca3161211286e25cc0b95a71eb5515e89b55","2018-09-28T22:22:15Z","1","1","2","3","1","0","0"
"d57a39c11760483b2fa9d13ec77cf5ea538b27c1","2018-09-28T22:22:11Z","1","2","2","4","1","0","0"
"b1c874e9a39804159e45084482380bdac9de1da1","2018-09-28T22:21:58Z","4","270","0","270","1","0","0"
"0c7baa839f1ebb6ac7bb359063920a2c5e8766cb","2018-09-28T22:21:54Z","2","51","11","62","1","0","0"
"ae57b33356a4f816c807c70e4767c18a3e03c191","2018-09-28T22:21:51Z","0","0","0","0","0","1","0"
"036aa95c3c8a9266e7df500429e5481741e2c48d","2018-09-28T22:21:48Z","1","21","0","21","1","0","0"
"0c1999dc0a5ed202de10e36e684302d4b3d6c55e","2018-09-28T22:21:43Z","0","0","0","0","0","0","0"
"546e24b9acb5fa3aaf4390a962dd3ae96b82107f","2018-09-28T22:21:37Z","3","18","4","22","1","0","0"
"c5c2c171e0e4387b76e8444bb63ca69bb681c752","2018-09-28T22:21:24Z","1","4","4","8","1","0","0"
"c00897232b434921ec55eb3ffc39907842362469","2018-09-28T22:21:19Z","2","43","2","45","1","0","0"
"8aed837d80d615a11b0feac6d3fa54dd58cb822c","2018-09-28T22:21:17Z","2","126","5","131","1","0","0"
"49d0427392e20854f2500e14a41bfc07cafc1b61","2018-09-28T22:21:12Z","1","1","1","2","1","0","0"
"bf27435b85cf85da7e14a8a653e007a756112e8b","2018-09-28T22:21:07Z","1","3","3","6","1","0","0"
"b88abdf3dcf32e5d867c4d14362ab717b08db5c3","2018-09-28T22:21:03Z","1","2","2","4","1","0","0"
"9b25f901912e9739556afbd5623e7b059ce7c8ad","2018-09-28T22:20:59Z","4","577","0","577","1","0","0"
"130cd8c3c0bbae04a731a035e774d312775491a2","2018-09-28T22:20:55Z","4","0","522","522","1","0","0"
"0ff70c0b60f5a5f1aa1af94e51497481703ffc7b","2018-09-28T22:20:53Z","4","522","0","522","1","0","0"
"a238ee2c5b0e665347a8ed7effcb7a79fa1dd825","2018-09-28T22:20:51Z","1","1","1","2","1","0","0"
"fe7638ce85c20e96a31326172b5227ff8f280590","2018-09-28T22:20:48Z","7","14","19","33","1","0","0"
"49b8cf25b8cd1d4da9490aa59b10e8ce0e4b9f4e","2018-09-28T22:20:39Z","5","56","22","78","1","0","0"
"65012e51008550d3445f78e59d2edba550df6374","2018-09-17T21:51:48Z","1","1","1","2","1","0","0"
"dcc57d4e653956ff64e7d3cb1ae670924d7d9ec4","2018-09-17T21:51:48Z","2","50","1","51","1","0","0"
"5e3c5df6b201cce796d2f16498b3109b2909cd2d","2018-09-17T21:51:48Z","2","25","0","25","1","0","0"
"f980f022807c16672fbc49524ea40d03c3bb5b68","2018-09-17T21:51:48Z","2","133","30","163","1","0","0"
"a3bccdebcf67b49271a319bc1101607992fc366d","2018-09-17T21:51:48Z","0","0","0","0","0","0","0"
"b516c89a401a4d3e2d0280d31317d97adefc5b81","2018-09-17T21:51:48Z","2","40","1","41","1","0","0"
"990822b6ad82a7bf73105262db90400783270b97","2018-09-17T21:51:48Z","2","19","1","20","1","0","0"
"8a6610767323c394edda2b7c0db0e29ea645cbd7","2018-09-17T21:51:48Z","1","3","3","6","1","0","0"
"63440044bdf615949d86c454093268c2c3e31808","2018-09-14T01:45:09Z","2","29","1","30","1","0","0"
"22035aef67794b7569503ef3abe37230038fa101","2018-09-14T01:45:09Z","1","3","0","3","1","0","0"
"e51bd4d0a58d8540abe69fb8d0f440ed3225566c","2018-09-14T01:45:09Z","1","3","3","6","1","0","0"
"2fb50f8075419ff58bbff5db07d2ec11714224be","2018-09-14T01:45:09Z","6","786","0","786","1","0","0"
"4450ce10d1c7eda8c3a42c5ca8e7e1fefb932a38","2018-09-14T01:45:09Z","14","35","50","85","1","0","0"
"41a5586eebde83f2c609c15a39b3179ea6f71f0d","2018-09-14T01:45:09Z","11","16","31","47","1","0","0"
"70a7f490cd1213fb32d005011759474431548320","2018-09-14T01:45:09Z","6","0","754","754","1","0","0"
"6c311d17f85e2d1e86d5ad0345a25054ada3d8e8","2018-09-14T01:45:09Z","6","754","0","754","1","0","0"
"4a80863fbf71bf1c2167cac3f045d1435506e0fa","2018-09-14T01:45:09Z","4","121","35","156","1","0","0"
"1dc7003b942a483bed3b787bd3c31737cf79fbed","2018-09-14T01:45:09Z","1","4","1","5","1","0","0"
"6c4922b48f3dbec5ee957194da85bc17b0a1cac9","2018-09-13T03:27:07Z","0","0","0","0","0","0","0"
"7eb4548b511df28b33f45aa6a6d95fb7d5b68d4d","2018-09-13T03:27:03Z","1","1","1","2","1","0","0"
"c79dd1db758e0dfe7fd7f02aab0cfe34b632f232","2018-09-13T03:27:00Z","0","0","0","0","0","0","0"
"50fb0299336f86f817c740f89be6ef6302e67e47","2018-09-13T03:26:54Z","2","26","4","30","1","0","0"
"84b8a1ab991b68134b1edca8e9d47d5438be2b38","2018-09-13T03:26:48Z","2","83","12","95","1","0","0"
"782ed67c5d0076cb7b35bd68a3c4eafb01ae8c10","2018-09-13T03:26:44Z","1","1","1","2","1","0","0"
"d0e6c1edffeb444fc48d8e05ce19f216a19b44ef","2018-09-13T03:26:42Z","0","0","0","0","0","0","0"
"60e9f64905ab8367c8ddbab1af14ec999bc3806f","2018-09-13T03:26:37Z","5","113","6","119","1","0","0"
"f3c3a4c04adeeedd7b8174f9eb89c973f38dea38","2018-09-13T03:26:33Z","3","32","14","46","1","0","0"
"e03a1fcd55b70f90d749fee7b325fd5f3c9b40dd","2018-09-13T03:26:30Z","2","37","1","38","1","0","0"
"91a57840f42c887a55ccc38cf1fb6aa4f5f6f111","2018-09-13T03:26:27Z","3","80","19","99","1","0","0"
"e99bcbf08d31a0776367b4c9b7375c98dc46f771","2018-09-13T03:26:23Z","4","95","2","97","1","0","0"
"be2a32c9e678b0cd368d0778820e537babcd0740","2018-09-13T03:26:20Z","2","9","6","15","1","0","0"
"ef0cc76f812e2f0e25e64f34951aea364cc31cfe","2018-09-13T03:26:17Z","0","0","0","0","0","0","0"
"3321f96d7b0ad74fe62baf5f90a52d6177995a7a","2018-09-13T03:26:13Z","2","30","1","31","1","0","0"
"ad60a03984233c3738b85b35893c10a488429493","2018-09-13T03:26:10Z","2","31","12","43","1","0","0"
"9da085c8fa8fc15a995635bd27664913fe82e330","2018-09-13T03:26:04Z","3","369","0","369","1","0","0"
"fc4d2b1f69bae8f053efbdfc12cb47a0f2ff4dcb","2018-09-13T03:25:45Z","3","171","0","171","1","0","0"
"c2e19b887217c4e4d87152ea44a82c44f5d1c3ce","2018-09-13T03:25:41Z","2","44","9","53","1","0","0"
"68ff8e697ae3e86bc71cdb551e87c4df54891f82","2018-09-13T03:25:37Z","1","0","1","1","1","0","0"
"b4451a6949dea6e55a829f06a66e236baab82b0d","2018-09-13T03:25:33Z","2","133","97","230","1","0","0"
"08e075c56cbdebf0deff999e74adbaba603c608f","2018-09-13T03:25:28Z","2","13","15","28","1","0","0"
"6668a6006ee4eaa98aec29bf500e5974d4f3312e","2018-09-13T03:25:21Z","2","27","31","58","1","0","0"
"03200e96e21cdd9955304c068c9ed63830e3c4cd","2018-09-13T03:25:17Z","7","2","372","374","1","0","0"
"722be59ce9e37082d7b5e23ee0c0053a3501b767","2018-09-13T03:25:12Z","0","0","0","0","0","1","0"
