"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b2c5ea680099280f5c456c0e0d10970261dce67c","2018-09-24T15:18:27Z","1","1","1","2","1","0","0"
"923f603ab7153f0856b4169d656d48044508ad9f","2018-09-24T08:28:52Z","1","1","1","2","1","0","0"
"ec2649e3a0a7eae5d3daabd2dfff7f8c2a91cc49","2018-09-17T22:50:14Z","1","1","0","1","1","0","0"
"cea84e317c3f646286030becd0d71bbd06f0c7cc","2018-09-02T19:22:31Z","2","23","2","25","1","0","0"
"558b8ec2f54b7f8f7ef9d674121cb40049b61c54","2018-08-31T02:02:16Z","1","20","0","20","1","0","0"
"327327e9d69145194e57f3f2fbd5c84637de7436","2018-08-30T06:47:34Z","1","3","2","5","1","0","0"
"f660f788e8309621186deee6ffe9425ab8243056","2018-08-06T20:24:05Z","5","73","31","104","1","0","0"
"e4dd6a7dad8300b965fd34fdf4d578a970442d53","2018-08-06T19:53:30Z","1","12","0","12","1","0","0"
"0188bbeefcd45ac1d5ef4e87f7a2cc0503dba9c9","2018-08-06T02:56:42Z","5","61","31","92","1","0","0"
"7935f2c37799d6437d7e51317d537ed9f74691cd","2018-08-02T22:18:51Z","3","21","0","21","1","0","0"
"6c7596fb82bd7afa01675883942eaacd82049329","2018-08-02T21:54:16Z","4","71","7","78","1","0","0"
"01de9e50b786f90c36ccfb2cc051221058b110a8","2018-08-02T07:39:25Z","3","21","0","21","1","0","0"
"e0c3ee2c09c2b5f7d6ba4615cc722f4d2524f5a0","2018-07-27T02:19:14Z","2","51","3","54","1","0","0"
"e68bde71950f9763994e97bed1f2aacc0a1951b6","2018-07-17T04:19:35Z","4","44","19","63","1","0","0"
"fbe2466abd11175f855edb5b3085ed9ab8165f9b","2018-07-11T09:22:32Z","1","2","1","3","1","0","0"
"68706690b6d82d57cd55d7074c6c7fac0d950899","2018-07-11T08:52:56Z","2","10","15","25","1","0","0"
"c53342dc8f0b0a9bf919df0390c9a2b6ec41dab5","2018-07-11T07:17:00Z","1","2","2","4","1","0","0"
"15ddfe684707328354797205c9cc207560b0587e","2018-07-11T07:14:14Z","2","20","4","24","1","0","0"
"ada9f9915a681336707999c106799e2d6e598f28","2018-07-10T20:50:44Z","3","13","1","14","1","0","0"
"b7d1c6dde7ca64a4b75d3f0af3be66d93d3507b4","2018-07-10T20:49:16Z","1","4","4","8","1","0","0"
"6c12040f58977d70df3f870fc499be9fda7d7caf","2018-07-10T08:21:41Z","1","4","4","8","1","0","0"
"47c528fdd40cba030557b34af11b969f3603a987","2018-07-10T02:12:51Z","3","13","1","14","1","0","0"
"dc0852b3a74b6380f3352b4452b3883c4bec9f54","2018-07-02T09:07:41Z","4","45","16","61","1","0","0"
"ac6bd9b028887176e6622fb008e096857825d9f6","2018-06-25T23:40:13Z","3","80","9","89","1","0","0"
"07876a70a547ea52822c286b49c001971a1e6880","2018-06-25T23:29:33Z","11","737","8","745","1","0","0"
"2402d25898c21530000f617140433d2419c2d01c","2018-06-21T13:02:24Z","3","80","9","89","1","0","0"
"b988850245ffd5fa65b5e56b1c9af81d3c0330e1","2018-06-01T18:25:46Z","1","2","1","3","1","0","0"
"2075f18464d18dbcb5e60938655f7336a2011d44","2018-06-01T17:25:49Z","1","2","1","3","1","0","0"
"72fcd2813ae2f6f9417e912b5685b36c88f3d7e6","2018-05-31T22:06:44Z","3","39","10","49","1","0","0"
"9e874fba48b5d5892d5eaec9578c49f39257e1bf","2018-05-31T20:03:21Z","3","39","10","49","1","0","0"
"6c2db95a917eb13733feb8a9deb2a05f2a92057e","2018-05-17T09:25:32Z","1","9","4","13","1","0","0"
"b3575449329e4234322bfa4e4da60eb9d0f0f91c","2018-05-16T14:52:47Z","5","191","170","361","1","0","0"
"dec9355b87646a1ff0cdb0630432886fff2b533a","2018-05-16T13:13:11Z","9","709","6","715","1","0","0"
"a4dd6b22ad447c706234e63fe83cb58413f7618b","2018-05-12T17:22:37Z","1","2","2","4","1","0","0"
"8009355993fedb15c82a67930f7354d4a28cb6c9","2018-04-25T17:14:49Z","3","7","5","12","1","0","0"
"4eb852e8934291169cc10268d4b177a863deac05","2018-04-25T00:39:37Z","3","7","5","12","1","0","0"
"26b422e6d6f09e6f1d4496039dda868d9c94481f","2018-04-25T00:31:12Z","0","0","0","0","0","0","0"
"8327b071b6c9efc0c2e40b292b5871926df38b51","2018-04-25T00:31:03Z","5","56","20","76","1","0","0"
"2b83821c29a7caf530c0c7ea24c431540217ed9f","2018-04-25T00:31:03Z","1","2","0","2","1","0","0"
"fa5ffd77159e6c79b59408d4b4ff9e65cd3a1dff","2018-04-25T00:31:03Z","1","12","4","16","1","0","0"
"935f627fa6cf3cdf3a1d8b1d7f293b42e8ed2e62","2018-04-25T00:30:38Z","1","14","4","18","1","0","0"
"27b94c6c8edd8843228b1633f114a62fdc49652e","2018-04-25T00:29:04Z","5","56","20","76","1","0","0"
"b43d9794e68b18b1ac59cf04845e02f2a880e42a","2018-04-25T00:27:59Z","0","0","0","0","0","1","0"
"1980efc025ba570a51a9ee3345ce0546e8916d17","2018-04-25T00:19:40Z","0","0","0","0","0","1","0"
"953dc0a4a317143ed18dcce7ded69f73bea3a04b","2018-04-24T23:56:59Z","2","15","4","19","1","0","0"
"d2dc348aebbd395059a0a5e047a17e5f493420e0","2018-04-24T23:41:16Z","2","15","4","19","1","0","0"
"69608c67448d45f31df7cf9fba5c4b1fa719e822","2018-04-23T21:49:55Z","1","8","0","8","1","0","0"
"af895023645604f793b13d0ef85ca9ddbe28acd0","2018-04-23T21:42:26Z","1","2","1","3","1","0","0"
"630d203cf8b8e8239f13914fa072078e617b2ba9","2018-04-21T16:56:17Z","1","2","1","3","1","0","0"
"dd41a6e10618c0559ac949f51e5d3a64d70707e0","2018-04-12T05:44:30Z","1","8","0","8","1","0","0"
"c7de8dae01281aa1c2a43647880b222179da8259","2018-04-09T21:45:22Z","3","35","0","35","1","0","0"
"98231e6047302c6c37011289496e3d5dd72e9120","2018-04-09T21:31:24Z","3","35","0","35","1","0","0"
"ccd8fbd46418c18b2f13213423f94e2dcfeca3f1","2018-03-12T20:41:06Z","0","0","0","0","0","0","0"
"5491428ef6d31dd0e4280d908795c6a865fbbc6f","2018-02-15T23:34:33Z","1","1","1","2","1","0","0"
"c331e53981e79f92c37e95e9706fdfca90bebd04","2018-02-15T21:57:59Z","1","1","1","2","1","0","0"
"d4756142de0e8785e111b5fdaab102627b7ccf31","2018-02-12T20:53:17Z","3","66","4","70","1","0","0"
"b96d5a12d1d46bd172b2b3b505a56bf821d25f8d","2018-02-11T09:43:46Z","5","56","20","76","1","0","0"
"9c375edbfcc06789fd1d1432a53737e49f2269d2","2018-02-10T02:48:06Z","1","1","1","2","1","0","0"
"82a9e04d7d58ba981734fdd5a1138751c54b1018","2018-02-08T08:57:46Z","3","66","4","70","1","0","0"
"afa4049e741bf6f49a50fe2238659cecb088e8e1","2018-01-30T18:51:42Z","2","2","2","4","1","0","0"
"859747af0317e6524ecb1f41a877256dc674e006","2018-01-30T18:50:19Z","1","19","14","33","1","0","0"
"45ba5bca59948626086d60b61f8ba3687d2fea56","2018-01-22T12:08:31Z","1","19","14","33","1","0","0"
"d67f414e240e1cde54e2986dc81981cea12836ed","2018-01-12T09:39:55Z","1","1","1","2","1","0","0"
"f275b3c0d9346beaf4ee6e3bdeca2eed17c2f720","2018-01-12T09:18:59Z","1","1","1","2","1","0","0"
"5e259c5a467f4b3bc9f872ee85a4090e9e5ded4d","2017-12-18T18:32:46Z","2","2","2","4","1","0","0"
"9b414f1450dad13aa1c2f82a4b1099431ae62088","2017-12-13T07:07:42Z","1","0","1","1","1","0","0"
"b3d3282ae6730839a3dbd13870d712b62ffdf7c6","2017-12-13T07:05:57Z","1","0","1","1","1","0","0"
"05d5783d8c7a6e81dcab6265441c082dc96c23a0","2017-12-13T00:41:24Z","1","14","2","16","1","0","0"
"ef4f51332b20f4cfba1853fbc637e9448340f285","2017-12-12T23:37:09Z","1","0","6","6","1","0","0"
"22e334543df6ff302b0373db041a2b3acdd7448b","2017-12-12T21:52:55Z","5","17","6","23","1","0","0"
"22f3366557af6c00d088438bd4e9389f34c6123e","2017-12-07T22:21:51Z","5","17","6","23","1","0","0"
"86df31f2ae635416db052f96fd73bba55c0684c7","2017-12-03T08:32:49Z","1","2","1","3","1","0","0"
"9173d4400870195f6dd7db4e645ee719748f81e2","2017-12-01T10:19:29Z","1","2","1","3","1","0","0"
"dbb98abe14eb8c984df75bb413c69411e1afb6e3","2017-11-28T22:12:51Z","1","13","7","20","1","0","0"
"d9ad6d584f57a4a99ac5af6d7a7dc3a2bcc25541","2017-11-28T22:09:49Z","1","5","0","5","1","0","0"
"f075b422cd7075e0d1e6ea21ee0e68e4a528bbe0","2017-11-25T03:25:27Z","1","13","7","20","1","0","0"
"82a00598661718415cd44d9cd562b483c69594d4","2017-11-15T02:35:57Z","1","5","0","5","1","0","0"
"47789f474904f8d9678a0871c13bf2156a187ecd","2017-11-14T21:48:37Z","33","104","116","220","1","0","0"
"2e0c8d635ed6b7a232d2b3f10b4f82b4911bb1fc","2017-11-12T21:28:11Z","5","16","6","22","1","0","0"
"d66bdc01329768bf5c90f657a629e9d82bd5df9d","2017-11-12T21:18:02Z","1","5","5","10","1","0","0"
"6de298e6d272a3375c97e69d176bee5b859bde01","2017-11-08T01:00:39Z","1","5","1","6","1","0","0"
"ca1eab770acdadcc607eab57c541981c8b8b07ac","2017-11-07T23:40:41Z","1","1","1","2","1","0","0"
"b7d6273161f1e1391da5a0453f28e88280e21beb","2017-11-07T23:39:17Z","1","5","1","6","1","0","0"
"15e3d1870eebe96a962091bcb2dcfe4e6fdb99eb","2017-11-07T00:19:36Z","3","9","22","31","1","0","0"
"6dfe4ab9bbfa5aad03958f54aa2c436c75f83a69","2017-11-06T19:26:49Z","6","7","17","24","1","0","0"
"6b6a9201b8d08e397bbeecdee6a48afc1332e28c","2017-11-06T17:19:45Z","1","1","1","2","1","0","0"
"7d0271cbad7899058fd1679f8c597edb80f068d9","2017-11-06T17:15:59Z","1","1","1","2","1","0","0"
"f6b924cd221644ffa67c1bec5ec5f5ea590a1cce","2017-11-06T17:15:59Z","1","1","1","2","1","0","0"
"9cc90a8c5f2475aac416e1f18ebb5874291233d4","2017-11-06T17:15:59Z","1","1","3","4","1","0","0"
"d03299d7dda34fd9b83ed363605a5976a6774a12","2017-11-06T17:15:59Z","4","28","12","40","1","0","0"
"5f3c0b18016326530da987335ab16e3655cca8b2","2017-11-06T17:15:58Z","1","5","7","12","1","0","0"
"ad81a1140f351ec19165cb94d5aa668cfc08a932","2017-11-06T17:15:58Z","1","1","1","2","1","0","0"
"d3f490cf809dbde6146586745d6853691eb8c4e1","2017-11-06T17:15:58Z","1","1","3","4","1","0","0"
"44d1419bb0e689b9ba99f2837e2789054dc6783c","2017-11-06T17:14:48Z","0","0","0","0","0","0","0"
"b6c97d95600b1bc17bc7116c56ab601ceeed5808","2017-11-06T16:12:05Z","3","3","9","12","1","0","0"
"f7d01cbf70d553a449583ef6cf6f3d1ae591ed39","2017-11-06T16:11:35Z","1","1","1","2","1","0","0"
"7561954d0e23b7c474ad835e11e0441a9757b394","2017-11-06T16:05:24Z","2","2","2","4","1","0","0"
"c411b81fd0cabeeaf1b7cbd02563e670a1ccb36d","2017-11-06T16:05:10Z","23","64","67","131","1","0","0"
"2e48ebfb73ea3c76a2e1a099bb687cff598b28a1","2017-11-03T01:48:08Z","1","2","0","2","1","0","0"
"dfbee33ca78e09b90bd0f8b028800fc2fd285970","2017-11-01T18:27:01Z","1","6","2","8","1","0","0"
"0ec15d16dcf4fd35031380a66c5cc29e38235197","2017-11-01T18:14:42Z","1","6","2","8","1","0","0"
"6efea5d3a0a8810c96a2d1fb6fb596e1c1c99f7f","2017-10-27T20:59:18Z","11","169","26","195","1","1","0"
"f10b37416d6dd56c46eb26ef211386f7bcee2071","2017-10-27T20:39:51Z","3","15","1","16","1","0","0"
"66d4dc2c3fcdbe3fcbe3ec82f39e6bee54e59084","2017-10-24T07:04:50Z","1","12","4","16","1","0","0"
"d8acdba71706ded8dd5613f98936211d471c6f16","2017-10-19T23:04:51Z","11","156","27","183","1","1","0"
"d4fcefc07368948d3d3383ae133586ca1b806ba8","2017-10-09T21:12:03Z","7","83","6","89","1","0","0"
"bdcf59c5110f457b738bbe139dc086c5b4220c7c","2017-10-09T20:21:21Z","1","5","5","10","1","0","0"
"f5c31eeea22f1b3cb8a8e82fe7f2c26f8a45ceb3","2017-10-09T20:19:09Z","6","80","3","83","1","0","0"
"7ef6aaf79e9c56bc021393b2b77af53115acbd0d","2017-10-04T20:29:10Z","1","5","5","10","1","0","0"
"d2dbee8a79b3c6dd9b553eb3f702f7721797bcd6","2017-10-03T19:32:24Z","3","50","23","73","1","0","0"
"5125788e5c97fc9187d31ac527b42ab41681b47e","2017-10-03T18:26:03Z","1","3","3","6","1","0","0"
"740409eb812c6577c2d9a4722ac91fe7d7c2a685","2017-09-29T19:04:06Z","1","2","2","4","1","0","0"
"d47273b67713a42adc8410a7600b2b2ac1186204","2017-09-28T23:51:20Z","1","2","2","4","1","0","0"
"f49e3b7a9d02c6ba7e8d041b07172e5dc32273a3","2017-09-28T23:36:48Z","1","5","5","10","1","0","0"
"68bdc17db60741f09b19ea2565442b4d4dc71ea8","2017-09-28T23:31:19Z","2","45","18","63","1","0","0"
"30a85dc31be1c9d399e4e6ec5150759fb8777edf","2017-09-21T20:51:00Z","6","56","7","63","1","0","0"
"b45db1cb501dd915b8457feb0a6b425adb01bf4f","2017-09-21T20:16:29Z","1","27","4","31","1","0","0"
"c281f5c283b85c085f90066e9555a5adee4c9328","2017-09-21T19:57:18Z","5","29","3","32","1","0","0"
"a2a751881da0b74681bc178eedc507bf66cb5c6a","2017-09-18T17:43:06Z","1","5","3","8","1","0","0"
"e3b878f8159fd644f78cb89312a31eff868f593b","2017-09-18T17:33:17Z","1","5","3","8","1","0","0"
"64f973f6115d33af0e2d75345979cfad1616ad08","2017-09-13T18:17:37Z","7","86","19","105","1","1","0"
"9cb176fb3c350eb1880eca3d5fb7e90bdfff12b9","2017-09-12T22:32:37Z","0","0","0","0","0","0","0"
"3b0a9363a82ad9888aa1452394c40070c7ff3e85","2017-09-12T22:29:56Z","5","60","4","64","1","0","0"
"d8265bb804fe6fb713d44f3403b4a5e3974ee608","2017-09-12T22:20:39Z","0","0","0","0","0","0","0"
"28fcb79ce4d8d4bb5e81336f9c40cb17b9b61585","2017-09-12T21:27:39Z","2","21","17","38","1","1","0"
