"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"989fbd7c1f4029c6ad5900f0c3e591323cc11ffc","2018-09-29T19:05:08Z","4","16","8","24","1","0","0"
"02d97371fe3a84bfd3222e18b94d791c5841170e","2018-09-24T13:42:03Z","0","0","0","0","0","1","0"
"2ef90589498c71b0978b3339f0dc2d1d03a99f0e","2018-09-24T13:04:28Z","2","58","3","61","1","0","0"
"3c7af5710cb438d49f4e8c601d0ad8facdaa3ff6","2018-09-24T13:03:02Z","1","1","1","2","1","0","0"
"2d761cb6a92efc6b4a95e7092c945f47431b76cd","2018-09-23T13:29:43Z","58","2733","940","3673","1","1","0"
"d7cc9b6c7ee34da15ee2cf0e1c0824b3040e5737","2018-09-20T21:40:15Z","2","19","1","20","1","0","0"
"17a515e073e8dc6e3d06a8404ad9742274ce0bb0","2018-09-18T19:23:20Z","2","47","5","52","1","0","0"
"3c7bca03947616adfe0e5a713a3779e9719f669e","2018-09-14T14:20:22Z","2","16","1","17","1","0","0"
"b40498f56d182537279e059375eb7887e2384373","2018-09-09T17:22:48Z","0","0","0","0","0","0","0"
"32372293454dbcc7797f758586e7da1617b88fd3","2018-08-27T00:55:43Z","4","69","10","79","1","0","0"
"b8d33fbacd1f6c7cbd6143c79ad09e17913e5236","2018-08-18T16:58:22Z","0","0","0","0","0","0","0"
"d9004cf29ab4196c0b933fdf424ab22262803f7d","2018-08-18T16:55:38Z","0","0","0","0","0","0","0"
"8aa32c2c1460ff5f355fddb7123401e8ade831f6","2018-08-16T01:24:58Z","0","0","0","0","0","1","0"
"d9411f1e2e256210e26d6d18f7a8898c0498c9d6","2018-08-16T01:24:53Z","0","0","0","0","0","1","0"
"467ee8be4ef401dfeb461a97eb31f0ba2a0b0b68","2018-08-16T01:15:42Z","0","0","0","0","0","0","0"
"7bff1a5961b29e5664f9bd6c5b59e6a7e111072f","2018-08-16T00:29:47Z","0","0","0","0","0","1","0"
"f228ac57da820a2212ca8fe877bf3be795493477","2018-08-16T00:29:41Z","0","0","0","0","0","1","0"
"76a4d25761839eb9e027fed536a018b18a927096","2018-08-16T00:22:46Z","1","2","1","3","1","0","0"
"6667b0f88fd06a7b48f8a5c0a0a6ad4503f8a7e3","2018-08-14T22:41:42Z","4","68","8","76","1","0","0"
"cb611eff4dcbc0e0242fbe5b09a63f0cef92277f","2018-08-14T04:04:47Z","4","37","1","38","1","0","0"
"5835dcbd25d4ae2c19f66d33bfab96e145e0cfcb","2018-08-13T09:48:18Z","1","7","7","14","1","1","0"
"e4743d4e33270ccb2e8a1ba8d284b7436e938a0b","2018-08-12T16:28:14Z","2","62","17","79","1","0","0"
"141560b5f73235e8f44519485be01394e40d84a9","2018-08-07T20:07:13Z","0","0","0","0","0","0","0"
"b8d1ad97b416649120a0a5ca1f5389cad702a478","2018-08-05T21:52:29Z","1","5","1","6","1","1","0"
"2ea9c7d6c7ab3d6794da5240659bd93509c8f5ef","2018-08-03T17:09:16Z","0","0","0","0","0","1","0"
"9875a16f4ad3117904dde1c5a5ce3d08de7d1009","2018-07-24T00:53:50Z","25","185","58","243","1","1","0"
"68f04c90c2ad550b251172213ad8f08082f5abb6","2018-07-23T22:06:24Z","0","0","0","0","0","0","0"
