"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"06c1b7efa2148c99f72b8459405886067ede5055","2018-10-01T11:57:58Z","6","32","53","85","1","0","0"
"9032a2c5dee658ab421fb94a4b45df63786f350e","2018-10-01T10:16:53Z","4","17","8","25","1","0","0"
"2ab55df946dc35280f66c6f073a112b497acede3","2018-10-01T10:16:53Z","1","3","1","4","1","0","0"
"6ba2a0b02873c4bc50de35d94ea32f05134a33e4","2018-10-01T09:56:46Z","0","0","0","0","0","0","0"
"c839b1a04c389db816fad0194eb63a5220ee5351","2018-10-01T09:42:21Z","6","72","14","86","1","0","0"
"d1eb996081dbfb0b41d09114b69e0cd28feab662","2018-10-01T09:40:24Z","7","238","18","256","1","0","0"
"10f9f1d431dbf047ea14130d9fb7fdd4f78178fc","2018-10-01T09:10:44Z","11","2233","0","2233","1","1","1"
"d4129c574d7f30fd5dec9e7745300a16e76fb0f9","2018-10-01T09:02:05Z","1","0","79","79","1","0","0"
"c1aca8247075e948e7f9dc649008e97be523d717","2018-10-01T07:46:37Z","5","180","80","260","1","0","0"
"ad79e6953cdbd9571f0605810b7d5f42749b38f4","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"79608025e971c4877bbe025b6d8b2eeff697c582","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"09e732207c407c0483f6e523aae4b7bcb95d917b","2018-09-28T19:05:14Z","0","0","0","0","0","0","1"
"565142389a309f006a248685df9f8a6ef8692388","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"bfba2d26c830796ddc494543a577b04aed0255a7","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"47f88475ef59a3d0d71e92960d33dd826b02cc0c","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"10b8431468320032409b5c2c0dd30195e2bd6a4b","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"53d906c0f597e5f1a12edaa2dfdf6b0a17577fbc","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"b4b6fb068f86c4c63d031d67c56987ce2d84e73e","2018-09-28T19:05:14Z","0","0","0","0","0","0","0"
"abc6453ccde474b07c41fd405565db22ff1b00c0","2018-09-28T19:05:14Z","0","0","0","0","0","0","1"
"c17c87147dae4487c873702e0a2cb2f94ee25ec6","2018-09-28T16:40:40Z","1","3","2","5","1","0","0"
"a8434d686473a088a876967dc2fe9b5dee0e3169","2018-09-28T11:57:06Z","10","47","194","241","1","0","1"
"b0d5e99319f6dc38da890e389f8b1a7e2cabe6cf","2018-09-28T11:57:05Z","1","1","44","45","1","0","0"
"6ace721e5515a8fcc085e501bcfc8586551d1d36","2018-09-28T11:57:05Z","2","253","70","323","1","0","0"
"20447b23848c2f69afef2742e06922fe174ddc47","2018-09-28T11:57:05Z","2","12","8","20","1","0","0"
"87c27e4ca82ad8ce48cef743b8da1f7845199b0e","2018-09-28T11:57:05Z","1","0","36","36","1","0","0"
"2a798e471db68c360d23d7d9284cee652997e5d9","2018-09-28T11:57:05Z","1","0","132","132","1","0","0"
"93b042da45a0bbf418e7df96059fe36eb4f18b9e","2018-09-28T11:57:05Z","4","28","116","144","1","0","0"
"ff97d1cb3efbac4f47abc0a38bac932a55fc1288","2018-09-28T11:57:04Z","4","159","140","299","1","0","0"
"cc334db80face215250154047685466f7e01cb97","2018-09-28T09:46:53Z","0","0","0","0","0","0","1"
"fd9b5de41eb9935c7ff1350f3b6e5d818104c677","2018-09-28T09:46:37Z","9","12","165","177","1","0","1"
"9f5fd073bd128006571c9e788c87938125fef52d","2018-09-28T09:42:42Z","19","522","259","781","1","0","0"
"54c1b19181408ab280fd3d41c2d83a557e27a519","2018-09-28T09:42:39Z","3","0","0","0","1","0","0"
"b9ebf421c8979d99f2ae960075b76796ba0b6ac4","2018-09-28T09:42:39Z","8","125","73","198","1","0","0"
"1fcbc9f816460b1a159fd79b4c9bcf83327d79c3","2018-09-28T09:42:39Z","27","1387","795","2182","1","0","0"
"e6639901e21ddae7a64d9ea3208d980424bd0ebf","2018-09-28T09:38:15Z","2","3","3","6","1","0","0"
"b0ba980caed9f26095bc8134bbe581635bb98dde","2018-09-28T09:38:15Z","1","23","23","46","1","0","0"
"0c95396c05839447a75af6020896ed4733d1c5a7","2018-09-28T09:38:15Z","1","64","96","160","1","0","0"
"fb50658c27ebbd14f9d240165e6b47f5229dddd4","2018-09-28T09:38:15Z","1","5","1","6","1","0","0"
"771277b42427d55b52a28d5893c71c3b8de97807","2018-09-28T09:38:12Z","16","556","103","659","1","0","0"
"08e25db3326ebf9b9acb022dc5644528d44882ae","2018-09-28T09:35:51Z","4","61","10","71","1","0","0"
"28591f321f90d713b81b4e4428da12cf22109469","2018-09-27T16:07:37Z","5","99","13","112","1","0","0"
"559b8f14ea9cc873a64f9c7954951882444693ac","2018-09-27T15:18:47Z","3","149","0","149","1","0","0"
"5a6f65cfc69dcc647f1c74c89900905e2426b811","2018-09-27T15:18:46Z","2","37","22","59","1","0","0"
"3ef68bc5442f0476e91a062506e50cfb8225cb6b","2018-09-27T13:52:43Z","0","0","0","0","0","1","0"
