"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c944bd573d2333f3b9b5ba186ce603d8431a5941","2018-08-28T08:17:12Z","0","0","0","0","0","0","0"
"9f7501fedc127f9b3ac8a875f4b73121e7e5b136","2018-08-27T18:08:05Z","0","0","0","0","0","0","0"
"1aa328918b434a966f2c9e56c9975efe454756ad","2018-08-27T15:53:56Z","0","0","0","0","0","0","0"
"f8b3bc26ff900d2f5cf5cc66dc4aac3bb127c98c","2018-08-27T14:45:13Z","0","0","0","0","0","0","0"
"112804bdcf340f9f37c3058ea847201280557056","2018-08-27T13:19:56Z","0","0","0","0","0","0","0"
"3474ee2ba63e23e5ebb9dc39892f3fc925d678e1","2018-07-30T10:20:22Z","0","0","0","0","0","0","0"
"b033098f59b01bf35801fc9cb105dc9210feb302","2018-07-21T12:43:13Z","0","0","0","0","0","1","0"
"d47f990f842656f8aff7b08d5886e013e7a73fd6","2018-07-13T21:43:28Z","0","0","0","0","0","0","0"
"e57f0ae162886d1fe606b66d1ee21809592462cf","2018-07-13T21:42:31Z","0","0","0","0","0","0","0"
"9a78448fd501324ef8fd2e98e1409899a78d215c","2018-07-12T15:20:07Z","0","0","0","0","0","0","0"
"c1d40ce28b482a42e08177f2f6f998da59967cf4","2018-04-21T08:32:37Z","0","0","0","0","0","1","0"
"b6c1a346dd6184fe500515b7996b90d0348b2bcf","2018-01-30T12:39:22Z","0","0","0","0","0","1","0"
"ee069b24cd4e98b385d3a446661b996ff8e9c604","2017-12-15T21:53:02Z","0","0","0","0","0","0","0"
"d2dd42d50c20007d5eaf5367cb9af0c30f372346","2017-11-18T01:15:59Z","0","0","0","0","0","0","1"
"6634da340b62dd650f75d8075fd7e1a508e902f9","2017-11-18T01:11:49Z","0","0","0","0","0","0","1"
"5a789b169d5f12423f5d0584db39baea48598160","2017-11-18T00:49:13Z","7","126","31","157","1","0","1"
"56f48cda2b318b7fc17763b20e15958a5e08522d","2017-11-18T00:46:41Z","2","38","0","38","1","0","1"
"ec57bc71048ab04633c63c6daa57312beb7b4d2c","2017-11-18T00:18:56Z","2","24","7","31","1","0","0"
"5695cad0d80341dd93312826ea299914d43c7ec8","2017-11-17T23:55:15Z","1","7","10","17","1","0","0"
"1e0f99d9197c35f5af6912491ebb08fb3341b17d","2017-11-17T23:39:10Z","4","57","14","71","1","0","1"
"2b9a7c8eed39ec43017639dbbb44175cbd953572","2017-10-23T21:10:35Z","0","0","0","0","0","1","0"
"31deab653302ba72987a4e791807542493a86964","2017-10-23T21:00:45Z","0","0","0","0","0","1","0"
"363eda40aed4aee6d5a7a1ab42e0add4f013695e","2017-10-23T20:49:18Z","0","0","0","0","0","1","0"
"25af952c6498b2d3f1b35e88e566338ea42b02fb","2017-10-08T14:14:24Z","5","59","10","69","1","0","0"
"8ee2579dff4021b22ed69cf519b22abfac35ad23","2017-10-08T14:13:28Z","3","47","6","53","1","0","0"
"af3c2998023770ec08c4a81391be5a79b2d260fa","2017-10-06T14:55:50Z","1","2","1","3","1","0","0"
"44ecadd2ffc1fb5124a66ca1ad8c9507978fe60a","2017-10-06T14:47:40Z","1","10","3","13","1","0","0"
"f03d7a34534dba4c31a5456ac8695e1fd8c3eb2c","2017-10-01T21:35:51Z","1","3","1","4","1","0","0"
"69e7480409fc8989a23b164a74303d4ace712870","2017-10-01T21:35:03Z","1","3","1","4","1","0","0"
"4df7554f855d74934af8562e944c09873455bbec","2017-09-30T12:15:55Z","1","0","3","3","1","0","0"
"cc4312c17a1f858a4d5477b3d8496ec20153e3b8","2017-09-30T12:15:08Z","1","0","3","3","1","0","0"
"044679455bf0d3d775e89230224fc64f649ba0ea","2017-09-30T12:03:37Z","3","84","28","112","1","0","0"
"b91ecc8d2f1827da89949c3104ac77ace250a4b5","2017-09-30T12:02:18Z","1","50","19","69","1","0","0"
"8d5864d0072d39036c12e5a9265720bf4e8d90bd","2017-09-26T18:25:29Z","1","29","6","35","1","0","0"
"2d22d1dedae02f91876ce2076da7ee59ff0b4717","2017-09-26T17:59:36Z","1","5","3","8","1","0","0"
"012a10cf0f0b43d789c2a29bb5050d91183c7627","2017-09-24T22:06:02Z","0","0","0","0","0","0","0"
"faee0ee6d7a43e1677963ee80a6d802b28ea162c","2017-09-24T21:04:01Z","0","0","0","0","0","1","0"
"49c62d322b4f197da3e5c4ed3451f954c48709e8","2017-09-24T20:48:19Z","1","350","350","700","1","1","0"
"e7fbff19e5acb96a6d6c7c8f2be891f2a0d23b63","2017-09-24T19:59:28Z","0","0","0","0","0","1","0"
"98bac9ba938eb38f43c6658009630136d002e949","2017-09-24T11:00:23Z","0","0","0","0","0","1","0"
"47b2dab72387c5ef3e066241ed28ae69d9f70113","2017-09-24T10:37:30Z","0","0","0","0","0","0","0"
"c70fd70d07044ce309bec12323f494af25f6e546","2017-09-24T10:37:17Z","0","0","0","0","0","0","0"
"52ac83faf0eeef665946e5b84052eb94bbe30096","2017-09-24T10:20:10Z","0","0","0","0","0","0","0"
"9b03fa03efb6b5af273e7d4327846e129a668ec2","2017-09-24T10:11:35Z","1","41","1","42","1","0","0"
"6f96303d8cafe5df10929efb6ce0570c9556a2e3","2017-09-24T10:09:50Z","0","0","0","0","0","1","0"
"8d47463d4d6d151403035d765d3fc4a59c309668","2017-09-18T15:12:02Z","0","0","0","0","0","0","0"
"b1ed02dad17e3fe1b48d6cd6a2170c7f8f10bd0c","2017-09-08T19:47:45Z","0","0","0","0","0","0","0"
"4ea4ed892f8ef4acaf94f963c464da53b7835921","2017-09-08T16:31:43Z","0","0","0","0","0","0","0"
"fba45a60496cb93f94073fb17ee39a320f4d9e43","2017-09-08T16:31:31Z","2","978","965","1943","1","0","0"
"4072c9e85d0affc19ee015e0c92257d3f8bf9650","2017-09-08T16:02:02Z","0","0","0","0","0","0","0"
"90392abf36a4bf91a423c8732a21d90929e66a88","2017-09-08T15:49:15Z","3","978","964","1942","1","0","0"
"b00fb483037d4c24b07e3491d2ee91e1681a3b9c","2017-09-08T07:51:06Z","0","0","0","0","0","0","0"
"36b4c747b6356c98b80f5694870d697992a509cd","2017-09-07T20:19:13Z","0","0","0","0","0","1","0"
"f35bad7760a13ec50a854b5c1c93db4fe429947b","2017-09-07T20:03:22Z","0","0","0","0","0","0","0"
"e3dbfd8061fbacb3cd7bb60a241c666f996dc26e","2017-09-07T19:45:41Z","1","0","2","2","1","0","0"
"da895dc1c887a22630f0dcac2cda949db554d473","2017-09-07T18:18:05Z","1","206","87","293","1","0","0"
"dfed92b6a43bac41f00d96ff9832b2a66fc42c5e","2017-09-07T17:12:47Z","0","0","0","0","0","1","0"
"091d674307c7db68891b2d0cb3cdc0927cbcd785","2017-09-06T07:33:39Z","0","0","0","0","0","1","0"
"f1359c618765596afdcb941466925e29fd7cea0d","2017-09-05T11:39:46Z","0","0","0","0","0","1","0"
"1a1831724201395142d9065ccfa200efc3aed9db","2017-09-05T07:38:21Z","0","0","0","0","0","1","0"
"23034641ff1d73cdf982df409de7582e99cdc0cb","2017-08-25T16:58:44Z","1","1","1","2","1","0","0"
"3dddcc4cdf4a74ddbd4607c6aaee5bdd8ac46c27","2017-08-24T16:06:20Z","2","13","13","26","1","0","0"
"803d8c8677ed27a39ff17d201b447590d82a90a7","2017-08-23T17:36:16Z","1","2","2","4","1","0","0"
"12b36f48d53276c56a39376e51406cb1bb33fbe8","2017-08-21T17:17:32Z","0","0","0","0","0","1","0"
"717f3527a1ff2ac82b1cd535592a782565042af4","2017-08-20T18:29:07Z","1","32","10","42","1","0","0"
"d700f874853b8e7fff0e011bf502ddf7ad787f4f","2017-08-20T18:16:49Z","1","15","2","17","1","0","0"
"736e5de33138ac82369b536f36efe606f9d282a6","2017-08-20T18:01:46Z","10","151","69","220","1","1","0"
"087e6ef324f895e1ccf8fe8f894899392190ad90","2017-08-20T15:58:58Z","1","6","0","6","1","0","0"
"8cad2f240f397028f3c4073ed7fb2d418dac3532","2017-08-20T13:50:37Z","1","129","40","169","1","0","0"
"57d481c32775623977ebccb538fb982db071740b","2017-08-20T13:19:42Z","1","32","6","38","1","0","0"
"94efc08b0d691fa8365f8c1035743c8765bfa7d5","2017-08-19T16:29:24Z","6","57","47","104","1","0","0"
"8f56d49d59b5cbc096e9372b25fa1ff1d1278e12","2017-08-17T19:25:30Z","1","8","3","11","1","1","0"
"beacfeec109b47230f56c5621bd172094ffc9c59","2017-08-17T18:34:46Z","0","0","0","0","0","0","0"
"0fe0dc9508941721e887945f4bd53bde43fe51db","2017-08-17T18:16:27Z","1","5","1","6","1","0","0"
"be1a3a169a3da495f7954e4ce97ffca1a8eb76d2","2017-08-16T17:54:18Z","3","30","0","30","1","0","0"
"0298a64faf946ce1179c743b8c2a57cbdede6c5c","2017-08-16T16:28:38Z","1","11","2","13","1","0","0"
"294ad89438add4bad09c82e31367ab476db7725f","2017-08-16T16:10:12Z","0","0","0","0","0","1","0"
"eff553f746eb8e0f1098adf17502613539322f21","2017-08-16T12:50:40Z","4","19","3","22","1","0","0"
"ed3de4cdd620bf67ad0f0db459206551e4329e91","2017-08-15T19:49:43Z","2","2","2","4","1","0","0"
"f86ed6a05f8c667d064bf8fdffe675549e2aae79","2017-08-15T19:41:31Z","40","115","175","290","1","0","0"
"c3379ae4f6a8ff478ea21971356ef0bba25c8357","2017-08-15T18:48:06Z","3","46","45","91","1","0","0"
"1b1afee2919272284b0e0b3a1faff1e16b0d7e71","2017-08-15T18:47:10Z","4","75","42","117","1","0","0"
