"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"af43fbb39727fd98229f9baad7e2217088c13381","2018-08-19T06:09:40Z","0","0","0","0","0","0","0"
"5126562c4f675e66612abd977d2d9f3271f6527f","2018-08-06T09:14:24Z","0","0","0","0","0","0","0"
"477724b8b29e4f6349eb8da616fce6566dbc23c8","2018-08-06T09:11:16Z","0","0","0","0","0","0","0"
"2f5a0fb2d89819dfb9eab1fd7bd7ebf3664532ca","2018-07-13T14:44:38Z","0","0","0","0","0","0","0"
"7d034c58e0c554964ed83db6af27f05c3875dac5","2018-07-13T13:31:44Z","0","0","0","0","0","0","0"
"df11a4d881b7567e5f9fc0a04801ac6150898043","2018-07-13T08:56:04Z","1","2","0","2","1","0","0"
"d94c994fc99653d6802aadd2365dec426e134845","2018-07-13T08:47:22Z","0","0","0","0","0","0","0"
"2b6e904a62a0711c68c8e688f04689f5f999da27","2018-07-04T09:33:19Z","0","0","0","0","0","0","0"
"3e20346fe97c9fcb3d48d54f242fff2da3d49870","2018-07-04T09:30:29Z","0","0","0","0","0","0","0"
"f0131b4291dff06c2207eebac14534e930575410","2018-07-01T09:57:59Z","0","0","0","0","0","0","0"
"2018564db4d051800f3ee9d7240219613a22ebca","2018-06-30T12:45:16Z","1","1","1","2","1","0","0"
"67b9e7d0904becf6bd0d02cea652333ec59dca8f","2018-06-30T03:48:08Z","2","13","2","15","1","0","0"
"19cf18816e8b75850e6c602b229f0d011050d392","2018-06-30T03:21:05Z","2","34","1","35","1","0","0"
"401dcd20306435fe4fb435ff447ec428c1d12e3d","2018-06-27T09:26:40Z","0","0","0","0","0","0","0"
"cf6d1edbc022b2cb60b9bdb216a3b7d29f10f4ff","2018-06-27T09:03:11Z","0","0","0","0","0","0","0"
"cb059a38b6c5d7a22b3d9b520a77cb890706ee92","2018-05-27T05:46:02Z","0","0","0","0","0","0","0"
"ec02f84e1a1e6a35596f1ee70980a73998a54b3d","2018-05-25T04:16:13Z","0","0","0","0","0","0","0"
"17329d688b04310a900ce276186fb285f082ebf3","2018-05-14T09:15:55Z","3","40","3","43","1","0","0"
"62de5d1a0734e21c4c3a2d87b0dfbabf3284952c","2018-05-02T15:40:26Z","0","0","0","0","0","0","0"
