"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5ed192e872854dd00f3b0ac07dd75c029ff71c3d","2018-10-01T10:08:59Z","0","0","0","0","0","0","1"
"853d59ac6d7ba5ae98b8abd331a4f95846c197c5","2018-09-28T15:04:33Z","0","0","0","0","0","0","1"
"d7d18255d88234f87b1ad79b2b9886e1f9e3e42f","2018-09-27T12:46:18Z","2","106","1","107","1","0","0"
"5d755477c46150345ff111d54f45ae5cf1b87938","2018-09-27T09:07:59Z","10","1483","0","1483","1","1","0"
"d78f44302802df14b86d328a974acfc94346fd48","2018-09-25T13:33:08Z","0","0","0","0","0","0","1"
"fce7366adbf69a66b04ec582b904cdafd00ef91b","2018-09-25T10:03:57Z","0","0","0","0","0","0","0"
"6fb381e138aa366ea1d7c9ee3d431d9138c3476b","2018-09-24T15:19:47Z","0","0","0","0","0","0","0"
"d604868118df77ee86c73f3aaeaabc3f8211db9d","2018-09-24T14:48:43Z","1","2","2","4","1","0","1"
"2aa84080308202e1a25523b343d51548cb7a5d3c","2018-09-24T13:33:07Z","0","0","0","0","0","0","0"
"3c4484ca8b443f32eccaf2ec29f14ed3aa860ec2","2018-09-21T12:39:40Z","0","0","0","0","0","0","0"
"124ae5d609d248fadd890e80ec3963e5ff4371f6","2018-09-21T11:21:49Z","0","0","0","0","0","0","1"
"44f7f5bdf237ae5a65c535115558591835363885","2018-09-20T07:13:35Z","0","0","0","0","0","0","0"
"89f3a709320df2a22ae4039542e764e6badd3405","2018-09-19T14:52:27Z","0","0","0","0","0","0","0"
"2f33a4bd6d719efa78a4d8a88aebda7fa6e47679","2018-09-19T14:05:38Z","0","0","0","0","0","0","0"
"edf84c7ea199aa1458090c5c1676120697a83536","2018-09-19T08:57:40Z","3","6","0","6","1","0","0"
"e9ac3a6520c91065e451d52370de8dde057cef17","2018-09-18T14:19:17Z","0","0","0","0","0","0","1"
"0db42aa0772a38bb08b5d737c1be634f76a9f6b5","2018-09-18T12:34:47Z","0","0","0","0","0","0","0"
"37d33575f6828f5f6031aaa21a9058b2b12dbc63","2018-09-18T11:52:53Z","0","0","0","0","0","0","0"
"f220d2c2973b81a58427140f82b934c9280e980f","2018-09-18T11:13:05Z","2","16","16","32","1","0","1"
"27b916587acb49ce97d251358f57fa6113e1d63a","2018-09-18T09:19:35Z","0","0","0","0","0","0","0"
"d7ee46abe9b499ded2012715262970592eecc42c","2018-09-18T08:17:31Z","0","0","0","0","0","0","1"
"e3e11e242deab88b3cad83b1975c8d680e220247","2018-09-17T15:26:08Z","0","0","0","0","0","0","0"
"7ccc1f4ea504742766b7bb01fb07e548d63c67dd","2018-09-17T14:52:05Z","0","0","0","0","0","1","0"
"b2a48ff3d2a43a2a08cd52fac4d61a17237a58b5","2018-09-17T14:48:19Z","1","10","0","10","1","0","1"
"e48e45d38410d35ea741610bd45906c49d3ff252","2018-09-17T14:44:36Z","1","1","1","2","1","0","0"
"12b9db93238976520a4f3edd090af7da61c95a8d","2018-09-14T17:15:01Z","0","0","0","0","0","1","0"
