"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f33a378c10dfc686515daa95ed04f3d77881a373","2018-09-30T15:23:10Z","1","1","1","2","1","1","0"
"1b770b8a73cae3275681e2d6d3bacbda71f284f3","2018-09-26T17:35:38Z","0","0","0","0","0","1","0"
"3263b6493d93b247a1ecb2f6f86eb98fa2df038a","2018-09-26T16:17:25Z","2","4","2","6","1","0","0"
"bac665c68d0c95edb737df73f7dbaca661be9a1a","2018-09-24T03:59:50Z","0","0","0","0","0","1","0"
"186bf012a05f76040bd35a1735fa8c33602832a0","2018-09-23T12:22:13Z","1","4","2","6","1","0","1"
"35a97e9c6474537bc574ddbfc03b8e679cb8b997","2018-09-22T17:53:17Z","0","0","0","0","0","0","1"
"87c6310350de68a56d1721d32671747dc23cf549","2018-09-22T17:06:03Z","1","6","0","6","1","0","1"
"10c9685131b74bc634f26fc17a1907ceb3ea7f47","2018-09-22T16:38:28Z","1","18","0","18","1","0","1"
"f84448476d54dbd8b5b7bfbf4ebbae2f29c8c46e","2018-09-21T22:49:38Z","4","54","1","55","1","0","0"
"6cc11028c516fe4a5dcdfed8fdb41c56d0142c48","2018-09-21T22:45:39Z","6","79","63","142","1","0","0"
"be7d6aa4ed63a6eebdebc0c32adf2a2f6eb129c5","2018-09-21T22:27:56Z","0","0","0","0","0","0","0"
"16b24b8c4044b7aff2bc1451ffb76cfe94baff81","2018-09-21T20:59:59Z","4","466","0","466","1","1","1"
"5f156f2e8667de467318f56b7138e4f43fd434b7","2018-09-19T12:50:08Z","1","1","1","2","1","0","0"
"ba5eb9b2f19ca0cc8927359ce414c4e1974b7016","2018-09-16T05:14:08Z","1","0","1","1","1","0","0"
"100284a14dea4510bf6663d7d27b571cf98e94f7","2018-09-16T03:04:27Z","0","0","0","0","0","0","0"
"13f41ac923e37258e15334e48f060651901c1aac","2018-09-16T02:25:43Z","2","38","19","57","1","0","1"
"9ce147f2cf3b32ed67ecadb25c206a1152abbc4c","2018-09-15T15:14:43Z","1","4","2","6","1","0","1"
"1363536ea8efa1a4e6261c79a8d187c124cf29d5","2018-09-15T13:54:25Z","23","98","62","160","1","0","0"
"fae1909bd950039670cceeea6ceadc2508df0f71","2018-09-15T12:58:26Z","1","4","2","6","1","0","0"
"44ef38bcab9e906ff8757cb8ba68d679d5ffd527","2018-09-15T12:49:27Z","19","119","51","170","1","0","1"
"40c0d4f336f98449132fa69896507e9988e12ab6","2018-09-15T12:05:51Z","0","0","0","0","0","0","0"
"5c3ceded788c0f451eb2214d8a0addcc13f8a7e7","2018-09-15T12:05:33Z","6","77","16","93","1","0","1"
"99c538334fd11b7a1edf689e7f0159b82c29ef83","2018-09-15T11:35:09Z","6","77","16","93","1","0","1"
"34518dea42671dd6aa4e28f126b2be4e79a6efbb","2018-09-15T09:00:39Z","0","0","0","0","0","0","0"
