"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ba4314795d7a6fa0c8206fc8b73ea3170df33637","2018-09-28T19:53:08Z","1","1","0","1","1","1","1"
"67369fbf050a37486e3e0a403d7b49bfb56ca9e7","2018-09-28T16:16:58Z","0","0","0","0","0","1","1"
"125bc104497b49c940e0a67772c776f395319bab","2018-09-28T16:16:58Z","1","1","0","1","1","0","1"
"cbca8fe18633b79a3701f5414775e0b710debce0","2018-09-18T02:35:25Z","3","12","6","18","1","1","0"
"b958fd0ef08b0aa7dbbe2056f6138c96d0d0d657","2018-09-17T19:18:32Z","1","4","0","4","1","0","0"
"7e042165a6d136b3c93e99f744c6e09626be67c3","2018-09-17T19:17:15Z","0","0","0","0","0","1","0"
"184630d9e4ee9d2b0305647329a3664783f81927","2018-09-17T19:16:26Z","1","5","5","10","1","0","0"
"f734770aa6938cb8dec7d11f9719875177d020fe","2018-09-17T19:15:15Z","1","3","1","4","1","0","0"
"2c8b56156677b11f4e4114784f31c4469ba3eabe","2018-09-17T19:14:17Z","0","0","0","0","0","0","0"
"cab3f07f15bdf904561fc9d30dd4f9697719993b","2018-07-13T15:29:19Z","0","0","0","0","0","1","0"
"289073ec20832130fdf6c46bc895f689a16249e3","2018-07-02T20:36:45Z","1","1","1","2","1","1","1"
"12692cbe898cecbc34c3488f1166d73c49d64bd5","2018-07-02T20:36:45Z","1","4","22","26","1","1","0"
"35caaec1b4af0f20ab8b3fae8a1fc98afc0fd13e","2018-05-25T17:36:37Z","1","6","3","9","1","0","0"
"0451111076c353f0a4cb5e2c149af828a06a2b2d","2018-05-16T22:49:52Z","2","344","124","468","1","0","0"
"ce131a2310d04b5d0dff0d22c037a4166c847bdc","2018-05-15T20:25:51Z","2","2","0","2","1","0","0"
"2642dc4f0e01cb45550f8d47cf8ef16b48efb755","2018-05-01T15:53:40Z","1","4","4","8","1","0","0"
"c0f89a0a59c466aaaa86581ec0329d21b023ed8a","2018-04-24T17:57:35Z","1","1","1","2","1","0","0"
"48b3f62aa1a2ad2833949dc1bd9b56709cc0a7c7","2018-04-11T17:37:20Z","1","31","2","33","1","0","0"
"fa918f7a4dce12245708d0fbcb1853afc38ff685","2018-04-09T22:40:45Z","1","58","38","96","1","0","0"
"44c65c164d303cdfa24bf71cc4382a6c6a8aa355","2018-04-03T16:08:37Z","1","31","12","43","1","0","0"
"59f227bd1d37972ccc24cd87ef163395cf077397","2018-03-27T14:21:11Z","1","3","0","3","1","0","0"
"b56a8561a9e4ce4dffa78d58f1e0d285616a5c98","2018-03-20T22:25:51Z","1","10","9","19","1","0","0"
"b368f7ada3d7edf253b887f8f79db3f59c62409d","2018-02-28T21:30:56Z","0","0","0","0","0","1","1"
"72ca1c637d62eb69966282019b70bfbc485ed212","2018-02-28T20:41:17Z","0","0","0","0","0","1","1"
"c9dda9d100c3e91d79a3eb40f5c52a11793e47ea","2018-02-28T19:14:01Z","0","0","0","0","0","1","0"
"149942bb946339cfd5d0ab600756e9d9774e3274","2018-02-28T18:16:23Z","0","0","0","0","0","1","0"
"1a1787ba94f304f07a1f6ed997badbfe92d59a61","2018-02-28T18:06:08Z","0","0","0","0","0","0","0"
"1016a14f7429cefd08c46a2685c8f7b9b1b5946d","2018-02-26T21:23:01Z","0","0","0","0","0","0","1"
"904a477485792dddd8904f30d829ff50fb2c7246","2018-02-09T19:46:29Z","2","2","0","2","1","0","0"
"8b68d28573e6252a6cfd630c4e5705ffce1d66f7","2018-02-09T19:16:47Z","2","2","0","2","1","0","0"
"3f5ce3f73cbf6fe1548a4718c0c01b9b888ab3f9","2018-02-06T02:00:09Z","0","0","0","0","0","1","0"
"fe67d047ff6b9c1b866585d0f913e83c20685295","2018-02-02T19:44:26Z","0","0","0","0","0","1","0"
"acf00e59d995d1b97399f7fc12fb3b5881321716","2018-01-31T22:40:37Z","0","0","0","0","0","0","0"
"7d1d729a4b32b4a5b0826576e6d649d2b97928ff","2018-01-31T20:41:25Z","0","0","0","0","0","0","0"
"9a3b8a1805cc072d16453881073d80420e4ff536","2018-01-29T19:45:03Z","1","1","1","2","1","0","0"
"d95c8c0cdd029a8cfda781bf48976255e059d45a","2018-01-29T19:45:03Z","0","0","0","0","0","1","0"
"eface212cdf3eeb1579d6e033cd54fd1426d65ba","2018-01-25T16:12:58Z","0","0","0","0","0","1","0"
"02c0b3fc2a5c90e30e1a8720bf03198b447984e4","2018-01-25T16:12:58Z","0","0","0","0","0","1","0"
"869ff91bf27d0357d783eef5ba18ff812f0d2c0d","2018-01-25T16:12:58Z","0","0","0","0","0","1","0"
"66f1a16adbf73bed876c35bea249a82d05430cc1","2018-01-25T16:12:58Z","0","0","0","0","0","1","0"
"aa94332166f1cf2c13402ddaa800d8064fd232a2","2018-01-25T16:12:58Z","3","5","2","7","1","0","0"
"65b8d8ad56fdc66bf710e2fe40bd2c9b429d6785","2018-01-25T16:12:58Z","34","111","128","239","1","0","0"
"cdd0bd1edc712cbc228dd7fbd3d12244cd2f3caf","2018-01-25T16:12:58Z","34","128","111","239","1","0","0"
"b12703e1b513887016732c5387cb37f57cf219f9","2018-01-25T16:12:58Z","5","68","64","132","1","0","0"
"d69a71709fb821617e84e1d17536d358d7cd9920","2018-01-25T16:12:58Z","5","64","68","132","1","0","0"
"234fbabf8fc7d4209ada2aa17fd5558f0496a29a","2018-01-25T16:12:58Z","5","68","64","132","1","0","0"
"f6cb899ce0787848eb86b32c82b741110774b6ed","2018-01-25T16:12:58Z","36","330","378","708","1","0","0"
"04a522082558bbb1e342175798ac6a4c8ad9a201","2018-01-25T16:12:58Z","0","0","0","0","0","0","0"
"b8297a7b0806528560cb5d48fbb5c88382aefe98","2018-01-25T16:12:58Z","5","4","14","18","1","0","0"
"5298761dd96a84f05eb6d7a3fe535e396806a74a","2018-01-25T16:12:58Z","8","684","346","1030","1","0","0"
"e8e3ddbd9b3409aacb3e0e3e53462a171b4e634f","2018-01-25T16:12:58Z","1","3","3","6","1","0","0"
"b667d86f33e99874e1cf416589d00fb9421ab71c","2018-01-25T16:12:58Z","1","3","3","6","1","0","0"
"01b0f294eecba55884fb5dc2123b262f25ce44c5","2018-01-25T16:12:58Z","1","3","3","6","1","1","0"
"d5ecbf24468c0d582d0f0f58ad281a35e84bb77e","2018-01-25T16:12:58Z","1","18","14","32","1","0","0"
"71412be6390c8affe2dc89d5e951ed18293b37bc","2018-01-25T16:12:58Z","2","31","2","33","1","0","0"
"63fb234bb9e9997e2a8e684761ad79822487f5d2","2018-01-25T16:12:58Z","4","29","150","179","1","0","0"
"288945506177cba92ae7594749879dae1137596a","2018-01-25T16:12:58Z","2","111","21","132","1","0","0"
"c64a87bee5e77bb79b31a342baa3f4d5b61229f6","2018-01-25T16:12:58Z","2","1","70","71","1","0","0"
"df9cbea927bc1cc20d2a7e15502c56f286e0214b","2018-01-25T16:12:58Z","1","8","9","17","1","0","0"
"cd875c4b918126271252446cf6a852f80526d499","2018-01-25T16:12:58Z","1","3","5","8","1","0","0"
"13ca52bc3bfe45522c9dbceccaf9c205ec29733e","2018-01-25T16:12:58Z","15","174","40","214","1","0","0"
"50b276465421bb360aeb23ba710999d7af3011c0","2018-01-25T16:12:58Z","1","2","1","3","1","1","0"
"e5e459f4c52e43b44363b31ad9b9c7b0db4da6ba","2018-01-25T16:12:58Z","1","2","2","4","1","1","0"
"e28f5f5b92598f3ac3175a4b023d624e79b0458a","2018-01-25T16:12:58Z","1","0","4","4","1","0","0"
"5eb69b2af66568b1092b6d205217af0c89d5845c","2018-01-25T16:12:58Z","2","4","6","10","1","1","0"
"aa2b4c568a6030280295d0fa1c08f2d22679dca6","2018-01-25T16:12:58Z","0","0","0","0","0","0","0"
"7ca9173c22bc62844ce3f48f15a1316438e2d7bf","2018-01-25T16:12:58Z","2","40","68","108","1","1","0"
"f8f0ac2fdc3da7a0dbfd798822112aeb10dfbaa4","2018-01-25T16:12:58Z","5","8","8","16","1","0","0"
"c285193b47a1d0a6695c74cec61920119c03bc56","2018-01-25T16:12:58Z","1","1","1","2","1","0","0"
"cc4e153e34aab8e05878164d87dd44c328c3eda5","2018-01-25T16:12:58Z","1","3","2","5","1","0","0"
"0750d3329d273c2b8288105139769edd3e6645e5","2018-01-25T16:12:58Z","1","5","0","5","1","0","0"
"e7bef34ef6379735e2a58df1b23f351bb7e30e44","2017-05-09T15:07:26Z","1","7","29","36","1","0","0"
"702c07ea7868ea9aa2e1e09cb85f336fc59510d2","2017-05-05T18:04:50Z","1","7","29","36","1","0","0"
"d2f039541811ebc6d0ab3ba94df302eb70d34037","2017-04-07T01:27:34Z","4","21","11","32","1","0","0"
"4c59c057f5f09c0d0875e5b3dd41974e9cc8bd45","2017-04-06T18:08:14Z","1","7","0","7","1","0","0"
"0d2a5d1fe3a332f6e84ae9085636998ce8fd53df","2017-04-06T18:07:41Z","3","14","11","25","1","0","0"
"fcaa7e533299adcfd7f60746ed7371d9fe158da8","2017-03-22T11:02:32Z","93","379","427","806","1","1","0"
"c8d83509d559288d6671ffd979e071d26ed3121a","2017-03-21T19:30:19Z","1","1","2","3","1","0","0"
"b19efe8aeb94b07f79064d3978109f712da9d6c7","2017-03-21T19:30:11Z","1","1","2","3","1","0","0"
"bf08e9a957cc4997824cd33cb2ca5f9e33ac6d32","2017-03-21T19:29:57Z","1","1","2","3","1","0","0"
"33389fd133734f5f7d032105ffb61cf371bb8259","2017-03-21T19:29:44Z","1","1","2","3","1","0","0"
"883136a1564f09bf0e599546436125b9a0f17cd9","2017-03-21T19:29:37Z","1","1","2","3","1","0","0"
"ab9e3d6dccc21be8ca37754617969a86fa568673","2017-03-21T19:29:27Z","1","1","1","2","1","0","0"
"135aa0e516219c6e63df634aa72377d13eec4970","2017-03-21T19:29:22Z","7","119","133","252","1","0","0"
"4c2c276cdc17cdfc87e99d2ceef764aa00b8131f","2017-03-21T19:29:08Z","17","0","123","123","1","0","0"
"41f307e21b1ad4f0d37f4b5576684fb3d9a22006","2017-03-21T19:28:24Z","1","1","1","2","1","0","0"
"dcf7bdacc232880b425c07171c49a75be5ddce93","2017-03-21T19:28:23Z","69","149","152","301","1","0","0"
