"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4b19bdc619d7d6e57d010504eadaf486d770453a","2018-10-01T08:30:24Z","2","278","0","278","1","0","0"
"6e9c1893a12a5e29fcaed9263a93728bca166b31","2018-10-01T08:19:30Z","6","419","36","455","1","0","0"
"b1b6e524415b35ecef9313c6faf3a6cabb1f551b","2018-10-01T05:25:34Z","0","0","0","0","0","0","0"
"01bf67e4b877e389b5c733b41ad4a2215a4bd87e","2018-10-01T04:51:24Z","2","213","140","353","1","0","0"
"340618c9a0cd566ef1a47f63888702f3534b32df","2018-09-28T08:02:11Z","1","170","0","170","1","0","0"
"3c3b8f93751fcc84298dac5701167e2f0036ff6a","2018-09-27T11:57:53Z","5","162","0","162","1","0","0"
"f21c8c292759466151a5adf1d11a445f2d5c4ba8","2018-09-26T05:22:02Z","3","17","3","20","1","0","0"
"362630624f98729b0e0a2b7a757e3eb3e4a30094","2018-09-24T16:28:24Z","0","0","0","0","0","0","0"
"912225a76644361171ccf1ae6288b37ca8552562","2018-09-24T16:25:53Z","0","0","0","0","0","0","0"
"5a2f12a9a8c86f12a7ee129ba1d6cd374bffd6ab","2018-09-24T14:28:50Z","2","87","0","87","1","0","0"
"9dfdb2b471ce6c1d26c4a5cbb15586d961dcd627","2018-09-24T10:51:13Z","3","437","10","447","1","0","0"
"519905b99bb747e8b67a02d55e8e53fe63dc1cbf","2018-09-20T08:54:27Z","0","0","0","0","0","0","0"
"48909896b69c983ff7234b1e1435a881dfb5746c","2018-09-20T08:33:26Z","6","154","5","159","1","0","0"
"b3e56a5db71110d07a095762a788c53ef258bd01","2018-09-19T18:09:44Z","29","88","88","176","1","0","0"
"a9fd8efe3363ddd141b8add965a5f725ab9ff05c","2018-09-19T08:01:53Z","4","19","2","21","1","0","0"
"b25bfd79f446c2c968c3132665ae74d2716b0e89","2018-09-13T15:57:56Z","4","126","26","152","1","0","0"
"4bafeeecaeb96498013f45b1f538369ee811e876","2018-09-10T10:56:24Z","2","346","0","346","1","0","0"
"9d8cb3dbb7693e8afa8924a7d3b7e99882c05951","2018-09-10T10:40:59Z","1","188","0","188","1","0","0"
"69c03c63f38c0c9468ca2c05ccb02e4490bf9f31","2018-09-10T08:33:38Z","1","5","5","10","1","0","0"
"e66da8af0076c2fbca9c190e8e708441be5bfcd3","2018-09-10T06:40:44Z","0","0","0","0","0","0","0"
"d8be295740dff2dc0d8ff38e9db80911ba479f73","2018-09-07T14:23:40Z","3","28","7","35","1","0","0"
"90b71f6895ae8a530986292887c743fd6831c798","2018-09-07T14:19:30Z","2","0","16","16","1","0","0"
"8293d6dce3669f58b5241fe0e8890764163e8a6f","2018-09-07T14:19:18Z","1","3","1","4","1","0","0"
"83191633ecae7f48426feb47ad3232f9c972b064","2018-09-07T08:17:48Z","9","321","25","346","1","0","0"
"eab5fb28685c8aeb27164f96dceea27c777a1f96","2018-09-06T11:36:42Z","1","23","18","41","1","0","0"
