"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"eb33426da1c5671f756c835a239ada8c8743a366","2017-08-02T13:03:09Z","12","36","14","50","1","0","0"
"d075c994fe8cc8d95aa121c1fde2b750e78ebe0c","2017-08-02T10:34:28Z","0","0","0","0","0","0","0"
"120414363f6524622ef6604bab61992d89e86e43","2017-08-02T10:02:18Z","0","0","0","0","0","0","0"
"2906656d545acc9ea09c33b40b5abdb9147a0df5","2017-08-02T09:38:40Z","0","0","0","0","0","0","0"
"ddb6d32720b349d98ab8de45a621300f1822aca8","2017-08-02T09:36:10Z","0","0","0","0","0","0","0"
"105552f6c5d17de5beee8c390fced815aa4b8550","2017-08-02T09:30:28Z","0","0","0","0","0","0","0"
"dbf8be7689ba4159ddec37ee444788f6f6a96d69","2017-08-02T08:37:20Z","0","0","0","0","0","0","0"
"7af5028b70faa4667397b7970e292828e80227ef","2017-08-02T07:52:26Z","0","0","0","0","0","0","0"
"994ab660d3dd34287add160ef99792465a26080d","2017-08-02T07:38:47Z","0","0","0","0","0","0","0"
"87809fd8839c04ce0d9b7728638bb9cf23e8e347","2017-08-02T07:28:53Z","1","3","3","6","1","0","0"
"70205cddcabb423c12a786b18aed8a2c8f938f85","2017-08-02T07:27:11Z","0","0","0","0","0","0","0"
"d5d1cc36955571ba28237ea04460c75e21fbf80e","2017-08-02T05:36:45Z","1","3","3","6","1","0","0"
"e146c28f2b16768b5eb48197acd7c7748874ba98","2017-08-01T16:43:15Z","0","0","0","0","0","0","0"
"a9d0344c3cd16eef788f7e40fef9ab075cdd102f","2017-08-01T08:53:04Z","0","0","0","0","0","0","0"
"188f21b91227c7ff783eb08972489e01849bf2fb","2017-07-31T18:52:10Z","0","0","0","0","0","0","0"
"cdaa63eae831f4bac11d56907930986f77142aa4","2017-07-25T14:29:51Z","1","1","1","2","1","0","0"
"fcd43bdf4ecbd3636815161bcfc1ea6b2456e133","2017-07-25T14:02:24Z","2","2","3","5","1","0","0"
"4221e3d00df6e897b6d530c660e0e3fc91de1b82","2017-07-25T13:26:29Z","1","2","0","2","1","0","0"
"f87f9d5aaeb045dbcc981403e215b3e316999a9e","2017-07-24T18:39:33Z","1","2","0","2","1","0","0"
"234ed2799274830fbbe732fb44334f4b7e8d9025","2017-07-05T07:39:52Z","7","28","7","35","1","0","0"
"e8afb5b9dfefe6eb79307b809f49ae3e29216bc0","2017-07-04T16:49:40Z","4","26","1","27","1","0","0"
"782856d199d7cdb4444410ccb6a11bc430dcf170","2017-07-04T13:10:36Z","1","2","0","2","1","0","0"
"9a18cc1155ce53ec7619b027d9ca334c86fa4c86","2017-07-04T12:57:26Z","0","0","0","0","0","0","0"
"651ce48c8e68bde168be260246e82d25d98ad58e","2017-07-04T11:19:22Z","4","24","1","25","1","0","0"
"7ca84c44b7e67d123cf76078e519a5a121bbbdb2","2017-07-04T11:18:01Z","0","0","0","0","0","0","0"
"f8c98521bec0fcd68b85389a1ffadce08feb25c8","2017-06-12T23:58:58Z","4","24","1","25","1","0","0"
"db09da2604496f29a7a0ceb3bddf1185cf69554d","2017-06-08T11:23:04Z","0","0","0","0","0","0","0"
"5866eb5e6d8fb516863dc7e2670d226af82eecaa","2017-06-08T10:12:32Z","0","0","0","0","0","0","0"
"601c4eefe1e540029032fc93792a4b65537103cc","2017-06-08T10:08:17Z","0","0","0","0","0","0","0"
"717e3afccb19507dcd3f3c8128d723a036bacae7","2017-06-07T16:15:01Z","1","1","1","2","1","0","0"
"f9efb34537ee1e23efd775d6a5133a0eef3c7941","2017-06-07T15:54:58Z","0","0","0","0","0","0","0"
"5f6f9bc5f661abf2b0f4748197fa391fb2902288","2017-06-07T15:48:39Z","11","88","16","104","1","0","0"
"3e42c00f6e44eb3d8b355e47729fa064be629cbe","2017-06-02T13:32:48Z","5","25","8","33","1","0","0"
"e4df5d4a360a301209417e32029ee2fa4721e47b","2017-06-02T13:31:41Z","1","5","0","5","1","0","0"
"6fdbb646ea3f72804337045d157bdb72c00980b8","2017-06-02T10:18:47Z","0","0","0","0","0","0","0"
"477f16852a82a4bd1d042f047ad6c9a58dcc0115","2017-06-02T10:15:07Z","0","0","0","0","0","0","0"
"9a14ca63429048bbb96fa9487262fd4d2090e1da","2017-06-02T09:52:24Z","2","2","2","4","1","0","0"
"e2510bed1c8ee85116918639fe747970f308b245","2017-06-02T09:52:01Z","2","4","4","8","1","0","0"
"ce1025abd1ce09a56c1faab61cbdafe63fa2519c","2017-06-02T09:51:21Z","2","4","4","8","1","0","0"
"de8efcc0250236c307024cf3a6bc77a59d3f5888","2017-06-02T09:51:16Z","0","0","0","0","0","0","0"
"4b066bf9d0ae21a8497c039276f1f1814c4cb06c","2017-06-02T09:50:56Z","0","0","0","0","0","0","0"
"ac44581d1f8d6f8d0ddee46abe7eca6a1852f279","2017-06-02T09:48:26Z","0","0","0","0","0","0","0"
"2e5aae8ef5132251ca9219b135bc3d67d5c50fdf","2017-06-02T09:47:49Z","1","19","5","24","1","0","0"
"d6d2bd33a59a77a41f5f86e6c524138a797e5043","2017-06-02T09:44:29Z","1","9","2","11","1","0","0"
"37c0141f7db67698e3f0f9ba1c4232fe66b8ad20","2017-06-02T09:44:24Z","1","3","3","6","1","0","0"
"b297cc3add6952ece805d63b8882a3095f3b96fd","2017-06-02T09:43:38Z","2","33","4","37","1","0","0"
"a9770205da6b1c695422cd867c7955b960cf28d2","2017-06-02T08:23:48Z","0","0","0","0","0","0","0"
"6b33d5dde4b35f5b494f4275d621747640d87d64","2017-06-02T08:22:21Z","0","0","0","0","0","0","0"
"6633604330110e9caac34d5a69f02728554797ff","2017-06-02T08:04:32Z","0","0","0","0","0","0","0"
"ed80267389f543530881d13b56b93206e95815fb","2017-06-02T08:03:30Z","0","0","0","0","0","0","0"
"2ca4117d55f0382778619832e46a8cdf57bb6373","2017-06-02T08:02:57Z","0","0","0","0","0","0","0"
"2e76739fdafea2a96fb2a60e92ba9c6faf3f5114","2017-03-08T15:06:18Z","0","0","0","0","0","0","0"
"076bde6085e4e7f3a005b83da574d84f6e950c82","2017-03-08T05:00:08Z","0","0","0","0","0","0","0"
"db3e5cb7a096d6b565feed9c37b03aaa1da8528b","2016-11-09T15:15:12Z","1","2","2","4","1","0","0"
"d381214eeac38ef42500d1fcf158edcd3254a292","2016-10-26T19:45:31Z","2","34","5","39","1","0","0"
"d708d0703ddb215492d6810f85f2feb8a6325027","2016-10-05T13:17:27Z","1","4","0","4","1","0","0"
