"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"81c92cda79ec24ca2626fe1080816ab05532740f","2018-09-21T16:34:50Z","0","0","0","0","0","0","0"
"6506935d035271ae6f4c67af3fa96d93afce4042","2018-09-21T16:31:40Z","2","29","2","31","1","0","0"
"b6be26231f52a7d4258d5b8f9ae6fb78703ca198","2018-09-17T03:53:23Z","2","29","2","31","1","0","0"
"a96ba9f71745c92c256917004dbb182ba6a1626a","2018-09-16T22:13:11Z","0","0","0","0","0","0","0"
"173f570230bddaba700b69c18b7e27544b73717d","2018-09-14T15:19:37Z","1","3","5","8","1","0","0"
"57dcaba367acdd2ecafd44d3bc43505ae2d2c0ac","2018-09-14T15:08:45Z","1","14","12","26","1","0","0"
"d9f79553568cec76ade5e9c2a5ef708f70030f0e","2018-09-14T14:28:25Z","4","38","17","55","1","0","0"
"9cf264998f010be8f97450ee86800484151cc46d","2018-09-14T14:23:10Z","3","27","22","49","1","0","0"
"0dc67ae467fd59d9dec4409788ac134d1ca9435f","2018-09-10T12:40:15Z","0","0","0","0","0","0","0"
"75c1c0b839b59a6ea377399e48d5143c6a83e2db","2018-09-10T11:53:26Z","0","0","0","0","0","0","0"
"1feac950696459b1b83d76997b9df622a3aae434","2018-09-10T11:45:22Z","1","22","0","22","1","0","0"
"ed3f87e6a8b88036131441e3758b6f84b50e7704","2018-09-08T16:20:53Z","3","1","46","47","1","0","0"
"43662318beb5004eef7b4b854b6bee295310ad63","2018-08-27T19:06:09Z","0","0","0","0","0","0","0"
"785d1a04da30936e7c73caadd76f7af179e78246","2018-08-27T18:55:57Z","0","0","0","0","0","0","1"
"cc76c7f0f3c43a51aacea57676a160a23f19fa0c","2018-08-27T18:55:06Z","0","0","0","0","0","0","1"
"57741cd5ce1119513f92f5c00ee8fa8c39f2bbf3","2018-08-27T18:23:25Z","0","0","0","0","0","0","1"
"69bd71148c789bb29cc48c6c3e3ed07c1b6bde01","2018-08-27T18:00:13Z","0","0","0","0","0","0","0"
"528e363d642985c7a8b01aa36fe41db88a989749","2018-08-27T17:57:09Z","0","0","0","0","0","0","0"
"bd772daee0c9c53a79ecd48a5cc804d33dc1847f","2018-08-27T17:51:04Z","0","0","0","0","0","0","0"
"23fa55ea11c717a637882260c5fa0b9b7d3fd4a0","2018-08-27T17:50:07Z","1","574","580","1154","1","0","0"
"0a052e7bb30add368c3c72ad7393b6e8f2320595","2018-08-10T15:18:43Z","0","0","0","0","0","0","0"
"60a96e95421aa03172567e61c06ab82aa4097c49","2018-08-10T14:32:30Z","0","0","0","0","0","0","0"
"f3f9abef0c7e977bda48650a8d3521944d4d1a0e","2018-08-10T14:06:10Z","0","0","0","0","0","0","0"
"58fc34d9f72abef6e5b0b735b738185dd741aa6a","2018-08-10T14:01:36Z","0","0","0","0","0","0","1"
"6fdd769d0f8b134444c33ef55fd33a1365284263","2018-08-10T13:43:46Z","0","0","0","0","0","0","1"
"b54384bb337b73730ed31f0898fc791e03f51ce8","2018-08-10T13:31:48Z","0","0","0","0","0","0","1"
"c57f98591ac5d30c6042daf6284d5867ec3a740f","2018-08-10T11:08:25Z","1","5","0","5","1","0","1"
"7dcacd3b016e005b5a28ef76ca6f1851f564e842","2018-08-09T14:45:56Z","0","0","0","0","0","0","0"
"2225033b7c076516748b6a95787870f1b3025a9e","2018-08-09T14:32:32Z","0","0","0","0","0","0","1"
"7c5194fbaa693f7705aef6c2b20c1d050d8ec187","2018-08-09T11:55:22Z","0","0","0","0","0","0","0"
"cded76d1a2bd7b00cf0f0d314cfaddff865854c1","2018-08-09T11:52:47Z","0","0","0","0","0","0","1"
"361284fe06a5f7aa2c0d251532a39dee562f672e","2018-08-09T11:25:29Z","0","0","0","0","0","0","1"
"aa3e55cacc0ce3c3487d4efa01c0b8d6673ba9ec","2018-08-09T10:54:31Z","0","0","0","0","0","0","0"
"73987eaf23bca1c8e0ca3ebec1b6a3967fad72e2","2018-08-09T09:47:40Z","0","0","0","0","0","0","1"
"06058a45c0224f18e200783311a6bd7c3cccde68","2018-08-09T09:35:08Z","0","0","0","0","0","0","1"
