"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"244046fda5efb72d18044577c8ce7d741ac58df3","2018-10-02T01:13:08Z","10","181","46","227","1","0","0"
"42e5385e566a7bfb6e00c835b77eb7020d19d8ce","2018-10-01T22:33:24Z","11","121","28","149","1","0","0"
"cb14a4303850ef0920e77971b201ddc8bdccb260","2018-10-01T19:03:35Z","59","54","1772","1826","1","0","0"
"6e878249a040b502082f9393ccfdde3113755561","2018-09-30T19:30:10Z","1","5","4","9","1","0","0"
"9fa4afdb8ec1bd1881b30076e4e2a503418e5386","2018-09-30T19:29:51Z","23","300","166","466","1","0","0"
"3548396a45ec90dfe1db2a0ba3fc5b56fdd1861f","2018-09-30T01:33:29Z","5","70","57","127","1","1","0"
"a56ffe6ab283cf86c766c683b3842cb368661034","2018-09-30T00:57:29Z","0","0","0","0","0","0","0"
"5a894f830b6d0dd7630bdab87a9fe0fd0237c704","2018-09-29T21:24:04Z","8","45","3","48","1","0","0"
"f09e718c6813c866591501236285166655c85bf8","2018-09-29T21:13:05Z","11","905","72","977","1","0","0"
"3922582d8c53b2c82adc83d3cc5468b41595dbfb","2018-09-29T20:54:34Z","2","12","17","29","1","0","0"
"63ba7f7bece496c23fe995733d0b3a5ad7e229ad","2018-09-28T23:57:40Z","1","5","0","5","1","0","0"
"122caec7b187820a0a7fc89e85eb8216dd57df21","2018-09-28T18:16:35Z","7","693","134","827","1","0","0"
"6f44e568db6cb6626c726c69459e55cc2315c237","2018-09-28T16:02:36Z","0","0","0","0","0","0","0"
"13bbbbf6082e9f455c6466aaec140beefa023145","2018-09-27T18:25:10Z","0","0","0","0","0","1","0"
"47a6cca01343e4a671e588afbfbbb6901cd46a50","2018-09-27T16:38:44Z","1","5","2","7","1","0","0"
"aef022de98bc350231af38c7ce6959b7a61b5320","2018-09-27T04:48:02Z","2","26","12","38","1","0","0"
"fc1d5795c12a33e6228bfe3cdcefb8388a9a6d3e","2018-09-27T04:46:37Z","9","12","70","82","1","1","0"
"993bc5e9d3e46f07139b00270875824e8980f963","2018-09-27T03:09:53Z","1","6","2","8","1","0","0"
"faf3f1e426ef9cda2e584c78c13e9e93c92630a0","2018-09-27T03:08:53Z","4","33","19","52","1","0","0"
"00ea8c00acf61a9c189ac01ed20febfac9974925","2018-09-27T02:01:36Z","1","23","23","46","1","0","0"
"6fb503c07360bec4a09cef88ae7ccb4cb87aaed0","2018-09-26T23:28:02Z","16","87","10","97","1","0","0"
"c9d281a2e9e47d763785bb1273f165bd4e820e0f","2018-09-26T23:04:26Z","6","760","1","761","1","1","0"
"0f2dfe6fe8e21fca39a73b71c7fbba86c4158086","2018-09-26T20:18:15Z","2","96","2","98","1","0","0"
"6a909c85d02277337ae095f36c002d968eee7c5d","2018-09-26T19:59:05Z","0","0","0","0","0","0","1"
"6843cbba1ddce00c1f81e08477f4ec8ca3742110","2018-09-26T16:39:39Z","6","13","0","13","1","1","0"
"8978d3751b9fbc0fdc304368feec8d39dd7308b9","2018-09-26T16:14:14Z","1","10","9","19","1","0","0"
"a92a20e037a7c31b3268b0ee3cf5b4ecd678ec4c","2018-09-26T03:49:13Z","1","7","6","13","1","0","0"
"034d006d24cbdc2352731bfd7a92c9b26e175c59","2018-09-26T03:13:52Z","0","0","0","0","0","0","0"
"207dd3a0eeee8ef461626462e0150d6e67e5e3b5","2018-09-26T03:02:00Z","0","0","0","0","0","0","0"
"4afa85e4e8e1c1b08d8bacc92b1c9de1faddbf25","2018-09-25T21:39:24Z","0","0","0","0","0","1","0"
"0da042cdd9ba3bf8a497b7ba04f066ffef418082","2018-09-25T17:37:02Z","2","34","21","55","1","0","0"
"e5d9fcfe8f9a3655af415d56c0e3844dcc349dc9","2018-09-25T17:05:26Z","0","0","0","0","0","1","0"
"d08c2c5eba637d4288b96bf0be5fdb0a31b77f9e","2018-09-25T03:41:17Z","2","19","1","20","1","0","0"
"99428e20d210bb70cd28fe146ccb572fd036bafc","2018-09-25T00:56:38Z","1","2","0","2","1","0","0"
"ee7b565469c57e02a3f87855eec34253e023f2e3","2018-09-25T00:45:05Z","0","0","0","0","0","0","0"
"00b0a156e9b26a903e708bfaa6364abbfc0100dd","2018-09-24T23:13:13Z","8","21","28","49","1","0","0"
"93345064b5200709aeb950d0b7ec5117ffec5342","2018-09-24T15:41:56Z","21","2093","31","2124","1","0","1"
"9a3195e98c265c81413747df351d30b9811bbbde","2018-09-22T20:23:30Z","2","30","8","38","1","0","0"
"364bf9d1f98114f3ae30e420ba593c67bc9504fa","2018-09-22T00:58:19Z","7","20","8","28","1","0","0"
"399a5659b238ffd0660a98fb5ea7980ccc7b8ab2","2018-09-22T00:40:14Z","1","1","1","2","1","0","0"
"f12ffd19a860a714fdc0a6f173ec8aea5dc44ddd","2018-09-21T21:18:31Z","0","0","0","0","0","0","0"
"255214cbe6f7f16d677ef9469a4dc84d03bc9bc4","2018-09-20T23:22:03Z","1","4","4","8","1","0","0"
"e1c649e90683a5b49648522d4c7e0ff1088f1efd","2018-09-19T22:54:13Z","1","15","3","18","1","0","0"
"8972244c6817cf8e0276a7904776103e172e6be3","2018-09-19T16:56:15Z","25","1179","64","1243","1","1","1"
"4fafc2ccc986b8cae84b8819675f145a731d9a9f","2018-09-19T05:37:22Z","1","78","51","129","1","0","0"
"2e82edc5e0bfa6f8912900978166be5332ec3b60","2018-09-19T03:47:56Z","0","0","0","0","0","1","0"
"028354eea8871f66dc5d0b446602fb6efa703d7e","2018-09-18T15:39:26Z","2","40","0","40","1","1","1"
"609da018827697b7ae5ce6cc464762041e9a865e","2018-09-18T06:43:29Z","2","161","1","162","1","0","0"
"edf0c13807e7d65db458215feab500fc4c42bd8e","2018-09-17T20:52:24Z","3","207","0","207","1","0","0"
"2fac6743d49574a6243f823cfddfe8add1124fea","2018-09-17T20:50:56Z","3","162","0","162","1","0","0"
"dabaf4caf8f1a5b62df27bdc7b777c68bde10bc3","2018-09-14T21:47:15Z","0","0","0","0","0","1","0"
"0c4bd2b57b19bcbd9a275fad412960aa0a39ca5f","2018-09-14T20:35:51Z","44","157","159","316","1","0","0"
"288aa4d504fe997fde6d73e57f32921c95f390ea","2018-09-14T19:17:05Z","0","0","0","0","0","0","0"
"85391e9fb3cef355dacbbf5c443773fb7aab445a","2018-09-14T19:14:15Z","7","125","45","170","1","0","0"
"87ccee05f76e983874b41090f2b0a6fe1cf4b8dd","2018-09-14T02:36:04Z","6","126","107","233","1","0","0"
"d50b69e6d4c29913de4d670b05523a719dbfd97f","2018-09-14T01:07:06Z","24","115","123","238","1","0","0"
"fd6786ac6c79cc414e55d23797fb316b7f9fb5f2","2018-09-13T22:23:41Z","0","0","0","0","0","0","0"
"91a37c692dd8db34d6e4323cd61dba38a00145b1","2018-09-13T21:42:18Z","17","1230","237","1467","1","0","0"
"96a1076e238910e680669d4f7ff91186cfd6ae45","2018-09-12T02:16:59Z","1","1","0","1","1","1","0"
"7f3a0dae285c6736952e555abad62d22f914283b","2018-09-12T02:16:19Z","2","66","1","67","1","0","1"
"d6cbdf86c2e01a2bfbecb2263f7aad62bbbda5e2","2018-09-10T16:33:29Z","26","415","127","542","1","0","0"
"4669f0878fb91b0392bc46b898874fa348c51fb4","2018-09-10T05:32:56Z","9","474","31","505","1","0","0"
"e6e068ce60a073700701dd2a7b2b59218d59a2c3","2018-09-07T20:17:49Z","16","455","172","627","1","0","0"
"e095f63e8e8c603310a31499ed30d117e8082d86","2018-09-06T23:59:51Z","1","2","2","4","1","0","0"
"60cbc644727271eed0cbf7c85583a0c84973f01e","2018-09-06T00:07:16Z","5","21","16","37","1","0","0"
"d61f708ef55322f9905cbfceaa9b6e1e49eb8174","2018-09-05T19:28:49Z","6","114","17","131","1","0","0"
"be6c901114757f200982956eae7fca08e9dea110","2018-09-05T16:29:07Z","2","10","1","11","1","0","0"
"4caa61d8fa4f901c22f464515161d57efa215a45","2018-09-05T04:47:12Z","0","0","0","0","0","0","0"
"84810f6358d07f2bb7c58fac3d00e4960c3600d0","2018-09-04T21:23:04Z","0","0","0","0","0","0","0"
"71ac3ada214d1094672b0432a8b61515e288baa0","2018-09-04T21:20:57Z","0","0","0","0","0","0","0"
"10ca290d64144d201bf5ec2479e74e8f7d2b4db0","2018-09-04T21:20:17Z","0","0","0","0","0","0","0"
"180e3ccfadc298d3b3ddd16576a1e80b8446a2dd","2018-09-04T19:54:41Z","1","1","1","2","1","0","0"
"743547fc3bbe6dd68a2df3af46cf8c604458f6b0","2018-09-01T16:17:18Z","1","4","0","4","1","0","0"
"d0fb83760eefdf9269dd0e81ca83bbf52fb139d9","2018-08-31T21:18:29Z","1","1","1","2","1","0","0"
"951b36e2bc7caed992a263a5e1289414b12b39da","2018-08-31T03:22:08Z","1","10","2","12","1","0","0"
"9b04846e6b6b7320ad93024c8c0c10c2dbbbbd81","2018-08-30T17:57:35Z","0","0","0","0","0","0","0"
"431d3d8497f9079857c3baa7ae7ab4cb44a22355","2018-08-30T16:56:26Z","292","9087","10406","19493","1","1","0"
"1fae6513e1816c9c9d1195a0d2b3deef38c30c70","2018-08-29T00:46:38Z","10","541","97","638","1","0","0"
"fcf8c8d53c6920a6dac6690594a7547663ffa2e5","2018-08-29T00:22:18Z","1","2","3","5","1","0","0"
"c9a27e3e8e3ad4dc3a67037daa95677b4d3bae2e","2018-08-28T23:12:02Z","1","52","14","66","1","0","0"
"80224df36a23e3400c4f0a223df2de5a89c12fba","2018-08-28T17:59:32Z","2","73","12","85","1","0","0"
"a879022bc8596b02b07dc44127c393990e08dcbe","2018-08-28T00:49:51Z","2","8","4","12","1","0","0"
"d957295b9822dad30b045b58df6c988928c028fb","2018-08-27T23:35:31Z","0","0","0","0","0","0","0"
"2325844a389ef3b917eecd4a6e89799b6f367555","2018-08-27T23:28:29Z","2","32","4","36","1","0","0"
"4a8b09b6a9605e549bc122616a2290e1fe89ae05","2018-08-27T22:30:56Z","3","94","46","140","1","0","0"
"71c1a70ff679b71ca08a0788c19462764d128734","2018-08-27T22:30:45Z","1","17","0","17","1","0","0"
