"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9d73f474aed8f51d1184ee9672fa95dcfa39fd7a","2018-09-28T15:07:17Z","0","0","0","0","0","0","0"
"b3eb4eeb7edebc3ce86733e67ce33015c7e07a77","2018-09-25T23:18:06Z","0","0","0","0","0","0","1"
"10c876436d63300fc74c8648271d4e3daf1dfd8b","2018-09-25T23:17:12Z","3","17","15","32","1","0","0"
"a468699b180a44b411705172ae2ee4d981b3c162","2018-09-24T07:48:58Z","0","0","0","0","0","0","0"
"ebda8e761b7b006a95b14bc154b3efe80b551ccc","2018-09-20T19:02:44Z","1","6","8","14","1","0","0"
"72509b91f1744a1d85f5982d5c69741120409eb4","2018-09-19T22:00:57Z","1","11","9","20","1","0","0"
"db3f1c406c7ff73113e2c469b44636baee1eb77f","2018-09-19T21:56:56Z","1","9","11","20","1","0","0"
"aa12d8807693580aa5f0c168b0bbd7879d894720","2018-09-18T18:58:21Z","0","0","0","0","0","0","0"
"cf79c83392d755ad84de926105d899d7e2e3f883","2018-09-18T06:17:46Z","8","140","0","140","1","0","1"
"1b512864e92c2d05244e34e3ca485d85062aff17","2018-09-14T21:12:55Z","1","15","0","15","1","0","0"
"fa4ae377a5c71d798ae81258d2e6b16de5bbb721","2018-09-14T08:46:04Z","0","0","0","0","0","0","1"
"a7eec11653ddeee866f7dee2d3ec51da616242f3","2018-09-12T18:45:24Z","0","0","0","0","0","0","1"
"f6ee1c1b47230d2686641f7a0048b8e2dd275a90","2018-09-11T23:57:32Z","0","0","0","0","0","0","0"
"90899840040c6f54e2d0fded7159a908508eac3b","2018-09-11T22:56:36Z","11","132","164","296","1","0","0"
"fd904d7913d78d33a62412ecfe5d4340924af3f3","2018-09-11T22:43:12Z","2","2","2","4","1","0","0"
"774ba3806a0a80fd53a7bc6a2e23a6be5b3a0e35","2018-09-06T17:46:26Z","0","0","0","0","0","0","0"
"31883cd576d86e326ad753e3959d71c470561cb2","2018-09-04T23:09:13Z","9","130","131","261","1","0","0"
"bf2c73adbfe0794f9c7af6a4c08c9d4375fd7dca","2018-09-04T17:38:24Z","0","0","0","0","0","0","0"
"4d2677ee6c117d508e66147ef3d089cf256e0298","2018-09-04T17:28:59Z","12","24","21","45","1","0","0"
"c08bb8d2f22565727b55194af2ea71f12f8c5768","2018-08-27T20:25:41Z","0","0","0","0","0","0","0"
"4328ab4fe9b6b67765829c57696924b2c84107cc","2018-08-24T17:26:16Z","1","2","2","4","1","0","1"
"03ba3f6d4a8024b430ad25ecdea9b0cdd3735b34","2018-08-24T07:50:03Z","0","0","0","0","0","0","1"
"7fb0df3b6ec29d8c51f9d43ad7e8ecb3d45d643a","2018-08-23T20:05:19Z","3","5","5","10","1","0","0"
"5a11b3eed50982702c00d2156060f1431874f6cc","2018-08-23T18:21:01Z","0","0","0","0","0","0","0"
"d01b9bbda0d92fff4f688d3463658eccd358cc42","2018-08-22T17:02:48Z","0","0","0","0","0","0","0"
"3c4ec25dc464ed3bc4dfcf7df78346dc38efec71","2018-08-22T17:02:17Z","0","0","0","0","0","0","0"
"2445fd635fa45b79a117dae034514fe65c895492","2018-08-22T03:18:29Z","0","0","0","0","0","0","0"
"28c3900f1a3fa1bdbf6ba812d0d3257e96940395","2018-08-22T01:17:45Z","2","2","2","4","1","0","0"
"b1a9dde2a488d036bbeaa9ba1369b816bc51d796","2018-08-21T23:42:19Z","1","1","1","2","1","0","0"
"6748ecd5c40f882216b974bfc10eff1becdd5811","2018-08-21T22:27:43Z","0","0","0","0","0","0","0"
"61c0195923987dbde622ecfde09e4041c7d1e6fa","2018-08-21T22:27:22Z","1","44","6","50","1","0","0"
"7a3249cb5123c1dd886bc090597674584e0bd81c","2018-08-21T22:27:11Z","11","11","11","22","1","0","0"
"6705259a2d5adda86fedb543ad43c6cef91647eb","2018-08-21T22:26:58Z","2","74","39","113","1","0","0"
"e4a248f2d2945b809c798f6559671a01bd5abf99","2018-08-21T19:05:36Z","0","0","0","0","0","0","0"
"83d530fc2cbf35e490c5f5a781469741dda965fd","2018-08-21T04:10:50Z","0","0","0","0","0","0","0"
