"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"94be5deb0c0df30ade2a569cf3056b7cc1e012f4","2018-07-30T00:37:26Z","1","45","0","45","1","0","0"
"7ef2d3192e05aa41597ab336c835c1fbe6edb83c","2018-07-29T23:54:17Z","1","69","0","69","1","0","0"
"94942b01caf4501d4e64c7febefb7c30362b996f","2018-07-23T03:04:32Z","1","52","0","52","1","0","0"
"fa5f45bb5a06fc562fe7559cf1201bb45c799bc6","2018-07-04T06:43:28Z","1","29","0","29","1","0","0"
"03551d11607f9f0ef09f149e364af15029a75d43","2018-07-04T05:50:36Z","5","132","29","161","1","0","0"
"259077bacabdbb5b6a0e918cd8dfe5eabca3300f","2017-11-14T03:39:36Z","1","36","29","65","1","0","0"
"02cca5ea76e7f3f7045c365c058a4bd357942fc5","2017-10-16T05:03:24Z","1","5","2","7","1","0","0"
"b411099723d0ba08302568b09e638581b64eb621","2017-10-16T04:59:16Z","1","139","0","139","1","0","0"
"9ec598b821dd270c1a2d4a0a6ba1b37c717ff2ba","2017-10-11T15:45:42Z","1","115","0","115","1","0","0"
"aa7e650fe15e308b97c7cbf7af29f8e462deb8a0","2017-04-18T01:43:36Z","1","34","54","88","1","0","0"
"8f5dd0e3fe934ff42ff5f098d4a5d40e5ca9d2cf","2017-03-24T17:51:49Z","1","48","75","123","1","0","0"
"facfd989843884e8bd02a53988f0427b2cf176bf","2017-03-16T22:36:25Z","1","3","8","11","1","0","0"
"29013a8c0ec0d133fcf0f2dc842a0f237c4ce24e","2017-03-16T22:32:12Z","1","114","0","114","1","0","0"
"47a063d9ca0cf763cb6c8517033cee1e58fb61f8","2017-03-13T17:51:23Z","1","46","66","112","1","0","0"
"f7aebb63eab6511e2146a80f49b24e3990c33130","2017-01-23T05:50:50Z","1","19","93","112","1","0","0"
"6e9f39347600d6d80f84e4fad7d98bc6ad7fea5c","2017-01-23T02:33:37Z","1","47","3","50","1","0","0"
"b2d7bdb1cc589e2830c778cef75f1c663b11cb77","2017-01-20T04:35:56Z","1","41","0","41","1","0","0"
"59957c932a500cf43568755e9220628bc73800eb","2017-01-20T03:05:09Z","1","14","7","21","1","0","0"
"0a0405e4cc5ccb08911af5e35e096247306988f0","2017-01-19T07:55:36Z","1","34","82","116","1","0","0"
"c46be33248dd873f2899c29274e9da35d16ba9a2","2017-01-17T17:55:07Z","1","32","20","52","1","0","0"
"bd760889c892d6217e5e0b78c419f21c452f1e15","2017-01-16T02:18:47Z","1","6","6","12","1","0","0"
"efe28b3dfe3ad4c18deca76be795bdefab608b80","2017-01-16T02:13:48Z","1","33","2","35","1","0","0"
"18c377d2d8bf250610c7a757fbb6a7b5b2c8db5f","2017-01-16T01:51:48Z","1","17","0","17","1","0","0"
"8a98d0b0c0229fa847a8ef77c3bfddee49918cc5","2016-11-05T07:08:26Z","1","51","0","51","1","0","0"
"ef7d6a794eba406383df0b15abe666d92812b587","2016-11-04T00:06:44Z","1","57","16","73","1","0","0"
"4d3589b3f83865cb76b4fcc34b9f35aed7d13e4e","2016-11-01T07:06:08Z","1","87","0","87","1","0","0"
"7bd7992313e35ccb58e0eb0b7f0225d076d9bf9c","2016-10-27T01:15:39Z","1","60","0","60","1","0","0"
"a6c6ac4b9dce7900691d3454dc7f9a602c24cd49","2016-10-20T17:29:54Z","1","63","119","182","1","0","0"
"534f5ca62fd5d47f8d19aec017eb04b5593ae17c","2016-10-20T16:27:44Z","2","43","0","43","1","0","0"
"b5a46d947bf8755088eb043698f71eeb9ecb45ac","2016-10-20T05:30:10Z","1","53","1","54","1","0","0"
"1ed843bb34394fe98ee8125b65386e61634a9aaf","2016-10-20T05:30:10Z","1","43","1","44","1","0","0"
"5bce804dcb168570e818a2a2d35531071a37c6c2","2016-10-19T16:41:25Z","2","104","11","115","1","0","0"
"822e400edd6149cef536211daba5c035ea2f4f27","2016-10-19T05:20:06Z","1","77","0","77","1","0","0"
"2769f09b9da3fc4ef9f492677fe27a1abd572efd","2016-10-17T07:21:26Z","1","62","0","62","1","0","0"
"41617c150d4d204b32121274154209999e0df199","2016-10-17T02:04:30Z","1","65","68","133","1","0","0"
"66596139df8c2ae923bb0fd41816d3fe780a3c9b","2016-10-16T06:13:12Z","3","151","0","151","1","0","0"
"081e035438c19ecf2f81fe18b0c9c9b09e62e8e6","2016-10-15T06:52:35Z","1","11","2","13","1","0","0"
"3d3ce86dba0052ad31016789c7530d1db24c4214","2016-10-15T06:48:10Z","0","0","0","0","0","0","1"
"6aac2c9482163a6ec362fdc67b984bb16344b63c","2016-10-13T16:45:24Z","2","76","1","77","1","0","0"
"6fc15c1db4d596fd63be227e1bf4ccbda79277cd","2016-10-12T06:31:55Z","2","68","0","68","1","0","0"
"fb541ee7ae000effa0e6b6516c25355f3e47db29","2016-10-12T03:34:20Z","2","184","0","184","1","0","0"
"ead040de1e7d8b7ce51ee8a763c50ee278196066","2016-10-11T03:57:53Z","2","81","0","81","1","0","0"
"200bbfccc9df36ea6f0a443b409749f7e9eba4d3","2016-10-09T03:45:37Z","1","1","1","2","1","0","0"
"b7a6190548d543397c29085528fb77ee8f2f293d","2016-10-09T03:42:57Z","2","40","1","41","1","0","0"
"f91e35819d18aed95496f65eb7eb5ddd11837c1b","2016-10-09T00:29:58Z","1","44","0","44","1","0","0"
"f45872d667af4c1cb097a9837dc2488aa9cc40b4","2016-10-08T21:33:41Z","2","152","0","152","1","0","0"
"0a7a2cb6342b271ef901a6c59d88f50707b7270e","2016-10-08T05:20:37Z","1","3","3","6","1","0","0"
"092a3614b6f4fdfffea08c4b2eba36e44db8ecf8","2016-10-08T05:20:00Z","0","0","0","0","0","0","0"
"7b9cb4acd6a6237e715e1818d35d11afa6c87c8c","2016-10-08T05:03:42Z","1","32","0","32","1","0","0"
"a44e8a66b056f1737509349c8f9cb1b2c12fe031","2016-10-07T03:19:39Z","2","94","0","94","1","0","0"
"ff55f79dc1f34d1f7e0f5702985f3d43625a2e36","2016-10-07T02:37:21Z","4","117","0","117","1","0","0"
"d24b29bb989f8ec6ae18e509feb5483e56927e42","2016-10-06T07:51:18Z","0","0","0","0","0","0","0"
"0b5225177a6eaaa0452e6df887d05fc4ae190667","2016-10-03T14:24:18Z","1","3","3","6","1","0","0"
