"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"de5241b4afef575734b3e22c6530a8cbf34e4507","2018-10-01T10:00:47Z","1","44","37","81","1","0","0"
"f3767bacb9c93cc8907e74a436f15d8d932cd80c","2018-10-01T09:27:10Z","18","207","172","379","1","1","0"
"6fa285f68781b2ef1e5491b569035f6938ba9ac0","2018-09-26T14:53:14Z","1","2","3","5","1","0","0"
"b190b8351a557acc493719d1430b61a4abad5966","2018-09-26T14:52:16Z","0","0","0","0","0","0","0"
"385c78348200408835fe9c2d0982564f3062852b","2018-09-26T11:36:33Z","1","6","0","6","1","0","0"
"4832f1f08461b0639b01f1b6b1296727aa6bef85","2018-09-26T11:22:36Z","1","1","1","2","1","0","0"
"8d85a7259a4488e2534cdfbea3128098598a4b84","2018-09-26T10:40:58Z","1","1","1","2","1","0","0"
"274904dca20860f1d209a2f672c15bc17e206030","2018-09-26T10:23:32Z","1","35","2","37","1","0","0"
"403a7351d447e7842ef1d5bd8bbd857f3e3a3b6b","2018-09-26T09:54:09Z","1","5","5","10","1","0","0"
"809286d325de24eaf6f20ab39c17714730f5d989","2018-09-26T09:42:10Z","1","16","0","16","1","0","0"
"dc523e477200b4d6265f5a51432d9c75d3f362c7","2018-09-26T09:24:07Z","1","2","2","4","1","0","0"
"9c2a993020ab392d0ee6e56a98c785f37ca53ea5","2018-09-26T09:16:10Z","1","13","8","21","1","0","0"
"c601410e453d8d686e52f47c1bf9d3e230f5f103","2018-09-26T08:25:00Z","2","22","1","23","1","0","0"
"a6b438ac34726834af06767046967c74dd36e1a8","2018-09-26T08:08:16Z","0","0","0","0","0","1","0"
"c7afc8e9a49fd4240b453a4ead7f82fefed0a37b","2018-09-26T07:58:12Z","1","1","1","2","1","0","0"
"2e8749009f8f4e8a7c8bcde2c918d31654850541","2018-09-25T07:20:01Z","1","1","1","2","1","0","0"
"914ce801108e7ee3b79fae039b47c2ae892e574a","2018-09-24T09:40:26Z","0","0","0","0","0","0","0"
"9bcd1dd36d14ec0d0ab980e3612f2088f8ecd343","2018-09-24T09:19:12Z","1","3","5","8","1","0","0"
"654792b2560d62f67c39359f2de9960e1096f64d","2018-09-24T08:48:59Z","1","22","4","26","1","0","0"
"5e892a8afa63a35d86e8cb38375072e621bb3997","2018-09-24T07:29:22Z","3","125","3","128","1","0","0"
"6164cedbd13867a0a572ea4c847f54d23a41ed6a","2018-09-21T12:49:12Z","8","138","81","219","1","0","0"
"5c14d8026d8c5ed0695eb1a7e183cc3a44756dff","2018-09-21T12:11:45Z","1","9","1","10","1","0","0"
"9eb2996f2801060bd73a74371bf143e9d6639543","2018-09-21T10:19:45Z","3","111","12","123","1","0","0"
"27d96749bc4a742212a94883c15dd35915375a00","2018-09-21T09:51:33Z","2","3","3","6","1","0","0"
"1690f6d72c92abd97de790c87087d6fca3c10aa1","2018-09-21T09:23:02Z","2","16","13","29","1","0","0"
"78b1ef5051b109b1ddcc7c43592f0f21ce5f8586","2018-09-20T17:37:28Z","1","8","0","8","1","0","0"
"4eab72067e9530608e5c852790e307d20c24c78f","2018-09-20T17:32:04Z","1","6","0","6","1","0","0"
"97d652e08b4bd128a18bc843fdd8e32fa979c48e","2018-09-20T17:26:03Z","3","74","0","74","1","0","0"
"f43dfec59a313112e14a31e71cff5725e8d55bf9","2018-09-20T10:22:32Z","2","8","4","12","1","0","0"
"be6b14560e37fbca292470b8d0856a38e31bd24f","2018-09-20T10:00:26Z","1","9","9","18","1","0","0"
"5e2b01ff47afc2686d8cecb4e6bdf4417426b24e","2018-09-20T09:46:53Z","3","10","10","20","1","0","0"
"8724415b0e5d6175ddf5f639778f2d2e5e847b98","2018-09-20T09:31:37Z","1","2","2","4","1","0","0"
"0d367ae23b6008ce4fd57559b871d65d636decf3","2018-09-20T09:30:19Z","1","2","2","4","1","0","0"
"26933e69bd70d24fd9dac781a72c9e52a7f772ad","2018-09-20T09:28:56Z","4","21","4","25","1","0","0"
"1a47049b7c8ee6a3d5663a15b5cbb635daa067e1","2018-09-20T09:20:40Z","2","10","3","13","1","0","0"
"3cd0064734e6143debb7e44b983d859e34d8b82b","2018-09-20T09:12:55Z","1","6","6","12","1","0","0"
"10a92866f131a017ee3d6e8c32d405027fd3ab67","2018-09-19T15:39:03Z","2","76","48","124","1","0","0"
"dd79538a0cfc5c8574852a24c0dd336cc2c03063","2018-09-19T15:38:33Z","0","0","0","0","0","0","0"
"503b650ea69de3f8d4a959aa5177f65858302da8","2018-09-14T13:01:01Z","0","0","0","0","0","0","0"
"2c6cbeebb3778dae0e3ec6e180efe66c85f99e00","2018-09-14T12:08:30Z","0","0","0","0","0","0","0"
"872529acdfd751c92223a245df5f00e15d59d121","2018-09-14T12:07:08Z","0","0","0","0","0","0","0"
"edde4ae3240bdf0f791f330b737ad18f9ba83ad6","2018-09-13T10:36:51Z","13","18","5","23","1","0","0"
"d28b80a6295039e72e1cbeb703262c6124a6e7a5","2018-09-13T10:36:42Z","0","0","0","0","0","0","0"
"7543963c2aa90be5730656da064da15d89662d48","2018-09-12T15:05:50Z","0","0","0","0","0","0","0"
"e62d7d39a452578cc4f58eb5e49593ee963586af","2018-09-12T15:05:41Z","0","0","0","0","0","1","0"
"f80ef6618687534a4488c493303c1b71cc5a90e0","2018-09-12T10:50:31Z","1","1","1","2","1","0","0"
"8440048be969bb47c19f3856e1b1a1341cf0e529","2018-08-29T12:34:36Z","1","16","25","41","1","0","0"
"6d54d3246f8f3caeb4bf7ba79a9173084df26ef5","2018-08-29T12:16:13Z","16","617","18","635","1","0","0"
"d981c45f218801e714f86931838312439da80b9f","2018-08-29T09:55:58Z","1","2","2","4","1","0","0"
"839b2825b27fdbd5d7454ab7356a91ab6a9295d5","2018-08-29T09:44:43Z","1","1","1","2","1","0","0"
"8c3ca7b31247f9c3060632b692f326615e012459","2018-08-28T13:19:40Z","0","0","0","0","0","0","0"
"d4d0fc590c320b2c5e35588a32c7a453e08eb192","2018-08-28T13:10:19Z","0","0","0","0","0","1","0"
"2522cbbca5fd12063ba8895137107a75372f1556","2018-08-28T12:49:32Z","0","0","0","0","0","0","0"
"93ece30335883779a0519086be735a94eaced022","2018-08-28T12:32:16Z","1","8","0","8","1","0","0"
"47f05dd38d16f4a0f5c51e592f38995236ade7ab","2018-08-28T12:06:36Z","36","145","145","290","1","0","0"
"6d65485037158c449f4f3d27f8b0f2ffcca6f68f","2018-08-28T11:36:52Z","12","284","218","502","1","0","0"
"76383fbb323b7af05515ae8a20ed599b91c99f7f","2018-08-28T11:36:28Z","0","0","0","0","0","0","0"
"af2738e5d04112cc459e1ed0f4bb461b45bb48f5","2018-08-27T15:45:44Z","2","2","1","3","1","0","0"
"cbae1e9bd743197a22543b9c33cdec784d03621d","2018-08-27T13:14:45Z","1","11","6","17","1","0","0"
"780434be0eae7153af023d8ba7a0bf82a89d592d","2018-08-27T11:49:51Z","1","26","3","29","1","0","0"
"aa057b89a1c809a32521ae70eb939c22e70d4a96","2018-08-27T10:14:31Z","1","5","10","15","1","0","0"
"7a188c868cd3125db21fea3f131826e0bc7f7e4e","2018-08-23T12:07:07Z","5","78","7","85","1","0","0"
"006fd92c3727cffc044b367a3327f50a45fd1f29","2018-08-23T11:22:58Z","3","26","0","26","1","0","0"
"55ad021cda25d97f31935cb40b4233597db934d9","2018-08-23T10:27:10Z","1","6","12","18","1","0","0"
"0569d816a2e07cf95118dcb2f80de5d7b8daaaa1","2018-08-23T08:50:16Z","0","0","0","0","0","0","0"
"ca37f8fcc472cf689d54bedcfe1afc4a6bda5809","2018-08-23T08:42:10Z","0","0","0","0","0","0","0"
"bf867ff4f4de0dc3a8c28a304554c99b3e3e5e95","2018-08-23T08:36:25Z","0","0","0","0","0","0","0"
"f0acb5693bb8375f03efbbb18e73fd4a6b457114","2018-08-22T17:08:41Z","3","25","9","34","1","0","0"
"ae41800faaee5f3c90da9220a19e91e4bc001358","2018-08-22T16:43:32Z","6","448","522","970","1","0","0"
"8f0deab2b0b89fc02d54a4579035ab917cbd75ed","2018-08-22T16:15:49Z","1","14","4","18","1","0","0"
"ab1e7a904f2e5c088021658f4b09ece757807fc1","2018-08-22T15:38:54Z","0","0","0","0","0","0","0"
"e395520feeb96be4c3f495daa5453c47046f2865","2018-08-22T13:46:56Z","4","81","12","93","1","0","0"
"08e2d8e695c123197b1dffac7cc571e55e2d2274","2018-08-22T13:22:43Z","4","71","4","75","1","0","0"
"f0ac0ea00cc77e4f2be74215a5bdd17b4bef443f","2018-08-22T11:39:01Z","3","73","14","87","1","0","0"
"648cade2a6ff0acae14c61c3c98bdf5a1b4a2466","2018-08-22T10:53:25Z","1","1","1","2","1","0","0"
"343ccc91689684782e5711921590fa90187ec852","2018-08-22T10:45:17Z","5","226","32","258","1","0","0"
"0e7aa2e4b0e3d8cb9b75aa4aa04f2e08464dd2ea","2018-08-22T08:33:47Z","1","2","2","4","1","0","0"
"eaccc7897bb8ce396cdfcfbb48887c601be7351a","2018-08-22T08:31:14Z","1","6","2","8","1","0","0"
"b122db34e5899fb15acb9d2c2d098c9944455d00","2018-08-22T08:22:40Z","1","2","1","3","1","0","0"
"77f418849a1e7026ceb8b3dc08e5b15c6fc2db96","2018-08-22T08:16:20Z","1","25","23","48","1","0","0"
"824e74ba9c83dfa905918308450718fdf6958e47","2018-08-21T15:12:49Z","8","97","21","118","1","0","0"
"d5780e38a5211ed139e50033012b5ac3601f8f23","2018-08-21T12:34:44Z","1","10","9","19","1","0","0"
"2ee2c27b482f6ca0e4720d179e1bf966f7a676a0","2018-08-21T10:20:44Z","1","5","9","14","1","0","0"
"06a047c194fb0c505308ec144395545c1dd7d773","2018-08-20T11:02:24Z","1","1","0","1","1","0","0"
"5923c3fc9ebd3e2c8f2b8d556777ea9f5cdac1db","2018-08-20T11:00:27Z","1","1","2","3","1","0","0"
"bc8beceb9a33d019384c39edc393d9bf3afc7826","2018-08-20T10:19:32Z","0","0","0","0","0","0","0"
"d4da4946f8195e8e95dd6c35ec09aa2adc372f4e","2018-08-20T10:11:37Z","8","195","26","221","1","0","0"
"0884090495b314e72d400ffb8fdd92809b87e0ab","2018-08-17T13:01:40Z","3","259","0","259","1","0","0"
"84956226df0dfaf1c8e8f39572f72d280a3bddfe","2018-08-17T12:56:58Z","5","271","1","272","1","0","0"
"85e2b1c6ff1fd72952b59d4f3ea9884a6f366c88","2018-08-17T12:26:39Z","8","377","3","380","1","0","0"
"a4ccdb38486b99ec3fb498443f2875e2f9ff0f29","2018-08-17T10:48:46Z","2","5","1","6","1","0","0"
"1191d7915d2461d61370188bd6bda96960da1f4b","2018-08-17T10:17:12Z","1","2","1","3","1","0","0"
"d2469cbbba1a05d59d9075a55c94410b54fbbcd3","2018-08-17T09:49:39Z","5","77","42","119","1","0","0"
"f747a7512f5c3852bc1e3e008337720a7a182dc8","2018-08-17T09:49:19Z","1","17","12","29","1","0","0"
"3d06139d8e385c3ef595f092e0079e4c9a1ca297","2018-08-16T17:20:27Z","1","15","15","30","1","0","0"
"611f54ada9b6328be45b57dee20723b2fedc1238","2018-08-16T17:07:33Z","1","16","17","33","1","0","0"
"c82b8b1c01306f8cb83909dc4cdd399e3e390d4f","2018-08-16T12:15:20Z","3","9","6","15","1","0","0"
"328730ab3f69aadf604c6ad07b429ed783bbc09a","2018-08-16T12:14:58Z","1","13","1","14","1","0","0"
"6dda3493e8648f85469d458f11cc52896464160b","2018-08-15T07:28:46Z","1","25","0","25","1","0","0"
"4b95a83e27bc3089df3505d65772cc6f43689a61","2018-08-13T11:18:41Z","2","2","22","24","1","0","0"
"e852dc5ba0a1e741bc8ec064dfded37816330f7e","2018-08-13T11:10:43Z","1","2","2","4","1","0","0"
"9832681cb4e151e56efce3436909d5fc66227757","2018-08-10T15:11:35Z","7","381","24","405","1","0","0"
"782053437018a419a0e451bbad03d455ec7d690e","2018-08-10T14:27:13Z","1","1","0","1","1","0","0"
"7373ad109287be7b39e97ddbd58bbb5b3c4ca172","2018-08-10T10:23:04Z","10","82","82","164","1","0","0"
"69ae58974d2a214057c7fc644984a169854d4059","2018-08-10T09:12:34Z","5","157","12","169","1","0","0"
