"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"2de86b6db54f9ccf2a95d3177ec7141809028cec","2018-09-08T14:59:38Z","1","1","1","2","1","0","0"
"9be62fb16ec1c32aacb069aaec91bf59aecf76b0","2018-09-08T14:45:04Z","1","5","5","10","1","0","0"
"f6f883b9d121250d18572734c8831c76e284a161","2018-09-08T11:33:33Z","13","145","92","237","1","0","0"
"5de4d0792fdad702bf16345c915b8d61ba1a5641","2018-09-08T11:32:59Z","3","48","9","57","1","0","0"
"8c43e7f7cec36ba4dd3b17359cb7505678e98844","2018-09-08T07:22:06Z","57","1138","1149","2287","1","0","0"
"9e24a5abeb5357265474a7dda0bb6ea910571fb1","2018-09-08T07:12:40Z","2","27","9","36","1","0","0"
"b587b6d694cd295f07badf57d52f0e9b884f83f6","2018-09-08T07:12:40Z","1","17","12","29","1","0","0"
"bc3af8e64d4c9c1935de1c4df6a36bea47273d5e","2018-09-08T07:12:40Z","18","214","319","533","1","0","0"
"7bd428cf6d17874631c37c9e874accfc94a931f0","2018-09-08T07:12:40Z","0","0","0","0","0","0","0"
"912f3c8467376e6b2259365e7adaa782af911740","2018-09-01T11:27:15Z","0","0","0","0","0","0","0"
"a8febb2447783430a6f84666195eeab10950dabe","2018-08-28T08:28:53Z","2","59","13","72","1","0","0"
"1b0b526822faa507be11b1b3cfc6df75fb294f83","2018-08-26T20:15:48Z","0","0","0","0","0","0","0"
"6250ebdd7590e6f01dc468a1c28695e7aaf934e7","2018-08-26T20:14:18Z","0","0","0","0","0","0","0"
"156e4209f98946a28be78a1dd4565383c922ba0b","2018-08-26T19:18:06Z","0","0","0","0","0","1","0"
"7492889f4e69ca89e83a2c3bab267bf18d3fd40a","2018-08-23T20:16:36Z","4","33","14","47","1","0","0"
"0c041120f679d59e6ef15554014cb818a074803e","2018-08-23T20:16:36Z","30","254","120","374","1","0","0"
"ecbb53aaeacd894b05f975e76e30f9eb5b539ebc","2018-08-22T18:38:43Z","8","129","49","178","1","0","0"
"ffe739b7eb32ae5515d4234abf0e4ed073b18644","2018-08-22T08:59:04Z","7","64","19","83","1","0","0"
"bd05be6fb636e01f4389ec681c9ecdacd44be913","2018-08-22T04:14:29Z","5","43","90","133","1","0","0"
"ff7df3818fab27739d958259e21f5df3b7db90c0","2018-08-21T13:49:26Z","2","2","1","3","1","0","0"
"39899e4edc687031244c895c2a89090290246a1e","2018-08-21T13:33:22Z","2","2","1","3","1","0","0"
"dc578f98e771cffdab3db87bdeb6d34b9566670b","2018-08-21T09:10:20Z","9","132","40","172","1","0","0"
"d7ce41e7246deabde1cddde91dccd2e346827923","2018-08-20T20:05:17Z","1","19","0","19","1","0","0"
"eaaeb2c84337cb6e77a355dcebbe420f0f051da5","2018-08-20T18:36:19Z","2","33","1","34","1","0","1"
"0ae7c1efbf8e5a9551a9f93a070775f3a2f0868f","2018-08-19T16:15:31Z","3","112","34","146","1","0","1"
"cb1359973951f6c7f811a094c8100eae24f2e326","2018-08-19T12:49:27Z","0","0","0","0","0","0","0"
"a9251de1dd37f9abc0a15bf19f0efb12dd501228","2018-08-19T10:06:47Z","1","13","3","16","1","0","0"
"56798e716a0da199ad275d8c5944f8227e0623e4","2018-08-19T09:19:11Z","2","20","14","34","1","0","0"
"904f0a1197eaffb1d7da2d26335f42a61a8742d1","2018-08-19T07:24:34Z","1","2","1","3","1","0","0"
"4d3f2740ce6e35e2e6f7ded6d7f78e041b38128a","2018-08-19T07:21:30Z","10","235","136","371","1","0","0"
"f9e7a29c0840df8dcb9783ee97df191a51bfa0cf","2018-08-16T20:30:53Z","3","77","32","109","1","0","0"
"6cb14a1c50029819e02634977b9ba78c14b7b5ff","2018-08-16T19:55:30Z","6","20","37","57","1","0","0"
"ea9f933f9e40b0b56ff92c8ab3cda3457cd6e99a","2018-08-15T13:23:30Z","1","1","1","2","1","0","0"
"eb2e5e3da5d9a6233e1a97028b98884a7a55cf79","2018-08-15T13:02:29Z","0","0","0","0","0","1","0"
"9a4e8bdb483d5b53c271c68d48db943362ec4ce5","2018-08-15T12:29:43Z","2","9","3","12","1","0","0"
"fad0091d8764e869352b440cf38b2c61717a68fd","2018-08-15T12:20:03Z","1","1","5","6","1","0","0"
"b861151f63a20d3e148001786bb54106446f59bb","2018-08-04T19:32:00Z","3","31","5","36","1","0","0"
"feeafc407a81d115188433d7cc91f319d7e532bc","2018-08-04T12:35:32Z","2","2","11","13","1","0","0"
"ea1c1eb80329671db3016eaaff57a4de334be2a3","2018-08-04T11:32:27Z","1","7","1","8","1","0","0"
"b83e20b571f9023484d341ab858ad48b6cda40ab","2018-08-01T12:07:05Z","2","16","7","23","1","0","0"
"160ad64e67a287158f847d7d76a5955b1facafde","2018-07-30T08:41:38Z","1","4","2","6","1","0","0"
"1213ff26b46c49be52eb012f9ad20829258d6fef","2018-07-30T08:34:23Z","1","1","1","2","1","0","0"
"3bf93f1f855165cada3e4acd4c9e1b379aa37e13","2018-07-30T08:33:59Z","1","1","1","2","1","0","0"
"a50258164011422600bd6077f43c9433635fbf49","2018-07-30T07:31:44Z","1","4","2","6","1","0","0"
"1ec041a48f8e9b8e3cb6562be8565103844cbe88","2018-07-29T22:09:54Z","1","1","1","2","1","0","0"
"fdaf8492ef8b7dfcdb135f3abbbd8b8124195e5a","2018-07-29T22:02:14Z","1","1","1","2","1","0","0"
"2433a7e89c0f1214c8ca4494b68a07a3c95fa5b5","2018-07-28T19:26:56Z","2","4","2","6","1","0","0"
"6e358d3eabdf94b91a345ae193004ff506e0b997","2018-07-28T19:26:56Z","4","243","24","267","1","0","0"
"7e462e800f9fc92a4b9b216a01683bf65416c582","2018-07-28T08:21:46Z","0","0","0","0","0","1","0"
"156e54c77f2a7150f527b9cfd9d7ab0e1d7b8550","2018-07-22T12:01:38Z","2","12","0","12","1","0","0"
"9752ec2655b77e6d54158593d8ced1bf8cc486c9","2018-07-21T21:50:04Z","9","53","28","81","1","0","0"
"edc1e5fa84e35a42ff8a631578d255cc7ae93f00","2018-07-21T21:43:59Z","1","2","2","4","1","0","0"
"a959af087b343cff3a2905fdf9c76f7e3c70d133","2018-07-19T12:27:35Z","2","48","3","51","1","0","0"
"c5994f954ae67458997641d1fcf3a0d677e61ba9","2018-07-16T15:16:13Z","2","12","6","18","1","0","0"
"03a09debfad5fe6074878bd5d65bf4c217718261","2018-07-05T09:40:27Z","7","461","6","467","1","0","1"
"2cf6a9b69130a0b97e89a1ae498956a4b2261ed0","2018-07-03T21:15:43Z","5","70","33","103","1","0","0"
"5b712e8dbcb2f8bb4b81fa15d551a72d3c4cf7ac","2018-06-29T19:23:48Z","1","1","3","4","1","0","0"
"5d7f2c706cad9873a5ddefb69e0a27a7a437de05","2018-06-27T17:46:28Z","2","11","3","14","1","0","0"
"22f51e1a289ef240d6ce3ce12aceda3aa5b7b8ad","2018-06-27T17:09:08Z","1","3","0","3","1","0","0"
"61684ea73d525e4a5a104928d9419363d44053e4","2018-06-27T16:55:24Z","1","8","3","11","1","0","0"
