"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"527c397d2987e44c4422412b8ab3ae5bca07db06","2018-08-22T01:13:24Z","1","3","0","3","1","0","0"
"3bf548d070f6c69aa42c9f1c995d2efef6c13bc4","2018-08-22T01:13:05Z","1","2","0","2","1","0","0"
"c1b5aaf02e546afbad5fe63cf8342c31d0c35344","2018-08-22T01:12:52Z","1","2","0","2","1","0","0"
"b879b58254804b953c6280d05d7882a89ec3b7c8","2018-08-22T01:12:33Z","4","106","1","107","1","0","0"
"0cbc16df9213d64e6dfe389a2d164ab6f007121b","2018-08-20T07:48:56Z","1","2","0","2","1","0","0"
"f1600e5cc03fcc8bc6757fd115e3de89c7dad6fd","2018-08-20T07:48:12Z","1","2","0","2","1","0","0"
"077bd8c26b4b509807bb3af96cc429e34982d927","2018-08-20T07:46:59Z","1","3","0","3","1","0","0"
"dfb5bc6c4e0c33f0d40d02c9702089da8a848d2f","2018-08-19T21:10:39Z","0","0","0","0","0","1","0"
"37ccc0b97f171dcbfb9595ad0337c5d7d30ccef7","2018-08-01T20:37:33Z","1","1","1","2","1","0","0"
"4a7857e873c4d5f249bee373187289c2e1fa35ba","2018-08-01T20:21:44Z","1","1","1","2","1","0","0"
"1469cfa30536afbaa8fcfe9d2ee0745ec0213bca","2018-07-11T07:35:51Z","0","0","0","0","0","0","0"
"46a6a6e2db009e98fed755ecf95bc5264635840d","2018-07-11T03:19:09Z","0","0","0","0","0","0","0"
"564f37f35f1dd85bcc22e775b9eb3631d865bdee","2018-05-16T15:19:49Z","0","0","0","0","0","1","0"
"a5db06d05f8bd799cef194af28ace07427e2d07e","2018-05-16T15:19:28Z","0","0","0","0","0","1","0"
"5ff40a9f70b2c0274d734701eb038c7c2ac4da6e","2018-05-16T15:18:32Z","0","0","0","0","0","0","0"
"558401605880b7d636c4e41e3044c775d987a208","2018-05-16T15:14:47Z","2","59","62","121","1","0","0"
"3ddde8f3ccb5182ce5da7fcca21997efe96028a0","2018-04-29T21:10:29Z","0","0","0","0","0","1","0"
"b09d944edd6029434aac2e14cff14df0f4bb521e","2018-04-29T21:10:21Z","0","0","0","0","0","1","0"
"5d6ff03f8baa4cb49334ed644dea8b8acb8545fb","2018-04-29T21:08:15Z","0","0","0","0","0","0","0"
"30ff8ce28c3cc99cb938c66879c16720e427e982","2018-04-29T04:08:57Z","2","42","20","62","1","0","0"
"1c897e44ddd6b50e22180b6d32e4a3c69223614a","2018-04-29T00:18:33Z","2","42","20","62","1","0","0"
"3f4d5c2c2eebc3915ab0f705f38d11a9f9b4237b","2018-04-28T14:57:31Z","0","0","0","0","0","1","0"
"c8b9bc8ffa85f1a14d1767ed514ef5797fbd8311","2018-04-28T14:56:08Z","0","0","0","0","0","0","0"
"371b82e8159170052f06f6a5e9dd8ed5f0a2bef1","2018-04-28T14:30:05Z","2","155","232","387","1","0","0"
"b1e1a088321da708d3299138fc55c0a9976a6291","2018-04-28T14:17:32Z","2","155","232","387","1","0","0"
"491ff3cced8f79d8636bdc3f4a7ae5a76b834ac7","2018-04-23T20:14:06Z","0","0","0","0","0","1","0"
"3c68a054848124bf53aa2f73b1c310c6fffa3d0b","2018-04-23T20:02:19Z","0","0","0","0","0","0","0"
"034f0b6801eda34c96d880051f4611555a948ffb","2018-04-23T19:29:26Z","0","0","0","0","0","0","0"
"8dea2cb3e38968361ad4a5773f0727b06e3434df","2018-04-23T19:28:08Z","1","0","2","2","1","0","0"
"d6a009737b149e6de316f51b771eb13c93149e36","2018-04-23T18:33:51Z","1","36","16","52","1","0","0"
"bc7f6dc607c233c6bc62a39471905d98f737b9d8","2018-04-23T18:24:21Z","1","0","2","2","1","0","0"
"9ea843d73170f75d735114cdca6ba2463965cafb","2018-04-23T18:22:09Z","0","0","0","0","0","0","0"
"8e9b2ec3c3e9d09e19c88ef3d1fc92ab2f6472e2","2018-04-11T18:28:44Z","0","0","0","0","0","0","0"
"24c88ec21cb1297bfc92a747fa1f714514720cdc","2018-04-11T17:18:26Z","0","0","0","0","0","0","0"
"8ab7616e7d1acc76231bea1aa283c0fdefa24864","2018-03-12T12:51:00Z","2","22","0","22","1","0","0"
"f24801f4bdafa1190211959653b2eb31296cfbb3","2018-03-12T07:42:35Z","2","22","0","22","1","0","0"
"d91f8e1374f7ccdb68d92c206c84864cd09c02f6","2018-03-10T17:35:51Z","10","407","163","570","1","0","0"
"d1080529667e27a8a81708774ef556c01bd03d4f","2018-03-04T22:11:40Z","1","36","16","52","1","0","0"
"adced314c48865463594bf58022f509090eef7af","2018-03-04T12:25:01Z","2","17","1","18","1","0","0"
"ee82208f4bc086e0b1334445f600789879fc7a78","2018-03-04T12:22:03Z","2","23","0","23","1","0","0"
"b314337267eb36462c3bf67a87494e614c9c8b40","2018-03-03T17:03:40Z","20","68","113","181","1","0","0"
"82e20e0ce26eee0e20cc52f976bb3e7e627dd338","2018-02-26T03:36:34Z","0","0","0","0","0","0","0"
"28fdcfbbcf9ca9f3736d8825d841f58169bc78d0","2018-02-26T03:18:41Z","0","0","0","0","0","0","0"
"1e70bf31a8be9b36f5495a2f38b50dbd588e1dd0","2018-02-24T02:52:47Z","2","26","0","26","1","0","0"
"62d7826d2a7a9d8faef1363addde7b221ef0cbd1","2018-02-19T13:19:14Z","0","0","0","0","0","0","0"
"0091cc5b8f172b4eca8dae95f82e060b0d203795","2018-02-19T09:19:04Z","0","0","0","0","0","0","0"
"e6bc3b1d2b5db5f35214f7665ed9f96c6b6fe377","2018-02-19T02:41:04Z","0","0","0","0","0","0","0"
"b7176d095acc9eb39b132c52c2282a932a9578d1","2018-02-06T19:29:49Z","0","0","0","0","0","0","0"
"a4966ff80be8a1535fedf7313231161c3fdf46c1","2018-02-06T19:09:17Z","0","0","0","0","0","0","0"
"d509342092ce1bd7755066b041dee2fe0f25bd23","2018-02-01T13:53:13Z","0","0","0","0","0","0","0"
"abaa7f083b308e2e6efedd97739f0ae3e57079ce","2018-01-28T23:33:03Z","1","1","1","2","1","0","0"
"5dafdcb421fafc36a9db53c3106d7f183e23ea58","2018-01-28T08:13:43Z","2","1","4","5","1","0","0"
"b68e867d44e3a24e2d954fec83ce8a5170a4a03b","2018-01-27T09:11:23Z","0","0","0","0","0","0","0"
"1ea76b466fdbd513a60fc3cc4178d78f30d0487a","2018-01-27T09:07:43Z","0","0","0","0","0","0","0"
"29f38bfd14e7cbd83b87d94c91a874da0782c737","2018-01-27T04:32:28Z","0","0","0","0","0","1","0"
"a2f21df8124e71c5ee55614919b86bb1e3879a55","2018-01-27T04:32:23Z","0","0","0","0","0","1","0"
"c6dd69cb207812493ca7675ea7a9abe64c2f4f98","2018-01-27T04:28:30Z","3","9","11","20","1","1","0"
"9e62955dc41e331f14b00e9f7d16dabff45884b0","2018-01-27T04:01:55Z","0","0","0","0","0","0","0"
"da2859b67f9098ac5c1c12aa64218c7e2dc1e63f","2018-01-27T03:33:45Z","3","24","2","26","1","0","0"
"870ece8e7caecc417a9cdee820642cfceab90592","2018-01-27T03:32:31Z","3","24","2","26","1","0","0"
"6865d07a5ef86d2c4a04966633378cdc3340d902","2018-01-27T03:20:51Z","2","12","0","12","1","0","0"
"563cf74b4d699c4d63219cc33e9c095f73d8fbec","2018-01-27T03:20:23Z","2","115","0","115","1","1","0"
"ca0e12e93e8ef9e1666573e4dc635064cb8d3ab1","2018-01-27T03:16:20Z","6","160","23","183","1","0","0"
"681060898269d30ae29ac78f958be0ac91ffb7e3","2018-01-21T21:15:02Z","5","40","37","77","1","1","0"
"b5cc9f4554e41cf2eb4b99ab4c197948d90eb9bb","2017-12-08T03:27:51Z","0","0","0","0","0","1","0"
"03f3a276b2f330c59e549e73542217c6028caed6","2017-12-07T19:47:48Z","0","0","0","0","0","1","0"
"f5b1b622d2d4141898bf850bd3cd54ee3d153aa4","2017-08-13T16:28:17Z","2","2","1","3","1","0","0"
"384395d53cccde5a93932dba78328a5888db7ee8","2017-06-30T21:41:13Z","6","6","12","18","1","0","0"
"a5694ac69113d815dd6588775dbccf22747f556b","2017-06-23T14:26:32Z","3","15","0","15","1","0","0"
"08c7148ab302a364517f993c0fda33b1dca7bfe6","2017-05-23T21:43:13Z","2","23","12","35","1","0","0"
"5f3b345be9bd8364268d6460424ae8cf59d087f0","2017-05-13T13:09:25Z","0","0","0","0","0","1","0"
"dfba6d7272931991e56b0d0ac4b969c17cd3f334","2017-05-13T13:09:14Z","0","0","0","0","0","1","0"
"7931dbd83395806358269d02f827db852234dbda","2017-05-13T13:08:22Z","0","0","0","0","0","0","0"
"ca12c7bafd2d7033f8cff7770ecf2260d45aa4ab","2017-05-13T13:06:53Z","2","14","3","17","1","0","0"
"4cd975b9649ec87f9a71ce48916fba8d9d460e4e","2017-05-13T12:52:51Z","3","123","19","142","1","0","0"
"40dfa0cf36d844ca733bef0d4a61e87c9339af2c","2017-05-13T03:45:25Z","2","6","2","8","1","0","0"
"48378f7b2b491e1b6fed8c0a4eb25f331b71a6b1","2017-05-06T19:59:35Z","0","0","0","0","0","1","0"
"e11279525524d12f8eb4687b1f4e926d75bf1371","2017-03-21T12:10:55Z","2","14","1","15","1","0","0"
"647b93bc63c3bc3a43310e00e80f1bd86a5a3963","2017-03-15T23:02:14Z","2","20","0","20","1","0","0"
"0d6bdebf124a0c0e2a52ef520231b64e98c77a64","2017-02-15T03:54:29Z","0","0","0","0","0","1","0"
"89263f0462e47be5bac0298247be985ad0f4027b","2017-02-15T03:41:48Z","0","0","0","0","0","1","0"
"414da301b9d58f7cc169a70bb7e68fe71e02822c","2017-02-01T17:15:52Z","1","2","0","2","1","0","0"
"b66d3d543982755f1d2397066ac9ccbc5ba8c327","2017-01-22T04:08:59Z","2","12","1","13","1","0","0"
"ff50d7b60ad15fed7ed294ca2295cb356cbc4273","2017-01-18T15:41:20Z","1","2","2","4","1","0","0"
"73214de9ab09c724b3cd507c71d9e6ef4b5625d9","2016-11-15T02:21:15Z","1","6","0","6","1","0","0"
"c248d407c0529414fa9555504b3d7352157eecd1","2016-11-15T02:20:59Z","1","10","4","14","1","0","0"
"fa5c19032459214bbb241202e435cfd2f21bbf43","2016-11-10T23:49:52Z","1","6","0","6","1","0","0"
"01f7076cabdeb4444bf0606b4c88daf93a436af4","2016-11-10T19:17:48Z","1","10","4","14","1","0","0"
"8ec1afab2fbe54daf9ea0e5b3d2f327192484c14","2016-11-10T02:43:08Z","0","0","0","0","0","1","0"
"46913cd91914f2b30f3730390c96b8143c260a46","2016-11-10T02:43:04Z","0","0","0","0","0","1","0"
"70cbbc9e998fdd927e89fad23ef34ba417889f11","2016-11-10T02:41:24Z","0","0","0","0","0","0","0"
"a1db4599af61248bebc2e0582788c8a0a515232a","2016-11-10T02:37:05Z","3","3","14","17","1","0","0"
"19b9d73a1be5bba5890b194260d115d664c8b5ce","2016-11-10T02:33:37Z","3","3","14","17","1","0","0"
"8e358310a135ba4e82def404dcddabb2346bbc12","2016-11-10T02:08:51Z","2","42","18","60","1","0","0"
"bc65a0b33398eac6e0f80d480ccb16fa13f33b9a","2016-11-10T01:53:03Z","2","42","18","60","1","0","0"
"bd786800328b47b8bb0b676b4afa1afb54a49211","2016-11-10T00:24:00Z","8","315","31","346","1","0","0"
"61b0faf17728e28afac1240c3a565f95b083183b","2016-11-10T00:20:57Z","8","315","31","346","1","0","0"
"3bef6897622c8eb347fa10ece1102ef1188ae677","2016-11-10T00:16:48Z","2","191","34","225","1","0","0"
"868524732babecd9e88f1a5c2cd65d672f62fafd","2016-11-10T00:16:37Z","2","191","34","225","1","0","0"
"4eda8d4a3639f7645e7125a45d183db4d22a50c4","2016-11-09T06:26:40Z","2","16","1","17","1","0","0"
"16cd72b20ba9f36a184b170f01c4a4a1db80bdbd","2016-11-09T06:20:16Z","2","16","1","17","1","0","0"
"89179ea493f852ed6b6b36ccde978e9ddc176ce0","2016-11-09T03:43:11Z","4","35","16","51","1","0","0"
"59ba4332c95dce61a22989890ee49d8e2e5c2d98","2016-11-09T03:41:26Z","4","35","16","51","1","0","0"
