"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"243ec7802c0c89dc66232a26b5722fade4844da4","2018-09-17T22:43:16Z","0","0","0","0","0","0","0"
"08074b5d611a1e94da4de9f4da589c7df271bf70","2018-08-25T18:46:50Z","0","0","0","0","0","0","0"
"7178810a3798358f53cd84758be9d5ed23389b1c","2018-08-25T17:22:56Z","0","0","0","0","0","0","0"
"1969ca307a723fc1e3d561950f173bf1c7daa63f","2018-08-16T15:30:35Z","1","2","2","4","1","0","0"
"0fd3622703f251886042853ec35e43aeea6a0159","2018-08-16T07:42:53Z","1","2","2","4","1","0","0"
"77f1a69c728dc62ff38742c9f03db6dd0813ee21","2018-08-15T21:49:13Z","1","27","4","31","1","0","1"
"33a31072136c7c53802c0582be7326da2cefdfda","2018-08-14T16:35:46Z","0","0","0","0","0","0","0"
"a7ee38053d34e8cd3a61430ec41405b13e640e54","2018-08-14T16:31:34Z","1","5","1","6","1","0","1"
"eca0b0614da2e7fad5c4517707de855cdbfc85a7","2018-08-14T15:48:28Z","0","0","0","0","0","1","0"
"14a116beba1f7d8efff0bc29823034c7b502a25b","2018-08-14T15:48:21Z","0","0","0","0","0","1","0"
"56b3a71733d8aa9a8c73ca6bb9c744c56d018628","2018-08-14T15:42:47Z","1","5","1","6","1","0","1"
"a4b388cd2ec2cd991c5683352da973ccb8790edc","2018-08-14T15:16:05Z","0","0","0","0","0","1","0"
"31b4386b64fdac4a9dd7561cc73b7716b4d9cd12","2018-08-14T00:32:36Z","1","8","6","14","1","0","1"
"bcfc0655e45ccf88049d47f7e87dfa7c6c5a918b","2018-08-14T00:28:38Z","0","0","0","0","0","1","0"
"2ceae3bc3790cd90d187ee85f80f66a34a46c26f","2018-08-14T00:28:32Z","0","0","0","0","0","1","0"
"85d8920d793f37359a102f6fcfb3c53c464e0ec5","2018-08-14T00:26:14Z","1","8","6","14","1","1","1"
"1839ebf5e8004336b018c9923bd09ee7deebdf39","2018-08-07T17:59:15Z","0","0","0","0","0","1","0"
"d7071faeae258537f3351aabb2ead4471264963c","2018-08-07T17:43:48Z","0","0","0","0","0","1","0"
"f19c34a7631ba4c19bbcbb97986923c077757c16","2018-08-07T17:32:20Z","2","27","5","32","1","1","0"
"5e5f29d8b1344fd79d980479683a3b1dea174798","2018-08-02T21:30:09Z","0","0","0","0","0","1","0"
"1520ae8a21052b376282f8a38d310a91b15285e5","2018-08-02T21:27:42Z","3","39","41","80","1","1","1"
"7f662627cc0a1d929522aab4821d7030703d0d23","2018-08-02T20:59:59Z","3","39","41","80","1","1","1"
"b58e1b6dc56f399c151af0754b4e89e8376fd78c","2018-08-01T22:10:41Z","0","0","0","0","0","1","0"
"6b980553cfb4435ec14b7842af5b529735acbb2d","2018-08-01T22:10:34Z","0","0","0","0","0","1","0"
"17af9336658213968ed09edea4d3735ecb404fcf","2018-08-01T22:02:51Z","0","0","0","0","0","1","0"
"9cfd861250ef70482f91230c9a39768f22941fc5","2018-08-01T22:00:33Z","0","0","0","0","0","1","0"
"cd62ed1bbfc3ea73b44215a840307d0f5db0b32e","2018-08-01T22:00:27Z","0","0","0","0","0","1","0"
"59d6a7bd27a918b8594d1da1731d65932fc1e86f","2018-08-01T21:51:27Z","1","3","5","8","1","0","0"
"8b3f6cac5349475ce539c9371efd8c953dba2e43","2018-08-01T20:41:41Z","1","3","5","8","1","0","0"
"40852291526ba63d374af62a339fb7dfc97b257a","2018-07-30T19:53:01Z","1","1","1","2","1","1","0"
"3237b720bd7e4de25be36130f070834467514c47","2018-07-30T18:52:11Z","1","1","1","2","1","1","0"
"f26831cf1612a4a5e2b79937d7556a7487c455d3","2018-07-28T04:13:23Z","4","371","28","399","1","0","1"
"a669cad29bffcfec92f6598be3e39de3f84d7b14","2018-07-28T03:57:22Z","4","371","28","399","1","0","1"
"711d0d5556434434ffbedeb23563e4456b257227","2018-07-27T19:27:31Z","21","404","155","559","1","0","1"
"9189253668e7410202bcd4af9ef5855bf2e84dab","2018-07-27T19:17:01Z","21","404","155","559","1","0","1"
"45f83d0cb1571e98e078b6f97cbedbd846fba154","2018-07-25T17:00:11Z","3","209","0","209","1","1","1"
"9d244b9fcaa9dc2adce430436264d02a92cab824","2018-07-25T02:55:02Z","3","209","0","209","1","1","1"
"c9d05361fa58a257d20086e0d37d76d25b62a769","2018-07-23T21:22:41Z","2","16","6","22","1","0","1"
"d330f2d4ccaba1b2f6e2992f7b71f89092bf61b0","2018-07-23T21:08:00Z","2","16","6","22","1","0","1"
"56f507fb5971fc2ef940c9355a9a20ee17aa3476","2018-07-23T19:55:40Z","1","2","1","3","1","0","0"
"3549cf48dbfbbeab92fbeafef2c526461b6ebab2","2018-07-23T19:53:54Z","1","2","1","3","1","0","0"
"fbcc9ab9316d491ceddd8537349e149f409cd377","2018-07-23T19:50:46Z","3","24","2","26","1","0","1"
"bbfabb54a72f336d8dc31663aa1b9abbfcadae93","2018-07-23T19:38:30Z","3","24","2","26","1","0","1"
"ac6703541e413f8bb51cb22564fc2c33c8b0543d","2018-07-20T23:58:58Z","1","7","2","9","1","0","1"
"7404fd130b3ac2f81d5929e2d363d9d90258ff0f","2018-07-20T23:47:47Z","1","7","2","9","1","0","1"
"2eeca41a61e85862d25f2e582b7608af1a8b4e73","2018-07-20T23:38:23Z","0","0","0","0","0","0","0"
"54ddbedbec5a2563209028d86e5b294091f8e1c4","2018-07-20T21:23:23Z","0","0","0","0","0","0","0"
"1914ddd26265fca5b056265abc1b503dabd39118","2018-07-20T20:47:16Z","0","0","0","0","0","1","0"
"f756408c60c69315abe35fda6ee59ec145749bb4","2018-07-20T19:55:43Z","0","0","0","0","0","1","0"
"b4e5e03152242d867605743ad500af81488dd37b","2018-07-20T16:50:16Z","114","266","235","501","1","1","1"
"439c027c2effcbc0e28d4507e8201071bd14f5d4","2018-07-20T16:18:40Z","114","266","235","501","1","1","1"
"29172608a9a0fcc6806fcc46ab28eea30da328e0","2018-07-11T21:58:57Z","21","722","78","800","1","1","1"
"8afca0d0df6248a017f6004dfc6f692f0463545c","2018-07-11T20:36:09Z","21","722","78","800","1","1","1"
"bae78f03f43c63b1e115f59f9ce2376b41a591a5","2018-07-09T02:19:34Z","30","1128","185","1313","1","1","1"
"6e1415c4414c7688e150efd7ff76497adc8509b6","2018-07-09T00:29:49Z","30","1128","185","1313","1","1","1"
"130a841011decb8760cd9afc9d2d58b8e0a411a1","2018-07-09T00:15:28Z","0","0","0","0","0","1","0"
"47b6dad521fb9bd8c4d44dcd582a1c0213ac48c9","2018-07-08T23:54:36Z","0","0","0","0","0","1","0"
"bf6423b52d810dd9798cd71ff3d557a0e9792797","2018-07-05T22:39:11Z","0","0","0","0","0","0","0"
"3ec0d1c8a0ab429486cccadf51ea7103f7618f6a","2018-07-05T22:31:37Z","0","0","0","0","0","1","0"
"4a62a56855769b62cd1842e13df4f2457837c511","2018-07-05T22:24:45Z","0","0","0","0","0","1","0"
"d0e9e7a2bd56d2d7a3bccace92664365b1a00ce7","2018-07-05T22:22:23Z","0","0","0","0","0","0","0"
"15f5f253e7255d38cf27848cd21dd424d99d37ef","2018-07-05T21:59:23Z","0","0","0","0","0","1","0"
"caa2a64cd52aebf744695835429ee13f0989a566","2018-07-05T17:03:42Z","0","0","0","0","0","1","0"
"3a9fecfd06e759692cfc24e82d705075cef8885d","2018-07-05T16:46:11Z","0","0","0","0","0","1","0"
"d8da276d9d539a71f0c0ba8dfc68189551737edf","2018-07-05T16:42:08Z","0","0","0","0","0","1","0"
"c7561b639be4a1d6dc60426381374322ea90745c","2018-03-02T15:17:08Z","0","0","0","0","0","1","0"
"b1001f6e7cb579b9c0c8017672e440fa85e8a22d","2018-01-04T13:09:37Z","0","0","0","0","0","0","0"
