"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"26f34218e2053437e7ac29ee310853462b95687c","2018-09-28T14:58:24Z","0","0","0","0","0","1","0"
"908fb8ec7dca13d1d8072b693ad946164d328169","2018-09-28T14:21:44Z","3","53","23","76","1","0","0"
"4abbe087c5ebe768eed5616e4079c97cb91ecabe","2018-09-28T10:14:17Z","2","29","6","35","1","0","0"
"3ed88e6f0ac1086ca9d927b5d00c05eba0fef97e","2018-09-28T09:44:49Z","1","0","16","16","1","0","0"
"7b403eae55bdac12026a5712ddc0b6c805597898","2018-09-28T09:32:30Z","1","16","0","16","1","0","0"
"f89078c5aaf0a044b8d5fe86ba49a9e765f8a29c","2018-09-28T08:22:27Z","1","8","1","9","1","0","0"
"fbc951b9becf198739c31b06a582b04e030f949d","2018-09-28T07:44:42Z","1","28","0","28","1","0","0"
"5d78745abffe220d1f670e8d2b82bb19b3d2792a","2018-09-27T18:07:27Z","2","18","3","21","1","0","0"
"3140c73796c2600a00e41b1eea40090c20057508","2018-09-01T22:46:37Z","0","0","0","0","0","0","0"
"a695bc678d973963b1c2970b99d6edbfb8135984","2018-09-01T22:45:41Z","0","0","0","0","0","1","0"
"608cf8e98d175927d50754705e2199d7a2a44c15","2018-09-01T22:45:09Z","0","0","0","0","0","1","0"
"2573c0d5d20b9fd4d87ec02086738e4748d2d316","2018-08-23T13:21:21Z","0","0","0","0","0","0","0"
"aa22192e611c69b0d2f945bb26d2838ba5115567","2018-08-23T13:19:33Z","0","0","0","0","0","0","0"
"1bdb9d26b0560c23c5075c5c7b13c1bed3be75eb","2018-08-23T13:18:45Z","1","12","11","23","1","0","0"
"6a061cdc10bacc5381c91239d6101ce2c0ff5114","2018-08-22T16:31:12Z","0","0","0","0","0","0","0"
"20cf117bff2f8371c99e4b7e8e9537758f436e1c","2018-08-22T15:40:24Z","0","0","0","0","0","0","0"
"5b58c37c0bb91e5a0106de97e3adfdd49f421088","2018-08-21T15:19:53Z","0","0","0","0","0","1","0"
"9c891fc72e74779440ef1eeeaa70eab376818720","2018-08-18T14:40:42Z","0","0","0","0","0","1","0"
"9bffc3913aeb8472c11bb543243004b4b4376f16","2018-08-17T16:32:20Z","4","68","0","68","1","0","0"
"63c4eb0cc95e18f938acf0f9687543589218f053","2018-08-17T14:17:50Z","1","13","0","13","1","0","0"
"d17d0938a5cab741c805bbf623215f09b5f14ded","2018-08-16T09:30:04Z","3","111","114","225","1","0","0"
"0d888213c1d474c1bdde0042eb28c9437e6da65a","2018-08-15T10:28:33Z","3","13","5","18","1","0","0"
"b7d1df1b91ea0dc1e1aaeeae1a0c9433cc83dc56","2018-08-15T10:10:27Z","5","182","19","201","1","0","0"
"d246929d98b987f64ab6f5e37f459230bb60587c","2018-08-13T15:57:38Z","5","182","19","201","1","0","0"
"525ecc6eabc0c4d15f686b4c8b5a6d4557568730","2018-08-13T12:41:01Z","1","3","0","3","1","0","0"
"66ff03b5ba1c3fd3ef6fd9c6920fa1af6ca203d9","2018-08-13T12:40:25Z","12","81","3","84","1","0","0"
"53b7a708deda620a1c3ee48bfb8fe098b1eb8240","2018-08-13T12:20:04Z","3","63","11","74","1","0","0"
"00736fb86b120b3586726796cd3eb09b14cf7fc8","2018-08-13T12:15:51Z","1","1","1","2","1","0","0"
"6ddb305a283accff9f65d23e7c12a1fe183d28c8","2018-08-13T12:12:32Z","1","38","0","38","1","0","0"
"184e59a2e735cc7529c87a50ff266f3875a99400","2018-08-13T11:35:26Z","2","6","6","12","1","0","0"
"35ee9d32f7bf17d793278aba9d35d5c9980ad463","2018-08-12T19:15:34Z","2","49","34","83","1","0","0"
"78bbc96cfaa63241c0a3f22b9406e8407859f9f7","2018-08-12T19:14:29Z","1","5","5","10","1","0","0"
"33489c5d185cff6477e200e2ee16a485fc7a0ae4","2018-08-12T19:04:45Z","7","50","139","189","1","0","0"
"9d3c29d2e3fcb02aa4cb4763b547a61c8f7c3c8a","2018-08-12T18:49:16Z","8","278","273","551","1","0","0"
"fd1adc3144a4d2b29f8d61f3c5ea0c7ece81698f","2018-08-10T20:46:11Z","3","23","2","25","1","1","0"
"63d4c529feccea01f76f5d04bdd912025cbd302d","2018-07-23T07:42:22Z","1","17","1","18","1","0","0"
"94bb20e058aecd522b395ca072c4bc2c0ab3ae5f","2018-07-23T07:31:29Z","1","31","32","63","1","0","0"
"2cd4c9c0a1571502ac88ed51e6d5004a0890e463","2018-07-11T13:54:33Z","0","0","0","0","0","1","0"
"e887b6e96a2a780c2014d89e3a5210842aa6089a","2018-07-02T21:00:33Z","11","70","4","74","1","0","0"
"20d760e32dbfeab28e53f26dda2c66df899d7315","2018-07-02T20:45:56Z","7","34","28","62","1","0","0"
"e29adb87677495756afeccb233ee05ea9ef1f8fd","2018-07-02T20:43:52Z","2","49","4","53","1","0","0"
"0f5d95d32673a21b144e556cca7f35c87ed01a9c","2018-07-02T20:42:24Z","1","2","2","4","1","0","0"
"3b2e8487ef4c0da88e5658af4fbc4771eb4917b5","2018-07-02T20:42:07Z","2","129","0","129","1","0","0"
"6d8425e182195399d06b15f5f36954f50af2e7b4","2018-07-02T20:41:02Z","2","42","1","43","1","0","0"
"72cf4d392d29c5f5b72320706596d4c062d38747","2018-07-02T20:32:50Z","0","0","0","0","0","1","0"
"05b09396aab8c701f1f14250d4e948e94161a6e0","2018-07-02T20:09:51Z","1","17","18","35","1","0","0"
"37bc6890cc99425a32342306e31cb1009d22dbe3","2018-07-02T20:09:36Z","1","32","21","53","1","0","0"
"f2845d47bf58840a0d6f8592bc1c0dd7ad636f00","2018-07-02T18:36:21Z","0","0","0","0","0","1","0"
"46be19994efd05c30884dd714cd38d2b476a1148","2018-06-29T06:46:56Z","1","3","3","6","1","0","0"
"be1bd737547c60ffc7c261a28b5e0d0e94988bbc","2018-06-28T20:52:29Z","0","0","0","0","0","1","0"
"f06e7d140515150be7e08bc605770b9a57ed30f1","2018-06-28T20:52:01Z","0","0","0","0","0","0","0"
"6e6740c39e921acd7259371b3b2a67da10781ead","2018-06-28T20:49:33Z","1","46","12","58","1","0","0"
"45b2566ecc5238b2e34da57560314349d06f3b1e","2018-06-28T06:03:06Z","2","4","5","9","1","0","0"
"31eb4ded73a6b92c87f5b6342538d1f4c7793b27","2018-06-26T15:58:13Z","1","54","0","54","1","0","0"
"7219eab9875f996b95df2b168d8fba0120e7bba8","2018-06-24T19:52:07Z","4","58","30","88","1","0","0"
"aae35b625ed91d91ce036ebbcf3ea9af9b6c8579","2018-06-22T16:29:47Z","0","0","0","0","0","1","0"
"784c917009da3767ff548ffaa3532fe595e88016","2018-06-22T09:43:32Z","0","0","0","0","0","1","0"
"c51ca76eb4b41fb7ced3b9005aee44e46f9a346d","2018-06-22T09:42:46Z","2","27","5","32","1","0","0"
"23a52d8a6f1a5c5a924b665fcd0dd84e8b3c50df","2018-06-22T09:02:46Z","1","26","0","26","1","0","0"
"de4d1459056238e5ce592f81ec59a2006eec6adc","2018-06-22T08:45:09Z","2","23","0","23","1","0","0"
"093356b17e1e51abc5ff3012dd05c0ceca4f3440","2018-06-22T08:39:25Z","3","93","41","134","1","0","0"
"9909d5ed472c957cc57fa34d88cdad1987b623a4","2018-06-21T21:24:57Z","2","2","0","2","1","0","0"
"5374b093d8fad1cb52d7f3baa05ee03ebc84e42f","2018-06-20T19:48:36Z","1","34","24","58","1","0","0"
"9c8ada0d725b69fc31c077bd9866897a90ea23dc","2018-06-20T17:27:00Z","1","2","11","13","1","0","0"
"499b4f07bc112d4ba5133eee3cd0bd23762492d0","2018-06-19T23:26:38Z","3","158","25","183","1","0","0"
"2c9368492702884de880f9761a7aca48d4889c7c","2018-06-19T16:17:29Z","0","0","0","0","0","0","0"
"a81e13dc094a7f9df1c6c1ddab7ddf2ceb4e1fa4","2018-06-19T16:15:55Z","1","17","0","17","1","0","0"
"8ba0540e86ea94aade2b5327d4523040ed8bb70f","2018-06-18T14:22:19Z","4","45","8","53","1","0","0"
