"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3648ef34f4b7a869ca8b9c064c48ef1d56904c7f","2018-07-15T14:15:32Z","0","0","0","0","0","0","0"
"dd521977e0640d02ba0c58cfbf1ed23038f3ddb6","2018-07-15T11:41:27Z","1","1","1","2","1","0","0"
"e0b5574e47c8548e36cfed013627ad8c74f0e91b","2018-07-15T09:46:21Z","0","0","0","0","0","0","0"
"5b7247046e10916aee0adcc0694b695e9949a1d9","2018-07-14T14:56:24Z","0","0","0","0","0","0","0"
"b92d9ac9d60c4a699d73cb633e379314c7560627","2018-07-14T14:10:15Z","0","0","0","0","0","0","0"
"230324f1f074283308da4e39f4ba4f73f031f949","2018-06-12T14:05:24Z","0","0","0","0","0","0","0"
"e42465fde67fb10496ee269ff866ffd28ff71640","2018-05-23T15:11:39Z","0","0","0","0","0","0","0"
"a2845d25a4314609dc7ef44bb828aa4340881216","2018-03-21T14:26:03Z","0","0","0","0","0","0","0"
"1d0d6f2191a7b3b4425e6b6fc3df30e3fe6f8108","2018-03-21T14:11:47Z","0","0","0","0","0","0","0"
"50530b7a0a8bc23d0a2a95316e040c1163eb8da6","2018-02-28T13:14:25Z","0","0","0","0","0","0","0"
"2e63c0314171fb5816a24c5429bd4a71c143e16e","2017-09-09T15:29:05Z","0","0","0","0","0","0","0"
"a646c6cc62e6530294f3fa6ce18843b9428b4721","2017-05-09T13:45:16Z","0","0","0","0","0","0","0"
"e19a428de2ac8240c28638c0269c5e7d30ea1031","2017-03-27T04:49:17Z","0","0","0","0","0","0","0"
"48c8b383d218c96cc2d8659f7e7b9f6570d675b4","2017-01-04T14:53:44Z","6","108","108","216","1","0","0"
"6699ea4d9b6f44814035b0d8269f39121f6c9586","2016-12-23T10:57:51Z","0","0","0","0","0","0","0"
"53f203d87f9c04e924f414e44813b63c1e8beee6","2016-12-22T23:29:53Z","0","0","0","0","0","0","0"
"a9384ed5bddc4799aae01b137797d6b925eff37b","2016-12-22T20:12:21Z","0","0","0","0","0","0","0"
"88a1881f03ca139beff93170d7e6f36477fabe54","2016-12-21T19:09:27Z","0","0","0","0","0","0","0"
"a056dc6a45f9a91d45c4b9e508c0ddf1d85ed9f7","2016-12-21T18:58:26Z","1","1","1","2","1","0","0"
"15df2815ab045f9c538601733d4c03e50be9510f","2016-12-21T02:41:36Z","0","0","0","0","0","0","0"
"bc5c89a7a6fe37a7dd3b6bbcbf24ca5c0dc60fbb","2016-12-21T02:38:27Z","1","37","26","63","1","0","0"
"f3b95b0b93c7a41075257ab856cf60b960865f73","2016-12-12T03:08:58Z","0","0","0","0","0","0","0"
"06afca2a058c53a404a3a41426145525301f085e","2016-12-12T03:04:04Z","0","0","0","0","0","0","0"
"b7cacb7e0fc9d37f6d5a85ea441dc68b421aac04","2016-11-16T06:32:21Z","0","0","0","0","0","0","0"
"a96d7cea83beb7899b5fae085eac6c2dbec39321","2016-11-16T06:30:54Z","0","0","0","0","0","0","0"
