"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d29cd808669bd61053b9702ed66838c66c6db9a9","2018-09-28T10:01:54Z","1","24","5","29","1","0","0"
"a79c3e3e97ddc5dc8aa2f8d447f823414c7631f8","2018-09-27T13:04:28Z","1","1","1","2","1","0","0"
"354ad54a6da6e3ddcba4f3eab2eb9be3a8ab18c2","2018-09-27T12:41:09Z","1","5","1","6","1","0","0"
"4b3f2a5fd7ede50c9e77376305036702d2000118","2018-09-26T14:51:40Z","0","0","0","0","0","0","0"
"5f8a3a23ff09dff72ae358df5cf074fcd703057b","2018-09-26T14:50:55Z","1","10","3","13","1","0","0"
"09d8dd48619e94a14fd6c1ef7573031cffae2c40","2018-09-25T15:45:43Z","1","1","1","2","1","0","0"
"f69e2d702802df8033f4b3cce8b235728e38312a","2018-09-25T09:27:38Z","0","0","0","0","0","0","0"
"4e4797299306a4095131dc66508d6af6ab22cd67","2018-09-25T09:14:12Z","0","0","0","0","0","0","0"
"1c519c665f75481660cf806da3c02c90c92c309e","2018-09-21T15:05:49Z","0","0","0","0","0","0","0"
"914f4c8345aa09551b10eb562e7f037f4741bd35","2018-09-21T14:57:05Z","0","0","0","0","0","0","0"
"f8b73ad2b7407c76f0a91aba343e743bee7ce928","2018-09-21T13:06:08Z","1","49","29","78","1","0","0"
"b22d51f496945558c7e00771d13ee1386ca115b5","2018-09-20T16:28:48Z","0","0","0","0","0","0","0"
"a26978378c75ac1e4ec09080be35e7950f6ee5b1","2018-09-20T10:33:42Z","0","0","0","0","0","0","0"
"6289f318533366371751057d473d359f3a15e8b7","2018-09-19T15:51:11Z","0","0","0","0","0","0","0"
"a4cb128c79719c131805616783e64e99f8fc9a1c","2018-09-19T15:37:34Z","0","0","0","0","0","0","0"
"a57c15a122ccdb94561c86405879e15fa8a5c585","2018-09-19T13:21:02Z","0","0","0","0","0","0","0"
"de6e7b8e9392d6f518aeff4d3983d1d90e89f3ed","2018-09-19T13:20:25Z","0","0","0","0","0","0","0"
"18ff463496b8837a993cf10d9d9085245017e7ae","2018-09-19T09:12:54Z","0","0","0","0","0","0","0"
"e3324bdc2fca91e453a8675fc2eefbfa1178df5f","2018-09-18T16:02:52Z","0","0","0","0","0","0","0"
"965ad0489c43e68962aca6e19f1d1596c0a5276f","2018-09-18T14:18:26Z","0","0","0","0","0","0","0"
"bd6bd1b27af4f5fdbd009250625016a580bf4eb2","2018-09-18T14:16:44Z","0","0","0","0","0","0","0"
"b90a30659e397bd48f0e8cb315e67455f0f11f3b","2018-09-18T12:58:03Z","3","96","45","141","1","0","0"
"45762865e2e62fe5084c4d9c7b895904a17078a8","2018-09-17T14:58:10Z","0","0","0","0","0","0","0"
"dd244a79ac8b02e581d8f26c5c9f26763af67b9f","2018-09-14T15:55:37Z","1","21","0","21","1","0","0"
"8aa7117af57e229cf502b9b240320831d3fe03b3","2018-09-13T10:22:22Z","1","24","9","33","1","0","0"
"d541aaf416299c13351262d99057582e9ab73da9","2018-09-13T08:37:08Z","5","205","60","265","1","0","0"
"4c42c5090877a313a0610d43a59d7ead753e408f","2018-09-13T07:47:31Z","5","208","61","269","1","0","0"
"6bdbec07f5a27b6d05c339fe7f3b19f26f2ba53e","2018-09-12T15:34:11Z","0","0","0","0","0","0","0"
"6a3479f42679f70a6a738e157f140d392fc9216c","2018-09-12T13:12:53Z","5","189","64","253","1","0","0"
"07195b77f0145b1b44e725ef6ab3420b53501924","2018-09-12T12:06:56Z","3","5","13","18","1","0","0"
"17e8b9faa70e05446e9a39a6b30debef201c06e9","2018-09-12T11:35:03Z","0","0","0","0","0","0","0"
"7821184e38becdd8b38d99d7719535f078f09b95","2018-09-11T09:23:44Z","1","51","16","67","1","0","0"
"48088ee0b1a5a44310a4f66fc20baea1058e10e4","2018-09-10T15:56:24Z","1","81","35","116","1","0","0"
"218f4fb328d038f5f0304c9e29e1b75bcbaff37d","2018-09-07T16:26:35Z","2","43","13","56","1","0","0"
"03a13461155ed1520b83682c364a3947d45f638d","2018-09-07T10:56:35Z","0","0","0","0","0","0","0"
"797d0b8ce3e88a776b7a8d34ae394cba44eb764e","2018-09-07T10:31:00Z","0","0","0","0","0","0","0"
"518e4f1aa74d6c542ded0c4f3903bee919381fe3","2018-09-07T09:28:43Z","1","4","4","8","1","0","0"
"e6f1c9c321c08594d8649c8b7628d968a0c8a33d","2018-09-06T15:05:36Z","0","0","0","0","0","0","0"
"9aa7eb4b6f0ea4c41f7206613840cbab17e53b93","2018-09-06T09:06:48Z","3","166","120","286","1","0","0"
"e83ccd8185d5554a3e56f322a18e971c1a399c81","2018-09-05T15:13:34Z","7","600","58","658","1","0","0"
"ce041c90509f5e1eb9903a56d524421e59e69e9c","2018-09-05T09:48:45Z","1","27","0","27","1","0","0"
"c45eedd2c742ba83ebaa546c05395b1821fe8971","2018-09-05T09:26:26Z","0","0","0","0","0","0","0"
"adf36c7e476efe22721b48e24570365246ed72c3","2018-09-05T09:23:50Z","0","0","0","0","0","0","0"
"9306325419ca7a8589fab8dfb6b66371efc6e20a","2018-09-05T09:05:58Z","4","35","5","40","1","0","0"
"c74c68e36cf07402cc5bc0c74e835a85d26b4239","2018-09-04T08:02:33Z","2","134","58","192","1","0","0"
"4738f009a1c3c7c85a38f25013563e7223b3b20d","2018-08-29T13:49:53Z","2","24","2","26","1","0","0"
"9f591f5b7d451122d0677514b30de9cb15ce31bd","2018-08-29T13:37:27Z","1","1","1","2","1","0","0"
"965224766d7c59d81727dbc214885f27d7262ffe","2018-08-28T08:18:02Z","1","2","2","4","1","0","0"
"886eb9b311f72ce54f1d9a1b5a6eaa04469df831","2018-08-24T11:58:51Z","0","0","0","0","0","0","0"
"db8a723de027327e7d003186bb0dff0adbc116bc","2018-08-24T11:43:38Z","2","24","2","26","1","0","0"
"0330a360182244cd234a67a6c6815bd07111d4fa","2018-08-24T11:12:34Z","2","1","23","24","1","0","0"
"908d3341e1fb29bf4b45e314c5a37a8a9e8b3ee2","2018-08-24T10:59:24Z","1","4","1","5","1","0","0"
"b86bca9126e218567df7c32902bd9b19298a2ef4","2018-08-24T09:23:46Z","2","22","1","23","1","0","0"
