"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"813bc760ccb19def386a45f84acd883fc1876761","2018-09-15T05:56:54Z","3","36","13","49","1","0","0"
"e7fd51a9690058893b52a0d7014c3b4ed076308c","2018-09-07T09:33:19Z","2","27","1","28","1","0","0"
"7b8acb3376f1b201c817476d83e308cc66c2b108","2018-08-18T07:10:15Z","0","0","0","0","0","1","0"
"fc8f224a03c39d777ca4b787d138c7ebe393fdaa","2018-08-18T07:09:33Z","3","102","1","103","1","0","0"
"ca313c2ba1f305ea7fa3c4fd89629b34162e2bae","2018-07-26T10:28:23Z","8","86","74","160","1","0","0"
"e40b537af2a909d4eaa6d2e24b4c1236f7c6c4ac","2018-06-18T18:16:38Z","2","28","0","28","1","1","0"
"6a0c7d8714293050d3153aceafd580b179718ad6","2018-06-15T05:53:25Z","3","187","46","233","1","0","0"
"21e7959dad7c8547bc93d8a5c68ad62e0c7ab901","2018-06-14T13:11:13Z","3","308","1","309","1","0","0"
"5043974a016764afc540f9e44c8d2622b2707af3","2018-06-14T08:39:33Z","0","0","0","0","0","1","0"
"04f612125b5def99f8c30669a964436535c6f23a","2018-06-11T07:41:07Z","5","175","6","181","1","1","0"
"266d6d534c678a43c99374c16f3f111536ac0bf5","2018-06-11T06:58:31Z","6","127","9","136","1","0","0"
"f73e1bd8631ce56b3512ad1770a996cf4aad9a0c","2018-06-07T02:16:22Z","2","87","55","142","1","1","0"
"928a3b32697a17373c955ea39c08a44e13ba0116","2018-06-06T09:28:16Z","0","0","0","0","0","1","0"
"018d3745f558da76371271653a163631864d83fe","2018-06-06T06:18:41Z","11","370","32","402","1","0","0"
"69f76c3cb0c42df8f58f568308285313dc4f13d5","2018-06-06T01:31:24Z","3","44","1","45","1","0","0"
"be486edb6121a243c681a449449dfa3f1dcb75c4","2018-06-05T15:20:30Z","2","370","793","1163","1","0","0"
"91775d0c1dfb67c98d87f01464a22465599e85b8","2018-06-05T06:36:26Z","2","0","545","545","1","0","0"
"33a2cdbf519f87c8a07f3b8805129bc60c5e2d56","2018-06-05T06:35:51Z","5","288","172","460","1","0","0"
"47100774c9fca10ba296c76acaf85544b403d650","2018-06-01T09:38:58Z","15","2864","34","2898","1","0","0"
"3df5e3b41a8462d4aefc0d799e950e5a42e2c48e","2018-05-28T18:28:58Z","3","242","68","310","1","0","0"
"5fbfe5d4ea6782c9b2122fe07374b3db7f2c46fd","2018-05-28T09:22:10Z","13","410","128","538","1","0","0"
"2d5e106b7f49742758f4fe2f3a2aa7533160d707","2018-05-27T08:47:32Z","7","4336","0","4336","1","0","0"
"b5b25351cb9029c7ed77c1ad4a67f4213d7bc462","2018-05-05T20:33:04Z","0","0","0","0","0","0","0"
"ac8865de1e6515298ad88efb46d9cb40ba89d425","2018-05-05T20:32:20Z","2","15","1","16","1","0","0"
"653d7374969163337d48e9e2147be6c8e0176b3e","2018-05-05T20:23:45Z","8","197","16","213","1","0","0"
"a959087ad420ac209763adaaf834a42bfa3fa5c4","2018-05-05T12:42:52Z","0","0","0","0","0","0","0"
"5072ccc3a382586d9f6e0b713e3ccb20adcf39ce","2018-04-23T14:46:10Z","0","0","0","0","0","1","0"
"2074263825f2c842edad367c7d15dfe1734953d1","2018-04-23T12:16:11Z","9","122","95","217","1","0","0"
"67bc07c14a9657ef5ce84bc79bcc85e764cb22e3","2018-04-23T06:32:33Z","3","8","7","15","1","0","0"
"08214ce70292e885d87b07e13507b63e6bf56c2c","2018-04-23T06:25:14Z","0","0","0","0","0","0","0"
"a29dd2095f46e2b4d39c59633dd2bf27b57e58d5","2018-04-23T06:22:52Z","8","72","27","99","1","1","0"
"ae0234f9005f818f626ae977263ecfd7cbe155f6","2018-04-22T08:51:15Z","1","7","1","8","1","0","0"
"db928e84617f8bd9c353abf527675b73738d75a6","2018-04-22T08:49:31Z","1","23","1","24","1","0","0"
"cf54c44f4fc932c65e99b4f59a2efe8a287434e7","2018-04-20T19:15:30Z","0","0","0","0","0","0","0"
"84ab358dbec3d5de120390ad6f92f0e2f69d09db","2018-04-20T19:10:16Z","0","0","0","0","0","1","0"
"9a1317b0ad7f87a73463415e30f576932e8b41c9","2018-04-20T19:07:53Z","0","0","0","0","0","0","0"
"40b9fc3ddbbb2828ce32f3ea4810e52d4fe322cd","2018-04-20T19:00:16Z","0","0","0","0","0","0","0"
"c6652458a071aaacbc5c9b3a0d67a71849a2845f","2018-04-20T18:51:33Z","0","0","0","0","0","0","0"
"ae174590e00b9baee5e54b7eea5bd6620f7cdd3b","2018-04-20T18:36:29Z","0","0","0","0","0","0","0"
"be6d8a4f2c683854ff61de75ac52057e82ddf3b0","2018-04-20T18:29:08Z","2","2","2","4","1","1","0"
"07f43b6002a7cf397b96af9ad51fcca9523a8022","2018-04-18T05:16:05Z","7","348","35","383","1","0","0"
"7c7878a1d97dd93e34d575bd44edce9495f9ea84","2018-04-06T07:40:22Z","2","37","2","39","1","0","0"
"dfa8f3117080033863a50e276d6fd64899e932e8","2018-04-06T06:47:25Z","2","73","0","73","1","0","0"
"b4de117dc302aaeb94bea073531720f32076f68d","2018-04-05T23:03:22Z","6","309","4","313","1","0","0"
"f191f45f8a679c90da6cf8c2a99860fb5e919e4a","2018-04-05T20:47:04Z","2","131","3","134","1","0","0"
"41c1b39f5054422b8a74898a63da8175f916c10b","2018-04-05T19:53:04Z","4","68","4","72","1","1","0"
"ebf1c53fcf19d432edd9d8fcd0fd7d1fdb6206e1","2018-04-05T19:14:03Z","2","74","1","75","1","0","0"
"f8271e4ef02aeb53d943adab1ec4d1ad33cc017c","2018-04-05T18:45:22Z","7","140","28","168","1","0","0"
"38816874b62ca74198a3a24ce307ba47b02d3513","2018-04-05T18:45:22Z","16","3096","11","3107","1","0","0"
"e14ee85a1d5011af23eff1839a8f193558724d11","2018-04-05T18:44:48Z","4","40","0","40","1","0","0"
"0f116632db52d991715330157ff69f13e26438e4","2018-04-05T18:44:48Z","293","0","18193","18193","1","0","0"
"6e93c344c08d0c3a8dd770e098a6a37cc702a819","2018-04-03T14:01:54Z","0","0","0","0","0","1","0"
"18c9ad9d9cf10bfb3f5faf62d32d622d1a769e26","2018-02-23T01:35:15Z","0","0","0","0","0","1","0"
"ec5ce9fd020b7c776a7ed5c9e24374ed3b623a04","2018-01-05T05:46:55Z","25","130","90","220","1","0","0"
"513224acb2703fb6db542887dc89e29844d737b0","2018-01-01T18:30:13Z","55","867","542","1409","1","0","0"
"c6d88518df694a3e1b0c0f75a9dc045b2cf1569e","2017-12-05T10:05:11Z","120","1577","1559","3136","1","0","0"
"f6c32f2de64eedf7527d914225d5b7b9fe6ca42f","2017-12-01T09:26:12Z","0","0","0","0","0","1","0"
"be099e3abee2368d2040fcb5d393b2843fcc29fc","2017-11-29T19:13:09Z","6","37","21","58","1","1","0"
"08e14f21037ae884ac664f153b2b98e2eca7905d","2017-11-06T18:09:02Z","0","0","0","0","0","1","0"
"b33d8315d1276fa5f07716f22b3f0462ad9de5b9","2017-11-05T13:15:52Z","0","0","0","0","0","1","0"
"eabc4d1f9e2cb46042409827eed25517f30b4418","2017-09-15T09:13:48Z","2","326","4","330","1","1","0"
"519df445c9d207a8eac4c02971259045de403b45","2017-09-11T18:02:40Z","1","4","4","8","1","1","0"
"59fd37c1d6887594e8bce0766251faa1ae07aca2","2017-08-21T07:55:22Z","2","19","11","30","1","0","0"
"b071711f86c73c4704261ceb1a243b6d9a1d38f3","2017-08-21T07:42:30Z","1","0","2","2","1","0","0"
"51ef6f7db4b2fa6370b59232f71ff359ee6b39dd","2017-08-21T07:41:59Z","30","221","221","442","1","0","0"
"3e81a4d600880c31fa5e344552d43a26575db152","2017-08-11T11:54:44Z","2","20","1","21","1","0","0"
"d27d501159c51fa482abe5de35205ee86d157a51","2017-08-11T11:29:25Z","27","139","141","280","1","0","0"
"2958cb8b3907be63e271341c29b4f1c9c36bdde4","2017-07-22T02:03:33Z","11","217","67","284","1","1","0"
"20b96ba7530a0b73e8e0174ceb925615b67f666a","2017-07-04T09:15:06Z","2","4","7","11","1","1","0"
"c85d90b514955e31e471df0fcb52ec657157570c","2017-07-04T07:07:25Z","8","186","46","232","1","0","0"
"5025c79728eb130a14a0118320390c0b338ad99b","2017-06-30T11:13:43Z","1","32","19","51","1","0","0"
"34dac8c55e3f2629f22d46d5e4103ef2311db9ab","2017-06-30T11:13:16Z","0","0","0","0","0","1","0"
"957ff7cf7b7d531f464e01172a82b75eeaac9cda","2017-06-26T16:06:25Z","12","48","50","98","1","0","0"
"a2e83bc58575351f7a7b9b44b042cb1d1aee6001","2017-06-26T16:05:57Z","1","2","2","4","1","0","0"
"ed28e26d25183017fba66478a09272ed37733250","2017-06-26T16:05:57Z","11","40","40","80","1","0","0"
"e4d828d4a87cb9f2a8d56d05dfb16a6c13bfbd99","2017-06-26T16:02:24Z","10","49","49","98","1","0","0"
"c3ff1120f3736a40ee8a4a4ea701241fc26831e4","2017-06-24T06:48:30Z","1","11","11","22","1","0","0"
"3b1e39b6b467d2a7328cd0c1468526fa1a719654","2017-06-20T14:01:38Z","4","23","17","40","1","1","0"
"17d7acf4dd2cd306247914d0fa0f435ccd984ea5","2017-06-17T14:08:04Z","5","7","18","25","1","0","0"
"4939a1394a356772454aa58f897869d0bee3eb3a","2017-06-17T07:04:56Z","0","0","0","0","0","1","0"
"2160e5737201aabee353ad3dd59f791eba9d3888","2017-06-17T06:55:05Z","2","9","4","13","1","1","0"
"a3698073fa66f9744d72515d7deac550ad60de96","2017-06-16T11:18:23Z","2","0","2","2","1","0","0"
"1e094ae58698b29ae7adc9f5edb4df550b2e63ec","2017-06-16T10:46:42Z","1","3","2","5","1","0","0"
"f2688c25dd5fcc6c74435fb733c83488797a38d0","2017-06-16T10:45:36Z","1","1","1","2","1","0","0"
"aaf43df5172071019ab86910ea2da18981a41d3d","2017-06-16T10:42:55Z","47","429","402","831","1","0","0"
"47a9c2f57d765f304fd77e79db06282208931dde","2017-06-15T17:54:04Z","2","2","2","4","1","0","0"
"f2ff298a9c0badfab2d344b0437f447637e831de","2017-06-15T15:06:33Z","1","3","3","6","1","0","0"
"829964a0fffd2f6d2e3f88a98ece4da4b290dcc5","2017-06-15T11:24:03Z","7","170","170","340","1","0","0"
"28c4419eb62cac3849a40fa8002385d1376863d6","2017-06-15T10:17:12Z","4","759","809","1568","1","0","0"
"1e179e58e793f91f3ad84df9c05032f08e5678f7","2017-06-15T09:09:39Z","14","636","662","1298","1","0","0"
"79ecd8f85c84c948950622722c710a70339bcf44","2017-06-15T08:03:56Z","1","42","40","82","1","0","0"
"d19d234bff6ff6c8ac4b377e5ef7fcfd455df996","2017-06-14T19:45:57Z","1","8","6","14","1","0","0"
"c32de4487d14be045847fce292fd365757da6d72","2017-06-14T10:14:14Z","1","1","1","2","1","0","0"
"4d906eeb45bc95a8f0ba7e7710086511bdf271ef","2017-06-14T10:08:36Z","1","2","2","4","1","0","0"
"6118d71afa195f3ab44a4d4c6179ff31911f4156","2017-06-14T10:04:24Z","1","2","2","4","1","0","0"
"df4cf6792068d36944b1e5f8b908e5d7e5bc31f0","2017-06-14T09:56:44Z","3","21","21","42","1","0","0"
"39046f443544c14a5c5680ace9c9694caf85ee5a","2017-06-14T09:36:09Z","1","2","4","6","1","0","0"
"f99d6e8fd72be5272d7e154f1614299ffa51f6cc","2017-06-14T09:35:48Z","4","13","28","41","1","0","0"
"eeac1d14be771b81e847bedf479dcc6b174d18ae","2017-06-04T13:04:50Z","25","231","142","373","1","0","0"
"1957b308fb2bda7fd8ac51095a23e839c1f1adaa","2017-06-04T11:42:04Z","6","32","25","57","1","0","0"
"2dbca125508879264f33d3b65149f133e9163325","2017-06-04T11:36:09Z","5","10","10","20","1","0","0"
"9d051288fc9a34bc8e5c544b52beb3e8459ace00","2017-06-04T11:32:39Z","8","18","12","30","1","0","0"
"4096f3cb4c1a87e9f25c9595470f4d9a4d0361c4","2017-06-04T11:26:14Z","40","102","48","150","1","0","0"
"a1615bf8dded4d1a38892c6b2f63538593e432a7","2017-06-04T10:56:42Z","104","308","234","542","1","0","0"
"ace8b62bb9bbc12850798ead474c0f4e1f21f260","2017-06-04T09:59:16Z","56","99","48","147","1","0","0"
"c12f8c6a4d3ce7568f18587cce0e0fc6a28f24bf","2017-06-03T11:02:48Z","34","188","104","292","1","0","0"
"7e6e04b19543267e15da6fdd7fe8040bde1d87ed","2017-05-26T11:43:52Z","5","86","8","94","1","0","0"
"4346ae9132ea6ce76f2462f9601e5920def517fe","2017-05-26T11:30:04Z","1","1","1","2","1","0","0"
"23a4093763c10462257a11301e0d8b0a48786b8d","2017-05-26T11:29:11Z","1","10","13","23","1","0","0"
"566eabe6456fa49f73e6cd734b04595e14aa6a24","2017-05-26T09:11:35Z","1","1","1","2","1","0","0"
"97d199ba17405fc1e3627e0d91cbdddb41eb67f1","2017-05-26T07:48:41Z","1","2","2","4","1","0","0"
"fde268bc20f0158e10e27237c22e7272001a39ab","2017-05-16T08:28:14Z","2","20","20","40","1","1","0"
"e033dfc5851fd3e8ee2ecf5892418df3b4c31d8d","2017-05-16T08:00:09Z","1","15","3","18","1","0","0"
"c78156a01cd325ffa13bee73ee968a7b178fc8ed","2017-05-16T07:49:25Z","12","405","142","547","1","1","0"
"c5ff8a0388daf3ddef5872a4f3d58a6ebf3e3d06","2017-04-27T07:30:49Z","6","87","29","116","1","0","0"
"e263df9cd4346ead81205957558a9f4b8114a31f","2017-04-25T21:10:42Z","2","75","10","85","1","0","0"
"eff0f5261330efa480d91fdd34417faa7b504d52","2017-04-25T10:13:20Z","1","0","1","1","1","0","0"
"016aa6517a93c78be79f1c9b1a9285d0d582656b","2017-04-24T15:47:57Z","2","60","1","61","1","0","0"
"72a8e41f165bf03a11c06ca2f556d2a496cbfcdf","2017-04-12T08:50:00Z","0","0","0","0","0","1","0"
"a7f5bd61b9cb2ed043b25bb59114555544f1e0c1","2017-04-11T14:59:54Z","2","18","0","18","1","0","0"
"f9b3de0bd216498002035ae7e52134d106d7ec6a","2017-04-11T14:41:55Z","3","60","2","62","1","0","0"
"599ff8ba06db73a09168d10fb01a51cf23454dad","2017-04-11T14:18:06Z","1","33","0","33","1","0","0"
"aafa8750e5c360815e25287fe7f0e9cc82e76940","2017-04-11T14:03:13Z","1","1","2","3","1","0","0"
"327d456f48a9193b5555c10571e680865a252e4a","2017-04-11T13:57:01Z","1","1","2","3","1","0","0"
"0b589cd8eb5fde6dbe5f49294f7f140c5690d9fb","2017-04-07T16:39:10Z","5","113","75","188","1","0","0"
"bf794de02d587453d2812bc4877df4e377403465","2017-03-30T07:46:20Z","1","1","6","7","1","0","0"
"663de5c418f1c2e80eb67795d68bbe0e092fd814","2017-03-30T07:43:35Z","7","15","13","28","1","0","0"
"2c1a33cc50e3275127d7f3f857a873ce6399096e","2017-03-22T21:50:41Z","3","73","4","77","1","0","0"
"6a775fd1b43b2ea188646218bd021fc4ec3d86e8","2017-03-14T11:02:43Z","34","139","127","266","1","0","0"
"f712155224dce7afe74bd56df5c2f0f71d64e4e2","2017-03-14T11:01:28Z","1","3","3","6","1","0","0"
"e48a0252d042395821efad8e02e5ec9548960cd0","2017-03-12T13:39:36Z","5","63","41","104","1","0","0"
"f1bafb8b577371f2a12d61c41aa5c16ebef12c6f","2017-03-09T09:59:29Z","3","101","38","139","1","0","0"
"a14aeed3eee2b1b8a23d5bdb3651d8b95d61de31","2017-03-08T10:13:38Z","5","132","105","237","1","0","0"
"b38583ee9c6fadf7a8ba7f1f023c71fda4f01d58","2017-03-07T14:43:34Z","0","0","0","0","0","1","0"
"c713b7a2d4d403fd7e8a2300a3caf199fd15af44","2017-03-07T14:36:13Z","12","464","313","777","1","0","0"
"9241f1efa1f3e70d608db161c2a3f34b25e45a0d","2017-03-02T07:07:46Z","1","23","0","23","1","0","0"
"35aef7c413dff9fc46e2763826212246ceab01df","2017-02-25T15:21:01Z","6","141","43","184","1","0","0"
"f7bd09fcccaf7c23edb1d9a0f3d8b6c0bdc53108","2017-02-19T10:53:11Z","10","345","292","637","1","0","0"
"b47bbd79989bda828f99cdcee310dc86f75e7e8d","2017-02-19T09:48:57Z","0","0","0","0","0","1","0"
"35740cd0269d02123dcc31cc1a3506b696e255d4","2017-02-19T07:42:27Z","2","208","13","221","1","0","0"
"98cf0d5404b2d8cb1151fa454fa2ccdb744df303","2017-02-11T15:16:06Z","2","5","4","9","1","0","0"
"ec8bdb333b7ec0f5527085ab34b1a3ae655a91d9","2017-02-11T14:32:06Z","3","90","70","160","1","0","0"
"36242286b20e35a03703632ba0352323f27ce541","2017-02-11T11:04:42Z","2","104","14","118","1","0","0"
"0f614d8dad8f19870ed2717df8b90ef52127d012","2017-02-08T20:21:42Z","1","4","1","5","1","0","0"
