"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5ad22e5c989b77a479e79c673b5913a7d2ac825c","2018-09-03T04:10:12Z","1","1","1","2","1","0","0"
"e69286f0f65e4ef3559ddf2264ca651a39d60873","2018-08-30T04:44:04Z","1","1","1","2","1","0","0"
"adc64456ef26ddb7f179f543c3a4ea0fb0c43bd2","2018-08-27T07:09:23Z","1","4","1","5","1","0","0"
"f2ecfe785eb6832e3609dfeb7932b2e322d83778","2018-08-14T03:37:08Z","1","4","1","5","1","0","0"
"82976fa47637d5cb9bbcc12a2a331a876cb593dc","2018-08-13T09:02:27Z","3","34","3","37","1","0","0"
"c3cb63a69a46827dd56609b22b6805aea704dc27","2018-08-01T08:53:31Z","0","0","0","0","0","1","0"
"f421533130f9556b62ed28d7c0bd91b643c4b4f4","2018-08-01T08:50:07Z","0","0","0","0","0","1","0"
"d21c36ace4395a17624d12ffa3088f896a366fb2","2018-07-31T06:39:32Z","1","13","14","27","1","0","0"
"e398b76c8fa850f2ed7b11535ea8535a01287fab","2018-07-31T05:38:18Z","3","35","3","38","1","0","0"
"f8e0d4940a527dec5720ffc0f223b283efd0c071","2018-07-11T05:20:56Z","3","25","13","38","1","0","0"
"609ebf402dd321097f1a50053f0586ef3d0938c5","2018-07-11T04:52:27Z","3","8","6","14","1","0","0"
"c118231dfdf76a451dbca2e6ba1011f9fdef5854","2018-07-10T09:03:49Z","3","21","11","32","1","0","0"
"092aabca33108cbe6970776dd506b44681ae8e32","2018-06-12T07:11:05Z","0","0","0","0","0","1","0"
"4f2e4fb93a301798e786023d51b3f7e54bd68119","2018-06-12T06:32:37Z","0","0","0","0","0","1","0"
"141582f1c70f0c9e35f01b5890671697bf019ff2","2018-06-05T05:58:18Z","1","1","2","3","1","0","0"
"68c75e764ac7d5c639879ad6cd5c91f629bc40ab","2018-05-25T09:50:38Z","1","9","16","25","1","0","0"
"6f41507ff9980e79944155ee55c11c15441ba84a","2018-05-25T09:36:11Z","2","2","2","4","1","0","0"
"fedd56028c1d053c9ab0b24e54fdb5e3aff36abf","2018-05-25T08:59:42Z","2","2","2","4","1","0","0"
"f36bdf2f5d8f094a88e75320e9476c4284710f59","2018-05-24T07:11:21Z","1","9","16","25","1","0","0"
"17edc230be5b351a98809a6fe3290754bbba9220","2018-05-24T03:35:19Z","1","1","1","2","1","0","0"
