"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c6dfb6b8e1edbd46547bb6c9f3ecb64644de0210","2018-09-30T05:41:21Z","4","42","46","88","1","0","0"
"51228a93c37e95f7d8dab8095a8706bafe8c159d","2018-09-30T05:22:43Z","1","37","7","44","1","0","0"
"629a5f15bca539affbd4d24a3f99ca125965913a","2018-09-30T05:14:25Z","1","5","6","11","1","0","0"
"fe57cbef5b7dcbb9aa955da25455b2840067485c","2018-09-30T04:19:34Z","1","16","1","17","1","0","0"
"4314643ddf4f854b433309d2fd1c3017df54f847","2018-09-30T03:15:01Z","0","0","0","0","0","0","0"
"9a82d1176de3389f36bb242f63a5aa180250e650","2018-09-29T14:08:35Z","3","27","17","44","1","0","0"
"51d85a2d9c43f3a79bab56a4957e6cdc550f0e07","2018-09-29T12:24:04Z","1","5","2","7","1","0","0"
"c85b4a50a7356369bf948d8f94ee09d6f1af376b","2018-09-29T10:11:36Z","8","138","39","177","1","0","0"
"127fb241e3c53e323086c804cbbde37e01d848b5","2018-09-29T08:07:48Z","1","3","1","4","1","0","0"
"6c7e7eac26b0a7a8ed3ef7152125ae855b1a2190","2018-09-29T07:40:53Z","1","10","59","69","1","0","0"
"4abea96b15c7106dad091f9c414b5207a98a9d04","2018-09-29T04:07:35Z","4","54","182","236","1","0","0"
"4176af03c0ae4c788da5935a2e15f591f4eb2c98","2018-09-29T03:26:32Z","3","20","21","41","1","0","0"
"a4cdb520e07bb8691865dfea90601ebabf3831be","2018-09-28T15:19:39Z","1","12","0","12","1","1","0"
"6e24438f4898eec8793fdb7eb60f7a1519c0ab40","2018-09-27T15:17:06Z","2","4","4","8","1","0","0"
"9b4c373a32ace3f4fdbaf8dd7f0a38b7608f8a38","2018-09-27T10:18:47Z","2","5","17","22","1","0","0"
"5aa774602372c8167d5bb99cde4acdc1425d5881","2018-09-27T02:11:46Z","1","2","1","3","1","0","0"
"a83fc5e8d318409b00dac95667bae2367fcf44e5","2018-09-26T13:46:52Z","0","0","0","0","0","1","0"
"4b4314338c0e0651ea9d0449181e174e3dc18a72","2018-09-26T02:47:19Z","1","10","4","14","1","0","0"
"af44388ff25e789f1d64cb0fa5ac4e9285abee51","2018-09-23T13:37:12Z","1","5","1","6","1","0","0"
"c6a2c7e6753f69d8590064648ff8698adb1eced3","2018-09-21T14:58:15Z","1","3","12","15","1","0","0"
"05c0118c9591d9e0ad2747dccbdac469162a48d3","2018-09-20T11:38:01Z","4","29","1","30","1","0","0"
"dd3ba42aeff6336994d9d940845225a297ac9879","2018-09-18T03:25:12Z","1","1","1","2","1","0","0"
"5a39641ed677e25ab2e1d417f1a44ad3789ede25","2018-09-18T03:17:52Z","4","19","19","38","1","0","0"
"891134b570b7dd648643c3e6253c7eb97f7de8a0","2018-09-17T15:28:32Z","1","1","1","2","1","0","0"
"f68e2e1031f8c3662b4aa3f18c50b661b463b480","2018-09-17T15:16:03Z","0","0","0","0","0","1","0"
"fc3dc458714146c7fddc5288261da85ea2ef0204","2018-09-17T14:10:10Z","1","20","18","38","1","0","0"
"a5c8e9a02a7e0ea6716631c739b105b9771e4ce6","2018-09-17T13:53:29Z","2","25","23","48","1","0","0"
"0f12cee204f411c38ea2172cd1198ade8fd11f42","2018-09-17T13:40:07Z","0","0","0","0","0","1","0"
"e2b02a916aa4befdad1d817a1a09c584cde2b090","2018-09-17T13:10:08Z","1","19","0","19","1","0","0"
"a83659a7a0779d2dbf4ccaa60c08814d03e76244","2018-09-17T12:58:57Z","1","114","161","275","1","0","0"
"0f707246d1db7979ce5065e05847ab95529e1684","2018-09-17T12:47:08Z","4","30","59","89","1","0","0"
"ce1fabc8e9aea0230abf662290b3100ec1655266","2018-09-17T08:53:15Z","2","167","152","319","1","0","0"
"38377762f523d97ef013c50b68732817ae5a0664","2018-09-16T13:46:10Z","5","46","76","122","1","0","0"
"c0b9a0ae6f4e12aa485738eb4c4c5f91d23fbdb1","2018-09-16T13:35:22Z","1","2","2","4","1","0","0"
"694d02d24662d057c352e47d4b44263a0904f564","2018-09-16T13:34:35Z","1","2","2","4","1","0","0"
"d9900f71b2c7afe8f2d28a46d542fd44dd0a1a4e","2018-09-16T13:03:08Z","3","57","257","314","1","0","0"
"cc11ad5376b32d757d39b24a05b22f0a0e83856f","2018-09-16T12:20:40Z","2","38","49","87","1","0","0"
"fed7ee9277bf786deaa30b9cddddaa2f94ecfcfb","2018-09-16T04:42:13Z","2","2","2","4","1","0","0"
"ed1ca2e332338c33a88a3a535b919564c6ca91f4","2018-09-15T07:39:12Z","1","3","3","6","1","0","0"
"109ca577025c264c4c0cbd5e01434f709c0ba3d0","2018-09-15T05:34:50Z","2","10","21","31","1","0","0"
"a8a20da87e716b5f9dbafb7658bc374b2f1dc66e","2018-09-15T05:29:07Z","3","48","26","74","1","0","0"
"69665d17be24deddd20fff8ab337ce98dd359f9d","2018-09-15T02:07:35Z","1","11","11","22","1","0","0"
"a07ca41f6d3ee1e5d8f321c8258e85da5f7635b9","2018-09-14T15:02:00Z","2","34","5","39","1","0","0"
"f4aa6fd259a105d9151643512693858604b6eb9b","2018-09-14T14:19:52Z","4","44","8","52","1","0","1"
"02b966add783098c98eed0f2dbfbdf63507d1410","2018-09-14T14:18:33Z","2","40","14","54","1","0","0"
"64c2dd1ef390687d127600adc1fbe5cb00feaff4","2018-09-14T11:44:21Z","2","3","3","6","1","0","0"
"1b535ce28303e8069b71796367351f206f6c78cd","2018-09-14T06:57:51Z","1","10","11","21","1","0","0"
"7d768c3e68bd76c2d16e19601e95996581e86bfc","2018-09-14T02:39:33Z","13","80","46","126","1","0","0"
"9adbcf34433e0cd4a5cbc4ce2686f3ff64efaaf7","2018-09-13T14:51:31Z","6","39","10","49","1","0","0"
"bf956bcb02d964574b51d0a874fc5b1db5f537ba","2018-09-13T14:17:37Z","2","6","1","7","1","0","0"
"59e78cc7df85ede575e2e8fffd89cf202132e449","2018-09-13T12:30:02Z","2","54","17","71","1","0","0"
"ba39c826373aee5e0cd05c006b032cbc6213277d","2018-09-13T12:18:22Z","1","19","7","26","1","0","0"
"c42efd8ca4dfa78deb6b6ea47d2fa81442ed0a64","2018-09-13T12:12:51Z","8","128","73","201","1","0","0"
"68770c8ac0e754113fa1b94e3e8f5f120bcbc6cc","2018-09-13T04:10:03Z","1","2","0","2","1","0","0"
"5e81311009905056b630b1c5bc5757f735a6af56","2018-09-13T03:52:09Z","1","33","6","39","1","0","0"
"2d0c07dd428d5d222a8bad6aed3fdac953c090db","2018-09-13T03:22:02Z","1","33","0","33","1","0","0"
"9b46e8c2b0af648db87d02eba98ed98dcb885b10","2018-09-13T03:11:20Z","1","12","37","49","1","0","0"
"8ac1618389f812f6670ca7810945af487902ae66","2018-09-13T01:50:49Z","2","19","1","20","1","0","0"
"810476ce6606a6e06ab82906ed7ea89a27ed4397","2018-09-12T15:37:32Z","2","51","14","65","1","0","0"
"aa8cd58686d567c732269fe98d62bad121d0781e","2018-09-12T08:22:53Z","1","5","0","5","1","0","0"
"6c97676e845fa3c35dee1850cac079bed480db06","2018-09-12T05:23:22Z","1","8","0","8","1","0","0"
"430194bdea76223e53af9f2cb199c744c8069008","2018-09-12T05:20:12Z","3","49","62","111","1","0","0"
"058c868b4cce8bdc2a3340eeea8821bf7acf0622","2018-09-11T14:05:53Z","1","1","0","1","1","0","0"
"55758196710fb127088bb7ab7549879481b765eb","2018-09-11T13:42:13Z","1","4","8","12","1","1","0"
"a1bbc27c131e78b48e567c79c164a070012faa25","2018-09-11T11:58:42Z","1","8","9","17","1","0","0"
"9efc8c8449d3687dd3333f98749cc71c887ac90e","2018-09-11T11:54:34Z","1","19","6","25","1","0","0"
"8ec17d8f95569683c7ec221874257c358aa0eb87","2018-09-11T06:17:05Z","1","11","1","12","1","0","0"
"94dbeb5d388f68b15f6a8c623b1a008ef34f8d3c","2018-09-11T01:59:28Z","1","1","1","2","1","0","0"
"1114d043ec561339863499e1a4facfc4e6d59f39","2018-09-11T01:55:42Z","1","1","1","2","1","0","0"
"71212a5783b2de8f591e63f117791a4cf610795b","2018-09-09T06:57:43Z","1","1","26","27","1","0","0"
"d82d9cfa747825bc2c8653373b0a486a3c8786fa","2018-09-09T06:50:09Z","1","25","1","26","1","0","0"
"2d3efdf8461d6f97043d8430a85705d5441365aa","2018-09-09T06:31:23Z","1","19","20","39","1","0","0"
"2a10d9b80b8088afabfa24870d43793dbf4189c9","2018-09-09T06:02:51Z","1","2","2","4","1","0","0"
"f57fdfef5f69cf4035b3b49b3cfc268debbc813f","2018-09-09T05:46:11Z","1","1","0","1","1","0","0"
"2e0b0e327e5888bf8cad746e5b5241783874fd4c","2018-09-09T05:04:53Z","2","2","5","7","1","0","0"
"d941940fec4f0528905bb691a27e976b7ec3b7e1","2018-09-09T04:36:04Z","2","2","2","4","1","0","0"
"1ddc7c6f3fa2def6f99529f6eb7b9bc6b9ba0874","2018-09-09T03:56:55Z","7","128","41","169","1","0","0"
"5dc98f09d4918d4861e5e42db08e9f0110476408","2018-09-08T16:28:04Z","3","13","15","28","1","0","0"
"0504e7062edb128d4966a965039b84cecd948ede","2018-09-08T16:10:52Z","2","25","37","62","1","1","0"
"e146c134217f7710d0421b5248cf9c09323218f7","2018-09-08T15:34:16Z","9","30","109","139","1","0","1"
"059a8d03ffd099ceb1ce683ac621410c995002ee","2018-09-08T10:21:14Z","3","8","5","13","1","0","0"
"ee37c237ffa0cdb0c855079c006770eb4c5b7072","2018-09-08T07:56:36Z","1","52","12","64","1","0","0"
"254ce8531659f71fc1569eb4b47a2c96ad898197","2018-09-08T06:29:12Z","4","39","5","44","1","0","0"
"141bf208464443880a46bbf2e891fd5ac5e06814","2018-09-07T06:23:56Z","1","1","1","2","1","0","0"
"44394bff753f7f60bcc98faff02c929eee537a2e","2018-09-06T15:11:42Z","4","55","0","55","1","0","0"
"b9a48328ddc60cedb82eca528f1cc2110197efc9","2018-09-06T14:05:15Z","3","13","9","22","1","0","0"
"3ac5253e88c1656b2da494943eb23df832c7bf19","2018-09-04T22:31:24Z","3","46","0","46","1","0","0"
"6e37c5ef42a4734f671015e5fcbada572c037a6c","2018-09-04T04:24:13Z","7","65","75","140","1","1","1"
"38b86d9d7708d480e35682e4b4a2d97ba5f4a6d1","2018-09-04T01:09:29Z","4","4","4","8","1","0","0"
"f212b00dcc24e464b6ae1e028a4421391eeb0baa","2018-09-01T09:15:18Z","2","2","4","6","1","0","0"
"ccf09ecd6d0ae9bb6bfa3c635ac9361e0d5bfaa1","2018-09-01T09:03:59Z","4","23","11","34","1","0","0"
"a5c4b70c0dc639e6b19f3e52fa6588168ea8cd13","2018-09-01T03:08:29Z","1","8","0","8","1","0","0"
"28073b02b6db1ec71ac277dd5bf525c8cdc604e8","2018-09-01T02:59:32Z","2","21","0","21","1","0","0"
"7445be8da6f51e9d39cbaee4852f5105e9eed093","2018-09-01T02:59:22Z","2","64","2","66","1","0","0"
"20101a25e8b9bec05a824b48f07e9f982c376ab1","2018-08-31T10:02:47Z","1","4","0","4","1","0","0"
"d99edd050b5f497e776aeb626f79edb06db8b253","2018-08-31T07:36:01Z","1","17","0","17","1","0","0"
"e31ac9ff0ef46985b3aebb1626cb4dcf7020ad0c","2018-08-31T00:59:12Z","0","0","0","0","0","0","0"
"753fe2f1e648280b303b96225462e412d7b13de7","2018-08-30T16:08:38Z","0","0","0","0","0","0","0"
"eb67f9dec6f8357cc60370a38726d92cf6e0e75f","2018-08-30T15:37:09Z","0","0","0","0","0","1","0"
"01acacc17a652f1088ec44e157bcb98f0389129a","2018-08-30T15:35:46Z","7","84","58","142","1","0","0"
"3e3570b5c87e1c9e27b43905a623a3f8f9b3148a","2018-08-30T10:17:18Z","8","323","23","346","1","0","1"
"2808b899a787934aa26efd4dd4a299ef51fb933e","2018-08-30T05:44:23Z","1","1","1","2","1","0","0"
"329b2908019b094f8ec8e9c6bc768f6a62ed94b9","2018-08-29T04:55:52Z","1","6","0","6","1","0","0"
"4e846f13b79ae2ef2694f6dffb796738530cfe92","2018-08-28T09:46:34Z","1","1","1","2","1","0","0"
"5a43007a541ca56a55cf4b965055b435725fe536","2018-08-28T07:27:20Z","2","8","7","15","1","0","0"
