"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"fd80618e93d17f8f05e11006eaa048a22213714d","2018-04-06T14:30:44Z","0","0","0","0","0","0","0"
"c28fa4c8e66900b79d1e360b4780dd2cbcd7740e","2018-04-04T15:41:02Z","0","0","0","0","0","0","0"
"1b6450ee68b5d6aee59e53c8fc4db2fd117f21bc","2018-01-31T15:23:39Z","1","3","1","4","1","0","0"
"6af572b66701443b65015cc47368dc09ef0543bd","2018-01-31T13:16:23Z","1","3","1","4","1","0","0"
"8118aec004931bb9eda9e46a40c87e37b2288d34","2018-01-24T14:39:55Z","0","0","0","0","0","1","0"
"f9cd157711edb2af1cc90862f41cfed3793b7a28","2018-01-21T19:07:50Z","0","0","0","0","0","1","0"
"952481eaee2cb5a0078a9a32e8bb5deae1323716","2018-01-21T18:56:40Z","0","0","0","0","0","1","0"
"e33c73a96f471c4a8a2554287be10da76203cc78","2018-01-03T17:50:29Z","0","0","0","0","0","0","0"
"adb49fc76a8111782a8ff2ee1e7fadb784904acd","2017-11-25T03:55:13Z","0","0","0","0","0","0","0"
"f1cb85c38ecae657591f49b8bbd69ac2679c7723","2017-03-25T16:51:28Z","0","0","0","0","0","0","0"
"6fd730a9fa818f06d898fead65ccf1f4dbd56376","2017-03-25T04:03:32Z","0","0","0","0","0","0","0"
"dc83d5b66b6b8145a5e96baa4c2f0037d3ccf4b6","2017-01-21T20:07:36Z","0","0","0","0","0","0","0"
"bf7525d9df5ecdf91847f1bc98f3583682d87a50","2017-01-21T19:47:31Z","0","0","0","0","0","0","0"
"ebb03254c08beb7070c4e58c374fbce55b449882","2017-01-21T16:46:02Z","0","0","0","0","0","0","0"
"711b93aa3b4a57075257b0420dc3b2d15682573b","2017-01-20T23:43:22Z","0","0","0","0","0","1","0"
"4329816aab155fd98efe55b2006ed954d8ed1a3a","2017-01-20T23:40:54Z","1","1","1","2","1","0","0"
"ab2d6426a894486e33f9d6ae993fa8942ad3365c","2017-01-20T15:27:25Z","1","1","1","2","1","0","0"
"0c24a80b87195653b886464bd31ed12ab3652c7d","2017-01-04T17:55:52Z","0","0","0","0","0","1","0"
"d0978f5827fabffb5651597cd4f31873f2ba0902","2017-01-04T13:42:28Z","0","0","0","0","0","1","0"
"e175fd08e041cd741016bb1f1a944d2caec8f3e6","2017-01-04T13:23:11Z","2","10","13","23","1","0","0"
"9cd340f18884c71807da5ed687bc51450b7811d0","2017-01-04T12:39:46Z","1","2","1","3","1","0","0"
"1de83fe8f6f0164e52b14dbafda876e181ce383d","2017-01-04T12:32:56Z","2","8","12","20","1","0","0"
"63815b9a19c35d965465fa25028cd0a9a5fbcb40","2016-12-25T00:09:03Z","6","28","26","54","1","0","0"
"9ba26a5efe77089ccbd8592cbbfa63cd557b90c8","2016-12-21T10:40:43Z","0","0","0","0","0","0","0"
"d2af06753b654b248c5315ca54e816b9c14ae8d9","2016-12-13T13:35:44Z","10","175","77","252","1","0","0"
"b49e60862dd61dd5878f751782908c20b85926c4","2016-12-13T13:33:57Z","1","3","1","4","1","0","0"
"f75268b927b59440ea65e44f983c35e218f01ef6","2016-12-13T09:49:08Z","1","1","1","2","1","0","0"
"fe4feb600c6c918eb304bc7d446db92b40661085","2016-12-12T23:39:57Z","6","28","26","54","1","0","0"
"35ba70383f85ab015a8f7836d6f69aa903971966","2016-12-09T12:36:23Z","1","3","1","4","1","0","0"
"cc8785ec45c108b4d48fc02e875a350046600243","2016-11-11T22:26:05Z","1","7","1","8","1","0","0"
"6a807057f9124bb328e30ff02e0cc1acc6152f34","2016-11-11T16:43:52Z","1","7","1","8","1","0","0"
